,aucs,params,time
0,3.970356473239029,"(1, 0.0, 0, 1000)",25.967184376785315
1,4.383549649838139,"(1, 0.0, 0, 1500)",35.114308662134434
2,4.406786325924537,"(1, 0.0, 0, 2000)",47.33072499437779
3,4.602958032839439,"(1, 0.0, 0, 2500)",58.7204848660933
4,4.734742004818775,"(1, 0.0, 0, 3000)",70.14604565664072
5,4.000406782241429,"(1, 0.0, 1, 1000)",24.381290359528947
6,4.449183428287506,"(1, 0.0, 1, 1500)",34.457865734332245
7,4.657231594008558,"(1, 0.0, 1, 2000)",46.023785145877525
8,4.711599530454944,"(1, 0.0, 1, 2500)",57.385465471170164
9,4.892909829844447,"(1, 0.0, 1, 3000)",68.92762683525422
10,4.393532509049949,"(1, 0.0, 2, 1000)",12.866701773549437
11,4.677381366053048,"(1, 0.0, 2, 1500)",18.91415640814688
12,4.540976223787841,"(1, 0.0, 2, 2000)",25.710751226762
13,4.613009757066474,"(1, 0.0, 2, 2500)",31.757837099407766
14,4.739321369020378,"(1, 0.0, 2, 3000)",38.16207758248606
15,2.5339328842566298,"(1, 0.0, 3, 1000)",9.811781944353243
16,2.603501241347369,"(1, 0.0, 3, 1500)",14.7560583817218
17,2.589780100610326,"(1, 0.0, 3, 2000)",19.113773119209327
18,2.662862725468243,"(1, 0.0, 3, 2500)",23.999076418930372
19,2.6112199178513356,"(1, 0.0, 3, 3000)",29.012338439662017
20,3.214541486606879,"(1, 0.0, 4, 1000)",8.753384019477267
21,3.202359323072083,"(1, 0.0, 4, 1500)",12.849862761887266
22,3.2505820195902793,"(1, 0.0, 4, 2000)",16.451721377996364
23,3.1359332596992746,"(1, 0.0, 4, 2500)",20.28072869596565
24,3.276883038922268,"(1, 0.0, 4, 3000)",24.262198966628148
25,3.3398234492715666,"(1, 0.0, 5, 1000)",7.293593180138714
26,3.4054897320621147,"(1, 0.0, 5, 1500)",10.82528533654397
27,3.376646332924857,"(1, 0.0, 5, 2000)",14.039155535130703
28,3.3735883894212106,"(1, 0.0, 5, 2500)",17.649122723698156
29,3.349565006178968,"(1, 0.0, 5, 3000)",21.284401509130248
30,3.1579960472005255,"(1, 0.0, 6, 1000)",6.855077949851079
31,3.1135767840287265,"(1, 0.0, 6, 1500)",10.23422921069573
32,3.163981233011274,"(1, 0.0, 6, 2000)",13.784035680512602
33,3.11291111655095,"(1, 0.0, 6, 2500)",17.029184156086785
34,3.1593330734792877,"(1, 0.0, 6, 3000)",20.401404089067228
35,3.1933247853289632,"(1, 0.0, 7, 1000)",6.659241328157691
36,3.2484685553347368,"(1, 0.0, 7, 1500)",10.049092831630901
37,3.168806270685266,"(1, 0.0, 7, 2000)",13.346456323359462
38,3.2106241413775614,"(1, 0.0, 7, 2500)",16.581869483412106
39,3.271083974180852,"(1, 0.0, 7, 3000)",19.434467788503753
40,3.2107460707426068,"(1, 0.0, 8, 1000)",6.407341994583248
41,3.2171231329441072,"(1, 0.0, 8, 1500)",9.636559674483578
42,3.1857403927866152,"(1, 0.0, 8, 2000)",12.861586318931586
43,3.226855512182502,"(1, 0.0, 8, 2500)",16.536900080876194
44,3.23730404328774,"(1, 0.0, 8, 3000)",19.98835969375932
45,4.079684877132668,"(1, 0.25, 0, 1000)",24.314731062188457
46,4.600110514987917,"(1, 0.25, 0, 1500)",36.595759796286984
47,4.8833601458984255,"(1, 0.25, 0, 2000)",48.55747923269564
48,4.9787408173084255,"(1, 0.25, 0, 2500)",60.70944715040605
49,5.128138435237548,"(1, 0.25, 0, 3000)",72.85500447682625
50,4.156086016928449,"(1, 0.25, 1, 1000)",24.82024698669784
51,4.4654865940704065,"(1, 0.25, 1, 1500)",36.755225314949485
52,4.751943030164522,"(1, 0.25, 1, 2000)",48.751876844682556
53,4.9391428354031905,"(1, 0.25, 1, 2500)",59.929522327558516
54,4.938702851796851,"(1, 0.25, 1, 3000)",70.62375665063587
55,4.734541306951467,"(1, 0.25, 2, 1000)",13.086889255478354
56,4.877472920102232,"(1, 0.25, 2, 1500)",21.182790270830537
