,aucs,params,time
0,12.758957103508362,"(1, 0.0, 0)",83.95216040027434
1,7.069922597268048,"(1, 0.0, 1)",82.46985385014017
2,0.5076352563960588,"(1, 0.5, 0)",81.19087202423768
3,0.8854525781729642,"(1, 0.5, 1)",82.32188672023952
4,7.328208850850077,"(2, 0.0, 0)",19.712843671472285
5,5.009497510904774,"(2, 0.0, 1)",20.05063632389033
6,1.3838824156890897,"(2, 0.5, 0)",19.522785717179147
7,1.4417638066060403,"(2, 0.5, 1)",20.186157458559762
8,4.777728349671644,"(3, 0.0, 0)",8.671411310655458
9,3.2171455181039432,"(3, 0.0, 1)",8.762371753951925
10,1.5212054914849646,"(3, 0.5, 0)",8.56161299830012
11,1.5994952597162304,"(3, 0.5, 1)",8.716725170377856
12,4.396208466940067,"(4, 0.0, 0)",4.8912867417507755
13,3.2651129595058803,"(4, 0.0, 1)",5.005515505462313
14,1.7385646116645896,"(4, 0.5, 0)",4.888999858920556
15,1.727945801352753,"(4, 0.5, 1)",4.926456016057898
16,3.571844934452983,"(5, 0.0, 0)",3.119603189790894
17,2.862427879168707,"(5, 0.0, 1)",3.2209188597992693
18,1.8675094732466864,"(5, 0.5, 0)",3.167500059365125
19,1.670212393166388,"(5, 0.5, 1)",3.433768537621404
20,3.4472446197096036,"(6, 0.0, 0)",2.198671898244072
21,2.8735821426791306,"(6, 0.0, 1)",2.222818263214947
22,1.730155553318122,"(6, 0.5, 0)",2.201416939862554
23,1.7925494651584064,"(6, 0.5, 1)",2.241277592543213
24,2.96907827976872,"(7, 0.0, 0)",1.5771493304315527
25,2.5123345419764522,"(7, 0.0, 1)",1.6653912717957269
26,1.7004900047445999,"(7, 0.5, 0)",1.6294668735830555
27,1.6055571532863027,"(7, 0.5, 1)",1.6619637412017028
28,3.213353951275349,"(8, 0.0, 0)",1.3658311321690917
29,2.7158746312208035,"(8, 0.0, 1)",1.3739751839967767
30,1.7127615165622796,"(8, 0.5, 0)",1.3468949265898118
31,1.6450887317604876,"(8, 0.5, 1)",1.3976427171609203
32,2.711277461884653,"(9, 0.0, 0)",1.0966675932276075
33,2.3357473014470407,"(9, 0.0, 1)",1.1081729661171948
34,1.6853217653491916,"(9, 0.5, 0)",1.1065741595651843
35,1.7047220099717377,"(9, 0.5, 1)",1.117555722864381
36,2.822080708163626,"(10, 0.0, 0)",0.8866001125841194
37,2.5081291176816998,"(10, 0.0, 1)",0.909358312299446
38,1.7604756495093599,"(10, 0.5, 0)",0.8979845203789409
39,1.6182916679803063,"(10, 0.5, 1)",0.9073544263309259
