,aucs,params,time
0,1.7911526793942731,"(1, 1, 0.0, 1000)",19.331047156010754
1,1.83667148772408,"(1, 1, 0.0, 1500)",28.208441618073266
2,1.517603863907211,"(1, 1, 0.0, 2000)",38.0447069228976
3,1.6590909004211425,"(1, 1, 0.0, 2500)",47.22914005012717
4,1.4414806385250651,"(1, 1, 0.0, 3000)",55.81650435295887
5,1.2458538804860675,"(1, 1, 0.33, 1000)",21.125208515906706
6,1.3985441828475278,"(1, 1, 0.33, 1500)",31.757912928937003
7,1.0136220396468965,"(1, 1, 0.33, 2000)",41.90038556297077
8,0.9879073906470748,"(1, 1, 0.33, 2500)",52.957236943009775
9,0.7882307156263029,"(1, 1, 0.33, 3000)",63.714165622892324
10,1.2917589466361439,"(1, 1, 0.66, 1000)",20.8144299070118
11,1.2905760962735202,"(1, 1, 0.66, 1500)",32.128729021933395
12,0.9979131884872914,"(1, 1, 0.66, 2000)",41.96598555101082
13,1.0266071641269854,"(1, 1, 0.66, 2500)",53.285738455015235
14,0.986102353102144,"(1, 1, 0.66, 3000)",62.70781400700798
15,1.147724014520645,"(1, 1, 0.99, 1000)",20.926337415992748
16,1.4345033873529998,"(1, 1, 0.99, 1500)",31.579874440969434
17,0.9998690969105262,"(1, 1, 0.99, 2000)",42.42706909694243
18,1.071314439966398,"(1, 1, 0.99, 2500)",53.718802249990404
19,0.9477421720238293,"(1, 1, 0.99, 3000)",64.68192161008483
20,1.8262249943964621,"(1, 2, 0.0, 1000)",8.965336324996315
21,1.6885486653622457,"(1, 2, 0.0, 1500)",13.386768658005167
22,1.6012629177640465,"(1, 2, 0.0, 2000)",17.82388633704977
23,1.8249755592907178,"(1, 2, 0.0, 2500)",22.09063872101251
24,1.6212086411959985,"(1, 2, 0.0, 3000)",26.64018448011484
25,1.9297960318186704,"(1, 2, 0.33, 1000)",5.40963796392316
26,1.9762182216433917,"(1, 2, 0.33, 1500)",8.166492232005112
27,1.7810090301667945,"(1, 2, 0.33, 2000)",10.905866466055159
28,1.9109813020509832,"(1, 2, 0.33, 2500)",13.421006548975129
29,1.923240800289547,"(1, 2, 0.33, 3000)",16.202049866027664
30,1.7443396258880108,"(1, 2, 0.66, 1000)",5.388861029990949
31,1.8052239729201092,"(1, 2, 0.66, 1500)",8.199653810996097
32,1.7531389735200826,"(1, 2, 0.66, 2000)",10.740691565908492
