,aucs,params,time
0,2.2424314117606947,"(40, 0.001, 0.0, 1000)",2.898814292042516
1,2.2722865816424878,"(40, 0.001, 0.0, 1500)",4.155943890975323
2,2.2478102675255607,"(40, 0.001, 0.0, 2000)",5.488821560982615
3,2.224568148833864,"(40, 0.001, 0.0, 2500)",6.878919351031072
4,2.1943515279713797,"(40, 0.001, 0.0, 3000)",8.219493329990655
5,1.9859612950507333,"(40, 0.01, 0.0, 1000)",2.8352659310330637
6,2.0906623691320423,"(40, 0.01, 0.0, 1500)",4.1706745919073
7,2.101008049880757,"(40, 0.01, 0.0, 2000)",5.549840387015138
8,1.898983788052026,"(40, 0.01, 0.0, 2500)",6.908418569946662
9,1.9084959608667034,"(40, 0.01, 0.0, 3000)",8.217512151983101
10,2.0984756306690326,"(40, 0.1, 0.0, 1000)",2.9916361189098097
11,2.0031756590394414,"(40, 0.1, 0.0, 1500)",4.451626543013845
12,2.0654455884414564,"(40, 0.1, 0.0, 2000)",5.908360147092026
13,2.182150979690692,"(40, 0.1, 0.0, 2500)",7.374193772964645
14,2.1630799555603195,"(40, 0.1, 0.0, 3000)",8.865950474049896
15,2.261438553298221,"(40, 1.0, 0.0, 1000)",3.3634168450371362
16,2.1279826379874174,"(40, 1.0, 0.0, 1500)",4.960758093046024
17,2.1753963730352766,"(40, 1.0, 0.0, 2000)",6.437314468959812
18,2.2188107253874048,"(40, 1.0, 0.0, 2500)",8.004102429084014
19,2.235590406200465,"(40, 1.0, 0.0, 3000)",9.708317115961108
20,2.1613370536881336,"(40, 10.0, 0.0, 1000)",3.3859624449978583
21,2.0987406598294482,"(40, 10.0, 0.0, 1500)",4.944671277073212
22,2.2406824860502694,"(40, 10.0, 0.0, 2000)",6.430886391957756
23,2.264535528246094,"(40, 10.0, 0.0, 2500)",8.011046236963011
24,2.1722379374153475,"(40, 10.0, 0.0, 3000)",9.547041036945302
25,2.236563969359678,"(40, 0.001, 0.25, 1000)",2.892847938986961
26,2.0442204590229425,"(40, 0.001, 0.25, 1500)",4.33070894703269
27,2.2661673829836,"(40, 0.001, 0.25, 2000)",5.652840156049933
28,2.298935300637694,"(40, 0.001, 0.25, 2500)",7.13299198000459
29,2.037744280871223,"(40, 0.001, 0.25, 3000)",8.468103446008172
30,2.1030780492460024,"(40, 0.01, 0.25, 1000)",2.8972750171087682
31,2.2311123483321245,"(40, 0.01, 0.25, 1500)",4.288948239933234
32,1.930351583659649,"(40, 0.01, 0.25, 2000)",5.684168950014282
33,2.2612077500890284,"(40, 0.01, 0.25, 2500)",6.985993497015443
34,2.2773604277302235,"(40, 0.01, 0.25, 3000)",8.530440848087892
35,2.116106339237269,"(40, 0.1, 0.25, 1000)",3.0414648809819482
36,2.074505433790824,"(40, 0.1, 0.25, 1500)",4.440570303006098
37,2.1488547437331253,"(40, 0.1, 0.25, 2000)",5.789966804091819
38,2.2077869625652538,"(40, 0.1, 0.25, 2500)",7.291129451943561
39,2.0910632505136375,"(40, 0.1, 0.25, 3000)",8.67038115503965
40,2.452317977302215,"(40, 1.0, 0.25, 1000)",3.3538467890466563
41,2.151961163475233,"(40, 1.0, 0.25, 1500)",4.942647142976057
42,2.0412543009309205,"(40, 1.0, 0.25, 2000)",6.495206104940735
43,2.3191942288595087,"(40, 1.0, 0.25, 2500)",7.95876985497307
44,2.0624784736072317,"(40, 1.0, 0.25, 3000)",9.542396504955832
45,2.1347104717703425,"(40, 10.0, 0.25, 1000)",3.317560589988716
46,2.154467326227356,"(40, 10.0, 0.25, 1500)",4.876666774041951
47,2.2156633614617234,"(40, 10.0, 0.25, 2000)",6.425185845000669
48,2.263170488441692,"(40, 10.0, 0.25, 2500)",7.889317346969619
49,2.0317923551096637,"(40, 10.0, 0.25, 3000)",9.597616837883834
50,1.7108458980013999,"(40, 0.001, 0.5, 1000)",2.6583879059762694
51,1.785352431692402,"(40, 0.001, 0.5, 1500)",4.219427999050822
52,1.7458857966696515,"(40, 0.001, 0.5, 2000)",5.494210059987381
53,1.852538880968795,"(40, 0.001, 0.5, 2500)",6.871767314965837
54,1.8446710726889946,"(40, 0.001, 0.5, 3000)",8.23958882689476
55,2.0008502723101307,"(40, 0.01, 0.5, 1000)",2.8692554110311903
56,1.9566940032383973,"(40, 0.01, 0.5, 1500)",4.15958701208001
57,2.1582680706592168,"(40, 0.01, 0.5, 2000)",5.539714917948004
58,1.763191120238865,"(40, 0.01, 0.5, 2500)",6.929376970161684
59,2.212256636821172,"(40, 0.01, 0.5, 3000)",8.336293186061084
60,2.2640673083417555,"(40, 0.1, 0.5, 1000)",3.0437881620018743
61,2.2152582466602326,"(40, 0.1, 0.5, 1500)",4.486535008996725
62,2.080888580750017,"(40, 0.1, 0.5, 2000)",5.857520594028756
63,2.1417303309721105,"(40, 0.1, 0.5, 2500)",7.390935609990265
64,2.194699526622015,"(40, 0.1, 0.5, 3000)",8.80980464903405
65,2.276292060578571,"(40, 1.0, 0.5, 1000)",3.3472423088969663
66,2.3778805494308473,"(40, 1.0, 0.5, 1500)",4.902472490037326
67,2.175579959417091,"(40, 1.0, 0.5, 2000)",6.456286785018165
68,2.2500820799785504,"(40, 1.0, 0.5, 2500)",8.0870096340077
69,2.312608638844069,"(40, 1.0, 0.5, 3000)",9.537395998893771
70,2.0316606391878693,"(40, 10.0, 0.5, 1000)",3.3435711869969964
71,2.244416786467328,"(40, 10.0, 0.5, 1500)",4.841955027019139
72,2.302893114966505,"(40, 10.0, 0.5, 2000)",6.355827818042599
73,2.027422071818043,"(40, 10.0, 0.5, 2500)",8.035289235936943
74,2.1410921373788048,"(40, 10.0, 0.5, 3000)",9.503678484004922
75,1.804081831215059,"(40, 0.001, 0.75, 1000)",2.6724253679276444
76,1.8127057983813917,"(40, 0.001, 0.75, 1500)",4.142472420062404
77,1.7754612189881942,"(40, 0.001, 0.75, 2000)",5.486192216980271
78,1.6517035560134579,"(40, 0.001, 0.75, 2500)",6.82014808797976
79,1.9089657601188208,"(40, 0.001, 0.75, 3000)",8.135016988031566
80,2.025023132212022,"(40, 0.01, 0.75, 1000)",2.7632406250340864
81,1.6499590015586685,"(40, 0.01, 0.75, 1500)",4.172019350982737
82,1.8683812329874319,"(40, 0.01, 0.75, 2000)",5.482669711054768
83,1.6834762869512334,"(40, 0.01, 0.75, 2500)",6.9617224939283915
84,1.810877174051369,"(40, 0.01, 0.75, 3000)",8.281853107037023
85,2.159159796202884,"(40, 0.1, 0.75, 1000)",3.03107413998805
86,2.0610254948630056,"(40, 0.1, 0.75, 1500)",4.507662866963074
87,2.115610361099243,"(40, 0.1, 0.75, 2000)",5.9250124039826915
88,2.1689927523627,"(40, 0.1, 0.75, 2500)",7.4078364910092205
89,2.263478695645052,"(40, 0.1, 0.75, 3000)",8.82325368997408
90,2.387666142600424,"(40, 1.0, 0.75, 1000)",3.3065289209480397
91,2.2931175191612803,"(40, 1.0, 0.75, 1500)",4.893362950941082
92,2.2876679250422645,"(40, 1.0, 0.75, 2000)",6.498130149033386
93,2.4485643839134887,"(40, 1.0, 0.75, 2500)",7.989939002960455
94,2.3475345752695027,"(40, 1.0, 0.75, 3000)",9.404854162072297
95,2.4504319427644505,"(40, 10.0, 0.75, 1000)",3.353371663019061
96,2.332897976216148,"(40, 10.0, 0.75, 1500)",4.883575924031902
97,2.2597707986831663,"(40, 10.0, 0.75, 2000)",6.478982974018436
98,2.0249687925857653,"(40, 10.0, 0.75, 2500)",7.993793951929547
99,2.3378323549733446,"(40, 10.0, 0.75, 3000)",9.563775452959817
100,1.7648412509876141,"(40, 0.001, 1.0, 1000)",2.7821641379850917
101,1.6940840470440248,"(40, 0.001, 1.0, 1500)",4.083576342032757
102,1.9065917137791129,"(40, 0.001, 1.0, 2000)",5.395162592001725
103,1.7852958556483773,"(40, 0.001, 1.0, 2500)",6.773415500938427
104,1.8475758659489014,"(40, 0.001, 1.0, 3000)",8.098287292930763
105,1.7126391196979538,"(40, 0.01, 1.0, 1000)",2.751259782060515
106,1.8026691066429896,"(40, 0.01, 1.0, 1500)",3.9954246330307797
107,1.740731497240417,"(40, 0.01, 1.0, 2000)",5.343086932145525
108,1.8940159570206614,"(40, 0.01, 1.0, 2500)",6.73786093207309
109,1.7699623807388192,"(40, 0.01, 1.0, 3000)",7.957162057980895
110,2.3161346284782187,"(40, 0.1, 1.0, 1000)",3.106405901024118
111,2.508253500566763,"(40, 0.1, 1.0, 1500)",4.581639627926052
112,2.3545688727322744,"(40, 0.1, 1.0, 2000)",6.040156828938052
113,2.3737712023889315,"(40, 0.1, 1.0, 2500)",7.463596805057023
114,2.377489585648565,"(40, 0.1, 1.0, 3000)",9.033177949953824
115,2.318474476302371,"(40, 1.0, 1.0, 1000)",3.3211278460221365
116,2.522293415315011,"(40, 1.0, 1.0, 1500)",4.93903244799003
117,2.4394089236855505,"(40, 1.0, 1.0, 2000)",6.43457037396729
118,2.416335122374927,"(40, 1.0, 1.0, 2500)",7.997604440024588
119,2.348378888999714,"(40, 1.0, 1.0, 3000)",9.60321157402359
120,2.1544407357187834,"(40, 10.0, 1.0, 1000)",3.352667833911255
121,2.0566444117356752,"(40, 10.0, 1.0, 1500)",4.90048146591289
122,2.178925983695423,"(40, 10.0, 1.0, 2000)",6.443429348000791
123,2.237055992554216,"(40, 10.0, 1.0, 2500)",8.020338884030934
124,2.2467846908990077,"(40, 10.0, 1.0, 3000)",9.50320078805089
125,2.5175861320074873,"(80, 0.001, 0.0, 1000)",3.354855467856396
126,2.6869777917861937,"(80, 0.001, 0.0, 1500)",4.934309431992006
127,2.4960193996920306,"(80, 0.001, 0.0, 2000)",6.569580823939759
128,2.590791647925096,"(80, 0.001, 0.0, 2500)",8.093766057048924
129,2.4256802916526796,"(80, 0.001, 0.0, 3000)",9.698197627963964
130,2.941618290017633,"(80, 0.01, 0.0, 1000)",3.2753338210168295
131,2.851344216834096,"(80, 0.01, 0.0, 1500)",4.880718480970245
132,3.0135800451040273,"(80, 0.01, 0.0, 2000)",6.424558427999727
133,2.97365596539834,"(80, 0.01, 0.0, 2500)",8.013396975991782
134,3.053247407779974,"(80, 0.01, 0.0, 3000)",9.470723663980607
135,2.5125245167928583,"(80, 0.1, 0.0, 1000)",3.5665179440402426
136,2.647301870146218,"(80, 0.1, 0.0, 1500)",5.244324010971468
137,2.4450602266718358,"(80, 0.1, 0.0, 2000)",6.919596504012588
