,parameters,mean auc,standard deviation
0,"(4, 0.0, 0)",0.092,1.197
1,"(4, 0.0, 1)",0.45,1.421
2,"(4, 0.5, 0)",0.036,1.155
3,"(4, 0.5, 1)",0.766,1.253
4,"(5, 0.0, 0)",0.14,0.993
5,"(5, 0.0, 1)",0.446,1.223
6,"(5, 0.5, 0)",0.011,1.196
7,"(5, 0.5, 1)",0.705,1.149
8,"(6, 0.0, 0)",0.107,0.967
9,"(6, 0.0, 1)",0.502,1.118
10,"(6, 0.5, 0)",0.039,1.107
11,"(6, 0.5, 1)",0.77,1.122
12,"(7, 0.0, 0)",0.136,0.869
13,"(7, 0.0, 1)",0.444,1.074
14,"(7, 0.5, 0)",-0.001,1.197
15,"(7, 0.5, 1)",0.747,1.176
16,"(8, 0.0, 0)",0.079,0.936
17,"(8, 0.0, 1)",0.388,1.09
18,"(8, 0.5, 0)",-0.014,1.103
19,"(8, 0.5, 1)",0.663,1.062
20,"(9, 0.0, 0)",0.018,0.954
21,"(9, 0.0, 1)",0.338,1.052
22,"(9, 0.5, 0)",0.008,1.008
23,"(9, 0.5, 1)",0.62,1.012
24,"(10, 0.0, 0)",0.086,0.835
25,"(10, 0.0, 1)",0.293,1.031
26,"(10, 0.5, 0)",-0.028,1.1
27,"(10, 0.5, 1)",0.659,0.988
