,parameters,mean auc,standard deviation
0,"(4, 0.0, 0)",0.998,12.292
1,"(4, 0.0, 1)",2.16,22.169
2,"(4, 0.5, 0)",0.012,93.262
3,"(4, 0.5, 1)",1.391,165.196
4,"(5, 0.0, 0)",1.046,11.347
5,"(5, 0.0, 1)",1.92,14.329
6,"(5, 0.5, 0)",0.032,75.875
7,"(5, 0.5, 1)",1.497,138.843
8,"(6, 0.0, 0)",0.383,9.732
9,"(6, 0.0, 1)",1.972,11.856
10,"(6, 0.5, 0)",0.085,100.246
11,"(6, 0.5, 1)",1.704,154.186
12,"(7, 0.0, 0)",0.737,21.668
13,"(7, 0.0, 1)",1.814,11.563
14,"(7, 0.5, 0)",-0.264,83.716
15,"(7, 0.5, 1)",1.306,132.002
16,"(8, 0.0, 0)",0.21,10.263
17,"(8, 0.0, 1)",1.617,19.4
18,"(8, 0.5, 0)",-0.387,62.881
19,"(8, 0.5, 1)",1.2,115.496
20,"(9, 0.0, 0)",-0.205,26.022
21,"(9, 0.0, 1)",1.118,18.797
22,"(9, 0.5, 0)",-0.063,61.393
23,"(9, 0.5, 1)",1.141,103.83
24,"(10, 0.0, 0)",0.286,27.244
25,"(10, 0.0, 1)",1.13,9.45
26,"(10, 0.5, 0)",-0.404,55.581
27,"(10, 0.5, 1)",0.701,111.248
