,parameters,mean auc,standard deviation
0,"(4, 0.0, 0)",17.473,8.069
1,"(4, 0.0, 1)",10.972,5.427
2,"(4, 0.5, 0)",16.945,10.174
3,"(4, 0.5, 1)",11.304,6.524
4,"(5, 0.0, 0)",15.914,6.729
5,"(5, 0.0, 1)",10.812,5.326
6,"(5, 0.5, 0)",16.661,9.381
7,"(5, 0.5, 1)",11.152,6.412
8,"(6, 0.0, 0)",15.519,5.936
9,"(6, 0.0, 1)",10.953,5.541
10,"(6, 0.5, 0)",16.304,9.047
11,"(6, 0.5, 1)",11.235,6.246
12,"(7, 0.0, 0)",14.094,5.241
13,"(7, 0.0, 1)",10.863,5.673
14,"(7, 0.5, 0)",16.288,9.179
15,"(7, 0.5, 1)",11.344,6.831
16,"(8, 0.0, 0)",14.809,6.029
17,"(8, 0.0, 1)",10.986,5.878
18,"(8, 0.5, 0)",15.339,8.589
19,"(8, 0.5, 1)",11.223,6.417
20,"(9, 0.0, 0)",14.034,5.437
21,"(9, 0.0, 1)",10.605,6.015
22,"(9, 0.5, 0)",13.852,7.24
23,"(9, 0.5, 1)",10.989,6.109
24,"(10, 0.0, 0)",13.749,5.164
25,"(10, 0.0, 1)",10.709,5.609
26,"(10, 0.5, 0)",14.688,7.097
27,"(10, 0.5, 1)",10.975,6.298
