,rand_layer,pearson,ssim,spearman,action
0,1,0.9134195097666482,0.789137053243639,0.40273765416169294,3
1,2,0.9285662238382952,0.8395580701531009,0.3414545417228886,3
2,3,0.9280684835738529,0.8258231722596244,0.37093581027983535,3
3,4,0.9148919013016472,0.7934598900991694,0.19603431337045327,3
4,5,0.9077483119955294,0.7285541331361056,0.10953870306673168,3
5,6,-0.02125111094519053,0.012079842528118794,0.01680664924206845,3
6,7,0.01482730344847911,0.06065982677116028,0.003921228278114885,3
7,1,0.8901808815418265,0.7628439136488061,0.1963042288555641,3
8,2,0.884453266950622,0.8052824728903232,0.23527914109340478,3
9,3,0.918493708598487,0.7965018165842037,0.2942664697154258,3
10,4,0.9048925445436617,0.7628725002938281,0.2160535248003347,3
11,5,0.8894263012595524,0.7473326631638939,0.09301011869651551,3
12,6,-0.004701108923985077,0.012479026627670354,0.004230505060999832,3
13,7,-0.0018629352777678404,0.06782877264568044,0.00024169622600686677,3
14,1,0.8880757256917597,0.7507536325515831,0.02002663352124841,3
15,2,0.890827001464371,0.7954846011148226,0.3686802527198878,3
16,3,0.9039713344111066,0.8231591668065344,0.12871421868725322,3
17,4,0.9059705720383412,0.8006795675951279,0.3646234521236304,3
18,5,0.8724683413643093,0.7544363268744014,0.0356072677688071,3
19,6,0.028584647638851362,0.017210233888113234,0.0039355773893722515,3
20,7,0.026417615634728456,0.05452956872404793,0.016392499888696576,3
21,1,0.8590235457865439,0.7308650664971947,0.11428019789717934,2
22,2,0.9171139202510503,0.7661683698574213,0.2008689544815521,2
23,3,0.9165719649935666,0.7732920067266291,0.06319225682572359,2
24,4,0.9204078077949802,0.7971488200875751,0.044698626022407054,2
25,5,0.9418896212570023,0.7776892993675613,0.12274055101681194,2
26,6,0.0015796671951532582,0.012835526103784094,0.005116814479639589,2
27,7,0.002133293139980558,0.06464274762096726,0.013515583217214097,2
28,1,0.8680800800684769,0.6654358672660043,0.32378117787178745,2
29,2,0.8922266149646182,0.7451855520874701,0.37836911875323226,2
30,3,0.8673807332503986,0.7696229057294446,0.019669212687044375,2
31,4,0.9181019464778601,0.7543933236597816,0.23959250640670082,2
32,5,0.9038776017024773,0.796960649228104,0.10879481158271882,2
33,6,0.02213003689212878,0.017095691945547723,0.022489669145821345,2
34,7,0.016773456580184455,0.06620484307273598,0.02264894432033137,2
35,1,0.8709273529212271,0.6709359415458678,0.09355164869286409,2
36,2,0.9084874181034974,0.7191786081660886,0.09691558701938767,2
37,3,0.8833893478398054,0.7938427832543261,0.07516427029187185,2
38,4,0.8821462298584288,0.8108133078510781,0.08855438897014489,2
39,5,0.9157840524074263,0.7894592002304203,0.3385047891512031,2
40,6,0.0067061704044091425,0.012313035340752287,0.01007424320177654,2
41,7,-0.014017501473351283,0.061548775552039886,0.004980882436033265,2
42,1,0.9058568214308155,0.7273228372776462,0.42175504669415953,1
43,2,0.8967124087929444,0.7872058418094858,0.5103108825030884,1
44,3,0.8789386581319025,0.7836374458068902,0.20823906894800867,1
45,4,0.9050216178051195,0.7469914387283426,0.3463253541464521,1
46,5,0.8855991748515855,0.8182249854876738,0.24623513936308278,1
47,6,0.02662489155147591,0.01570188812731076,0.00034184327578415526,1
48,7,-0.0034200963153109333,0.054954002919611694,0.014383355046761002,1
49,1,0.9163808461964683,0.7405950543613805,0.6252090324643462,1
50,2,0.880090318272934,0.7848108072200202,0.2544370764002101,1
51,3,0.8991378308448335,0.8074946346315351,0.09691369687845058,1
52,4,0.914586760540719,0.7562458539588374,0.027594264400141254,1
53,5,0.8893804091605693,0.826179028036814,0.12086626256379145,1
54,6,0.020465698765631642,0.013340541235906254,0.010857568477878617,1
55,7,0.002829044605421469,0.0654765891540396,0.00649581293973431,1
56,1,0.8667648559613033,0.6886751515999662,0.45543139973485675,2
57,2,0.9010437910344995,0.706144130656102,0.2422382296534088,2
58,3,0.8912729088187071,0.8342019832697072,0.41834707001238114,2
59,4,0.8965872546210873,0.7809898932410743,0.295550268613082,2
60,5,0.9080339854577487,0.8095527877273928,0.2690587622044922,2
61,6,-0.01484588002933083,0.011879590499599704,0.009476679923840646,2
62,7,0.015007385259631063,0.047797013772645634,0.01502560489400706,2
63,1,0.9240345824110117,0.7840726379508172,0.47453610445153505,1
64,2,0.9080073118460702,0.7971902401362937,0.2828952246695715,1
65,3,0.9242965429186141,0.7484664643088086,0.15302158425120846,1
66,4,0.9161699458071122,0.7843492222589484,0.11039583250886055,1
67,5,0.9059749543598693,0.8121016945388568,0.18803348763250405,1
68,6,-0.01565979167054925,0.014811595115825492,0.006646371152231434,1
69,7,-0.0010665168253060375,0.06286553258697476,0.005046951263146489,1
70,1,0.9074587949135333,0.7920297677584496,0.3857948598888138,1
71,2,0.899964783715496,0.7931755380908728,0.4439248096321567,1
72,3,0.8984919898552735,0.7644677366948202,0.16436438000444023,1
73,4,0.8933131544400001,0.7479787494550335,0.041407421100818506,1
74,5,0.8736273411588984,0.8127247479192367,0.044409305765210606,1
75,6,0.0060700338647356215,0.012358894413640171,0.011180532730705845,1
76,7,0.005419767835136018,0.07521327080260294,0.03044805824154426,1
77,1,0.8977423155762891,0.6744079046990886,0.4610341171639474,2
78,2,0.9029033952375318,0.7251390447838418,0.20175116344021404,2
79,3,0.9060299632440827,0.8447631709833098,0.32841516746010063,2
80,4,0.9066730098918392,0.7006012428862458,0.2303519750300013,2
81,5,0.9205562426525057,0.8128909536229936,0.04724747505771564,2
82,6,0.022597370122757213,0.012927558063710392,0.006332099043976402,2
83,7,-0.0015142640622997352,0.0642547981141463,0.010578723027163863,2
84,1,0.8453555660053893,0.7391767396203083,0.24963937009592366,3
85,2,0.9170299669977577,0.791388696746227,0.04037093802493038,3
86,3,0.9165873911494078,0.8159392201206114,0.5186201144588706,3
87,4,0.9067704825780746,0.7586153422672521,0.032359000424801644,3
88,5,0.8811200875954108,0.7356045428607839,0.17234261618388408,3
89,6,-0.000319494526138042,0.012588175675909748,0.002682387549371965,3
90,7,0.015489924229880781,0.06900704100317885,0.00684622752090489,3
91,1,0.9173370022255134,0.7990591280739351,0.5485460510490211,3
92,2,0.9040235048783174,0.7578269421265847,0.13471095224697804,3
93,3,0.9404543865487784,0.8077988574499668,0.12642344367548228,3
94,4,0.930709206125917,0.7046930148455475,0.07741555104760872,3
95,5,0.9009860612741446,0.7008351556647981,0.027086898259715886,3
96,6,-0.013396421954029113,0.011903385191670805,0.005848418334152686,3
97,7,0.018527275413331067,0.05571454611975593,0.0026794061138418397,3
98,1,0.8458665782144953,0.8289200190915452,0.4376266953033993,3
99,2,0.8878453321738327,0.8116711690334927,0.08455037091508036,3
100,3,0.8989276196038941,0.7844546472067803,0.15013259773877072,3
101,4,0.8907148991766868,0.8172764700727223,0.18524367123097474,3
102,5,0.8929641777884503,0.8062851187430693,0.29923759238305375,3
103,6,-0.020483766009358036,0.012433951521786264,0.0015363267573298529,3
104,7,0.0018465764384155334,0.06035260152859641,0.010344507374282656,3
105,1,0.9141720043069685,0.8211139043290168,0.5443293620814392,3
106,2,0.9253390111277581,0.7536954506404342,0.11731694228434572,3
107,3,0.903035115191505,0.837177660671031,0.07518878617721422,3
108,4,0.9112713751229586,0.7694930765295085,0.37268378797330065,3
109,5,0.9126166606046309,0.7727615681819147,0.022605710184200597,3
110,6,-0.008081464013322697,0.014744757184633176,0.010852577496131043,3
111,7,0.012465913011197798,0.06378134850415311,0.000883955798178985,3
112,1,0.8863224235886616,0.7523690579314626,0.1643680179142185,3
113,2,0.8968507247220345,0.7991923865809595,0.25438649561726157,3
114,3,0.8987909060484074,0.8113852354517961,0.1700992462226096,3
115,4,0.9349121001755754,0.6983818513924273,0.1993082496404614,3
116,5,0.9115624833720767,0.796640358302858,0.38619248474751255,3
117,6,0.01797527828023016,0.01600601294565981,0.009782097658711788,3
118,7,0.003817178825544594,0.05259599268225718,0.02985324343697568,3
119,1,0.8831961480777102,0.7550873768607052,0.1352913780949138,3
120,2,0.9101855754392061,0.7596730543617835,0.1716187508997418,3
121,3,0.8903392663074786,0.7111335516415356,0.0380180637579928,3
122,4,0.9146894896101011,0.6601263655748304,0.11568807469161566,3
123,5,0.8962693029306447,0.7623950088363839,0.41410568681603044,3
124,6,0.014386275388673004,0.017690350386329157,0.004402273200375566,3
125,7,-0.011078275556007055,0.05505377532995591,0.012095689487663007,3
126,1,0.8786095656850375,0.8012947150393841,0.3403492496056323,3
127,2,0.908842187439103,0.8004317236624243,0.006522729259931827,3
128,3,0.8833096719825966,0.7820200031181638,0.01727056225338631,3
129,4,0.8986297300200443,0.7224644008198138,0.1287299811843228,3
130,5,0.8869775821477404,0.7728194732983168,0.04267919938076541,3
131,6,0.0013726274599916589,0.012346484596274921,0.006645425027942833,3
132,7,0.0062507559118918045,0.0537874882455802,0.01157789900232918,3
133,1,0.9082563734292227,0.7295909857532396,0.2624823776550058,1
134,2,0.8834983368051745,0.6978534918787647,0.37744581344218386,1
135,3,0.9103436710643322,0.7305229992578467,0.15464204098552387,1
136,4,0.9005654637313129,0.7739554337723372,0.46731308217207557,1
137,5,0.8901248952958978,0.8270352146157482,0.4193834874551892,1
138,6,-0.0023699569180516073,0.01655403685115626,0.01537693812131971,1
139,7,0.006576660150086155,0.061535158424960025,0.010610658977304796,1
140,1,0.872184923725016,0.7882948389488085,0.25303539636426425,3
141,2,0.8907962409268319,0.8013468669663487,0.42099847011825603,3
142,3,0.9187545761933276,0.8114612723392632,0.21907353999426413,3
143,4,0.9132921142792202,0.8020814527733179,0.21691520878788373,3
144,5,0.9015873036191623,0.811912303013752,0.2094393041658755,3
145,6,-0.008857072005906106,0.015723989825613783,0.0033229463013033024,3
146,7,0.011705630675703668,0.06576414767106087,0.007878161657380003,3
147,1,0.8776892463286763,0.6711506599017633,0.011668653241042102,2
148,2,0.8746739879092907,0.7295941064430347,0.15905741654928018,2
149,3,0.9108903790075176,0.7986874977820199,0.31199945334718937,2
150,4,0.8809276518344398,0.7708699452919341,0.20570908526605486,2
151,5,0.9112698126871929,0.838997699189314,0.32049820236241616,2
152,6,0.0045651302171609825,0.01275229944166495,0.019021367799478613,2
153,7,0.012492895474043763,0.05309339498228238,0.009372289861832866,2
154,1,0.9006815609619443,0.8308747979386933,0.43568998648829294,3
155,2,0.8891782298484273,0.8341779222067921,0.5174059328212512,3
156,3,0.9351734118894431,0.768042713936988,0.10415439736943718,3
157,4,0.9228924482360578,0.7512073612144916,0.28918369778596653,3
158,5,0.8984224806142058,0.8165784703800133,0.48029149020090395,3
159,6,0.017156818522677954,0.012643654865589191,0.005107930545410017,3
160,7,0.011743129468835555,0.05953654752611428,0.016554328126483452,3
161,1,0.9357934124558913,0.7693765409241227,0.5727393513008002,1
162,2,0.9390795960692117,0.8232370173406758,0.39314719628001454,1
163,3,0.9191602297787193,0.7901744221355523,0.10497942954940642,1
164,4,0.9073193244822744,0.763391889971033,0.029022428882244666,1
165,5,0.8945196245965388,0.8263787158145194,0.2677524441574324,1
166,6,-0.0003055070561008061,0.013190068292912407,0.021357486878911626,1
167,7,0.017464649999947117,0.053711155530979715,0.0018811804747533951,1
168,1,0.9225710094193109,0.7609291026925022,0.22001177532825958,1
169,2,0.9268139196722942,0.783851115258956,0.06909216429324222,1
