,rand_layer,pearson,ssim,spearman,action
0,1,0.5105923442177148,0.2633968901710541,0.19370431781053493,3
1,2,0.49265519721200984,0.14633095311079508,0.04870968659643654,3
2,3,0.47247196694093047,0.1826688588891518,0.05617286882821594,3
3,4,0.4867478218438255,0.216555760468476,0.061811215879894764,3
4,5,0.4849187337651702,0.23806173281544,0.10250726931519046,3
5,6,-0.01142215660083897,0.01340465011247864,0.010251135813399826,3
6,7,0.007628974775759731,0.04885294457931582,0.006734547551976677,3
7,1,0.49560443245064056,0.2745412251641052,0.20229632128087105,3
8,2,0.5025363463391924,0.122898232159211,0.03006779139150563,3
9,3,0.5110981947200386,0.20507047168663758,0.07371580167781452,3
10,4,0.49163990255687917,0.17059855846495112,0.06018746567720896,3
11,5,0.503197334960579,0.21950865100558142,0.060466974357054726,3
12,6,0.023743320514429928,0.012414745037987118,0.009823763204013292,3
13,7,0.0067224091219886,0.06729754216724683,0.016861747108162326,3
14,1,0.49695853808583174,0.23196422702815256,0.23293296712439981,3
15,2,0.5002728080897444,0.1536490688141464,0.04793395707746205,3
16,3,0.49521848046639794,0.15604497400607556,0.047984319775115476,3
17,4,0.48059975701243784,0.12492230879118477,0.004133293513696133,3
18,5,0.49585791752617664,0.18796655225198097,0.010733421707204876,3
19,6,-0.0009645491793678358,0.016639320214277366,0.007205557169428815,3
20,7,0.003990664732288968,0.05731923036699171,0.021911677910535977,3
21,1,0.47795012268297726,0.1931042557778374,0.14225599230603614,2
22,2,0.4926406708062411,0.1350781498518619,0.0008504712803022376,2
23,3,0.48165910823216085,0.17331277165590575,0.08358269109825035,2
24,4,0.4911449152145384,0.12735096612127209,0.004479745496557373,2
25,5,0.5007564533417561,0.1807547232822067,0.022951604004045837,2
26,6,0.021704663490653434,0.011580255298371363,0.0029120296053863565,2
27,7,-0.013925045712903188,0.045135221140757034,0.0034670455334475958,2
28,1,0.48691946439901024,0.21659570616587562,0.19594024876702368,2
29,2,0.492236918634958,0.1425045618314579,0.03986964599556572,2
30,3,0.4912717127872074,0.14840481464972377,0.0005059377244711485,2
31,4,0.4872413747834569,0.14417257327450533,0.0035520727719314795,2
32,5,0.48688026857215005,0.2012711023978879,0.050119398058308784,2
33,6,0.011354009612268541,0.012228189615711017,0.002328064964761106,2
34,7,0.023331614895679368,0.05419208190255599,0.001373307413654318,2
35,1,0.4902843750874595,0.25791206450332804,0.1422495051935913,2
36,2,0.4831405319702029,0.16624193543542917,0.03461032339991656,2
37,3,0.48612143997354734,0.18781296748574391,0.11093844785812418,2
38,4,0.4787923800105362,0.16390519602895226,0.05778199125110297,2
39,5,0.49472830028569215,0.24924148622704723,0.07074386829713636,2
40,6,0.0018268038160060241,0.012920599356514682,8.813990121945706e-05,2
41,7,-0.006683978809145096,0.04841520816882303,0.001578155036230609,2
42,1,0.4982235657177815,0.24578459672392045,0.24158063114472386,1
43,2,0.49687106633471567,0.1943726178083954,0.11388943622134053,1
44,3,0.49374672650116225,0.15383626800933334,0.036441139552377114,1
45,4,0.4728558969882608,0.13753992773546161,0.044027116417505105,1
46,5,0.5075516390814998,0.1594345037817744,0.05788974822580564,1
47,6,0.004856656106478133,0.012871826716887847,0.005381282653063259,1
48,7,0.0025833539702246272,0.05402683831621154,0.0030385958495707513,1
49,1,0.4922861069699098,0.28751320953207665,0.25870104664103527,1
50,2,0.48746426181850355,0.15040238582498572,0.10961554808021745,1
51,3,0.5018877260318653,0.1595958479786615,0.06949137193209298,1
52,4,0.5110785738115274,0.2041651439165239,0.10088074130285624,1
53,5,0.48607295247419263,0.20338956225935154,0.06793969171191754,1
54,6,0.012778324880869305,0.019617540837514436,0.012677294284407812,1
55,7,0.027738592394444966,0.04912706017178939,0.004799163515750644,1
56,1,0.5282558299234624,0.2756588031315722,0.23115265239098598,2
57,2,0.503339722376134,0.1998287427696545,0.09741809142906095,2
58,3,0.5052174149338886,0.21137059303104186,0.1326295023461996,2
59,4,0.505259873970527,0.14588131850535388,0.012824066581906492,2
60,5,0.49534812193466493,0.18545398672358857,0.018325666791232206,2
61,6,-0.008620564562073498,0.015172405017219044,0.012483191872714718,2
62,7,0.0077189741355567325,0.04124108676803416,0.009197274975227028,2
63,1,0.5305765811997352,0.23891926549401324,0.24335650747674023,1
64,2,0.5026828928341314,0.19571110251885612,0.03290120587590328,1
65,3,0.4985054769767655,0.15036305655164414,0.05177981822457664,1
66,4,0.4946090114277685,0.13112539916093285,0.006183144290056615,1
67,5,0.5028258499340333,0.18386599504065018,0.013573172592698619,1
