,rand_layer,pearson,ssim,spearman,action
0,1,0.6963917599397581,0.357090522876217,0.2756847213700006,3
1,2,0.7029660970376315,0.266044663063201,0.07212265616906662,3
2,3,0.7156516066345551,0.23602946683491074,0.09129883894205869,3
3,4,0.6941755958602981,0.24854427257777742,0.03663747420092598,3
4,5,0.6997932465302901,0.25401525823389765,0.14322849014654673,3
5,6,0.021793234559228155,0.014191001027052737,0.0007652506688760676,3
6,7,0.025452485406680388,0.059806827370085705,0.001885945704702281,3
7,1,0.6964319941711963,0.3137072421192878,0.24710532397261914,3
8,2,0.6812645978518024,0.20221006347566445,0.04477523926399924,3
9,3,0.7038637361170136,0.29558997836664225,0.017329008917116244,3
10,4,0.7156021606984087,0.21490191189323452,0.06604722326259674,3
11,5,0.6763537080629475,0.2689927061437566,0.08784036847851208,3
12,6,-0.009258425820339504,0.011390727788172605,0.009109350223969174,3
13,7,-0.0034814579161704974,0.056842500512501934,0.0029558401357723694,3
14,1,0.7015388145438269,0.39612674492656724,0.2536525113754991,3
15,2,0.6952325016470682,0.21373399611342683,0.0340013865757158,3
16,3,0.7010208065624488,0.30174417508278295,0.026885224999800783,3
17,4,0.6736679854306741,0.24920663614368,0.06796771031723897,3
18,5,0.7072779914197758,0.34328746190887144,0.08326785614675392,3
19,6,0.008503552459968781,0.015411055645029505,0.012835240708122891,3
20,7,0.007089555877686281,0.052081343313319935,0.00285614133573864,3
21,1,0.7040193061081892,0.33723007611690003,0.22486433073815237,2
22,2,0.7005171180595637,0.27002511169611,0.06561531289595104,2
23,3,0.6857966529546474,0.2917129165009774,0.02381085194718263,2
24,4,0.7042543111770749,0.260264468018669,0.039028121986787685,2
25,5,0.6948836809993637,0.3048427153763097,0.031256922917546566,2
26,6,0.0001463517104354986,0.015322139590735692,0.0008644944647035573,2
27,7,0.016945186173857003,0.06169887678841233,0.006083054531472217,2
28,1,0.7096241436741921,0.4140161745046439,0.19011228075767603,2
29,2,0.692511487149718,0.23834019806520762,0.09790818318737102,2
30,3,0.6898081694588145,0.26749821043382027,0.07761158348540512,2
31,4,0.7127358084482311,0.33875888191772385,0.03349775677549426,2
32,5,0.6933581695101303,0.31462977281741106,0.11373745906015668,2
33,6,0.013663531909714866,0.012113730182362269,0.009877707218858651,2
34,7,0.008944324250285945,0.06630421869246425,0.0032019531406685792,2
35,1,0.7268197837824142,0.3516128161974634,0.127815186988501,2
36,2,0.6939211351327359,0.3177128554729161,0.0636087625210178,2
37,3,0.6764488419195857,0.24379933924977634,0.026540971718636695,2
38,4,0.7188988546175548,0.2776779407989558,0.018321924630844137,2
39,5,0.6942972076554498,0.2977540169324183,0.1063694825841309,2
40,6,-0.00021482904544531172,0.01480040831572553,9.714339803219896e-05,2
41,7,0.009190886344738088,0.049305814302967425,0.011664339032490862,2
42,1,0.68814182306627,0.29761969823084844,0.10444899552948866,1
43,2,0.6964467230375141,0.2502467685506235,0.05406210902947669,1
44,3,0.7025307631190979,0.3066880470226672,0.002290240578855517,1
45,4,0.6789701449235711,0.27827224694088043,0.12549625863621514,1
46,5,0.7031637092070209,0.32177326087910696,0.014393293436078064,1
47,6,0.03550645533438362,0.01609351263203368,0.004210032175968245,1
48,7,-0.007949322784106472,0.07202431872349986,0.0002475727075794712,1
