,rand_layer,pearson,ssim,spearman,action
0,1,0.7861766093727369,0.4810662281231179,0.3843633178304439,3
1,2,0.7433938909849266,0.3439929484018192,0.01173641549449624,3
2,3,0.7676278716616882,0.41259105494233567,0.11973697246516792,3
3,4,0.7651768095912903,0.35131805457928605,0.043754947177670186,3
4,5,0.7363045701222047,0.3815328646417749,0.059709581676526055,3
5,1,0.81694348699286,0.49859803648605977,0.40207015383027594,3
6,2,0.740022090920158,0.4011266052327385,0.178844882284794,3
7,3,0.7327862233635816,0.4057313912277605,0.035736640210183954,3
8,4,0.7500054208858413,0.3503272175865255,0.1096929925605552,3
9,5,0.693143823133767,0.35738410066341497,0.08036878566983877,3
10,1,0.7832983268986755,0.45373626111394794,0.36133638958052205,3
11,2,0.7571343745134742,0.38682742431127265,0.14715896424349337,3
12,3,0.779657661728354,0.3761815617304613,0.08996129198757298,3
13,4,0.7545861687209967,0.4024145728545002,0.16855562648547162,3
14,5,0.6500563232611472,0.35157895667354727,0.0553901368895621,3
15,1,0.7663751418194678,0.39121773264231247,0.18489317634810618,2
16,2,0.7406607091602504,0.3573334569578076,0.04603253886800049,2
17,3,0.7270430608209938,0.37131016478867673,0.02504964418950467,2
18,4,0.7186347633133074,0.36636553713155184,0.043992255352441216,2
19,5,0.7965892272297876,0.4381120052045346,0.06965831965982901,2
20,1,0.7620045007050104,0.42625959372957706,0.2523183124405726,2
21,2,0.7819029395746938,0.3674948875038349,0.09989207138328934,2
22,3,0.7420472382312909,0.3908754676677621,0.07796657494082632,2
23,4,0.7039129967277352,0.3538066231921801,0.014401552372053818,2
24,5,0.7583143082137022,0.36559303815613137,0.08478202650634703,2
25,1,0.7921859214875515,0.4595690199271215,0.18206894806936216,2
26,2,0.7423493958943332,0.3853500472336863,0.043726320925581236,2
27,3,0.7635306083144585,0.4042364989132,0.10815055083506063,2
28,4,0.7721320586179501,0.4003493115842094,0.028418334492312073,2
29,5,0.7686464880841367,0.36723660465025176,0.07777525434361025,2
30,1,0.8445476633420981,0.5075788143624048,0.6143437786898843,1
31,2,0.7573922395053228,0.4046389265317578,0.05414712901951871,1
32,3,0.7515920335450861,0.3442844409322885,0.16211294017579195,1
33,4,0.7128755449699342,0.4103052554795177,0.18275968775887272,1
34,5,0.7252731109309238,0.3900900085646466,0.036695622029589405,1
35,1,0.8207831643948003,0.612586175681607,0.6831088976656186,1
36,2,0.7593102469444142,0.4025987883628781,0.04027386992293223,1
37,3,0.7503664497239841,0.392445568612243,0.14215518777939606,1
38,4,0.7711443751176439,0.3793212910785762,0.13071364645642497,1
39,5,0.7415834762080051,0.37981947203185473,0.07219576587958351,1
40,1,0.7531985065340692,0.42181192339497187,0.16935286127035967,2
41,2,0.7480950832144299,0.38957696699042516,0.14597399551304288,2
42,3,0.7508353444067364,0.40644847515586097,0.04077201960261085,2
43,4,0.7330723415117282,0.3649194446496485,0.020925263496057788,2
44,5,0.7448227109843197,0.3942126599266057,0.0908151181612462,2
45,1,0.7973489436643139,0.5201939698054275,0.6382593750323479,1
46,2,0.7205338579945739,0.4031729659097695,0.12140017268579359,1
47,3,0.7140503761963248,0.343422014149229,0.011491312437509237,1
48,4,0.7385377974698035,0.43263188558250504,0.24302622340067484,1
49,5,0.7422422621723795,0.3543586709101797,0.04802287535650251,1
50,1,0.8446901437659878,0.4714915160541901,0.6083201014807994,1
51,2,0.7238363965386381,0.36082394562033604,0.12170712889400552,1
52,3,0.7374892154435566,0.3677634086774986,0.15320588616182512,1
53,4,0.7468853327538274,0.5156062914095165,0.302329610942264,1
54,5,0.7257784293573789,0.39347577677094175,0.04840507319945661,1
55,1,0.7926143937091024,0.4253923757733996,0.17634060023832873,2
56,2,0.7702852891900904,0.356689964189887,0.09589255215913937,2
57,3,0.7317605052166154,0.37274220765176014,0.018864881095459345,2
58,4,0.7227658637795364,0.33511278413242734,0.014185557148602451,2
59,5,0.7532693880719402,0.41084450777486853,0.06849627548399018,2
60,1,0.8097990489293384,0.39521472549299824,0.25221151382862494,3
61,2,0.7840015828858287,0.3371364656546877,0.09376473407528181,3
62,3,0.7486159529145594,0.36538311003715285,0.09403154953380663,3
63,4,0.7740835338964294,0.3581617923942658,0.07846391198597802,3
64,5,0.7215770018710692,0.3703703106313663,0.08994518709224908,3
65,1,0.8322598656129765,0.39681325391907407,0.23338464087239125,3
66,2,0.7578334258393289,0.3762198110211239,0.19273776842182827,3
67,3,0.7763910361197042,0.3958081215329969,0.0032639956715503297,3
68,4,0.7981078829201468,0.34750566974979774,0.07039395974721259,3
69,5,0.7009083952651731,0.3986909543995782,0.0013130680286965234,3
