,rand_layer,pearson,ssim,spearman,action
0,1,0.7894504806644966,0.5859086016858372,0.3843633178304439,3
1,2,0.7907064643370836,0.4382164536763684,0.01173641549449624,3
2,3,0.8002101615148727,0.5112382830712228,0.11973697246516792,3
3,4,0.8034141701266421,0.484029722830381,0.043754947177670186,3
4,5,0.7837941283122852,0.4893523330360121,0.059709581676526055,3
5,6,0.03525609314642151,0.011772738547559562,0.007270953241828569,3
6,7,-0.016967714326233035,0.05315093169935614,0.017411277995897936,3
7,1,0.8234369381805974,0.5316141275992939,0.26260397609190617,3
8,2,0.8007351244603438,0.44591400190054103,0.055530540805590625,3
9,3,0.8040904409630485,0.4822128183145639,0.0230569038934977,3
10,4,0.8219312827436626,0.48473733566390625,0.03125813524829932,3
11,5,0.7976827249694913,0.5167023499442797,0.06553324331077644,3
12,6,0.010971044770874483,0.016678780705523207,0.003268571644294278,3
13,7,0.005694441638136989,0.059747395345756904,0.01423846135542886,3
14,1,0.8226714505899984,0.5697483584218915,0.3979399205351768,3
15,2,0.7877400953272989,0.41088636767566794,0.1222649278133352,3
16,3,0.8036990810366019,0.47087255956347335,0.018324287336102456,3
17,4,0.829500088841674,0.44319987304578623,0.19197676707200648,3
18,5,0.7840003184734742,0.4591676291663239,0.032490693012768634,3
19,6,0.012251818792251823,0.013560229175629771,0.0012063842790195325,3
20,7,-0.002203530577964805,0.05389922267817799,0.012871385361901565,3
21,1,0.7982817440503334,0.5911033995406514,0.2284904435586356,2
22,2,0.8205445923173569,0.5488374488014026,0.10513132453675794,2
23,3,0.8000102114738717,0.47990325236373943,0.08956326861163108,2
24,4,0.8000581923590755,0.46636773377017376,0.004049770792709475,2
25,5,0.774747009540016,0.5039928037261305,0.0560793917940504,2
26,6,0.00920103493209171,0.015572994423449244,0.00812145943421678,2
27,7,0.015472434098304793,0.05949254064256412,0.020460919456683154,2
28,1,0.8108568960792124,0.5672838166262401,0.16727360457363913,2
29,2,0.8145601704976666,0.5003405651644461,0.025465653894529677,2
30,3,0.8271948997677504,0.4570206573386426,0.0375522063981361,2
31,4,0.8080040980541996,0.4711841430415565,0.07564109944599462,2
32,5,0.7827691456071877,0.4695429894305279,0.0353309043907343,2
33,6,0.024045957860345676,0.012037504974900642,0.01938855917938361,2
34,7,-0.0072815039885242025,0.05836950199463087,0.0027239171706482535,2
35,1,0.7977000301608625,0.5531702439816876,0.18074973946724737,2
36,2,0.7871073381714045,0.4791060389845264,0.13915443663447694,2
37,3,0.7911279603341315,0.5315421048846363,0.07666912298315322,2
38,4,0.7835198659083435,0.500011429696246,0.024646792460759296,2
39,5,0.7902556635680529,0.4928178026085804,0.13417803146139579,2
40,6,0.01834505844626924,0.014043031235719932,0.004526981281184304,2
41,7,-0.007551685815962049,0.05961622326930783,0.005444864731516201,2
42,1,0.8454474417719536,0.5935279012572514,0.66807523612949,1
43,2,0.7973841422534201,0.436048721060095,0.15930730392685952,1
44,3,0.7941916458091063,0.470406633575299,0.05812340859075374,1
45,4,0.7999393651043009,0.5753204084701761,0.26501817418804036,1
46,5,0.7860920054617091,0.5133683842867509,0.004307982355918306,1
47,6,0.018191671233631093,0.01452160463197129,0.0016847681123182546,1
48,7,0.0250893424152284,0.061179091132629045,0.007942174111775497,1
49,1,0.8404298564178905,0.5493490684925473,0.6587631794983598,1
50,2,0.7972906383040608,0.4276182165323156,0.0628555735630495,1
51,3,0.8252191731181133,0.4428569547460237,0.1437149425218886,1
52,4,0.8142710597524466,0.5565119899684096,0.16907311806947753,1
53,5,0.7688234178165103,0.5197562643475501,0.005526145460991663,1
54,6,0.009701273855497863,0.012913989705213317,0.016180749051899555,1
55,7,0.01485022397702313,0.054403335509114685,0.009734283208576517,1
56,1,0.8112108095978048,0.6188667792656337,0.23493011431298222,2
57,2,0.819246429802114,0.4517243096588681,0.15784763787309425,2
58,3,0.7994033025728281,0.48960439019467555,0.029752421897599874,2
59,4,0.7959219126658589,0.5453110525748538,0.09431690519474129,2
60,5,0.7921941775980303,0.46868164733578643,0.03866174360808389,2
61,6,-0.001012026869860412,0.011951639040852594,0.017597789888062744,2
62,7,-0.00583058181788799,0.05532261029278859,0.003415649675239544,2
63,1,0.8310878463760929,0.49067215866078484,0.5754955006785127,1
64,2,0.7850098607550455,0.5375032090776817,0.14321735105441613,1
65,3,0.7700162808952509,0.43633251111723154,0.1195205536372644,1
