,rand_layer,pearson,ssim,spearman,action
0,1,0.8030475994030984,0.9092510129427893,0.995921307610778,3
1,2,0.4661659645573767,0.5910412087057191,0.9388022954646889,3
2,3,0.41999200358353994,0.5879606714883175,0.9225405004509609,3
3,4,0.36623872673497027,0.5191575533336492,0.9153313767262651,3
4,5,0.33820180591437377,0.49408193177596404,0.9175031161455179,3
5,6,-0.006495914826276336,0.0007467155449770519,0.0010999753761968083,3
6,7,0.007326186015104871,0.0034800687379289747,0.009889402112619433,3
7,1,0.8269401135103862,0.8827719513715058,0.9967508297486374,3
8,2,0.475299707648369,0.5806326729969588,0.9311886856056747,3
9,3,0.43451589055965184,0.529817590637431,0.9173603918590607,3
10,4,0.38308862722509973,0.5080629043567716,0.9060278778779504,3
11,5,0.34423800672443955,0.4813046651533916,0.9206341587670769,3
12,6,0.008703598611060766,0.000840799454113267,0.003601577142799736,3
13,7,0.008291813833487904,0.004265464756173293,0.003775091710899314,3
14,1,0.8229204122046385,0.8787827395207527,0.9967695985321405,3
15,2,0.4665522923528168,0.5435166051695582,0.9348299473733264,3
16,3,0.46069140107955187,0.6098505583885876,0.9076867994766317,3
17,4,0.38875050804926475,0.5187007937530241,0.9031955940703875,3
18,5,0.34332330507005054,0.4903398692394814,0.9200427959860539,3
19,6,0.0013910005080536199,0.0007566628191669179,0.0008906186705356517,3
20,7,0.005813788519067682,0.003921580251399377,0.00886406971988351,3
21,1,0.8043630479941997,0.8692144002188273,0.9950286394916563,2
22,2,0.47474882471050106,0.5408971768380801,0.9389490057658413,2
23,3,0.4435998265646521,0.6087897087481705,0.9039047541240552,2
24,4,0.3982212233366062,0.48345268731036645,0.8961409809083616,2
25,5,0.3420402170785505,0.48643874921105384,0.9179215672723849,2
26,6,0.012981767789733267,0.0006979398375104058,0.003959560810640079,2
27,7,0.010768819173202814,0.0033005860058579993,0.022447846629516873,2
28,1,0.7858112435527977,0.89050589316267,0.9949389108232848,2
29,2,0.4701990303443954,0.5600821848530595,0.9411922245866202,2
30,3,0.43624566144169197,0.49529986889918465,0.9246056536884703,2
31,4,0.38191905959832617,0.5090165975228885,0.9064590260569139,2
32,5,0.3656201105391564,0.4849292126012724,0.9173685324112222,2
33,6,0.017678695965321813,0.0014197987966118194,0.00029675946334888504,2
34,7,-0.012635004476662905,0.0032082364394224877,0.008719169145093237,2
35,1,0.8007857649757145,0.9359896693507321,0.994853492597417,2
36,2,0.4740438295913986,0.6271220733988062,0.9330003770645418,2
37,3,0.39868936520107534,0.6000023396876059,0.9037993936136628,2
38,4,0.40000350458673534,0.5231104531041004,0.9047337991276435,2
39,5,0.35579299433993106,0.48603838576278363,0.9168483709536901,2
40,6,0.006664043059331756,0.0010918446787070738,0.002190565684929588,2
41,7,0.008236200590302464,0.007150020145987805,0.008655143164220057,2
42,1,0.7814082822267622,0.9178189078042582,0.9945787024941014,1
43,2,0.4792840681972309,0.6560465019016862,0.9289129098146309,1
44,3,0.4224398671884561,0.5563993036866517,0.9127458344401485,1
45,4,0.3585220117847705,0.49420138502777283,0.9032467209446088,1
46,5,0.3540263920475994,0.4806484890179547,0.9185774264366342,1
47,6,0.009265568643020982,0.0009769229461093628,0.0010222052492465182,1
48,7,0.022468740664595425,0.004882081061733229,0.01333039466365676,1
49,1,0.7842237297416719,0.8552135553260595,0.9952320728822655,1
50,2,0.4293229019750031,0.6709065602820775,0.9297524114739916,1
51,3,0.40951155679244416,0.5416120036763102,0.9116482371581409,1
52,4,0.35329136011788864,0.5174603092748945,0.8934927399730541,1
53,5,0.33995589523770336,0.4742121747496948,0.9136128531773647,1
54,6,-0.0022193059921637526,0.0018308312058053606,0.0034468256466057903,1
55,7,0.016204861075113517,0.003715995452507624,0.005365054279025069,1
56,1,0.7748898969798506,0.8744522510495049,0.9962477435446988,2
57,2,0.42817655254138604,0.678299837119621,0.9340145126381253,2
58,3,0.40084477210177416,0.5165526954520431,0.9259896510806179,2
59,4,0.3466114990688785,0.49738641128760475,0.9120779229235986,2
60,5,0.30603130463030825,0.4890535523505716,0.9179279881414453,2
61,6,-0.003983108752737716,0.0012735107164412436,0.008114903658540269,2
62,7,0.012426411110836692,0.003838833278555041,0.0040507165990732045,2
63,1,0.7866127117755222,0.8786587533564288,0.9940179712868187,1
64,2,0.4219153928438897,0.6758881056581981,0.9248747703772133,1
65,3,0.399359085907725,0.653203626259292,0.9177797838314188,1
66,4,0.3231556314562425,0.5507912120877685,0.9065603629427413,1
67,5,0.28861267611875907,0.48915531687459685,0.9179025636985274,1
68,6,-0.0026156363491987933,0.0008078396569948347,0.006090223127058562,1
69,7,0.0008600539805287788,0.0035678371583296384,0.0149379812814631,1
70,1,0.8088742528228265,0.8821783647215825,0.9948704004752927,1
71,2,0.4380130399979856,0.608864084185973,0.9221143465686863,1
72,3,0.41988545429670826,0.5515491953596479,0.9273024524772789,1
73,4,0.34144580990247864,0.5030120884766498,0.905993092785191,1
74,5,0.2886752325223343,0.48719982765635206,0.9075165854403797,1
75,6,-0.011668441968643977,0.001060954534011619,0.00882525394971548,1
76,7,-0.01103983258795356,0.0047954398766625545,0.008827703569851002,1
77,1,0.729094826961463,0.8356052308127254,0.9903283488877106,2
78,2,0.385302280301113,0.6504949864915384,0.9407625245104818,2
79,3,0.3665349690595007,0.5209023811430877,0.928643559097213,2
80,4,0.31467928429251496,0.509923281950937,0.9051860695664176,2
81,5,0.2909131268944821,0.48393017180799186,0.9018268685284081,2
82,6,0.008616920477966803,0.001298139574015997,7.051386635715769e-05,2
83,7,0.01976439809824654,0.002532489162617868,0.018843742949299476,2
84,1,0.7806816476418319,0.8367701597296164,0.9934066190317581,3
85,2,0.4228168908155755,0.6358456375943234,0.9304041362591755,3
86,3,0.39381941521755415,0.5621737346083174,0.9296313270070974,3
87,4,0.32060334595110884,0.4883707405373399,0.9090163549407708,3
88,5,0.3032558660381669,0.4847347442013559,0.919762752945509,3
89,6,0.010366939363915698,0.0013716454853211924,0.0005490960525738756,3
90,7,0.00542789226220289,0.0027243520997148832,0.0017725089261373154,3
91,1,0.7803474478234748,0.8892643237270749,0.9938360356116428,3
92,2,0.44806985762762114,0.6319409889331624,0.9320546008909799,3
93,3,0.4079493207507784,0.5420585854738181,0.9339356589626376,3
94,4,0.3088189271449994,0.5152902392406611,0.9121219022489673,3
95,5,0.3032801282791471,0.4987178228224328,0.9239024202595607,3
96,6,0.008307774757147408,0.0017590207238861542,0.014932653587360742,3
97,7,0.02993385665078129,0.003801489283086825,0.0034795834718090463,3
98,1,0.7959939730411493,0.9356986442835543,0.9956355452762816,3
99,2,0.4466852786630237,0.6347750882804815,0.9197995777718612,3
100,3,0.40699335615982546,0.5764132590664998,0.9157067905453676,3
101,4,0.3250224812636896,0.4996820131935285,0.9094562475258119,3
102,5,0.3112757074656468,0.5043260344444733,0.9193046790061279,3
103,6,-0.0059834601412967914,0.0016288615200845769,0.015811236076415724,3
104,7,0.0058798919433913285,0.005291079274829574,0.00023147826853920755,3
105,1,0.7864153195002886,0.887687503141987,0.9950802480978865,3
106,2,0.44471020722372845,0.5809718623492154,0.912111234940378,3
107,3,0.41884908852306807,0.5078527440123044,0.9156281353967625,3
108,4,0.33047017669101303,0.5162406712788074,0.903555340068526,3
109,5,0.3066777566189527,0.4850474472631082,0.9164093240754769,3
110,6,0.0027413105390754543,0.0007471001592577168,0.010425288507301043,3
111,7,0.018705589198591027,0.004755379121511351,0.015089889540710971,3
112,1,0.8065951821994406,0.8883998520955529,0.9953950259280613,3
113,2,0.43550502080762205,0.6703038350284577,0.9275738098998992,3
114,3,0.39642283703112835,0.626652189702325,0.9002795772467175,3
115,4,0.32417826705685354,0.5200909962240747,0.8926732623869221,3
116,5,0.3009372821288994,0.4858819920746338,0.9081214658254279,3
117,6,0.01471735543874482,0.0008987369589809604,0.00300714853768591,3
118,7,-0.011798902186151285,0.003177062606790832,0.001296185629858692,3
119,1,0.7587408755338767,0.8797654719360701,0.994307850088101,3
120,2,0.442087602577517,0.6833458770377417,0.9349065945159539,3
121,3,0.3845874896375558,0.596923281811176,0.9041276212931708,3
122,4,0.34339410656630903,0.485839044086354,0.8956190048612459,3
123,5,0.3186779573167347,0.49108200280019,0.9135954969647074,3
124,6,0.006329778598471824,0.0010849385550832187,0.00632691455636731,3
125,7,0.008977660402253505,0.003650815131075572,1.907658722974307e-05,3
126,1,0.7654438482786183,0.8654071148480619,0.9934717815114713,3
127,2,0.4685745019875623,0.622284440246279,0.9447730907745462,3
128,3,0.406167499567,0.5572287899153713,0.8891675272518667,3
129,4,0.3336803020045933,0.4958469431085401,0.8736664364714906,3
130,5,0.32602606507801546,0.47878744909811494,0.9106587128897903,3
131,6,0.006747641060222261,0.000833587997551969,0.00010147004530065466,3
132,7,-0.004468478736805122,0.002387277037383749,0.0034958347409190446,3
133,1,0.7673186283228527,0.8335467239522392,0.9935444569492303,1
134,2,0.468655647891792,0.5569001701370885,0.9433946414744079,1
135,3,0.4129567162256136,0.5538603474603343,0.9101388071556625,1
136,4,0.37064789860083375,0.48774262632349497,0.8981597403888946,1
137,5,0.33799277536884414,0.46594664195064195,0.9078884779106304,1
138,6,0.010722225178390662,0.0013563637675489968,0.0017267670284720287,1
139,7,-0.008902871021535296,0.0021886596206461334,0.013452811260557602,1
140,1,0.795104310055029,0.8302963326108521,0.9954358361433404,3
141,2,0.4556419468475791,0.6041230538340434,0.9361891225946951,3
142,3,0.41745800163502694,0.4984361329752442,0.9240164314057532,3
143,4,0.34372277526549017,0.5501760986920353,0.9073375620030678,3
144,5,0.3216044701357444,0.47783581058988556,0.918794429125728,3
145,6,-0.01220741999761112,0.0008046168792978256,0.008056108660226097,3
146,7,0.005597229538542688,0.003040587405387701,0.015652031307129183,3
147,1,0.8160789757002558,0.8449301211419551,0.9957814097741766,2
148,2,0.4558902147896073,0.6275004799189908,0.9441317987701894,2
149,3,0.4093988435991844,0.5287464965476228,0.9295711519010893,2
150,4,0.3734246452500222,0.4961547173048162,0.91381310392008,2
