,rand_layer,pearson,ssim,spearman,action
0,1,0.7443878592786761,0.9029177051917303,0.9388024747111555,3
1,2,0.36222171707663076,0.7149354746209792,0.7208339511276983,3
2,3,0.3004389505092733,0.6908779476528264,0.6694187540526044,3
3,4,0.32546161232128135,0.47198743021618084,0.698110837119557,3
4,5,0.2658211554863348,0.47636937356608305,0.6960230711298344,3
5,6,-0.003691395505661066,0.0020280664889316016,0.008952671630094533,3
6,7,-0.017485774905233002,0.004538851281265851,0.016062550422964898,3
7,1,0.7531135835930333,0.8985635746967137,0.9348592217421913,3
8,2,0.35917295932871374,0.653247143770576,0.7331251616887573,3
9,3,0.3379456219187873,0.685449717238835,0.7057157736369,3
10,4,0.32824438919374027,0.6105720872632862,0.6857910255105035,3
11,5,0.2758874261674909,0.4848937030012531,0.707964673745257,3
12,6,0.010914381027099164,0.0017989064694527816,0.002230910640692596,3
13,7,-0.0004586104944216433,0.005626452300704277,0.004138484192929818,3
14,1,0.7675829741379071,0.9201700844794882,0.928714540159051,3
15,2,0.2746066927195164,0.6349342737788497,0.6329075088012793,3
16,3,0.3136908738347723,0.7096647898177173,0.5917208794739859,3
17,4,0.29844376526893424,0.40925617816144294,0.6333065294591308,3
18,5,0.24001376955976628,0.469642456223138,0.6600302163555822,3
19,6,0.0024408146899613467,0.0011232904151482527,0.008749673856832826,3
20,7,0.0008490007217526864,0.006879107254018402,0.0007300774125038638,3
21,1,0.7285990736889301,0.9139409711653337,0.9418732986411483,2
22,2,0.31043703671499373,0.5291139452896867,0.6528195624420257,2
23,3,0.3004070199566118,0.6980891212246185,0.5817772941041185,2
24,4,0.255156188885557,0.4739211391636669,0.5773490829640722,2
25,5,0.2133364067785332,0.39480548840158575,0.6523682764232948,2
26,6,-1.7925327515383102e-05,0.0015728860356635517,0.023100660150631367,2
27,7,-0.00018671407084086024,0.006236290541418363,0.00015137538626950887,2
28,1,0.7118771625954581,0.912089653145684,0.9251815753426103,2
29,2,0.3030216689511596,0.49722204449572316,0.6422658191428521,2
30,3,0.3095381619822618,0.49161416922322604,0.6020549627210199,2
31,4,0.24342409709097707,0.378780088572021,0.6136992960989726,2
32,5,0.2498740662563609,0.41749360464263274,0.6605164128131454,2
33,6,-0.003677736320933787,0.0023229442948387896,0.002500555879301755,2
34,7,0.0002446976696242301,0.005892596659643082,0.0012193579108605124,2
35,1,0.7160411885097432,0.8790567335802565,0.9148548988152363,2
36,2,0.33289950101392873,0.7247713418788954,0.7168026081553894,2
37,3,0.25125316331544884,0.6579687051759561,0.5730791937692367,2
38,4,0.27073087122818124,0.4727435928736285,0.5943150770665995,2
39,5,0.22496107241079502,0.4317626337983774,0.6559563744073268,2
40,6,0.0010196247943682624,0.0027438391836617773,0.0002751991401554355,2
41,7,-0.00025115786874582236,0.005678627564788838,0.011433516676841395,2
42,1,0.7012939052455258,0.8918732402648522,0.9006979933460232,1
43,2,0.35657424580445446,0.6711248655795683,0.6615726346770349,1
44,3,0.31664647455020134,0.6787641710014503,0.5986584074775594,1
45,4,0.30315660790156546,0.4242339844721905,0.6561738366335875,1
46,5,0.2330618405124118,0.42480096817304497,0.695302761163753,1
47,6,0.007162525472514921,0.0009841817993053107,0.005315213218403731,1
48,7,-0.011780020231511461,0.004052681106173669,0.017189781240951944,1
