,rand_layer,pearson,ssim,spearman,action
0,1,0.7585001095337065,0.9190114195398997,0.992724788423531,3
1,2,0.344080309430967,0.47724455089352524,0.8824344708740733,3
2,3,0.3359173228321114,0.46764773131596243,0.8536324347455478,3
3,4,0.30166083942671545,0.40985683391630856,0.865867320421083,3
4,5,0.2514984976884261,0.44721895385234023,0.8691797959125279,3
5,6,0.018569186957343355,0.0042778625921814995,0.009713112093155547,3
6,7,-0.012302666048700419,0.007639129204900795,0.011342147245630723,3
7,1,0.8011890070717795,0.9035911419368078,0.9937547314451076,3
8,2,0.39289263725229195,0.43523768479847363,0.8728236501650348,3
9,3,0.33824846059539676,0.4572519561116258,0.8430553033276114,3
10,4,0.29077467625117615,0.43210626176582817,0.8455430871531359,3
11,5,0.28441107653816283,0.4487123379912352,0.8736500571508939,3
12,6,0.0254548340556738,0.004200071367069244,0.006553973987702038,3
13,7,0.0008797430211498064,0.010339466194341238,0.0012095672734571518,3
14,1,0.7588001615727515,0.9083244700029838,0.9935399351024857,3
15,2,0.387885274298746,0.43880284931101055,0.8762079136920321,3
16,3,0.34644454290027266,0.5840202929816022,0.8254123094909569,3
17,4,0.28182742373118624,0.4581564665252503,0.8477637598235317,3
18,5,0.24507241410424616,0.44779830077252486,0.8709188241868802,3
19,6,-0.002923751142966954,0.003998063012494254,0.003518826578213118,3
20,7,-0.00884897760139488,0.009157626339924601,0.008893677482859366,3
21,1,0.7537357478449874,0.9577634874728784,0.993523876150883,2
22,2,0.3378517348383958,0.4471951051879033,0.8719890546908261,2
23,3,0.3359425610663344,0.5747322170880509,0.8090434713124087,2
24,4,0.34265338807016943,0.41479918628002227,0.8424894815914282,2
25,5,0.24992718285517063,0.42240564100480915,0.8695538122246955,2
26,6,0.002369188044598937,0.0023122134320440373,0.0008900129169474064,2
27,7,-0.005388609733868943,0.009232633795726954,0.012547513251912472,2
28,1,0.7621034809610713,0.9392179480966145,0.99302624513965,2
29,2,0.3772757839686961,0.474338494443321,0.8898276795954543,2
30,3,0.35980368973678106,0.404663920105872,0.8628794969342312,2
31,4,0.3251092844632677,0.3766546076062769,0.8517820058672156,2
32,5,0.2638916954852368,0.4345632608304862,0.8659695691090752,2
33,6,0.0020529655013492177,0.0035069675753655587,0.0034484257942003923,2
34,7,-0.005652034110422043,0.009973894181077417,0.012212470907132887,2
35,1,0.7527991123085929,0.9264733532037767,0.9907087269878251,2
36,2,0.3545184591433065,0.5192705502638498,0.8680534745370537,2
37,3,0.31798362925095364,0.43318441563463633,0.8232061311084583,2
38,4,0.31562120539024274,0.4242082608945229,0.8570153206860038,2
39,5,0.27195828234299524,0.4299096963366919,0.8707841000343981,2
40,6,-0.008631741231489593,0.0036178840666934655,0.003971972567991323,2
41,7,0.011416252521185985,0.011927346363276416,0.006829380202834707,2
42,1,0.7728889078437409,0.93482875141888,0.992640104253664,1
43,2,0.32847495828981643,0.5694154208567725,0.8779427483895275,1
44,3,0.30875316369189265,0.45614071578251175,0.8359215100622602,1
45,4,0.3120639830028964,0.4382515904749201,0.8443132667338693,1
