,rand_layer,pearson,ssim,spearman,action
0,1,0.16291682447983938,0.6599617308477822,0.4971491738388087,3
1,2,0.09800228788863605,0.3551850215992713,0.1437945514408049,3
2,3,0.08516933088856919,0.391512430658572,0.005816587114047543,3
3,4,0.09176428892238454,0.3204832951543537,0.20594577730345476,3
4,5,0.05825763771000897,0.445915812990933,0.15819359414151496,3
5,6,-0.0036289539854772613,0.00740901260907737,0.0056233312893403985,3
6,7,0.004631147985317105,0.033049004069175235,0.019068194610544716,3
7,1,0.22082640782420143,0.5084855875497765,0.35880716148374237,3
8,2,0.16282898987634237,0.5515347838201008,0.20596646887199935,3
9,3,0.12971510675160872,0.5893300628082466,0.03509633749413218,3
10,4,0.12545377653369166,0.49428372230345613,0.031932856842470006,3
11,5,0.10039998346926263,0.4836884634615722,0.09565865684009528,3
12,6,0.02571596744312524,0.015259047887475582,0.01628658214786985,3
13,7,0.006672643475392568,0.0693553128382756,0.0017554037095722287,3
14,1,0.24305411689909434,0.5955640512480218,0.40540577549334983,3
15,2,0.08822210211664352,0.4776872940978275,0.12671675119059855,3
16,3,0.12442694587677629,0.44157198877126425,0.2699057978567006,3
17,4,0.12216637740237737,0.4675840735551431,0.04721081451007551,3
18,5,0.09440374031802407,0.5654368489775831,0.2082181063353801,3
19,6,0.011576569921535638,0.01290806087594834,0.0025027851438645175,3
20,7,0.004990097899722606,0.07358694605990548,0.0031230923089629456,3
21,1,0.3403675157078427,0.5867401407144059,0.4215878975172271,2
22,2,0.10534907133054958,0.47502399729465117,0.29685994332492377,2
23,3,0.10316601470964086,0.5657871487431271,0.20027141339826338,2
24,4,0.07653357975479412,0.49179942920576497,0.05861947365248986,2
25,5,0.0465258955685698,0.4515145750857534,0.10554699943685718,2
26,6,-0.006605627429205046,0.014763582214864915,0.017042428370224304,2
27,7,-0.006176123992462817,0.06686559511203495,0.008461899598498449,2
28,1,0.3193321702703367,0.7927955559383505,0.38393119520196467,2
29,2,0.11717516233469581,0.5153397169707028,0.10212821903645665,2
30,3,0.12229070402897058,0.5087375363209273,0.29305747122497894,2
31,4,0.1091955397827594,0.5334520759731267,0.03134067375842073,2
32,5,0.020152158484161565,0.5261847506134965,0.16732386853008416,2
33,6,0.01010905323692503,0.013137412250759097,0.007758291404298162,2
34,7,0.0081423660518243,0.06537167471236391,0.025227489199716197,2
35,1,0.3407248113844455,0.7576946713078391,0.41888106578698453,2
36,2,0.14805080083403976,0.7209477585531833,0.16394716568364104,2
37,3,0.07633997240091715,0.6457830000840914,0.13108976249392626,2
38,4,0.09405265616253645,0.5963930496243248,0.16929351448503954,2
39,5,0.047515357143794276,0.5089085459473017,0.07253778620847395,2
40,6,0.0237281922661299,0.013276937085030697,0.002531872423960121,2
41,7,0.0031836921689340084,0.07645736737314297,0.0063907940426646565,2
42,1,0.35893510093501013,0.536796035929907,0.6731706532591443,1
43,2,0.13774269273574333,0.5201937797848533,0.400006370362122,1
44,3,0.08728315155638627,0.43866441593466093,0.1997164255563816,1
45,4,0.05042356293466678,0.4642392623764546,0.04176641292180383,1
46,5,0.08306721667839634,0.3204322169676454,0.019343935162266148,1
47,6,0.008354384591993565,0.008386477056940277,0.020455611538570884,1
48,7,-0.004805091185940885,0.03778079026776668,0.00041461570804888175,1
49,1,0.3683684243659124,0.26085554073831,0.7472613402213727,1
50,2,0.14564063119955448,0.4396221192375296,0.1841762948501939,1
51,3,0.1102382398399456,0.24861769998985309,0.0439241323093658,1
52,4,0.10601726271635241,0.24992751416630735,0.010242516142299379,1
53,5,0.054018025678470596,0.2366315129890083,0.08896082719999175,1
54,6,-0.011668803573083513,0.0052516060533737965,0.013725395284005366,1
55,7,0.025526054812601215,0.022378727742890465,0.010904778343297797,1
56,1,0.25268464043006855,0.736908602274146,0.3885211817382717,2
57,2,0.12462679551258862,0.6516875417873362,0.11255656838197868,2
58,3,0.11948174513825237,0.5199627487792987,0.005568399275227398,2
59,4,0.10430810613859906,0.5257866888065666,0.0867344671517711,2
60,5,0.047218466164498665,0.5787194859041284,0.09178602494512444,2
61,6,0.012075355785555464,0.011094075843811883,0.0036687570975704256,2
62,7,0.00614978513520083,0.0677063794381127,0.01133396896982314,2
63,1,0.42456142466073166,0.44442308468250785,0.7894853334815847,1
64,2,0.08466445521153568,0.6589541397118535,0.23712411703837083,1
65,3,0.07751638560314238,0.6747229839304435,0.1682349569425477,1
66,4,0.07683874027018203,0.4178352568818716,0.0639584555307188,1
67,5,0.052766471118949505,0.32489438244714464,0.07546462792484489,1
68,6,0.0050129508877016435,0.008222813733023783,0.004167591069532849,1
69,7,0.0161038624596614,0.03597995491322374,0.0008643689608101203,1
70,1,0.46477019161657834,0.35990763376718304,0.8165385422481243,1
71,2,0.14309701897761679,0.20583449143920213,0.07737832359015494,1
72,3,0.12481545587085996,0.1873714844055978,0.23486793386245314,1
73,4,0.08638114533265505,0.1325488216745286,0.021171704479050958,1
74,5,0.08985910351261882,0.14246682400319896,0.09483616487951613,1
75,6,-0.012517371958527927,0.0046414120062803245,0.0005844164824550826,1
76,7,0.0028576092633712034,0.012784495043403928,0.0003513473419057354,1
77,1,0.24069088364383678,0.7754027200079564,0.14583201443231386,2
78,2,0.19631410678596656,0.4907114204262444,0.3503539022613857,2
79,3,0.12634107234029276,0.6880848834731846,0.11089592288470425,2
80,4,0.06232057224422562,0.5240176038712793,0.147864492179837,2
81,5,0.1012270435089142,0.5112301261281312,0.12017919741657335,2
82,6,0.028444454590235948,0.014220369172198152,0.02132218580157867,2
83,7,0.005118151486797572,0.0541071805778718,0.014672326079832383,2
84,1,0.24303189743411263,0.6814059090858451,0.4690182492231272,3
85,2,0.12445286992551297,0.5425223290914362,0.05756698402222065,3
86,3,0.11572255788871201,0.7563670175395754,0.220314940295583,3
87,4,0.09052671904049144,0.3324086457916461,0.11474950235861321,3
88,5,0.11361945665810384,0.31010631501079183,0.09293834484178776,3
89,6,-0.01941532336662014,0.005019291754121271,0.006137092442670257,3
90,7,-0.012931985561977482,0.025831520688882482,0.025069644471514413,3
91,1,0.2712446247175516,0.42874128940031836,0.402944030512561,3
92,2,0.1445470118654561,0.41065011931331996,0.018667704920840262,3
93,3,0.16241959373299536,0.37093137052332903,0.3433412534107711,3
94,4,0.07995322930461259,0.17699046683624894,0.04104031127498177,3
95,5,0.1322517247249329,0.19870192238638612,0.18099550970336908,3
96,6,-0.00866029560126838,0.004409235833682628,0.00633894659609476,3
97,7,0.03245739308655939,0.013176410200389788,0.0005451626237683164,3
98,1,0.22809100974637464,0.3693711604001399,0.3598857289377766,3
99,2,0.11999452871493202,0.360111392313507,0.0053560669116075165,3
100,3,0.13063142980650191,0.6656787331387468,0.17004034267175533,3
101,4,0.08820421284630998,0.41493774866987093,0.13446779376424933,3
102,5,0.09903986858149863,0.32609928891855544,0.0827366416175638,3
103,6,0.0034638768766333534,0.006649375272521948,0.00635564660838534,3
104,7,-0.005100357388266792,0.027529179084895553,0.004938220466510805,3
105,1,0.2178811599535361,0.4145324643585339,0.4608205233519301,3
106,2,0.16867188473265995,0.660387390089475,0.13908126213553018,3
107,3,0.15726265114005145,0.2942654654978905,0.22875548168861554,3
108,4,0.06227327368744741,0.26569263559261347,0.0216849325573018,3
109,5,0.1303991199497796,0.3167722151980577,0.2267805900533351,3
110,6,0.008949856739315898,0.00562490252273199,0.004506283792947735,3
111,7,0.014870268136304423,0.023541745804931957,0.008818141603142964,3
112,1,0.218695985876456,0.2097403730922168,0.5715836229066896,3
113,2,0.12160728898026178,0.11862803421098136,0.1428119360791893,3
114,3,0.13846023648830413,0.37901641230914274,0.4094317080708322,3
115,4,0.08714894932978376,0.11657552467623075,0.16962748042391695,3
116,5,0.09866937722995268,0.13834713268038196,0.21810368214767092,3
117,6,0.020109169609753546,0.0025479975987040123,0.004758621111189395,3
118,7,0.004696891554732461,0.009818557816474987,0.006786669526362817,3
119,1,0.18059336379421506,0.4076442245575835,0.3612533791586371,3
120,2,0.1526547528260875,0.4298696768700701,0.07364654367357665,3
121,3,0.1157645095030264,0.44398574349565323,0.156312810687953,3
122,4,0.07196450552206975,0.2368793237796015,0.04545547932986467,3
123,5,0.10556227789220742,0.2976695993278786,0.05900990106262766,3
124,6,0.031463088352298274,0.005944873203381367,0.001456432264976133,3
125,7,0.0035746373750606365,0.029617575993108585,0.002131247780836246,3
126,1,0.1995084118283437,0.21259249263501864,0.38491546582876307,3
127,2,0.12599462874838158,0.2096740816581274,0.012540559504519367,3
128,3,0.09429081340773576,0.26669017738892964,0.07413078379325772,3
129,4,0.05232593181882967,0.13343544646372538,0.1756563530114212,3
130,5,0.06812006593799481,0.1945762378321937,0.07746837414024121,3
131,6,0.010987395888199395,0.0037765624526943766,0.004697291281592275,3
132,7,0.0084635633912444,0.014587206169144901,0.0014699899847261878,3
133,1,0.3766575155224878,0.5002240480997571,0.8179012866705185,1
134,2,0.06848054670346643,0.3590230929470835,0.09845011573700141,1
135,3,0.1459695318820708,0.2930759053353458,0.08756831057830061,1
136,4,0.08763823089241653,0.23423929373490915,0.001963870864765148,1
137,5,0.12606379276232246,0.2509526578361878,0.027087652978338112,1
138,6,0.0023817509072257825,0.006147703861543584,0.005006524198997257,1
139,7,0.021825153757594123,0.03192453312759922,0.0009054553469657748,1
140,1,0.17109200862115415,0.5323044179052308,0.3960572386103956,3
141,2,0.09700036436380416,0.7237788873663639,0.038249156978753966,3
142,3,0.10969822964527044,0.6382764407421729,0.27107089461168166,3
143,4,0.11887173602097723,0.39088543164225575,0.08635328496757641,3
144,5,0.13476047297348792,0.4995119482219659,0.14170666319297284,3
145,6,0.016370308119128346,0.009178170951810404,0.008198725318299582,3
146,7,-0.000608174258062426,0.04580477017991896,0.013215458500059023,3
147,1,0.21119787224564585,0.661179505945137,0.31487192168657163,2
