,rand_layer,pearson,ssim,spearman,action
0,1,0.5344741587968689,0.8349200952899023,0.5088636152469995,3
1,2,0.39568581305685147,0.6153355781538903,0.17899215425145704,3
2,3,0.36375004289334284,0.6242547678390045,0.14835610870919097,3
3,4,0.3359699959074414,0.5994718217318945,0.010899111569885031,3
4,5,0.2919974674454124,0.5616291915690447,0.1267671878882568,3
5,6,0.008724171172712356,0.012593915295422,0.018561672213410967,3
6,7,-0.0003940296218997515,0.05618041191653636,0.010194364048003224,3
7,1,0.5358955949248303,0.8414916461609823,0.4935315923256407,3
8,2,0.3784029663844779,0.6060400258219061,0.06144361470637584,3
9,3,0.32682176276914265,0.6178606234969812,0.06285359956312454,3
10,4,0.3564794437634255,0.5981732728837423,0.059512647240258704,3
11,5,0.2938544702494392,0.571283236249887,0.14941330700014616,3
12,6,0.009390213587083451,0.012562779474044765,0.011465794967537548,3
13,7,0.002285013067490011,0.06407553773730658,0.0023295485955000905,3
14,1,0.5414795943291822,0.8376292933935572,0.5081704947132571,3
15,2,0.3762271875850277,0.6688708805655416,0.19617382838830702,3
16,3,0.38267680637540386,0.6490733576306004,0.001503191533046426,3
17,4,0.3436258413426562,0.6180541767825543,3.422081883496543e-06,3
18,5,0.2938788675696994,0.5750411639947564,0.14468494673105264,3
19,6,0.009233219994136154,0.011930029747420646,0.012152053013711894,3
20,7,0.009675257199998599,0.06483493117338393,0.00833633602507218,3
21,1,0.6159379530006945,0.8970531642033039,0.669315530248943,2
22,2,0.40052091468023454,0.6240836040982057,0.06618233250966514,2
23,3,0.3778986368737246,0.6356030508444892,0.07225948776895096,2
24,4,0.3368497155418389,0.6181352702092349,0.007646784826626401,2
25,5,0.27987414149281586,0.5351976460114841,0.05970043931613214,2
26,6,0.0026223617720860966,0.012317001414955673,0.003556780592125704,2
27,7,-0.02006332011644342,0.061075243681778704,0.026088652672358142,2
28,1,0.5960470852990951,0.8889929713008385,0.6461020858820494,2
29,2,0.3711185693384598,0.6133475289175504,0.17085941111659145,2
30,3,0.3483029933197779,0.6407362915677111,0.08421934970646601,2
31,4,0.3432473848541441,0.59673108755942,0.07066796505666788,2
32,5,0.2780393367998016,0.5370960600032363,0.08177691477703786,2
33,6,0.01585650136854092,0.011661856951253121,0.0048526802541062845,2
34,7,0.0004476595803076149,0.05859171215745338,0.0181115862195784,2
35,1,0.6177625623524287,0.874775166532337,0.6574917156069264,2
36,2,0.3549136325066082,0.7024732816765656,0.04712362792265444,2
37,3,0.38271917126408606,0.5805225711657276,0.020933658064827405,2
38,4,0.33344498185152355,0.6277783380726886,0.07597904164445297,2
39,5,0.2978342754758925,0.5260030984882205,0.0911906885188421,2
40,6,0.008977581315471826,0.012476256621673757,0.008145100612970314,2
41,7,-0.013758875830017059,0.0644675789370085,0.0070293284774321264,2
42,1,0.7384312511413945,0.9684076953285848,0.8626062904331543,1
43,2,0.41396558918885407,0.6868038936012242,0.16095809504061223,1
44,3,0.3360778911487606,0.5724336901582706,0.10826312575975566,1
45,4,0.33390933771881587,0.5564009894510082,0.03738547141111599,1
46,5,0.2772480886150682,0.5681764914588809,0.1271691890710581,1
47,6,0.01324756581588344,0.012981212252850552,0.007266222962449391,1
48,7,0.014031907385870481,0.05403659910781308,0.011497750598269962,1
49,1,0.7596261844458858,0.9682882417410715,0.8704452213643863,1
50,2,0.3990515678896511,0.6179302098291155,0.018956566445750642,1
51,3,0.34312345928616017,0.592234494882376,0.047101744909075705,1
52,4,0.30461596993676315,0.5557232833140116,0.024310807872751604,1
53,5,0.27061392006949064,0.5625891614006089,0.10732630074729066,1
