,rand_layer,pearson,ssim,spearman,action
0,1,0.6709747924719404,0.69601768379603,0.528243844223478,3
1,2,0.581100839767789,0.737390681668037,0.19806572246436405,3
2,3,0.512057188132038,0.746765562413668,0.1561075360171802,3
3,4,0.5590991457046813,0.7607644250416064,0.023698013539848444,3
4,5,0.5423102822808883,0.7503270026502972,0.04202429833027943,3
5,1,0.721902294019849,0.6835634009657258,0.5163065048038593,3
6,2,0.5757553574185152,0.7454300770363008,0.18727336991872937,3
7,3,0.542044504447149,0.7753104730775433,0.17113928315645832,3
8,4,0.5241405550657443,0.7569264334457096,0.0034695206204296896,3
9,5,0.5391654542737616,0.7454078580521707,0.07114685858011643,3
10,1,0.6777741660098549,0.6996945967668486,0.5028267561738484,3
11,2,0.6089867955098078,0.7455885768463006,0.16640736652938115,3
12,3,0.5374418837255028,0.7676545498591368,0.08381606241764707,3
13,4,0.5147554293547519,0.7526429415359764,0.1191341625935792,3
14,5,0.547237198846019,0.7420360350169721,0.10581407034874464,3
15,1,0.6819312900745185,0.8022760549960509,0.5917561001161992,2
16,2,0.5066530899220274,0.749156401740951,0.10039962084575177,2
17,3,0.5132119759738056,0.6810799023394566,0.06701075428723258,2
18,4,0.4320387845555844,0.6590584849777082,0.07977761464480293,2
19,5,0.35393990944480275,0.713705999741756,0.057309521969768316,2
20,1,0.7245194140971232,0.7794987519132403,0.5891162075760025,2
21,2,0.5290420552579446,0.790471120249374,0.011332732828091737,2
22,3,0.5058371251527642,0.7367400652625337,0.08588432325552894,2
23,4,0.48669033693272923,0.6435052151028885,0.07879317907268167,2
24,5,0.35021710162451813,0.7061628040437674,0.08078567351829335,2
25,1,0.73457437136425,0.5596852771906229,0.6676296671656567,2
26,2,0.47009132326619363,0.5055541231831145,0.056542357323418634,2
27,3,0.43082158285316186,0.49572407883645836,0.09736489391389695,2
28,4,0.4528997006046783,0.45381244215649075,0.07746667552683525,2
29,5,0.36473759263537986,0.5514794828595662,0.017518787689086497,2
30,1,0.7959310768526895,0.863132539630207,0.7556467050373264,1
31,2,0.5770710302438103,0.6959198168633896,0.058926982778300475,1
32,3,0.5222934338860802,0.7052900875507679,0.027699818845812445,1
33,4,0.41753692920723906,0.6762718666559602,0.0007639761116718047,1
34,5,0.3996346234943819,0.6656808904114258,0.14224005210701246,1
35,1,0.7761924657733124,0.8804827879393313,0.7821074674910499,1
36,2,0.6482179030185643,0.7086756626621421,0.1894224817693682,1
37,3,0.5591949662204112,0.7436216161841582,0.0022809016795435223,1
38,4,0.49692394427691455,0.6391491573580598,0.07635593040592112,1
39,5,0.4351961777339307,0.6772884007705164,0.15698703250416857,1
40,1,0.6452663890603438,0.7384194399009275,0.4256982423479668,2
41,2,0.5314009054370372,0.704536477321419,0.20810734648240867,2
42,3,0.474045073152761,0.7255088146804158,0.08820751102881491,2
43,4,0.48256058909141125,0.6915253414836946,0.12890609764596384,2
44,5,0.3832610625893835,0.6788859879478019,0.031222443278000278,2
45,1,0.8124942398042158,0.6499906470755542,0.8048028447093613,1
46,2,0.6407544370254429,0.7290198227988558,0.044716716998734016,1
47,3,0.5903571407922681,0.6628604023542842,0.07493570044025406,1
48,4,0.5109224889055728,0.5654760347095185,0.22619951360626278,1
49,5,0.5019378555433504,0.5800303563389266,0.14013473995267692,1
50,1,0.808254724927233,0.7550162743753175,0.774481110847862,1
51,2,0.6269077634099893,0.6320555860828102,0.1771265468904921,1
52,3,0.605958712387862,0.6473391252526064,0.07067810638047384,1
53,4,0.501310715812942,0.5927250310884452,0.16050683353625794,1
54,5,0.5107464080490058,0.6309353755558857,0.08833049307526156,1
55,1,0.590656853156048,0.7365656601927358,0.2386218427000474,2
56,2,0.5953959202579768,0.6899990214549118,0.07653972232953979,2
57,3,0.5024032021455302,0.7114313525973941,0.09379486533772728,2
58,4,0.5404131479286931,0.6884020127756857,0.05125857109963994,2
59,5,0.4903534886559818,0.6881684386332715,0.03359280123765294,2
60,1,0.7233680224014615,0.3386152316016496,0.6360625174943069,3
61,2,0.599520470601865,0.2683052963138831,0.03174102373242639,3
62,3,0.5998209950363464,0.3347698605108652,0.01716494391352757,3
63,4,0.6042338064710533,0.23774066687470163,0.03577800110169663,3
64,5,0.5613990336475516,0.25238444000454296,0.13986885722291692,3
65,1,0.7357270636489541,0.3118570842693054,0.6148134028812596,3
66,2,0.6105374551521923,0.31844542870739245,0.1264615609548366,3
67,3,0.5247767844088895,0.20733347825724022,0.0633571571177368,3
68,4,0.5824983387760352,0.23312451766144449,0.01548491795332477,3
69,5,0.5313845789126763,0.23201096419552736,0.12410993418838644,3
70,1,0.7330152919560577,0.8282684290354324,0.6093550663151253,3
71,2,0.6317028524823883,0.6641518260131113,0.10107603520158027,3
72,3,0.5436988479142381,0.6887686391912524,0.17493720750335176,3
73,4,0.5264557338213619,0.6778111477889522,0.07977679990543174,3
74,5,0.5697979581884978,0.6847247087967908,0.08857731833332569,3
75,1,0.7144031260686661,0.5663232426908338,0.541576786449516,3
76,2,0.624095928662562,0.5289068302440124,0.06866545872150923,3
77,3,0.5653100070330777,0.3615706640133659,0.2483673137544778,3
78,4,0.509340699061745,0.37397901528397,0.07535815109828213,3
79,5,0.5647409696215573,0.3875961522874614,0.09982685526206872,3
80,1,0.6469847835075087,0.5461693621409237,0.4709431882582932,3
81,2,0.6168270451324369,0.4231048113379322,0.20745246812894247,3
82,3,0.6426992507952716,0.42183835320029445,0.04542419018983166,3
83,4,0.5757073619702757,0.3467273648827464,0.11781294213368178,3
84,5,0.5340371703127355,0.35532242768485034,0.03521808329083316,3
85,1,0.6251803667089875,0.7111465604944415,0.4635302219825495,3
86,2,0.5687254542970708,0.735362423956356,0.17608552526371019,3
87,3,0.5547203210858871,0.7229734004727013,0.1944304192504351,3
88,4,0.4861701433331078,0.7107169328285622,0.1500141058616314,3
89,5,0.4910044030874734,0.7417017764055742,0.03902419065549288,3
90,1,0.680065210042408,0.7911357237461963,0.4968428437534527,3
91,2,0.6038433033741561,0.6501732990592005,0.05622375350547514,3
92,3,0.5417987874710823,0.6102119819131304,0.07487302418070355,3
93,4,0.5590744138407395,0.5817552673354932,0.06863114295463217,3
94,5,0.4884270420038517,0.655372542825267,0.07609849766151713,3
95,1,0.8071485107988299,0.8033233199973,0.824581651865752,1
96,2,0.6468029820850221,0.7814799619434364,0.1609320957842543,1
97,3,0.505301667818321,0.6823231757275816,0.01994462001949704,1
98,4,0.47973674876199685,0.6968974225878216,0.1308928939304245,1
99,5,0.4091833958161711,0.7055743446264076,0.1914176076516395,1
100,1,0.6891962799889055,0.7196530187714949,0.5530818586473011,3
101,2,0.6227312013043127,0.7673979997846486,0.1904619669677473,3
102,3,0.5506740518611384,0.7806268591461273,0.02691400982948569,3
103,4,0.5290027153235013,0.7440063668116427,0.11620473617510198,3
104,5,0.5504597610201531,0.7443151906266999,0.1707200723248396,3
105,1,0.6867761107474921,0.7766993907603164,0.06329631371516105,2
106,2,0.5288095572008393,0.7277406451931385,0.13161350736024305,2
107,3,0.6232584227904754,0.7577606723397917,0.03453855227153188,2
108,4,0.5453068214430531,0.7089881302476876,0.057320695714574314,2
109,5,0.43512872697548877,0.7240475547466294,0.08033726416494905,2
110,1,0.6815847522662115,0.7263431214479725,0.5826282512225358,3
111,2,0.5712602696146134,0.7182646976083974,0.19289645511514603,3
112,3,0.5597788711645233,0.7581626169876302,0.10918580459657805,3
113,4,0.5822622681174235,0.750904367459268,0.06950037361540475,3
114,5,0.5276440712449112,0.7337878846619339,0.15699862882373233,3
115,1,0.8003070195047496,0.9002507691289129,0.8162816058390874,1
116,2,0.6175210991875357,0.7005175567818982,0.03694095473900497,1
117,3,0.5482758170862435,0.6407397443649762,0.023375595019625207,1
118,4,0.4951355544041835,0.6755827151713573,0.26852670139805684,1
119,5,0.43968907776188426,0.6711223379602322,0.20336376616907195,1
120,1,0.7779155734597897,0.9091666896501125,0.8222725710577248,1
121,2,0.6574999699440089,0.7269395690696138,0.004345922757823435,1
122,3,0.5443855021436923,0.7138412241764587,0.014277193391927151,1
123,4,0.4768889500569426,0.6795620011584977,0.16879644382328554,1
124,5,0.46328533681325973,0.7025648351210338,0.2308640554035732,1
125,1,0.708539935468981,0.6993040757026076,0.5331184604876561,3
126,2,0.5937684779583368,0.7421282698321302,0.1005356084060971,3
127,3,0.5202674610647229,0.7714586860134298,0.16380602730072383,3
128,4,0.613822990402279,0.7331599475667088,0.14021983015400608,3
129,5,0.5699174441975388,0.7379866415319161,0.1896060853270945,3
130,1,0.703295745249384,0.7300560983916594,0.5186845556213392,3
131,2,0.5975148407407268,0.7444804721351421,0.15299218706555565,3
132,3,0.5603777392647868,0.7105889911444824,0.1798662075644636,3
133,4,0.6171448309421033,0.7210834013060531,0.05670463940650377,3
134,5,0.550666552685532,0.743646669698998,0.18268100419999708,3
135,1,0.6514335450010663,0.737701523701089,0.015432832252398764,2
136,2,0.5923718662250526,0.7630883872282151,0.05531113491059748,2
137,3,0.6110182977317937,0.7557894558741765,0.18671307190273123,2
138,4,0.5243392029407704,0.682803176665606,0.10806897671603369,2
139,5,0.49813673714749795,0.7176968491779525,0.09246430297708726,2
140,1,0.6797211259686693,0.7756112069636919,0.5786768272963003,2
141,2,0.6087081487443975,0.7730970158180845,0.18809446937671384,2
142,3,0.605185228901346,0.7346606849970778,0.08964671257428514,2
143,4,0.5437879404555656,0.7113720963255257,0.05111785581239988,2
144,5,0.5162866102712758,0.7065934897335184,0.16086880816485802,2
145,1,0.6532702980705172,0.7709250207565602,0.600159286355468,2
146,2,0.5063717760305062,0.7158140728320525,0.02213687771861526,2
147,3,0.5372966982733278,0.7329345296981314,0.05081890743995076,2
148,4,0.5153977206034348,0.6677659711320362,0.09848634714639143,2
149,5,0.4467723247459559,0.7131536434112692,0.1513575810011983,2
150,1,0.6534698424709262,0.7274250739637578,0.39859736915857236,3
151,2,0.5934305778081423,0.7326275011569464,0.2567395327732356,3
152,3,0.5931295677701275,0.7411192289754023,0.01938780573113366,3
153,4,0.5701246208700486,0.6801759412964621,0.06666637570691702,3
154,5,0.5631593853004228,0.7380599787872933,0.08780289687786309,3
155,1,0.675362875776777,0.7102802610956443,0.4679175911279042,3
156,2,0.5677317206927153,0.7035136512208734,0.3199294453030996,3
157,3,0.5142756998375226,0.7195313176756047,0.1884354485186253,3
158,4,0.483052087099399,0.6870693422302215,0.10382823315989792,3
159,5,0.5451440545592394,0.7402549138113829,0.07092808009963705,3
160,1,0.7305371387141397,0.6856141978924767,0.6080147453276278,3
