,rand_layer,pearson,ssim,spearman,action
0,1,0.33328114539713255,0.69102497851551,0.23909501536664501,3
1,2,0.35113192141039995,0.6076529734239691,0.03498556135339064,3
2,3,0.23683987814010932,0.6662406640448343,0.19326209101938854,3
3,4,0.28428577870544586,0.6505865618410933,0.30722533809510505,3
4,5,0.16188288165290388,0.5355140209281622,0.11420222740996704,3
5,1,0.29740117106027686,0.6801362167489551,0.3386071369242072,3
6,2,0.3096177751910005,0.6806365431498838,0.025824043187319325,3
7,3,0.22084950590717212,0.706079482063986,0.2269201977441216,3
8,4,0.34414646600851,0.6404892936399248,0.1952333889379242,3
9,5,0.14864204066622927,0.5581026849196199,0.20595664352818496,3
10,1,0.34494158948955334,0.7160389827939042,0.29818325491376296,3
11,2,0.28235836184785124,0.5978902185552438,0.07893286910800441,3
12,3,0.25425666058474056,0.6492119005262337,0.07406326878314928,3
13,4,0.3220018344134187,0.6055565283643699,0.3068372808032111,3
14,5,0.1364365698089735,0.5561502953591339,0.2762490033596968,3
15,1,0.36274581089948926,0.7013222784280059,0.1481295169865562,2
16,2,0.3435994593043404,0.6203168351174208,0.15345375099208383,2
17,3,0.2647720170195642,0.6496379277137071,0.02324082394913844,2
18,4,0.277908966574445,0.5826482952654376,0.18337905815265315,2
19,5,0.1518637118358545,0.5568374054685697,0.009565574635917501,2
20,1,0.38410902356207516,0.6937427544239914,0.09155114369354332,2
21,2,0.36841051068005143,0.6533589561392457,0.04739896380356055,2
22,3,0.31224145513365276,0.6099444290820382,0.05058733109625114,2
23,4,0.24789491559592275,0.546782633244051,0.22758378232788054,2
24,5,0.1324768880853882,0.6051778168352591,0.0077848035176902594,2
25,1,0.4276750835136609,0.7191081626711237,0.2719969783809406,2
26,2,0.3679494963509611,0.7402142872490658,0.1171690352534547,2
27,3,0.33857374372614535,0.6780827743087735,0.019140193212769992,2
28,4,0.2748791559571347,0.6152146119363381,0.1040321568591449,2
29,5,0.1488947812503013,0.6329234395192205,0.0166346825419804,2
30,1,0.521104676458753,0.6526541508788364,0.5066437457606361,1
