,rand_layer,pearson,ssim,spearman,action
0,1,0.045924558001490465,0.4453297745289932,0.3317729472745544,3
1,2,0.14293656235900776,0.6625673628407743,0.6649283009221826,3
2,3,0.21757143322935713,0.7054942639987736,0.5271622634825556,3
3,4,0.0256514327982207,0.5212649854304627,0.41377743320379345,3
4,5,0.07135536362990492,0.5828173618245354,0.4303481823712308,3
5,6,-0.000937940259620882,0.012322729047963518,0.0011373776339916688,3
6,7,-0.0034072791293848852,0.06047834243597839,0.0029622537197679707,3
7,1,0.03851471363300151,0.407228546886573,0.3552751112344598,3
8,2,0.13834153067967994,0.6372300735100157,0.5796640612228098,3
9,3,0.2025289756920429,0.7542187103496034,0.5512867754681119,3
10,4,0.007428967656464487,0.552935663532643,0.4212901453726296,3
11,5,0.06683461360172602,0.5527560899621331,0.3859918893590034,3
12,6,0.033738719000916004,0.011644458408998993,0.0005312747210399514,3
13,7,0.00618171935818375,0.06799257765990112,0.012217145113114553,3
14,1,0.029605411345645156,0.3730792960094324,0.3376049001031137,3
15,2,0.03872323509604594,0.5554977361456462,0.5500964546499868,3
16,3,0.14983921499710895,0.6267478912192321,0.4058577586781975,3
17,4,0.013570252676832886,0.5699866520035457,0.42910016326110595,3
18,5,0.08349058141035776,0.5763417322151263,0.41010905568412453,3
19,6,0.00653359382510646,0.014235399646956266,0.016355300611770682,3
20,7,0.01701405960304543,0.054288181661490326,0.005575861960662544,3
21,1,0.3355217020863719,0.7783181543816228,0.7527251680142497,2
22,2,0.0029434279964517317,0.3241967581602479,0.04994743509297233,2
23,3,0.021939766294259512,0.44980345001504946,0.4019740626462918,2
24,4,0.008286569948987198,0.4390879543633061,0.142119938882471,2
25,5,0.040821006692010914,0.4596835261193039,0.01882338260308264,2
26,6,-0.002009969748267678,0.012076570175488197,0.014395652495723785,2
27,7,0.019563291828008898,0.05815210829868802,0.004605257527497667,2
28,1,0.35522265607736747,0.7795672241123845,0.7753460178466766,2
29,2,0.009528020057517872,0.49851086860643706,0.38333207952611204,2
30,3,0.02769564736853091,0.46920213907415076,0.5776891810484367,2
31,4,0.005475680150730284,0.45407727832196026,0.24508431189682064,2
32,5,0.05392020157940785,0.46125278915402984,0.018036989829180724,2
33,6,0.00837281769859325,0.013516222689758241,0.01432575341778062,2
34,7,-0.0016218633852690461,0.054613535916938766,0.003423782668594463,2
35,1,0.37745565615275023,0.7604678766823096,0.7728481722721133,2
36,2,0.068947576651261,0.43437448575664805,0.4542303843007981,2
37,3,0.008066051126065055,0.35877092320000226,0.32306166740945136,2
38,4,0.08312378497728183,0.49669158914083716,0.41967315626285173,2
39,5,0.035352425458149754,0.434347529845398,0.05798921203019929,2
40,6,0.0021262229019784044,0.012766749362929998,0.010110778699791274,2
41,7,0.0015545388698868581,0.055632999878233357,0.005187980735965457,2
42,1,0.46134388260066694,0.7314386049768629,0.8655458291427631,1
43,2,0.05794434129525629,0.5905973027532403,0.32859296867547405,1
44,3,0.08382874534891335,0.6068815462719743,0.30902806658241916,1
45,4,0.04234817242859903,0.47710512267662447,0.2687104103879678,1
46,5,0.02015066742774587,0.38650443322199307,0.0723617739776339,1
47,6,0.02206316244922534,0.011786156977970896,0.003285261035684772,1
48,7,0.0072316596718412385,0.053689924515033946,0.009938071733744452,1
49,1,0.39758917870222177,0.65055494972453,0.807826663037584,1
50,2,0.0754306985823004,0.6367203673693707,0.4006426032719163,1
51,3,0.057139403300580906,0.49473467677037075,0.0470397520301957,1
52,4,0.019267741944315065,0.5018922443578974,0.25132287360449024,1
53,5,0.009286494825404529,0.3703380507609198,0.14488169559093864,1
54,6,0.018779038711191093,0.012051129142351506,0.0015765662693198721,1
55,7,0.011051554657462208,0.05428409062451142,0.008368726615193011,1
56,1,0.322508702387229,0.785378028159909,0.7522149483731785,2
57,2,0.02390443553349512,0.48742792115434164,0.3336338325807522,2
58,3,0.044749185002927384,0.35506513516752014,0.20993833523650715,2
59,4,0.024876639340168233,0.41532734627930107,0.15593317098953402,2
60,5,0.02396145335742838,0.459242620944537,0.01869282149316052,2
61,6,0.006168789342282302,0.013169115584964784,0.01001850887265348,2
62,7,0.007649750645877279,0.05557123644204333,0.0018306860586691368,2
63,1,0.380644391991509,0.6115606732804174,0.8044441436240795,1
64,2,0.11318555074533353,0.6274793149163843,0.5278659615472105,1
65,3,0.13746714053425219,0.6162164842202925,0.41204383981748627,1
66,4,0.023569009648782543,0.4377008149203415,0.15859019238659164,1
67,5,0.008239350070319684,0.4004096166794683,0.011496349394672497,1
68,6,0.017839576271984105,0.010939283457135381,0.0018853153325571323,1
69,7,0.003503929185724784,0.04809978774231171,0.000841663281113897,1
70,1,0.33399707735638456,0.5065829428148291,0.8148064053434825,1
71,2,0.0973892297856905,0.6475755743013514,0.3656186297912497,1
72,3,0.017492067997960898,0.35697527506952326,0.20464522021165332,1
73,4,0.05147663202553118,0.47949106556929494,0.05748655666735981,1
74,5,-0.008100260251512425,0.4020467730436341,0.0406207953883975,1
75,6,0.009759630674203802,0.009833675964432628,0.01032148922710697,1
76,7,-0.0014465423962690771,0.047002646075313216,0.0006662104755446109,1
77,1,0.24161303460481082,0.622555871838472,0.638572630600391,2
78,2,0.017922193269613168,0.3255358816638521,0.06673454315424403,2
79,3,0.049202093200603196,0.5514620608457568,0.4909749874740371,2
80,4,0.0616421160697591,0.5147282012002456,0.247093759336453,2
81,5,0.06377529207228157,0.47775220586816103,0.05151089932448324,2
82,6,0.001747777713109194,0.013012701809804643,0.016145904182365382,2
83,7,-0.025420629293696345,0.05384776549118405,0.008925328822805494,2
84,1,0.09059701879755436,0.5359757646997249,0.18358904394290057,3
85,2,0.1419756238052886,0.6257749382586041,0.5702011892577208,3
86,3,0.26048960009472916,0.7986994840806015,0.5233647012227878,3
87,4,0.19307246969299258,0.7353294496272431,0.45719724286285635,3
88,5,0.07449950791508798,0.5688965772505975,0.3840424563302873,3
89,6,-0.015852855793537853,0.012436117064429262,0.026323086193217732,3
90,7,0.023414546235027936,0.04790975374261502,0.01155333786201465,3
91,1,0.06659154867724955,0.4596507692427593,0.15047941653019808,3
92,2,0.13146423091473464,0.6699613745320631,0.5536318865202787,3
93,3,0.23543480867958233,0.7905365663130258,0.5280373322461361,3
94,4,0.16826503961052766,0.7345392704494986,0.45450598076087284,3
95,5,0.06410452454586663,0.5562021885692555,0.32920397115483285,3
96,6,0.0010834308466752532,0.010917033023418642,0.00911075992530483,3
97,7,0.010864600521465833,0.05758412894610092,0.009390858033238239,3
98,1,0.058733739696513854,0.49135368494430887,0.12133871725976551,3
99,2,0.12352773294873298,0.646310347756311,0.5195073293354929,3
100,3,0.18737792415739393,0.7651213446025497,0.6424980677039079,3
