,rand_layer,pearson,ssim,spearman,action
0,1,0.43071590523832826,0.7767322084216717,0.6322514128856563,3
1,2,0.8743373126085624,0.9586061264897717,0.9694953171073989,3
2,3,0.8778779517162894,0.9540678522540322,0.9692833824912187,3
3,4,0.8833342802474567,0.953742945697486,0.9714838737720001,3
4,5,0.8920644114152683,0.9524282029483615,0.9720979064989707,3
5,1,0.42385954316343477,0.6987975002339365,0.6024000279792521,3
6,2,0.9020399058985529,0.9759278757980008,0.9718191335223146,3
7,3,0.912575747677485,0.981672291360719,0.9781780667693716,3
8,4,0.9150955531097804,0.9839113309395177,0.9857195932078372,3
9,5,0.9280928808608474,0.985495618099906,0.9872238964576545,3
10,1,0.4001225767994144,0.7049633829783496,0.6085414116511421,3
11,2,0.8713349748709605,0.9761598303728177,0.9734298107605618,3
12,3,0.9007215788811446,0.9799531808203923,0.977555485574177,3
13,4,0.9294835779682609,0.9836529906635945,0.9843069748459163,3
14,5,0.9335249725978002,0.9839390157470236,0.9843410931590351,3
15,1,0.48739126033620805,0.7432589061907369,0.6757246468588,2
16,2,0.8393567367827158,0.971365197616994,0.9673649990649409,2
17,3,0.8504143513794716,0.9628783278831615,0.9649433244054676,2
18,4,0.8731616733061427,0.970432243706575,0.9698717225032608,2
19,5,0.8772215349164018,0.9739302667488976,0.9710736376137395,2
20,1,0.49126817661484445,0.7518263825288352,0.6538480868820516,2
21,2,0.7916087752733991,0.9548134435329285,0.9446334327431494,2
22,3,0.8372747331175003,0.9654091385181476,0.9591213799679443,2
23,4,0.8602479171730197,0.9694668417282714,0.9679711665726196,2
24,5,0.8655748053641404,0.9720372755009733,0.968672578339192,2
25,1,0.4640109740271764,0.7396886869320103,0.577416795332292,2
26,2,0.7934062947689273,0.9502701732737181,0.9404015223193374,2
27,3,0.7918678325639043,0.9571269064907504,0.9548487658822831,2
28,4,0.7979011261418435,0.9551052449883628,0.955126205836926,2
29,5,0.8043885104412631,0.957338739408972,0.9536285712155557,2
30,1,0.17488441531925555,0.5756215535220239,0.321160610160876,1
31,2,0.823501437250334,0.9611987497743122,0.9378177808902849,1
32,3,0.874292619277234,0.9765261009642375,0.9619573148561288,1
33,4,0.8832390759291102,0.9777042233372173,0.9652827808318147,1
34,5,0.8796222894031642,0.9776488946779255,0.9649277886733585,1
