,rand_layer,pearson,ssim,spearman,action
0,1,0.8347911492838477,0.7705034869217208,0.5707787035957357,5
1,2,0.8220540518327034,0.6046750812062699,0.3228888045551577,5
2,3,0.8555237928538898,0.5939632978823366,0.2168110666152899,5
3,4,0.8497350051740227,0.6794022427789997,0.5408470063359586,5
4,5,0.8589595269521361,0.6009971920204015,0.5550121679483978,5
5,6,-0.006151738688322399,0.01669017150150728,0.028510449229547045,5
6,7,-0.026003009901370618,0.053371825428385894,0.016847623969623846,5
7,1,0.8398171986111589,0.7718852344523005,0.5585690950292641,5
8,2,0.8284281136235042,0.6479785012352758,0.24445785999746222,5
9,3,0.8417127996788827,0.5909990496179754,0.21971796378689123,5
10,4,0.8352432116263647,0.6691854357550799,0.3141009483127111,5
11,5,0.8398860988251384,0.5886083389017601,0.3632701875757776,5
12,6,-0.012994797881589217,0.019884289761698273,0.012207978542847022,5
13,7,-0.024691171518675184,0.05916822428224206,0.0029554071538960397,5
14,1,0.8492485144069828,0.725741981246756,0.2273693186499681,5
15,2,0.8278802281634569,0.6249415869600864,0.4248043902791561,5
16,3,0.8448326829250196,0.5643812554410751,0.2027193221072114,5
17,4,0.8134787310449286,0.6432263311298272,0.5439793547192916,5
18,5,0.8276534504855156,0.589825114895764,0.4839947797953038,5
19,6,0.016192950556417895,0.013007632993199765,0.01845856478084689,5
20,7,0.008257577722218407,0.0689178300079192,0.007518459099138945,5
21,1,0.8255982853727168,0.7963083579439009,0.4954594894000459,5
22,2,0.8234504864829544,0.6723453344449839,0.185545621467526,5
23,3,0.8323229323044958,0.6113537133854133,0.11110331055143603,5
24,4,0.8179638743311406,0.6445637260087254,0.22464513706429057,5
25,5,0.8072783586007065,0.5805228840604871,0.26043568862339,5
26,6,-7.754475369468883e-05,0.011940070840953975,0.0038695088130657053,5
27,7,0.015811599082074093,0.06218359889043671,0.007240613768910276,5
28,1,0.8346594687307805,0.7495733719379519,0.5360587884166887,5
29,2,0.8190571117811167,0.6858770620338217,0.0019021402014460374,5
30,3,0.8232012532306733,0.6199638451331444,0.33373819529633975,5
31,4,0.8188943507477999,0.5843501889169551,0.011504962158748713,5
32,5,0.803667857512368,0.5364044214205322,0.11410317665038346,5
33,6,-0.005804885620716314,0.011925426748492104,2.379302151115521e-05,5
34,7,0.017678524623704516,0.06350531911693123,0.0320017388930184,5
35,1,0.8246825118787685,0.7262112832984725,0.2545302838319531,5
36,2,0.8145494300559721,0.6528579930425129,0.41043195827075574,5
37,3,0.8545473978478054,0.5669815929865387,0.19027620822621943,5
38,4,0.8378226942129169,0.6415093958001471,0.5722255848735048,5
39,5,0.825789501767584,0.5571721891841953,0.5460249822848097,5
40,6,0.0022678468680009775,0.011459010331250324,0.0009395736367806459,5
41,7,-0.01603671414844799,0.06759989613314454,0.011923115179820573,5
42,1,0.8347978928609658,0.8023202998064566,0.6572353598028592,5
43,2,0.8370478315183401,0.6330123548889035,0.5180204103693182,5
44,3,0.8184016286910669,0.5913376540401492,0.16865732788914584,5
45,4,0.829978540755368,0.6466504429276261,0.17231457451484775,5
46,5,0.8214666643885461,0.547529604969311,0.16610025500050865,5
47,6,-0.0105587744465396,0.011469890448923435,0.002245434693002535,5
48,7,0.0168033860315149,0.07222339916409472,0.001694536219947872,5
49,1,0.8386075761392918,0.7277326820210288,0.32380938551434346,5
50,2,0.8264474416042679,0.6683011287246843,0.2935982857361154,5
51,3,0.838772642018862,0.5627831276721947,0.07094518303879739,5
52,4,0.8138789216431785,0.6145860586237143,0.4823031483324582,5
53,5,0.8013220314500368,0.5385013202801247,0.44144819392475726,5
54,6,-0.004582060951389143,0.011871630518633054,0.009394708845256396,5
55,7,0.01450960579250208,0.06450252541604973,0.006489891397944001,5
56,1,0.8594852567002602,0.7453496317947284,0.272323020023454,5
57,2,0.8288515000029367,0.6545356997730581,0.39415853488043046,5
58,3,0.8596505681925599,0.5775350144326257,0.104178371123527,5
59,4,0.843428502717336,0.6844938064269752,0.6102046047203684,5
60,5,0.8480058102005429,0.6279355263946462,0.5131181830577176,5
61,6,-0.009604053292121648,0.012375399475569494,0.012124231076912812,5
62,7,0.019519058328785418,0.0603187342899944,0.00995111089354232,5
63,1,0.8330206808456331,0.7203324669216977,0.1465290490597485,5
64,2,0.8175453875201416,0.6138137266376137,0.12694494166127415,5
65,3,0.8471316551307871,0.5675722459999598,0.33023901011363116,5
66,4,0.8573674480889196,0.6712127261801197,0.5091724593886359,5
67,5,0.8505062443132263,0.6462505490622132,0.531751339296353,5
68,6,-0.005080134065976433,0.015520784423146262,0.031226872036922683,5
69,7,-0.0054202135985539236,0.05290928902894442,0.005017516766811886,5
70,1,0.8327323256916636,0.7600043223372629,0.3827978985500294,5
71,2,0.8250892953104433,0.605243648550875,0.12063929445653984,5
72,3,0.8119767254194358,0.5779494363117856,0.023418533552307014,5
73,4,0.7999962716030827,0.6488711208999174,0.40307340969225386,5
74,5,0.7942413554083706,0.568594281527893,0.38677839857532176,5
75,6,0.004778601831596494,0.014332839705829109,0.019762251780131395,5
76,7,0.0007713854638658219,0.0623566825271198,0.005347865268234597,5
77,1,0.8644735536801005,0.725859402286035,0.2533735301778878,5
78,2,0.8151335334928898,0.5718103827695761,0.27618589793124776,5
79,3,0.8564538982130558,0.5476058251215731,0.13620446865295835,5
80,4,0.8414631716286025,0.6363350165643227,0.5550443067496416,5
81,5,0.857890083676241,0.5779947140680044,0.5352236853609217,5
82,6,-0.014278975364595874,0.012128531295743934,0.006778342483010102,5
83,7,-0.0045620312824279745,0.05309089135110518,0.02559687616353823,5
84,1,0.8858829530092859,0.6987619293422089,0.5632429910308637,16
