,rand_layer,pearson,ssim,spearman,action
0,1,0.5115621942555202,0.5335856613997882,0.3422873669724081,5
1,2,0.4884147348620569,0.1775006864644613,0.03670804525187947,5
2,3,0.4653378077271058,0.15416287078779642,0.045340269625535834,5
3,4,0.4728624588274107,0.18130032038388144,0.04962097629376955,5
4,5,0.4960483097461138,0.22126593079586554,0.01937382873013892,5
5,6,-0.015101530334855695,0.011120949497533702,0.009862389293040267,5
6,7,0.007931644503361063,0.05446916657478959,0.030910470117225756,5
7,1,0.5372488502309372,0.5313640638259707,0.39130009706236824,5
8,2,0.5105959913423795,0.16083741793374282,0.02439876317111127,5
9,3,0.49123782339632,0.14079856033636592,0.02306077114780994,5
10,4,0.4801366067515664,0.19249821575431367,0.016067496892717047,5
11,5,0.4974363416307655,0.22930364392403363,0.055742222182660756,5
12,6,0.03420429874110533,0.011774847506995015,0.0004762627766273954,5
13,7,0.01662631511074268,0.05690904358414402,0.007604058317336297,5
14,1,0.5385913164715578,0.5103818426271722,0.3313420350318356,5
15,2,0.49590087671022376,0.1762476461212823,0.06269862281572615,5
16,3,0.5030388310910838,0.16516530419051262,0.07760511090503126,5
17,4,0.48176140075140067,0.1908909987344248,0.04841942405381999,5
18,5,0.4979539124150205,0.24292201268407784,0.05947358601886803,5
19,6,0.025339329586416916,0.017974808050689503,0.02203876071050492,5
20,7,-0.007897731210080316,0.051418841246294575,0.0005104309844514623,5
21,1,0.5321858051802372,0.534266818559852,0.42873848008228055,5
22,2,0.49038908056466035,0.16264097944911593,0.049132664999377865,5
23,3,0.450658542547424,0.1698404427318996,0.008854989069278384,5
24,4,0.45752321812887203,0.1808850228920297,0.05780968996110156,5
25,5,0.4702244599930282,0.2126962847088805,0.0413516990414746,5
26,6,0.008176792964338592,0.011617369736305576,0.0043485538551588,5
27,7,-0.003226623721701,0.04825456741865036,0.0013206302011300557,5
28,1,0.526330164463228,0.5277137233659063,0.3811448050454237,5
29,2,0.5051639645286058,0.15196901948622013,0.025883693567210327,5
30,3,0.4996432917360763,0.19882770755454715,0.05745190617228969,5
31,4,0.5027316162132613,0.23810376549666862,0.09206094101067011,5
32,5,0.5107450747027404,0.23923896487876903,0.020888911336377953,5
33,6,-0.013285357461474653,0.012189253788953663,0.0012334579453269904,5
34,7,0.01565951682778377,0.05579056510737655,0.0017506720805943482,5
35,1,0.5432607860471069,0.47649436201916423,0.33556304603476356,5
36,2,0.5084039570715707,0.21133473527365748,0.04937843148513156,5
37,3,0.47387193091482643,0.1642620415687631,0.00031232918454256875,5
38,4,0.49690541420191314,0.2507101290900905,0.011106800363076248,5
39,5,0.4990333467217919,0.26323682152976713,0.035719492554952985,5
40,6,0.011987390167086253,0.011708799949845828,0.010935582373210411,5
41,7,-0.004970450533933917,0.050661868320243164,0.011312249269682852,5
42,1,0.5356459139882233,0.46450858189965755,0.29399027698051433,5
43,2,0.48450724832241765,0.19984236394863522,0.0027196620537420853,5
44,3,0.49036577232308076,0.16145746674487,0.08241761913463906,5
45,4,0.5038946530907366,0.16552107977322192,0.0032073801015350084,5
46,5,0.4906223761478371,0.17236786139165403,0.008164305294877721,5
47,6,0.0040934950945160295,0.011869990961718837,0.009030867530101376,5
48,7,-0.018643671920034383,0.04864964052951767,0.0011936515526349346,5
49,1,0.510882848580858,0.5121724660486618,0.38658501548730634,5
50,2,0.47056145610068617,0.18110449933649336,0.007319924536186475,5
51,3,0.47674778599221324,0.17203303949656717,0.05050223176758963,5
52,4,0.45845895795586367,0.17877946645821752,0.01687790119203297,5
53,5,0.4628940655839744,0.24305302658787398,0.01379883909665354,5
54,6,0.014109398719613295,0.013362142058512275,0.00432478789960949,5
55,7,0.007515943352304129,0.056529352119858566,0.012949584888129872,5
56,1,0.5419219758829591,0.471998633288697,0.36737701556095986,5
57,2,0.5140733017604594,0.18214329298526416,0.05875625093051939,5
58,3,0.4809640416843009,0.17694569824082207,0.017076932129531253,5
59,4,0.49157662762637516,0.18209808678550132,0.05648842587272872,5
