,rand_layer,pearson,ssim,spearman,action
0,1,0.8498550561598396,0.6213957199307595,0.7045295501183154,5
1,2,0.836395326973127,0.3574126299545876,0.18594532241472242,5
2,3,0.8138503492886211,0.4617799824675427,0.02264599705226682,5
3,4,0.7779762774242516,0.40132650502148104,0.17439930114961252,5
4,5,0.7689257670365899,0.3292661737973572,0.09349054668986952,5
5,1,0.877371123149994,0.5872254555719507,0.6971705835660259,5
6,2,0.798870778369194,0.37183033596486803,0.05193450828980922,5
7,3,0.828807082683851,0.3470662855544796,0.11944999102271338,5
8,4,0.8108154580949407,0.4120098810051026,0.1429414386057243,5
9,5,0.7988889421392136,0.38414839927474914,0.1397704834720758,5
10,1,0.8385508830781876,0.6325380216263908,0.7157556957348066,5
11,2,0.7637909953678854,0.35932405660375033,0.017651028649967142,5
12,3,0.7781812699268551,0.3844049504044532,0.14053032869844725,5
13,4,0.7745475144399849,0.40617292122127147,0.1871009095864279,5
14,5,0.7494939537694089,0.4254986471547035,0.19364676867396347,5
15,1,0.8703306192367538,0.6090628428515067,0.7768786840755401,5
16,2,0.8087440930773215,0.34691326755464663,0.05532393396051278,5
17,3,0.8091719533435855,0.37834226342701843,0.14697927553276957,5
18,4,0.7828553505035492,0.386989850047888,0.0971465303903095,5
19,5,0.7373626472921673,0.3656847554165672,0.1341908934372743,5
20,1,0.8469049455590427,0.5862343459572712,0.7218776756883702,5
21,2,0.8389224976887013,0.42113508914510217,0.04214805898349362,5
22,3,0.798918317362486,0.3974436827599389,0.19120790715751862,5
23,4,0.8100440595245865,0.3561527156326482,0.10075942792525192,5
24,5,0.7674573496351269,0.40472547340771886,0.1509328121332032,5
25,1,0.8353039463723362,0.6517971343240774,0.716070999844451,5
26,2,0.7764113545030541,0.3347599996967778,0.02854459174835736,5
27,3,0.7986520866970993,0.3721342253161626,0.09436092343352413,5
28,4,0.7976268341429009,0.37032912744348745,0.06953217429220866,5
29,5,0.7681134259004907,0.39409096066603294,0.054689139064266694,5
30,1,0.8275369822403341,0.566681021602429,0.623320449818506,5
31,2,0.7781217189799088,0.37798799347034256,0.025908973121327415,5
32,3,0.7698503454933685,0.42178819207683094,0.005745231367301693,5
33,4,0.7853694229766809,0.38241091011553185,0.13199481746959746,5
34,5,0.7568184915724911,0.36134904493382486,0.06708644668705027,5
35,1,0.8150763233032938,0.588123218894462,0.6110570601703669,5
36,2,0.8094284243284496,0.3823581346137779,0.05482834462964081,5
37,3,0.8265738657641648,0.392822224978252,0.18817504717776723,5
38,4,0.8133657643837887,0.4016696043711244,0.12179225955230563,5
39,5,0.797231605692353,0.3927290293859192,0.17999738728057757,5
40,1,0.8510946632827513,0.6151157634070809,0.7301259478068263,5
41,2,0.8241849271531938,0.3779400906638614,0.014272266304886531,5
42,3,0.797926194993832,0.3962182726763565,0.18733614094121007,5
43,4,0.8007387442829992,0.36205668753154924,0.14407056134636834,5
44,5,0.7876812756698511,0.347134347530185,0.0858480954219322,5
45,1,0.8085190354756536,0.5559996902239034,0.6089562011839845,5
46,2,0.7800935196358566,0.40812218541469436,0.13102143173224243,5
47,3,0.7789803714498087,0.3455801733001605,0.15568146836607405,5
48,4,0.7957562390344959,0.3566077880385539,0.04471161114721255,5
49,5,0.7570258419005764,0.3667099314764014,0.011727449695642737,5
50,1,0.8465647655394194,0.568780304156838,0.6888656581870479,5
51,2,0.8185171065250054,0.4416110419254988,0.13567525628997346,5
52,3,0.8079813198236834,0.3991023821466229,0.1440111814930472,5
53,4,0.8075149562133735,0.37244185909802624,0.09054183842156989,5
54,5,0.7641894134765614,0.3412405229805641,0.08126064512773934,5
55,1,0.8219629469248055,0.5747324945916622,0.6665639543566555,5
56,2,0.8176810842865156,0.3822503395240603,0.07373713682431031,5
57,3,0.766618330362513,0.35576580904282007,0.11735550451772739,5
58,4,0.789404584737484,0.36524055756744894,0.06116815727082653,5
