,rand_layer,pearson,ssim,spearman,action
0,1,0.8328512948503297,0.6096680551164438,0.7045295501183154,5
1,2,0.8203641333954838,0.4161892840538765,0.18594532241472242,5
2,3,0.8378170287239641,0.5401270371598843,0.02264599705226682,5
3,4,0.7940205705709029,0.44978880640374214,0.17439930114961252,5
4,5,0.7983867373834265,0.4013461267527444,0.09349054668986952,5
5,6,0.030435525183325082,0.012147809565617283,0.003527662069622439,5
6,7,-0.01731065832356676,0.05368933786187546,0.010970696423012885,5
7,1,0.8485803335415746,0.5893658670557308,0.7354484128089773,5
8,2,0.8065704691496898,0.4842784188298775,0.13157634239281046,5
9,3,0.8510072399510344,0.5038149681520327,0.046055264175804744,5
10,4,0.8303372011679999,0.4998914092850981,0.17068196063841706,5
11,5,0.8131997562994806,0.45669634345696053,0.19346150088181036,5
12,6,0.013250390134283278,0.013992828238328238,0.002213255723958006,5
13,7,0.016499962480416287,0.0550439092827055,0.0020716080737909395,5
14,1,0.8061437227935354,0.5348180909765835,0.5903464334527063,5
15,2,0.8193740635698807,0.4180238922907742,0.05054900851198812,5
16,3,0.813364465148331,0.3904503551451603,0.13926618826514026,5
17,4,0.8096451485264862,0.43614995208541574,0.08969222512895197,5
18,5,0.813505392541445,0.41667633754626854,0.13135154617959321,5
19,6,0.016800542837349487,0.014779874968316396,0.010271641490918724,5
20,7,-0.008168545676354517,0.05073991855259458,0.005335879577731063,5
21,1,0.820978532462087,0.5554199634221278,0.7008858473597257,5
22,2,0.798809622087637,0.46624645309670626,0.038122016087204655,5
23,3,0.8202470777231179,0.42617373498940625,0.15683450656571962,5
24,4,0.8177937581777309,0.4464534471838019,0.16540560395082682,5
25,5,0.7967720013419092,0.47575680248370966,0.1730188022206735,5
26,6,4.1815147153376024e-05,0.0188469443011569,0.018395141387441923,5
27,7,0.01351980085655169,0.054430653320645124,0.0008630689419538776,5
28,1,0.8285378369836532,0.5810160244899765,0.6651659827262916,5
29,2,0.7974817145011655,0.5022511749473177,0.09513187045148667,5
30,3,0.817038782913358,0.4412202976185552,0.1243056966684257,5
31,4,0.8060403947965451,0.4173407158962948,0.16767748195197385,5
32,5,0.79624343147629,0.47005209174114215,0.009041086985997116,5
33,6,0.014258723995070962,0.017373323729282866,0.025655292762515096,5
34,7,-0.0024680105003313533,0.05309823501993902,0.0014162535281404306,5
35,1,0.8291457459896981,0.6178865803605857,0.7006218608163919,5
36,2,0.8136875680982895,0.4518869732635096,0.019087540769308537,5
37,3,0.8176536164637351,0.39327492948261467,0.18460662592377963,5
38,4,0.8173756412257543,0.4275479283215764,0.12128583730370648,5
39,5,0.7993402798130117,0.417878824960149,0.12013910499903287,5
40,6,0.01723888058277032,0.015128671635630005,0.004543106055954598,5
41,7,-0.007350463110787285,0.054338488235108645,0.0051704543473207265,5
42,1,0.8373507423447063,0.6093486288763376,0.6865267628457757,5
43,2,0.7994729786154428,0.43196879513287617,0.06521248577638256,5
44,3,0.8355467400413668,0.45488101704129236,0.22409882510045911,5
45,4,0.804550841047488,0.4556856949959884,0.1574664739816798,5
46,5,0.8225685204214112,0.426489463887555,0.10917835609583848,5
47,6,0.027077231732744914,0.014522419636343733,0.0037995843876077236,5
48,7,0.013500116916899065,0.05468448300880922,0.00750869249122353,5
49,1,0.8407587178928466,0.6152550089659394,0.7607037221017481,5
50,2,0.8071689663112817,0.4567633900595478,0.12159752938167875,5
51,3,0.830029085523302,0.44356297104685344,0.12605278860938443,5
52,4,0.8028249568154214,0.39623462749162386,0.08037861364160577,5
53,5,0.812657127134056,0.40628118267336594,0.1340392259953635,5
54,6,0.009548033840186461,0.011713850205647103,0.006931478450450455,5
55,7,0.012204776188141014,0.04766557293189422,0.011003836961388888,5
56,1,0.8417999377307719,0.5945174658599657,0.7021410279387855,5
57,2,0.8058571906468228,0.4637743198060273,0.03644645105111566,5
58,3,0.7938247355244508,0.4438949086192491,0.21823223920582432,5
59,4,0.8076120636754596,0.476632653922308,0.12145845080539638,5
60,5,0.7995953929003969,0.4331197047194902,0.07904542247114285,5
61,6,0.00793558172895746,0.01349856792357891,0.0035903104405762745,5
62,7,-0.0013796211437902698,0.05227958496912902,0.0021576998721481535,5
63,1,0.84739249700185,0.6355195357705534,0.7440260315297916,5
64,2,0.8066938220523294,0.4309119005513786,0.03566164732647142,5
65,3,0.8206401677093224,0.42618493352265785,0.14711543763049215,5
66,4,0.7844142831276969,0.37242286389267276,0.051197506648410634,5
67,5,0.8169021055786879,0.4655166350127191,0.12052037063204409,5
68,6,-0.005972341568285876,0.01177651252532357,0.006642697632326049,5
69,7,-0.0007104817505439527,0.049427978454220256,0.008384919997258287,5
70,1,0.8340408516676043,0.6497904541542628,0.7101504625129004,5
71,2,0.827523647153344,0.4676566970207445,0.0418191794768745,5
72,3,0.8181911180082942,0.4443951816287386,0.10201384257252592,5
73,4,0.8077040312439735,0.48847229652060337,0.14885808761806302,5
74,5,0.8081274253760402,0.43160217827216785,0.17530302296707856,5
75,6,-0.004193567816993351,0.012568617009843342,0.012063601898844253,5
76,7,0.0013168942407023477,0.055002466582584515,0.005406036420901368,5
77,1,0.8535957283580724,0.6055693642611174,0.6776683408026057,5
78,2,0.8275461814515574,0.46882001715093885,0.20497749406098334,5
79,3,0.8295312162388515,0.46266785153920226,0.04058218088644266,5
80,4,0.8187124989341539,0.40959143463201264,0.15182538033167642,5
81,5,0.8120942543476684,0.4054151187636072,0.1131886614666458,5
82,6,-0.002121703310933543,0.019546995871150212,0.0047474265539461,5
83,7,0.013059679623011845,0.0552771842015243,0.0003904000052976945,5
84,1,0.7964313118798391,0.3787699803265993,0.09942454066292451,16
85,2,0.8266205119621428,0.4307725647726649,0.026823377908949002,16
86,3,0.8299906979762595,0.418396120227302,0.162372739461374,16
87,4,0.8049314551778856,0.4550115141164075,0.0547032247749522,16
88,5,0.8223664376847345,0.38890560242882993,0.15148183937582615,16
89,6,-0.004155445129351512,0.013339659093827403,0.008769606489463,16
90,7,0.0074093104128150795,0.07188705574191269,0.0016034464683056502,16
91,1,0.7652212148641369,0.4114183405217694,0.21805821515836327,16
92,2,0.805573557244962,0.453996074905169,0.07935217167722755,16
93,3,0.8065683820273141,0.39952733858468814,0.07381665331433764,16
94,4,0.7842627694880677,0.4014212185405377,0.05216358051990141,16
95,5,0.7980811090791762,0.36779220847747934,0.20563848191793227,16
96,6,0.02598204941051805,0.015904925902759288,0.003567753612227611,16
97,7,0.004483196039776845,0.04898641421750134,0.013648700023267294,16
98,1,0.8037530990811597,0.4048334778666867,0.05224007366511146,16
99,2,0.8195954079396374,0.42190479605049974,0.08467018847390458,16
100,3,0.8155617029789632,0.4550694543120678,0.18645922263652082,16
101,4,0.8026252873550046,0.43157667999611793,0.01967150036397877,16
102,5,0.8015066108426966,0.37401632863367656,0.1259084231939894,16
103,6,0.0048692325308623795,0.01840682019011024,0.018013757718410173,16
104,7,0.01846984629370628,0.057755794567578664,0.007839282110250104,16
105,1,0.8080168480830502,0.4399790106653704,0.00243681547858444,16
