,rand_layer,pearson,ssim,spearman,action
0,1,0.35204258807567546,0.8876051753938923,0.9170060788874252,5
1,2,0.1839118741662895,0.3863440483684807,0.8513121849407801,5
2,3,0.13645175418739586,0.2215364403016103,0.7874263155242415,5
3,4,0.1221512807807497,0.19456993050837593,0.776808265217608,5
4,5,0.12065379758319154,0.22631812853353536,0.7625236803911531,5
5,6,-0.009113014204753543,0.0010060283773844004,0.01125023427949594,5
6,7,-0.020309137889539385,0.0014415171777628518,0.005408831188630917,5
7,1,0.34538213563348924,0.8864144755783689,0.9152404935701682,5
8,2,0.1806551854513832,0.3885982059598386,0.8508216167507706,5
9,3,0.13859933199320668,0.22247298026375245,0.78733082162201,5
10,4,0.11772413998332372,0.1935271966209685,0.775768520594825,5
11,5,0.12230853791816487,0.22777414271340124,0.7603821183657133,5
12,6,-0.00700897512672025,0.0011482790350293619,0.014161137164014546,5
13,7,0.011859504424889061,0.001548481229766243,0.006348684994499733,5
14,1,0.3389110296610464,0.8855448204010578,0.9153697844136758,5
15,2,0.17593254528193217,0.38836215719088313,0.85081483035247,5
16,3,0.13523623141666857,0.22285011603416213,0.7875541164089622,5
17,4,0.1251273690918796,0.19041665375460948,0.775514765145817,5
18,5,0.12896801658714302,0.2275146023814769,0.7606297736039984,5
19,6,-0.006520380076275057,0.0006325995336126958,0.014927038807296985,5
20,7,-0.008462547652237752,0.0013868100557829677,0.0016568779122709534,5
21,1,0.34032590360093967,0.8839963924921999,0.9168763624789835,5
22,2,0.17476884295164938,0.3874689630225959,0.8510810573947227,5
23,3,0.13966517905636594,0.2242554572004832,0.7848743652866387,5
24,4,0.11946799805026333,0.18891525521355876,0.7756246010576019,5
25,5,0.13059503076359846,0.22579292009615398,0.7593044615174714,5
26,6,-0.028096838156433743,0.0004899714890358281,0.00017416179989362547,5
27,7,-0.0043241632779518506,0.0016366539534730278,0.013492843696355148,5
28,1,0.3418970110397135,0.8833754947264707,0.9173024812977736,5
29,2,0.17861475112133965,0.3869690781089065,0.8516098568860562,5
