,rand_layer,pearson,ssim,spearman,action
0,1,0.47392188371516847,0.863855554899358,0.8704300108579263,5
1,2,0.24305291135004778,0.3307021399902216,0.6979338467693401,5
2,3,0.23177053642970616,0.3997240617772974,0.535870505634819,5
3,4,0.18703322591056512,0.3316965445564883,0.5370821192872164,5
4,5,0.19157342843948857,0.33228802565035614,0.5492599248176125,5
5,6,-0.010108485729293243,0.0025539850551705642,0.008047124062913899,5
6,7,0.011646104919417307,0.004139320273883255,0.0017634824240201556,5
7,1,0.4747115513642848,0.8491178381147547,0.8650319168662647,5
8,2,0.23799861379839335,0.3393158305708533,0.6939401037174754,5
9,3,0.22785614020088144,0.40621794928221827,0.5266670460368638,5
10,4,0.18490339883555715,0.3322118433980798,0.5244549889046002,5
11,5,0.19200088240384378,0.3396615434920643,0.5424147438411541,5
12,6,-0.007034069804373958,0.0036720228631568854,0.004388429951094697,5
13,7,0.004855165515835289,0.003987471511283342,0.014057532448033117,5
14,1,0.47666399905561413,0.8490606097390997,0.8649118857208802,5
15,2,0.23021231561051814,0.3401922888254484,0.6935851378592901,5
16,3,0.22287857640092879,0.4062710197001702,0.5243845291102133,5
17,4,0.1937501883054547,0.3311920607047619,0.521815133245582,5
18,5,0.19856006557543665,0.342800704397245,0.540015175798496,5
19,6,-0.008892128775266218,0.0011246395475218442,0.014885768704866385,5
20,7,-0.009353794674769367,0.007375894081627228,0.014697165218448612,5
21,1,0.47572833173193607,0.8310167541079123,0.8687440980709602,5
22,2,0.2307899476917919,0.35177401894875615,0.6867303324734003,5
23,3,0.22124448071657277,0.4094845748640359,0.5263699151754746,5
24,4,0.17868381020668397,0.34506970825075023,0.5217222555705455,5
25,5,0.19692823871771112,0.35270517395731676,0.5343896300738185,5
26,6,0.00572386822020303,0.002405883372961448,0.0041728483111817365,5
27,7,-0.00015574381251206183,0.005376518735465315,0.002760800247016522,5
28,1,0.46455025931022903,0.8384277313297104,0.8676437737213973,5
29,2,0.2356346641893184,0.3462582424532726,0.6830167372897799,5
30,3,0.2202784914362646,0.407121756188638,0.5236051532751241,5
31,4,0.18316603973450254,0.34756158444427837,0.5148633085046368,5
32,5,0.19769723889516905,0.34837358885824016,0.5302198385731648,5
33,6,0.010330573858355181,0.0016129211961342929,0.00780599338087685,5
34,7,-0.010864381640747118,0.004193341771324833,0.0030741394138856654,5
35,1,0.46719294416073504,0.8440292113894111,0.8643701766497424,5
36,2,0.22249204369132483,0.3411419183740608,0.6932131392953703,5
37,3,0.22004231024244794,0.40950043853259677,0.5209030954042818,5
38,4,0.19221752980840404,0.3344769196106406,0.516229035411583,5
39,5,0.20038395056049646,0.34405056413314494,0.5351772878685169,5
40,6,0.001692606799463094,0.0011381590338804515,0.006288046480126652,5
41,7,-0.005994305744237274,0.004600694288149949,0.0016425454156811633,5
42,1,0.4592457996574013,0.844917524029622,0.8634037295525357,5
43,2,0.22633438091757394,0.33897488222312777,0.6959590181347282,5
44,3,0.22359226446363992,0.40881101689363686,0.5216530554074789,5
45,4,0.19772167411563188,0.32949573608188565,0.5184186354449302,5
46,5,0.1929488024148841,0.34243870206719773,0.5349537267682887,5
47,6,0.0071292621794874144,0.001280807264617041,0.0035566786104670573,5
48,7,-0.01618705950614011,0.005957483358794773,0.004362617764914184,5
49,1,0.4711027421006688,0.8474707891985181,0.8678872844688122,5
50,2,0.23641403647361764,0.34585081925051253,0.6890916566799324,5
51,3,0.22274182551451582,0.4036008326982114,0.5261968155844648,5
52,4,0.18008421672468594,0.3396350193172038,0.5271194628665845,5
53,5,0.19274540859781727,0.3432263019119323,0.5354279553940532,5
54,6,0.0006821887832372923,0.0015469226981754856,0.013650465563387974,5
55,7,0.0008592752068702042,0.003343777537081592,0.013098558581164267,5
56,1,0.46506414544115016,0.8496469153806718,0.8667771824114896,5
57,2,0.2291223021483655,0.34326380535503587,0.6871473508419738,5
58,3,0.23285277099277285,0.4041079171858887,0.5266875622969066,5
59,4,0.18730976293945947,0.34029001954468835,0.5218229626707143,5
60,5,0.19271603868442588,0.3405746633522307,0.5386343344050429,5
61,6,0.00859639172627579,0.0014801474877461998,0.006562127646445267,5
62,7,0.005330377144106686,0.0036680208196824796,0.003946482050419988,5
63,1,0.4726725141342219,0.8423311235282889,0.866807201897304,5
64,2,0.23146163930350994,0.3438783445781057,0.6914790006059538,5
65,3,0.23156370163584278,0.4040725629767034,0.5260192769249132,5
66,4,0.19282894819513705,0.3416112197864725,0.5160439662911923,5
67,5,0.19809549236697344,0.3462761919106208,0.5361168224658027,5
68,6,-0.0043464484541223675,0.0008337707793051538,0.0010664307481403426,5
69,7,-0.0007518572682206339,0.005694444677773804,0.010425127450819555,5
70,1,0.470667548594982,0.8383578001857158,0.8667042324363512,5
71,2,0.2336121756347652,0.34579052298709134,0.6924540052064921,5
72,3,0.23348289131317884,0.4031273039325898,0.528066403461769,5
73,4,0.18829726535063374,0.33965593133538285,0.5194237277082897,5
74,5,0.19696654360415566,0.3483233043908447,0.5339421402788973,5
75,6,0.0016813049975091155,0.001089978494291852,0.005397181672751266,5
76,7,-0.004123363261525584,0.0033391653887412183,0.008833370450706984,5
77,1,0.4612696990229477,0.8574676977750981,0.8626704967729875,5
78,2,0.21032399298114945,0.32939046047765796,0.7000996368836964,5
79,3,0.23104340323618763,0.39822488601359096,0.5279216288385448,5
80,4,0.19054142809322028,0.3272668463592123,0.5219805821916631,5
81,5,0.1901368516411573,0.3377968840217762,0.5426100859018893,5
82,6,0.011633329774357822,0.0011749873130843564,0.024221206489529502,5
83,7,0.005712663549948377,0.004099784959313281,0.011036371761009458,5
84,1,0.4526046716475214,0.8609877789749393,0.8580560429667086,16
85,2,0.2253005508923397,0.3275459092648501,0.7139064649176394,16
86,3,0.23680974250205278,0.4025384345230274,0.5439372297132522,16
87,4,0.1834720724857789,0.3209127338724157,0.5468921212919416,16
88,5,0.1910880732016738,0.3371954380509252,0.5673832762099953,16
89,6,-0.01324192948857883,0.0026879003091170093,0.01508557920566186,16
90,7,0.010611716464077266,0.004608377319451517,0.0044239038996143915,16
91,1,0.46097810564662217,0.8755910008838794,0.8650431128620846,9
92,2,0.24060392678067472,0.2950884518051011,0.6927386938175893,9
93,3,0.20378316702573246,0.30861288356414834,0.5202631282023453,9
94,4,0.18279365046848273,0.3226746422311326,0.5213942490658444,9
95,5,0.18009695509863102,0.2899630682390365,0.5087128998296524,9
96,6,0.010553941226126042,0.0019561541525540183,0.009581202002465487,9
97,7,0.018914047293226762,0.0032529672968238756,0.013378522803751859,9
98,1,0.46390792526134217,0.8783803449410515,0.8714707053318568,16
99,2,0.2450550089507448,0.27689315184027097,0.6813235488116655,16
100,3,0.2242429028192238,0.3153206532422052,0.5115489063794969,16
101,4,0.20476231745260237,0.31968012960084086,0.5248974619334493,16
102,5,0.1820885847973183,0.2851947810728054,0.5022687802568934,16
103,6,-0.011878847347658084,0.0017420066264476097,0.004272502074255053,16
104,7,-0.011921943984170447,0.0032670682169858426,0.012005931562663968,16
105,1,0.46972253526764796,0.8533152594931405,0.8692044437782968,16
106,2,0.24340120989942382,0.30558304036653616,0.6693785409308588,16
107,3,0.19608289158703868,0.39314784449592177,0.5038193934522257,16
108,4,0.18323519736527744,0.31257958873914615,0.5176134767408771,16
109,5,0.15693090513631663,0.3142765468250862,0.48781957895509903,16
110,6,0.0023149029336699003,0.0021122006643008403,0.02894949121359301,16
111,7,0.01358211067330549,0.007455770516541966,0.016051348926445587,16
112,1,0.47374091162785037,0.8401513552440169,0.8761285880782687,16
113,2,0.2320802629117506,0.3300053524828901,0.6807212968700161,16
114,3,0.17132011769242378,0.3907516675174048,0.5187531476522197,16
115,4,0.16182129074795837,0.32227778363146764,0.5302674641369208,16
