,rand_layer,pearson,ssim,spearman,action
0,1,0.1782585713578208,0.6216253402998497,0.1925530844709063,5
1,2,0.09554345603584764,0.48808688647335363,0.02705892102479313,5
2,3,0.08472695216669966,0.462393426223213,0.12261127239783606,5
3,4,0.07985203672105126,0.4074258612741878,0.044395178723433536,5
4,5,0.12215739114625417,0.5133581986500779,0.1371104593612269,5
5,6,-0.0195865451351017,0.013796715362455381,0.011034599844542338,5
6,7,0.027889915001102564,0.06412250736128393,0.02177393805886808,5
7,1,0.1778625043924075,0.6287287889180146,0.21820043457298588,5
8,2,0.1005667335870152,0.4911325024101892,0.017667296724449534,5
9,3,0.07779906184194632,0.4557964097942893,0.10596294415520227,5
10,4,0.07590073782313442,0.41528334231291797,0.03557216892217386,5
11,5,0.11161350538614384,0.5126257241331124,0.13283851953687528,5
12,6,-0.0027286294939563,0.012128676879616837,0.018048520765693726,5
13,7,0.03975416376033512,0.06812274026850829,0.020943349531954092,5
14,1,0.18498813833458416,0.6298544319467505,0.22144658484381227,5
15,2,0.10821224448454335,0.49187761125393686,0.012818753336105717,5
16,3,0.07989350966890416,0.4558093264276306,0.10835482659812805,5
17,4,0.07418392588367213,0.41720089763171464,0.033709766690642066,5
18,5,0.11363397804838295,0.5111834649912634,0.1189594023228243,5
19,6,0.0037034108678215463,0.012733426501852007,0.0071752891247386826,5
20,7,-0.01392062840647737,0.06844552719778746,0.0045016010616049235,5
21,1,0.20393778643601224,0.6283942516398844,0.24638762720873925,5
22,2,0.12107751418925644,0.48618519637235175,0.005565473235207592,5
23,3,0.08699372742265031,0.4564146616083309,0.14278638589153111,5
24,4,0.07920478931419389,0.4170666443128924,0.004887103387733945,5
25,5,0.12421160039615128,0.5015149184011333,0.13193675651456982,5
26,6,0.014536261361548477,0.015011407399414544,0.00453782444582106,5
27,7,0.046454928529078565,0.06139162956387919,0.01905136647648861,5
28,1,0.2044560314249872,0.6243581429049259,0.2530513548547383,5
29,2,0.11772762895894909,0.4802526819720385,0.0026296945569653516,5
30,3,0.08339432972707905,0.45169994767533134,0.14415566159690363,5
31,4,0.08455315306599849,0.4166351311263868,0.0029537336652158117,5
32,5,0.12382751926393203,0.4893075799866285,0.16176445511805768,5
33,6,0.03250471968858211,0.01318335157520564,0.0026825009583256827,5
34,7,0.02633167019740054,0.05942323329788928,0.0028131741285481802,5
35,1,0.19074277105652424,0.635498351420193,0.2577523235991469,5
36,2,0.10675286601613324,0.49017698794612097,0.005011938237901268,5
37,3,0.0792852999347243,0.45152927897931816,0.11054155360459986,5
38,4,0.08384498013721994,0.42071382086871617,0.012790883477965467,5
39,5,0.10805614959026981,0.5028328219698992,0.1513101134594677,5
40,6,-0.008482118818032023,0.013189716476830841,0.01999426499193314,5
41,7,-0.007544361288304539,0.07151344875514652,0.017033656830057337,5
42,1,0.19247095695751285,0.637687349850766,0.2506597918701821,5
43,2,0.11453326370400013,0.493195293691389,0.007843527483121374,5
44,3,0.0853080015194467,0.4498417874792062,0.1004033503563754,5
45,4,0.07394285758957407,0.41892844418035385,0.028657223881604018,5
46,5,0.11241356348929123,0.5135104084249477,0.12394619893942524,5
47,6,0.010357067526610076,0.013844573962439974,0.008376900134204552,5
48,7,0.015710058754134865,0.05651457115602716,0.007104023140686371,5
49,1,0.19878352908458424,0.6321522955226045,0.24993373124449542,5
50,2,0.12518061869474686,0.4910974179267429,0.0020749574727344107,5
51,3,0.09250884969690443,0.45562108015478997,0.14141727552072897,5
52,4,0.07629793282645507,0.4153733692269789,0.009596274519781954,5
53,5,0.1269514669532138,0.5012165812757724,0.14810844457861586,5
54,6,0.0011314164435017966,0.013756732056539314,0.0062177249778191,5
55,7,-0.006135981002789505,0.05978355928231712,0.004574905267736028,5
56,1,0.19888475627364946,0.6266027611696999,0.2574982733951517,5
57,2,0.12648879623022113,0.48776982981482087,0.017789136967107072,5
58,3,0.08821742951441601,0.44709886180015995,0.13036134334676952,5
59,4,0.082752764610486,0.4152951759662281,0.001088949771918635,5
60,5,0.126530315692021,0.49030449053825165,0.1853470924920092,5
61,6,0.040560942375155166,0.013152260167542234,0.009609072729081704,5
62,7,0.022670374572468587,0.06872789430738022,0.006851226240838504,5
63,1,0.2028421162364295,0.641358734584838,0.26258864012792754,5
64,2,0.1305299179954857,0.5013232499477224,0.010634756442120244,5
65,3,0.0854706777775072,0.46125674903161534,0.1312863487426162,5
66,4,0.08090397488772608,0.42409617105950903,0.005291945494686099,5
67,5,0.12147334658095008,0.5022164080787587,0.16597052269685295,5
68,6,-0.0030119266469006245,0.0138581920501165,0.02297866982943446,5
69,7,0.013855905108294025,0.058590185757904666,0.008863588905652139,5
70,1,0.2003853934123995,0.6365218970048673,0.2570206493095059,5
71,2,0.1268242333245006,0.4962853726360778,0.00963278783765424,5
72,3,0.08852490203449723,0.4584864295026854,0.13645663412556952,5
73,4,0.07603845285741057,0.42048425707868664,0.0016340569222496584,5
74,5,0.12625278773749468,0.508073777178362,0.13379310445957954,5
75,6,0.006261745582261527,0.013402339613447993,0.006746517695258172,5
76,7,-0.006000574986299543,0.06078193422952992,0.01204583094107971,5
77,1,0.19460719786948977,0.6366715386131595,0.24306192209783112,5
78,2,0.1223043757421724,0.4945417575039391,0.0009116553664468513,5
79,3,0.08445412984393734,0.4554754878739492,0.11710374743218788,5
80,4,0.09053385671042145,0.4197640163029672,0.025411497314758412,5
81,5,0.1245458603422659,0.5110776161716775,0.1413028309372631,5
82,6,-0.008612328401804693,0.014675173158071143,0.011491943750349605,5
83,7,0.015480416423324716,0.06324923305560308,0.0147355485697435,5
84,1,0.26115735245575766,0.6874750753163154,0.6659379515807793,16
85,2,0.08223874629582563,0.5015641833481956,0.26370414177402307,16
86,3,0.08858996638260254,0.4786359902122248,0.19591891913199372,16
87,4,0.0681595834121058,0.4821387068664802,0.10608560074217495,16
88,5,0.05443673210776042,0.3750701088690187,0.006004682866446492,16
89,6,-0.009498506672889402,0.012086058613286774,0.003384082813557569,16
90,7,0.004064864200450324,0.06068320544343736,0.017997384948707368,16
91,1,0.2890999040636892,0.699894106792508,0.654528695909128,16
92,2,0.06654657560930496,0.46682584436233576,0.2779853446590735,16
93,3,0.06655679599856387,0.488877773448518,0.13689863842402586,16
94,4,0.057497968746546085,0.4861449404904662,0.03203235626555363,16
95,5,0.04905852904002084,0.41021598319150926,0.025495632408994436,16
96,6,0.01803672870904815,0.012363889831367153,0.006652043333936283,16
97,7,0.006374319829134912,0.05340731066024186,0.007782932076173284,16
98,1,0.23577994538229466,0.7198484635752876,0.5545650136163319,16
99,2,0.08866167743788986,0.529894590125224,0.2793469506933244,16
100,3,0.04746348904606214,0.5073824383774983,0.009876427320196644,16
101,4,0.05653974451527452,0.49199298847623535,0.0029288597514669527,16
102,5,0.05803472016858959,0.4792996439846686,0.15094637326844162,16
103,6,0.0034167703466428823,0.012791147075423288,0.011084153168886456,16
104,7,-0.0034755240031039765,0.06857909904491706,0.013138989045732269,16
105,1,0.26169784425592385,0.7444790005954196,0.571567922212558,16
106,2,0.10682674235467651,0.5276276321636364,0.315910402925783,16
107,3,0.07021816047904414,0.4705540680212135,0.07828316669637388,16
108,4,0.06710862582397313,0.513052301493924,0.012010042475394236,16
109,5,0.0552620139853322,0.4938081351410221,0.1409941512909266,16
110,6,0.013797345033886643,0.013460592893383628,0.003515218324580831,16
111,7,0.01093496855458599,0.06299117666448935,0.0006955925247537958,16
112,1,0.25502259200312627,0.7004747335237275,0.5436112656535229,16
113,2,0.07693374251820144,0.507039792481872,0.31133347487295265,16
114,3,0.07718707817413169,0.47750871236076,0.05373465860461313,16
115,4,0.0741449067549149,0.47027341500961806,0.058639339347898306,16
116,5,0.04385398910448539,0.48565769566596145,0.17702076752961557,16
117,6,-0.0023262077048815588,0.01259311232114222,0.0036026857699832365,16
118,7,-0.004772869667334181,0.05598543468663062,0.006050217622581158,16
119,1,0.25285440232596207,0.6800542690053529,0.4189286386563383,16
120,2,0.10861180968739548,0.5325543096837835,0.19548355231176523,16
121,3,0.03901548167785951,0.4844618595448585,0.09280217387128882,16
122,4,0.0798292919527375,0.47027311783377806,0.03326279047014334,16
123,5,0.10257996865891279,0.5088803791145068,0.210014049145573,16
124,6,0.005219516724039079,0.012699400240798287,0.006512230558490781,16
125,7,-0.020403594190412815,0.06669078143925247,0.022566834597635695,16
126,1,0.1649813188643734,0.6566420437565165,0.2129240800388835,9
127,2,0.08735248161326552,0.42074512218821836,0.03155982059962765,9
128,3,0.08811862724929742,0.4108487889340552,0.058324432860145214,9
129,4,0.07131781698932527,0.5236976605746633,0.07418586723779372,9
130,5,0.0747671938282076,0.45737082077894947,0.18312091581910941,9
131,6,0.02485116436154271,0.012637922883503927,0.004440384394667499,9
132,7,0.02956117797684921,0.0490307005015831,0.012554079333305188,9
133,1,0.16089474628042313,0.656136115254894,0.2153060970399757,9
134,2,0.0940491970778228,0.44044467129435244,0.0512455831056356,9
135,3,0.11171261447397635,0.42508769892615267,0.18637571477972992,9
136,4,0.07687978553829722,0.5354114974950053,0.014771988321667678,9
137,5,0.06826105846448954,0.45561364346703037,0.19731108127024932,9
138,6,-0.0007053234570307616,0.011270661192272817,0.013587961006126302,9
139,7,0.018176817613913304,0.057742675297244354,0.007042254591423019,9
140,1,0.16823968581328233,0.5696590399013285,0.27086838883798703,9
141,2,0.09870153830612194,0.42844585044261724,0.024975432619888004,9
142,3,0.13262788696707084,0.47300750305960415,0.20613609874261218,9
143,4,0.08215923466192789,0.4732550898536857,0.08769932246493578,9
144,5,0.05162875698700511,0.46021588560220184,0.20752409896465174,9
145,6,-0.00036636173125820606,0.01278047225740467,0.00671317275954753,9
146,7,0.012115647498077527,0.06259850209406098,0.006285164029204927,9
147,1,0.20052358569835244,0.5818485506424741,0.26789171453573146,9
148,2,0.08315876305952498,0.4056010677771671,0.07216563534806104,9
149,3,0.11380060055392104,0.4382483163186215,0.2236904947252837,9
150,4,0.07312756039894164,0.4282563860544026,0.06816779034844296,9
151,5,0.03345422350920467,0.41973768096056013,0.232879523280467,9
152,6,0.010658935152642466,0.013402300346773836,0.0009460331504230478,9
153,7,0.0027884473531361222,0.05690056131500785,0.007154523880883234,9
154,1,0.3651602786939575,0.7427873762705641,0.6491825645794843,13
155,2,0.0901697802213911,0.5547058132150327,0.24359133526221913,13
156,3,0.05717424056176297,0.4031749014204538,0.08523465717296223,13
157,4,0.08771974895403155,0.4531574847612333,0.34015328237141307,13
158,5,0.0887457832989468,0.42130164759937866,0.024200351338333315,13
159,6,0.0021843349043590013,0.012017310544175746,0.0033729768385743725,13
160,7,-0.0030013229724511307,0.04865514746987503,0.014394502039302693,13
161,1,0.38573986647460795,0.769115835893419,0.7154529587484005,13
162,2,0.08742035015095585,0.4582406348683285,0.18739237949427842,13
163,3,0.06148857248262225,0.48411340826464,0.2056247067118284,13
164,4,0.05871571814760885,0.4439901652306106,0.27687368758180186,13
165,5,0.07053945470077534,0.42836936154244526,0.014475174100164025,13
166,6,-0.015013738914808129,0.010105115082615499,0.01394498518951696,13
167,7,-0.018539511163881903,0.05598838688567398,0.01736798413197386,13
168,1,0.3994823581430323,0.7446653031968292,0.7574583013383916,13
169,2,0.08497774609059332,0.44645117610682256,0.1281274952301408,13
170,3,0.0726165732424905,0.517417869154496,0.24102097223679778,13
171,4,0.046847534286716064,0.4835993822885716,0.1943922241956099,13
172,5,0.057879272986550254,0.454986589745641,0.022977813877555008,13
173,6,-0.017295269902782844,0.013046833833830812,0.006148662434784718,13
174,7,-0.00010343334017918863,0.06184713856624198,0.01825587120266819,13
175,1,0.346522366497912,0.4125693559171334,0.6050669124583005,13
