,rand_layer,pearson,ssim,spearman,action
0,1,0.6566068685884021,0.8847208730320354,0.8602750775421981,5
1,2,0.29299122974194036,0.31550103185196293,0.603034250549821,5
2,3,0.2552223888143786,0.4047807024069346,0.3610241210030879,5
3,4,0.23348565798883547,0.33484164234803016,0.3746714495797971,5
4,5,0.215886840435267,0.33558545944606677,0.3852472049848678,5
5,1,0.6512610889813404,0.8740675104386213,0.8646692638256082,5
6,2,0.2932138090255976,0.3265578453287736,0.5845921541907142,5
7,3,0.27421896096101805,0.4040670797704885,0.3631464045953024,5
8,4,0.24050881875289934,0.3475984309456362,0.3807098925562928,5
9,5,0.2175133158465826,0.34183237325772864,0.3882822373530243,5
10,1,0.6549867895822674,0.8743351285299268,0.8632752573104153,5
11,2,0.29144536226411794,0.32680149367045086,0.5794436658690397,5
12,3,0.27668249843428483,0.40380747973214604,0.36261893361881864,5
13,4,0.24110410722998293,0.353207003972182,0.3753516057709524,5
14,5,0.21092466323848297,0.34257759427025153,0.38521892497609367,5
15,1,0.6469211287206373,0.8820182105855088,0.8576162795005045,5
16,2,0.2896933755934743,0.3168386512322278,0.5983616961283387,5
17,3,0.269349679635126,0.40679842091775464,0.35223432792722387,5
18,4,0.23944851750873947,0.33731501819824394,0.36920241481614224,5
19,5,0.20964749754064999,0.337221059425182,0.377488146699947,5
20,1,0.6442051740430236,0.8843778256168858,0.8567148705588614,5
21,2,0.29288753768398723,0.31192487070096553,0.6063938220378026,5
22,3,0.26149259812935066,0.405122655328456,0.35300470401964895,5
23,4,0.23402922563207665,0.3306375298389534,0.36983964827844296,5
24,5,0.21573836841468602,0.3383413183060113,0.37446161832171865,5
25,1,0.6604700110587145,0.8796668862075854,0.8630067025279105,5
26,2,0.2963106500707732,0.3232222408932734,0.5893256733346187,5
27,3,0.27567493871186943,0.3998032692501276,0.3651461732597998,5
28,4,0.2386561809629711,0.341388670739843,0.3908994442364333,5
29,5,0.21041246309008327,0.34259861976241207,0.3860366947855611,5
30,1,0.6618868724817094,0.8833322410125193,0.8612972981313316,5
31,2,0.28929391570819046,0.3224995961455784,0.5865689137217294,5
32,3,0.28454180387249434,0.400034768277651,0.3676463948355147,5
33,4,0.24536905283790972,0.3435105547764299,0.3880234068064028,5
34,5,0.207952136695764,0.33578889897216585,0.39159642920893367,5
35,1,0.6581798036943525,0.8863838744986237,0.861811167082567,5
36,2,0.29738774993095846,0.31449982366346696,0.5941191233228732,5
37,3,0.2887843607397138,0.3998322135255566,0.3672452914192813,5
38,4,0.2370777209539265,0.3417821996521239,0.3806259835848869,5
39,5,0.2115748923193576,0.34020687567742536,0.39087257976410933,5
40,1,0.6571629441471609,0.8820414811876075,0.8623514527321947,5
41,2,0.2934394630113695,0.31490516483959724,0.5963045617520044,5
42,3,0.28128542099054216,0.39905553032955116,0.36934540639821173,5
43,4,0.24056541523081684,0.3395169322443995,0.38397966422656343,5
44,5,0.2245889115218493,0.34351533631014813,0.38608293332413096,5
45,1,0.6631702770789039,0.8902515600821738,0.8601041158795328,5
46,2,0.290971053973844,0.30082557593373904,0.6140078365430731,5
47,3,0.27700779611698484,0.3972744435791017,0.36756749987073856,5
48,4,0.2323664483428191,0.3285677701848685,0.38189399905129007,5
49,5,0.22034498738282193,0.3331585043000403,0.38960143079122783,5
50,1,0.6655890203792977,0.8925300677756267,0.857039870141242,5
51,2,0.2845576020834347,0.29822196885481506,0.6226498643897174,5
52,3,0.2600655312951241,0.39617768259700475,0.3724507424991188,5
53,4,0.22198392076604065,0.32514200602196214,0.383507342715972,5
54,5,0.21431563352052113,0.33049003698021934,0.39147027157638337,5
55,1,0.7026807474709047,0.9178652002912445,0.8716108364366781,5
56,2,0.3084352316551966,0.28986087785794507,0.6474732052347084,5
57,3,0.22554289800226,0.3843822834611978,0.4041192613306677,5
58,4,0.21187596433658756,0.32076783888775656,0.3916997244341738,5
59,5,0.23306090431797116,0.3172701105232982,0.39909586468311786,5
60,1,0.6770829462898562,0.9206354677449845,0.8635915238217977,16
61,2,0.3121116855554824,0.3025193115825467,0.6445476084866227,16
62,3,0.23399854964072198,0.3898752766231622,0.40769427618174425,16
63,4,0.22101168559740314,0.3248586862357769,0.40960745101666035,16
