,rand_layer,pearson,ssim,spearman,action
0,1,0.11877411364214588,0.6716385820190005,0.11639984741165792,5
1,2,0.10228401420646642,0.5213219694199017,0.038138706520048436,5
2,3,0.09072969724587089,0.39726327111408144,0.09909894745864854,5
3,4,0.08762972531254934,0.41419780139161444,0.052047643198004465,5
4,5,0.046975868147043395,0.44373781438583143,0.02010213812453413,5
5,6,-0.011103856057642022,0.014682597497573398,0.03244890492835909,5
6,7,0.0007745619043503828,0.06290608287072354,0.001234490706146914,5
7,1,0.13097111167481634,0.670124194220984,0.09002334212924196,5
8,2,0.1113025684131625,0.5232683130997728,0.0309254268050648,5
9,3,0.07768814186284066,0.40067891411314027,0.10424322961817697,5
10,4,0.07850867693802231,0.4116091165185963,0.05267577206622246,5
11,5,0.051758328349035085,0.44415559667710003,0.029167312074494547,5
12,6,-0.0007235639789898991,0.012502470281323369,0.002461478138172083,5
13,7,-0.003861649740208167,0.07154617802697098,0.01389546620203981,5
14,1,0.12135334063629052,0.6714446495428336,0.09314536383237536,5
15,2,0.11318866809715009,0.5249352594834055,0.030186152701170563,5
16,3,0.08256196383631101,0.40443988924818586,0.10083264315609614,5
17,4,0.09118719997003683,0.41224352484506593,0.05542149891207049,5
18,5,0.05408115222180061,0.4442070048607943,0.02816629669681874,5
19,6,0.0011989658996250287,0.012487406302169008,0.001635383074303344,5
20,7,0.004651811905324507,0.07233772115032079,0.01063551440389359,5
21,1,0.1152842531587294,0.6628888456574412,0.14209797107937422,5
22,2,0.12023846182568285,0.5135319968926922,0.04731512542204732,5
23,3,0.09276502954610177,0.41319682184343826,0.10002189908493787,5
24,4,0.0825807638626849,0.40885765622691056,0.045024965566725354,5
25,5,0.05383598437954035,0.44150416340747173,0.03136225779557004,5
26,6,-0.009791415737770716,0.01324887677438106,0.014963168281258564,5
27,7,-0.006019853165183333,0.06628126333195962,0.014508980245467358,5
28,1,0.11571220301078224,0.6594253849469737,0.15305735198099946,5
29,2,0.11130040625565502,0.50937574149357,0.049175251016579505,5
30,3,0.09454988208183009,0.4140133986924199,0.10388280993679097,5
31,4,0.0927019622546777,0.4100313775444297,0.04342867987428294,5
32,5,0.04969164188231629,0.4358070079121044,0.03614258878028273,5
33,6,0.016798208357349,0.014253513679366095,0.00541423262744763,5
34,7,-0.011144951436249356,0.07149008196906721,0.014648155452770432,5
35,1,0.11840487249475648,0.6679554276568829,0.08785607798821894,5
36,2,0.12980433950700637,0.531020288607226,0.023737480761028808,5
37,3,0.08999516356294127,0.40614603416625544,0.10425661272367862,5
38,4,0.07422690339279428,0.414471684052086,0.053736408136899866,5
39,5,0.05776326492452716,0.43271345387982457,0.029667639940435978,5
40,6,0.019971993500153544,0.012962027617454555,0.004576964209923288,5
