,rand_layer,pearson,ssim,spearman,action
0,1,0.17245613728878112,0.6513051010798894,0.1626392068405275,5
1,2,0.06142930394543074,0.46045770156389226,0.15420225428565312,5
2,3,0.09110407720584165,0.4157248612961567,0.004398655527433973,5
3,4,0.0561409826376872,0.3929450832050538,0.07731420417601359,5
4,5,0.05988880053751276,0.40095617224179275,0.050973671557512444,5
5,6,-0.007598149927481845,0.016044697551105644,0.023310348408489744,5
6,7,0.007833274429644052,0.06322857218385287,0.01475794760069338,5
7,1,0.17744255431586448,0.6534522173966792,0.19531279015059871,5
8,2,0.059025933221015806,0.46857993928517194,0.14461852487911744,5
9,3,0.10132888118250685,0.4309544883670658,0.02244126239360928,5
10,4,0.056100511823893105,0.4010366612648191,0.05575466704430991,5
11,5,0.06827183444415541,0.40592799016828573,0.06057405605797967,5
12,6,-0.0036017906262198083,0.014754412849572188,0.007435972680105208,5
13,7,-0.008844014852582996,0.07007945006550344,0.005698740355881306,5
14,1,0.17483987240298202,0.6546540506840896,0.1967751382765211,5
15,2,0.0605415131374418,0.4725663245089428,0.14513364609505428,5
16,3,0.09501043763189043,0.43241860015123695,0.014546530186642813,5
17,4,0.05461769689081447,0.3985029997729216,0.05289210406030055,5
18,5,0.05762757825092421,0.40669763271740084,0.0592482077250566,5
19,6,0.015988843114390583,0.01460346484441779,0.0004292577695430918,5
20,7,0.01401146568857418,0.06870168768033978,0.003784411907261963,5
21,1,0.17317944456715678,0.6510119687338803,0.16475729260532543,5
22,2,0.047153868154681394,0.48365271793947406,0.13812507089644832,5
23,3,0.08790022442981493,0.4223099356675613,0.017469943733154313,5
24,4,0.060016593527095125,0.39372166482658255,0.06955775675172354,5
25,5,0.056761273839051794,0.4034297857716666,0.04593801835889116,5
26,6,-0.0012230284802381645,0.015981693471181647,0.013074176570098997,5
27,7,0.030715904003444993,0.06597311917663505,0.008985810838838874,5
28,1,0.16504880806324584,0.6556545166957578,0.15505272817431207,5
29,2,0.054643552261497086,0.4800063662750291,0.1409715962625164,5
30,3,0.0835631725055883,0.419936921420225,0.017600373631235955,5
31,4,0.059471295575505866,0.3928667268827671,0.07003891823650994,5
32,5,0.0595612283345025,0.40117285779629275,0.041506531972223586,5
33,6,0.0011120002936558073,0.013395571119688521,0.0026319983331324365,5
34,7,-0.007998331303800907,0.06020784574548104,0.013260188254173879,5
35,1,0.17512514045390803,0.659243519093137,0.18447580616318,5
36,2,0.06345280125941949,0.4699430834470449,0.14455319669122765,5
