,rand_layer,pearson,ssim,spearman,action
0,1,0.10652987752055246,0.5374032048478457,0.35100958929011333,5
1,2,0.08541379292577549,0.2746288667733404,0.18122938164465935,5
2,3,0.06155599101990662,0.31388128159838896,0.08321382074053853,5
3,4,0.014425816940002441,0.227400712852816,0.010161571823557905,5
4,5,0.021248774839057082,0.2063784242338626,0.026367977250506262,5
5,6,0.006694143162565542,0.0119771876947656,0.0014149562445020247,5
6,7,0.011248960544998758,0.055224041755261535,0.0053123178306814,5
7,1,0.10920494253527242,0.532761824274846,0.3765331599405258,5
8,2,0.09402387886562263,0.27737723699216127,0.18493614941156813,5
9,3,0.06072362117804839,0.32144162968636214,0.10342332799966901,5
10,4,0.011179158044512838,0.22571314078738847,0.010137194026119357,5
11,5,0.021859580826003477,0.20991390982374178,0.02155717553140256,5
12,6,0.023797398447734146,0.012183738647363045,0.003102530333682217,5
13,7,-0.003929676375121554,0.059494147531190186,0.0019848468291927394,5
14,1,0.11083595203160561,0.5305827444725637,0.38261261299216326,5
15,2,0.0938127428200621,0.2721603249361821,0.17862918811580533,5
16,3,0.062043897390939344,0.3205759180457298,0.10506118087387219,5
17,4,0.00841298932204748,0.22333697000524297,0.014823418408302633,5
18,5,0.025997243188723373,0.20690023696618734,0.01835055050998802,5
19,6,-0.0012055460289753955,0.013533343470976986,0.007182699267716358,5
20,7,-0.0053908557404022785,0.06461268253403761,0.004640717826563047,5
21,1,0.09812007497683868,0.5218517902715324,0.3504605592822472,5
22,2,0.08822466262606111,0.27277289625530576,0.16974518319551246,5
23,3,0.06318013934973186,0.30337752319988587,0.07416159391394285,5
24,4,0.013717627009427118,0.22995121125502552,0.011037464832594516,5
25,5,0.014165070390617197,0.20607431117393377,0.022744266584874172,5
26,6,-0.014441187344013822,0.012693863705242722,0.015169073560994235,5
27,7,0.025560921689112993,0.05660325334801706,0.002216601455044429,5
28,1,0.10315120026869241,0.5217704178138736,0.33973075983652107,5
29,2,0.09131420119461381,0.26942222759338663,0.17493990005450144,5
30,3,0.0599442943689112,0.30099567141356487,0.0722956056469961,5
31,4,0.015029667596418588,0.22858908608075695,0.022142890901739386,5
32,5,0.021169048945563082,0.20584300472880193,0.028413435357262866,5
33,6,0.01534412810873255,0.012200569793443652,0.0023916199973946974,5
34,7,0.00635025125088823,0.05819746738829402,0.00883080702040049,5
35,1,0.1090485836192309,0.5302636484274782,0.3653259657555304,5
36,2,0.10063326209998678,0.2775944617874918,0.18161041653400012,5
37,3,0.06673418093444126,0.3179872715113235,0.09779735407608196,5
38,4,0.0122629079658921,0.2268267275545766,0.001317084425499612,5
39,5,0.03012099550204205,0.20572806820522146,0.01590282839699065,5
40,6,0.021233262405534352,0.012822009719263214,0.0010227546185714873,5
41,7,0.0020873039653355836,0.06513748257584537,0.011686777794634865,5
42,1,0.10469487429286521,0.5270185278454163,0.37503578021849976,5
43,2,0.09655976212455122,0.27454513461181346,0.1726492191833073,5
44,3,0.06487135939639195,0.32006022593859096,0.10152687865515293,5
45,4,0.012784801027941734,0.2244681842058851,0.009659657281432449,5
46,5,0.02452286059554809,0.20427333614883225,0.011728913900686736,5
47,6,0.02011447479237601,0.012844405410679906,0.00846998420464896,5
48,7,0.00785326122733139,0.05362737618311596,0.027440420160942943,5
49,1,0.09786659786281718,0.5316941451626651,0.37792806663159223,5
50,2,0.0999842417693259,0.2724749095714127,0.16172565434426192,5
51,3,0.06145031599465601,0.322345642610351,0.09839369434006578,5
52,4,0.017109909015588235,0.22350925849863168,0.006432417132897002,5
53,5,0.02136448418560876,0.20658785525891424,0.01763131436889577,5
