,rand_layer,pearson,ssim,spearman,action
0,1,0.06913993948741232,0.5046306895160506,0.4218728955325726,5
1,2,-0.00729800731622598,0.43205279059417834,0.3114629706245679,5
2,3,0.028776883725283222,0.3897743039705699,0.11464762566326683,5
3,4,-0.00430484921901636,0.4994042690638323,0.0879905378309936,5
4,5,0.0092236036673038,0.4690772401392826,0.00709073582500193,5
5,6,0.014450654602760668,0.014368881731658064,0.008380634077539943,5
6,7,-0.010471789887020362,0.06037679289552132,0.021354883738376122,5
7,1,0.06869681585344044,0.5057476734540703,0.4243939902558045,5
8,2,0.002522301237580498,0.4320366207444831,0.31347290418136586,5
9,3,0.024797314662140784,0.3903861555049312,0.10949231305293167,5
10,4,-0.002817152896801462,0.502745228095278,0.09066885184991944,5
11,5,0.008793503572830978,0.4694907650212495,0.006537097664799917,5
12,6,0.01465444858598436,0.01200704210092715,0.005705565337324196,5
13,7,0.02632816435933817,0.07182648864835631,0.007331512413785604,5
14,1,0.0696416630821203,0.5065609228467096,0.4251589101164742,5
15,2,0.0020910739783896954,0.43429068220728667,0.31864545644457865,5
16,3,0.022739560003810656,0.39148662293274245,0.10836182368995444,5
17,4,-0.001702387213093925,0.5040984375444253,0.09243024716882285,5
18,5,0.008291175785453714,0.46851845098281836,0.007204704356564685,5
19,6,-0.0006352814930133506,0.013922368496263895,0.012833039199826236,5
20,7,0.011829740382533888,0.05528335199288732,0.005017202286313933,5
21,1,0.078228157344039,0.5183590734450373,0.4386909262271657,5
22,2,-0.01165077507647947,0.4402395205236332,0.3240681610623629,5
23,3,0.016482785981764926,0.39231544937317403,0.10799226717974461,5
24,4,-0.0028124831390077838,0.5102010829255671,0.10677019844611675,5
25,5,0.0021013863301083367,0.46912709534573144,0.0011405999919921667,5
26,6,0.019816217919194853,0.012998677575638455,0.006273288495602123,5
27,7,-0.008759992960139334,0.057688814414113755,0.013903614272006199,5
28,1,0.07909899669611635,0.5216800289319814,0.4436165286815696,5
29,2,-0.014644369499002826,0.44118899893805524,0.33085839702508346,5
30,3,0.016043542604345436,0.3925421505432225,0.10637696405724416,5
31,4,-9.826977361486813e-05,0.509895315980233,0.11184043573603863,5
32,5,-0.0005165678385910001,0.4693328655444173,0.003948943025619159,5
33,6,-0.006768113556450419,0.012114526364784195,0.00353380316770888,5
34,7,-0.000755879921904087,0.05562352861031213,0.00750394959180809,5
35,1,0.07078020566280915,0.5091158407178807,0.42959406738771555,5
36,2,0.0007242862873125325,0.43672098657332414,0.3278203833233648,5
37,3,0.021810904148095535,0.39104762738334475,0.09924668512346045,5
38,4,-0.0013745636925276842,0.5063102188703539,0.09685625221097315,5
39,5,0.0028671504351647746,0.47012568403899546,0.0026860124055119454,5
40,6,0.022937542252882796,0.013903855140230249,0.011202709212296859,5
41,7,0.00369512599260781,0.05955553310708586,0.0052075572422911436,5
42,1,0.07158217079647135,0.5062465341241245,0.4282544605721366,5
43,2,-0.002087627136274957,0.43638761720781327,0.32754200095522445,5
44,3,0.020309978918336212,0.3897102423404402,0.09814316667218097,5
45,4,-0.002415093334156347,0.5061163799284955,0.09191190642316091,5
46,5,0.009809186793637011,0.4682177045833939,0.006970514482872559,5
47,6,0.0015440833754289795,0.012451733024754092,0.014307957450929311,5
48,7,-0.01974959877529158,0.05520867197268195,0.009962448984401429,5
49,1,0.08125275732938013,0.5147294220877038,0.436293045142992,5
50,2,-0.011569318670949066,0.44331194940494306,0.33116663824601156,5
51,3,0.018729406640238623,0.38768915992109815,0.10140951200798862,5
52,4,-0.000908060122785102,0.5069823618653337,0.10329841960668952,5
53,5,0.00485762459586764,0.46904358466140267,0.002603313699658454,5
54,6,-0.00975533945533325,0.01419046424993388,0.01681622269125805,5
55,7,-0.002176851354240024,0.05930060785908844,0.002309258006833581,5
56,1,0.07945755506312137,0.5156748796233162,0.4364574972718429,5
57,2,-0.011848839859853823,0.4419018716581778,0.33141085587891017,5
58,3,0.016143909701548997,0.387038577052072,0.09841753836021057,5
59,4,0.0005275386358744583,0.5052861258904698,0.10751901942889763,5
60,5,-0.00020787178165574197,0.4696620599961828,0.003730615888436808,5
61,6,0.002136627930661535,0.01206214098612687,0.0022112850220918985,5
62,7,-0.016411979963324448,0.058486485873676046,0.010220325686422355,5
63,1,0.0718338638633895,0.5169012743232081,0.43732083138361266,5
64,2,-0.013480513089827655,0.44052156277407983,0.33624389402117283,5
65,3,0.018301820347614642,0.388148062218716,0.09682704726450968,5
66,4,-0.003747333242575526,0.502979774593106,0.096602639102526,5
67,5,0.00043359004273883783,0.47072171572352034,0.0031324238654010833,5
68,6,0.012484944135389796,0.013134833908871824,0.0019199580892741471,5
69,7,-0.0024649653665099677,0.05182851434942623,0.001728278206973815,5
70,1,0.07190677034617184,0.5164763342022693,0.43570758398573783,5
71,2,-0.012354856321061824,0.44366393241006485,0.3387025982313141,5
72,3,0.015880747599967146,0.3876096592850325,0.09401230036908238,5
73,4,-0.0047678632572527415,0.504697218304392,0.09361704222843695,5
74,5,0.0016872176686014474,0.4697747991799837,0.002039487130328656,5
75,6,0.019961051114998515,0.013305700432657316,0.0012437141841239623,5
76,7,0.01190911285137556,0.06249111137326184,0.011004872813737408,5
77,1,0.06580144703704813,0.5086625934689764,0.4265088955728229,5
78,2,-0.011718712124266974,0.441792262727387,0.33579399034694074,5
79,3,0.022029903958154958,0.3862255965390932,0.09030309167190269,5
80,4,0.00011153879636005906,0.4998315056410353,0.09066197932621817,5
81,5,0.0029907412715626668,0.46842362010597444,0.003369106255244124,5
82,6,0.014526803612045305,0.013080510794275841,0.021485779914230212,5
83,7,0.0006202095460016451,0.05521877638134948,0.004127270381938524,5
84,1,0.03001002842543049,0.5690532841909246,0.2927815977013361,16
85,2,0.032610615293535546,0.47501374717080064,0.3708078409355004,16
86,3,0.03371708402856098,0.3932391756344983,0.31778598254238927,16
87,4,0.10002771363165955,0.5805965831413631,0.4582530412165891,16
88,5,0.15517009679691715,0.5415977019267153,0.6158766112248588,16
89,6,-0.027561528513387584,0.01272593423279429,0.015348276127522327,16
90,7,-0.009032735412626867,0.05676752634763561,0.0005313105197041078,16
91,1,0.03223063729691848,0.5866364115768536,0.3198674670053772,16
92,2,0.035306195623387014,0.4595613378941318,0.34890671914685245,16
93,3,0.04047134987522098,0.38590590373939,0.28159018634932453,16
