,rand_layer,pearson,ssim,spearman,action
0,1,0.27916534533986725,0.6216594968936773,0.6740030162383102,5
1,2,0.46405447479356354,0.8190761490189117,0.8672099854861763,5
2,3,0.657348977483647,0.92444555821877,0.9474503716918936,5
3,4,0.7601566213469405,0.9630309082655307,0.9755007033962695,5
4,5,0.786160532467261,0.9720981270868575,0.9790110318290712,5
5,6,0.021339624240829483,0.01763999565724024,0.014975265968515242,5
6,7,0.016720363300014515,0.05032190774340464,0.004292267039897527,5
7,1,0.2763849764851972,0.6207747175689899,0.6734008455421756,5
8,2,0.4614365001680654,0.8194247009686663,0.8673693662628549,5
9,3,0.6593242306511391,0.9246950153321766,0.947631272862857,5
10,4,0.7598416198363481,0.9631624577494177,0.9756551562887046,5
11,5,0.7869626087610082,0.9722926494163133,0.9792791508431703,5
12,6,0.03228314111964057,0.016058198495457067,0.011236825714987162,5
13,7,0.021799303642808236,0.056907265686015486,0.000774787004113975,5
14,1,0.2724419265248129,0.6207589302118464,0.6729736572475988,5
15,2,0.4649995378881345,0.8198047483343883,0.8676983788730018,5
16,3,0.6605451357346342,0.9246588861895542,0.9477334330957389,5
17,4,0.7597387846457617,0.9631387707493059,0.9756989925727808,5
18,5,0.7845518044772162,0.9723339665255976,0.9793474542161542,5
19,6,-0.00457779128244019,0.012088678255671306,0.007024207901796918,5
20,7,-0.001016388727171402,0.05929809642527203,0.004003391256644531,5
21,1,0.27761318860576467,0.6260606889833031,0.6765917409575541,5
22,2,0.4635792184247456,0.8195804384040927,0.8692705083283034,5
23,3,0.662550489471687,0.9241320230560172,0.94860634160806,5
24,4,0.7638402016443443,0.9633030120820749,0.976114614346296,5
25,5,0.7889364252114166,0.9726224241485155,0.9798870000682476,5
26,6,0.009765377198781698,0.018880472169576806,0.025932967176261534,5
27,7,0.02141536727013922,0.043955897144020026,0.002510702760440254,5
28,1,0.27412613499263894,0.6264664058578593,0.67748380523942,5
29,2,0.4620828174342439,0.819957300722064,0.8696970628362249,5
30,3,0.6625313565934584,0.9242704878492327,0.9488726675121614,5
31,4,0.7664016285152883,0.9632982499092178,0.9762217418829426,5
32,5,0.7899098562548336,0.9726736068635897,0.9800142462833551,5
33,6,0.016893195364143077,0.019950136407494372,0.011111421525609275,5
34,7,-0.0008807282412652375,0.03856058813217578,0.022249824142307438,5
35,1,0.26898465487308804,0.6201295892984784,0.6726671706052818,5
36,2,0.4660099387283311,0.8200707592345464,0.8676136467142108,5
37,3,0.6614100203330172,0.9246327513343376,0.9477926009775567,5
38,4,0.7617505759337954,0.9631221943177128,0.975742115411342,5
39,5,0.7839100003841257,0.9724224035966439,0.9794902875043937,5
40,6,0.010379815215454821,0.012039407269424084,0.00987456948084126,5
41,7,0.0065083926578276335,0.05158472266375053,0.015037401928509156,5
42,1,0.2701847417880906,0.6198659993790767,0.6716106346555996,5
43,2,0.46668113748380624,0.8201309582380243,0.8673794714264248,5
44,3,0.6597689786615906,0.9246481006612237,0.9475249381573123,5
45,4,0.7620524137938202,0.963182504550185,0.975762996963435,5
46,5,0.7845031972530125,0.972388491567958,0.9794080230964565,5
47,6,-0.00011232784550872094,0.015799270759616395,0.01108965358082912,5
48,7,0.00979396637962675,0.049253927364374145,0.003592910417247238,5
49,1,0.2707847546604681,0.624343499724169,0.6742645647970166,5
50,2,0.4666552451830631,0.8193558772510977,0.8695605532043814,5
51,3,0.6607975254010857,0.9238842118606942,0.9485678994789962,5
