,rand_layer,pearson,ssim,spearman,action
0,1,0.14932543499742423,0.5662917472070743,0.45849035607439653,5
1,2,0.010166132724013647,0.30777289437051975,0.1924583514319549,5
2,3,0.05788222956212894,0.3287674599250785,0.2535007888057914,5
3,4,0.01791196305653789,0.3138934553051537,0.36765037560294894,5
4,5,0.02980105161764421,0.2609960207436486,0.27931850395222896,5
5,6,-0.009545007015521604,0.0045126200737653,0.009643974621851637,5
6,7,0.013535945766099153,0.00980576760758824,0.005548119261318236,5
7,1,0.1355350995442712,0.5621903290227739,0.4608992301478754,5
8,2,0.018415957477731896,0.31980426562093833,0.21008034916516613,5
9,3,0.05720106795414741,0.32687170390936265,0.23385427810272685,5
10,4,0.02248440847205386,0.31032901524100104,0.36322271931980105,5
11,5,0.035217672334390784,0.26144281237492634,0.2890427934213245,5
12,6,0.019841012046363612,0.004323095350189244,0.0036434121192415346,5
13,7,-0.006090925331247395,0.010997074747917836,0.00931484739274961,5
14,1,0.13614542577751673,0.5623156718642921,0.4624746726252175,5
15,2,0.02010602695258111,0.32196958829925976,0.2117012187562375,5
16,3,0.056588102008067596,0.32542232447594627,0.22785139861296597,5
17,4,0.017549489878897474,0.3086482700507877,0.36246820226367144,5
18,5,0.03903661994965513,0.26533784161067525,0.2863533770060342,5
19,6,-0.004770367205488231,0.004763464620425345,0.01615607650555263,5
20,7,-0.013364004845652228,0.01415644841938813,0.009579668206513084,5
21,1,0.13936027366715445,0.57332932586243,0.46797596856684315,5
22,2,0.0189375005379731,0.3049209070462003,0.21954934915947677,5
23,3,0.05014275817937552,0.32472543500018547,0.23612514419554484,5
24,4,0.030920594007522437,0.30645251083206376,0.366474923214117,5
25,5,0.02679980408982918,0.2668155333224576,0.2704818587430586,5
26,6,0.005391299145635875,0.003962749570084354,0.014774743421224586,5
27,7,-0.005319785481699514,0.010089864001498264,0.006151355134007264,5
28,1,0.1497195240650408,0.5742432941099249,0.4697223217337595,5
29,2,0.02048412182089532,0.3111751829730591,0.22151427062599285,5
30,3,0.05153094066168457,0.32629433453570456,0.23648033224322468,5
31,4,0.024296662291029485,0.3046086047907964,0.3699148053325166,5
