,rand_layer,pearson,ssim,spearman,action
0,1,0.6520098959287048,0.5165789192364479,0.3749029720699171,1
1,2,0.6278172635534147,0.39787441556954356,0.05192133976619972,1
2,3,0.6146521010254782,0.31121679797970986,0.1376393130538875,1
3,4,0.6091722454233207,0.35667353341253694,0.0011973398466436612,1
4,5,0.6027050363141055,0.31336039998146475,0.0976913897478189,1
5,6,0.004468240699581092,0.01692890792532313,0.007610427420604936,1
6,7,-0.011727571919830728,0.057080817404055566,0.0008111660056575229,1
7,1,0.7167315102652225,0.6459524667992461,0.510638457461279,7
8,2,0.6075576924410087,0.3062849969709437,0.12599194018865695,7
9,3,0.6349394002891173,0.395236181436677,0.12269218338872226,7
10,4,0.6156726942897034,0.3031919737715173,0.1037018997064169,7
11,5,0.6081735890993021,0.3647950664417059,0.13661523192159453,7
12,6,-0.007519496374572434,0.01834360701254328,0.014388283493457967,7
13,7,0.010106849006192277,0.05326950406726266,0.011121258286463537,7
14,1,0.76647503393935,0.782617049980812,0.7216815396278199,6
15,2,0.6108017097602955,0.30852762797921396,0.005152743286847836,6
16,3,0.6421453914387021,0.33394150862445365,0.06102702453672742,6
17,4,0.6212391186571808,0.3290105403764061,0.06958821071008098,6
18,5,0.6099502314506676,0.343995982128352,0.016356653195896798,6
19,6,-0.008245708833096523,0.01378240976637023,0.008689363300235389,6
20,7,-0.001944779796243056,0.06011605823474543,0.00012123059903442997,6
21,1,0.6122441588991212,0.35421945853537834,0.11485837809226722,4
22,2,0.6324721956165265,0.30794009307930176,0.029401460552221977,4
23,3,0.6103744182344203,0.31983668298057477,0.08539199209182514,4
24,4,0.6148260645685395,0.3464998993565344,0.03867589878010354,4
25,5,0.6048884013686013,0.3098147790619834,0.024872631735144417,4
26,6,-0.019552179221985953,0.015564423416892398,0.01411983232980046,4
27,7,0.02267513971789404,0.06558331398797054,0.005866284882653322,4
28,1,0.7627684872187287,0.7567683214501941,0.626470381993483,6
29,2,0.6302902997752217,0.34547191380682174,0.1570675607748863,6
30,3,0.6312614239768766,0.3127359924119238,0.04589491306033173,6
