,rand_layer,pearson,ssim,spearman,action
0,1,0.5382036331364334,0.26591203950999653,0.2764825764954244,1
1,2,0.5150481098967244,0.12579621725606102,0.010940256705159851,1
2,3,0.5038790001470796,0.08889695829591314,0.056278527560716246,1
3,4,0.48573250129804507,0.18539024881544505,0.11230249282486215,1
4,5,0.49571891633473575,0.16636660222150323,0.08923757192273023,1
5,6,0.008159761820674804,0.015586545334889144,0.004480764723224899,1
6,7,0.023081136072617137,0.039391698284370905,0.0011281441868345762,1
7,1,0.5787781201712063,0.49951568937157004,0.57429913540157,7
8,2,0.5009093624244957,0.1906856637945635,0.17439591269925853,7
9,3,0.5154035553507526,0.250503382431902,0.15322723631660862,7
10,4,0.4946148589103149,0.10092202911044458,0.0009410957017795218,7
11,5,0.49180794477653433,0.19180222595262073,0.10520996110709833,7
12,6,0.007815408043829597,0.021178069073574043,0.017417272128217677,7
13,7,0.01962662425869859,0.05509679228500797,0.004902539916777226,7
14,1,0.6128114231667889,0.6834332943325775,0.8026903172082599,6
15,2,0.5138266556959985,0.11951551193247405,0.024648753127209287,6
16,3,0.4882876836824239,0.14268215129825135,0.042084389983440496,6
17,4,0.5214287386892688,0.14336996100907895,0.057438257469707106,6
18,5,0.514996313658066,0.16081200651959857,0.04383314640262356,6
19,6,0.009505812855230045,0.012383331310913516,0.001783673255611838,6
20,7,-0.0066788508671193625,0.046748639806846196,0.0014253992907966165,6
21,1,0.502837099988593,0.25493391728479886,0.23084876498906007,4
22,2,0.49117954109472517,0.14528354161521798,0.07349317819722326,4
23,3,0.4956385308740769,0.10379904021714499,0.020859324840346454,4
24,4,0.49238643732606807,0.17629200399438666,0.09686929074114511,4
25,5,0.5113057993057313,0.16441630622325382,0.0800367831446623,4
26,6,0.0072146277014392,0.012117533878809459,0.001566387713048436,4
27,7,-0.0036561839469537996,0.045346209098410514,0.005384762880197159,4
28,1,0.6563345181628684,0.72437439182984,0.8158918560764371,6
29,2,0.5002147145085472,0.10602567252480587,0.005055592825356605,6
30,3,0.5017983114944264,0.14329949283258814,0.039609152599384516,6
31,4,0.5063919939873068,0.15804311632033818,0.05821031242601248,6
32,5,0.48833917561677487,0.17424273877468838,0.049912812082505295,6
33,6,0.016632660962984425,0.014268526806843913,0.002159227739876795,6
34,7,0.01393185102412,0.05062555308220845,0.006551853210907492,6
35,1,0.6185469407985223,0.6370023158227719,0.7868541087422233,6
36,2,0.5122868949913375,0.09068293008720979,0.007816341279572925,6
37,3,0.48801773681217653,0.11973005816862055,0.09045550623350897,6
38,4,0.47861256626629356,0.15808405219127747,0.011944875839900481,6
39,5,0.49500309139166176,0.18654845752410976,0.0670398759578702,6
40,6,0.0034895522221403607,0.01780332221151377,0.0026196935150709123,6
41,7,0.005575236864661733,0.04144142260185151,0.008454822056523254,6
42,1,0.5270896610811756,0.30492704433814527,0.3004207202502591,1
43,2,0.5100951061424869,0.10513057262215571,0.02454464263613478,1
44,3,0.5048325675080378,0.1261917744696306,0.0541296184710872,1
45,4,0.5046832865604515,0.15444259326620133,0.053976112540417086,1
46,5,0.491022285739265,0.15504807385859654,0.1449742411505287,1
47,6,0.004871480575414142,0.023940733746789466,0.026051443381327317,1
48,7,-0.0073300819696157475,0.0507409332319738,0.004348012875529133,1
49,1,0.6487846773131759,0.684907312796616,0.7899397003760438,6
50,2,0.4989344552547139,0.1334376132098192,0.07512401630818387,6
51,3,0.512147410454624,0.14550714293280773,0.0344924400367779,6
52,4,0.5003878309125549,0.12263167893726262,0.013056454771024266,6
53,5,0.4988145016987942,0.1671087862236097,0.03986878070336828,6
54,6,0.00859310263359486,0.011687372609605045,0.005022964622849144,6
55,7,0.0028295855961993108,0.05131513386700414,0.009438604717298411,6
56,1,0.5168125950591516,0.20657016889873356,0.1518822751231667,4
57,2,0.47763921109580565,0.1428647940459308,0.10339939937116176,4
58,3,0.4944310404628683,0.11162690675082385,0.04975176242029709,4
59,4,0.4854270754700054,0.1278667842012072,0.017451478115167077,4
60,5,0.5037972038617383,0.17901149119359694,0.09100378568287756,4
61,6,-0.003250333478944243,0.011780746417558998,0.0025276488217231036,4
62,7,0.009129646093517536,0.04146120819356412,0.010750587118054912,4
63,1,0.5581403124564102,0.5094487864738695,0.5822076131009044,7
64,2,0.485578222683593,0.16130020305327267,0.1547698334452686,7
65,3,0.5104812059015251,0.18032051450926848,0.12595786363311562,7
66,4,0.47769208421416576,0.12031438584498626,0.04257923553027278,7
67,5,0.4936027092807679,0.12921140847922966,0.01879103539128399,7
68,6,0.018548863653937972,0.01819374949393882,0.00434314182143296,7
69,7,0.006674433340554214,0.04153061676117375,0.011332174054658414,7
70,1,0.6478719564475882,0.6665567319889141,0.7899130503601537,6
71,2,0.5206878696337937,0.12107161083824294,0.03727903876660853,6
72,3,0.4859408602379599,0.11980692850785737,0.04840998136611954,6
73,4,0.5082591628405233,0.15131127169313804,0.049919051470856506,6
74,5,0.5013426901309298,0.16047751355177592,0.042465821961035974,6
75,6,0.024959758309171617,0.020414507508767662,0.007141641606384829,6
76,7,-0.007849631806450803,0.04196896777407391,0.006316039141647408,6
77,1,0.5120898074055421,0.23309907526286966,0.1971099836277223,4
78,2,0.5127906175649166,0.1620443198218605,0.09126263259514905,4
79,3,0.4806606544537261,0.14346986452052846,0.040347939050236314,4
80,4,0.4838150427827801,0.11134767827810055,0.030506095690255326,4
81,5,0.5086539458322145,0.1707645240680516,0.07239006929855417,4
82,6,-0.010188913492304207,0.01316784729022421,0.005334303079536268,4
83,7,0.01056292763791871,0.0452484055964349,0.008448018563889496,4
84,1,0.5187930622202878,0.21139427930246787,0.21269920987434646,4
85,2,0.5180658420984228,0.15240628816403634,0.11975450209198096,4
86,3,0.4774869450251255,0.10018757657595545,0.011921197966583313,4
87,4,0.5037668176849683,0.1300683176207382,0.035331227430016286,4
88,5,0.508201880464161,0.1821494807403367,0.10388944722784633,4
89,6,0.006126688889238537,0.014757731793601687,0.0043453906768619755,4
90,7,0.01529768109410702,0.04284053976354573,0.01639381006166549,4
91,1,0.5341536288020902,0.32251442796919405,0.31428521733353665,1
92,2,0.5155640635554635,0.10290233528492448,0.020796497200554577,1
93,3,0.4911258521638208,0.10054424498677855,0.055021831807717664,1
94,4,0.4882244708158263,0.1805716911523203,0.08111368487012603,1
