,rand_layer,pearson,ssim,spearman,action
0,1,0.7196142012279284,0.42295271394813766,0.6074508522659358,1
1,2,0.7202192399581551,0.19640260236756593,0.16542167042529626,1
2,3,0.7115530608636713,0.20784320826109728,0.03023372566519775,1
3,4,0.6976992007911184,0.2635934550126135,0.012646526787208442,1
4,5,0.7118591911740554,0.23246302554765608,0.13323239487126362,1
5,6,0.01367847500476093,0.013409209187946856,0.008866610398904629,1
6,7,0.014143084600431594,0.05880405083625267,0.00030931308914291925,1
7,1,0.7781810240512346,0.5094960012256498,0.7432539903895959,7
8,2,0.6859378113221465,0.1610879475157839,0.15231932679358354,7
9,3,0.6908294197511765,0.20723934507761468,0.15982436707599873,7
10,4,0.695771964794602,0.22810952448877858,0.08796627592856746,7
11,5,0.6964899808398781,0.22227924059944437,0.10696714453059632,7
12,6,-0.013280578424426733,0.01526559885409676,0.02391398317847763,7
13,7,-0.0055229833958167955,0.05395440271843664,0.00011708364993538405,7
14,1,0.8331550756199055,0.7373686019714338,0.9109850265760348,6
15,2,0.6989279346253692,0.20302602240821244,0.10911235247710956,6
16,3,0.701436780099435,0.1749429800937434,0.05740901592968309,6
17,4,0.700795857875983,0.17607853840263044,0.14655308433408507,6
18,5,0.6894123516641932,0.28672740739532754,0.07644016607033287,6
19,6,0.001047082076873028,0.012357970537736875,0.0023434253797722533,6
20,7,0.006928519645810963,0.05817678763273224,0.02237065195185063,6
21,1,0.7058087914628347,0.20596675891115693,0.11478456279036411,4
22,2,0.6791077838729627,0.1730593443207269,0.11986070492234381,4
23,3,0.6883878215769577,0.15769717513757753,0.057546079736072495,4
24,4,0.6713571864056351,0.21104590533105555,0.1459155782578553,4
25,5,0.6927206868847186,0.2624185494513784,0.014611639267186767,4
26,6,0.008558405231504411,0.015354934734468716,0.009494345269502949,4
27,7,0.010804369364748906,0.055508122289816005,0.0011722015119725597,4
28,1,0.8259472154521807,0.669694066939503,0.9019260652328094,6
29,2,0.6882104680475649,0.19377676998788226,0.12994286351791792,6
30,3,0.6874755659170215,0.1591790288357928,0.015167863318697258,6
31,4,0.6859545489658248,0.15933888545268393,0.09164468598841334,6
32,5,0.7113322828653225,0.2584133365466441,0.02643100192048706,6
33,6,0.013634126374224988,0.012050440970000695,0.014230381983741979,6
34,7,0.007773519876264812,0.0650156723214747,0.02662467565611568,6
35,1,0.8314014680876163,0.7196130114466976,0.9067392361083443,6
36,2,0.7105109572880233,0.21414109659523678,0.11400680537736377,6
37,3,0.6915017098568362,0.21616848249701892,0.03386272900413582,6
38,4,0.7139539225389033,0.19796564721609278,0.10014582951493758,6
39,5,0.7005491723291208,0.26629452146540383,0.08611272701192935,6
40,6,-1.999312328543378e-05,0.012274621239117387,0.0017048896931106782,6
41,7,0.006546623011463406,0.04863912864207427,0.012065845811746748,6
42,1,0.7470765616694913,0.424531493737896,0.6303676019412061,1
43,2,0.713258092326102,0.233516643379882,0.1805895337439935,1
