,rand_layer,pearson,ssim,spearman,action
0,1,0.8172734345584932,0.5292783409805943,0.5403946317832572,1
1,2,0.7808938563439293,0.41401702718841166,0.20443774819381885,1
2,3,0.7964862048936328,0.3638969983967785,0.049215695921231366,1
3,4,0.8143345913484841,0.4578177080609438,0.22249416418630916,1
4,5,0.7362372829707919,0.34744834560101534,0.016943948911536087,1
5,1,0.8191218132880099,0.5649208589242728,0.7177464846625181,7
6,2,0.7529985104205308,0.35245523912449706,0.015838586762647745,7
7,3,0.7581563893077508,0.3721892489877969,0.10599420834320414,7
8,4,0.7895690448139087,0.42802393760411533,0.04002781702716961,7
9,5,0.7623638498958818,0.37098215893939235,0.08187692237008257,7
10,1,0.916648276808302,0.7968432832367174,0.9077173433154099,6
11,2,0.7660373888297332,0.3675684750381124,0.08437062079648074,6
12,3,0.7676797574326278,0.34806549576732104,0.006332201870945937,6
13,4,0.7568161071240733,0.388369697834656,0.05079108887328153,6
14,5,0.799173232836929,0.38267907571639576,0.09992451666917777,6
15,1,0.8077551907529859,0.38622477494333396,0.3498408344705968,4
16,2,0.756038731916796,0.35684369058261745,0.17695154031739138,4
17,3,0.78455081848981,0.3599678312085872,0.1819650362471068,4
18,4,0.7702397826932065,0.4106479159077104,0.14314637819369516,4
19,5,0.7783703462889736,0.4308042543644834,0.13911207690671354,4
20,1,0.9049485035775761,0.7504802550201468,0.8801141431253169,6
21,2,0.7215461222395397,0.36286682410344623,0.016388189299679074,6
22,3,0.7809755809384809,0.34907942450337776,0.0873887384598554,6
23,4,0.7505167066244547,0.3350288722116723,0.07849079390606326,6
24,5,0.7651756360310682,0.3540095328031975,0.11220632509943289,6
25,1,0.9123201833230377,0.7566208987929692,0.9046503000040167,6
26,2,0.7442302267250721,0.3689859409559008,0.034018891017206586,6
27,3,0.7583789425737454,0.3428414387769467,0.018605135345499273,6
28,4,0.732525506421295,0.36456009423695085,0.07209648705806636,6
29,5,0.7684041516078803,0.38974158904446693,0.0330725813220835,6
30,1,0.7991729214295755,0.5489837650774303,0.5584843414662943,1
31,2,0.7645484983313641,0.33376635970465335,0.11164720022539776,1
32,3,0.7672812347615683,0.39209857696612205,0.04321512239073116,1
33,4,0.7919554354716665,0.4189070043495369,0.20170577600408354,1
34,5,0.7764304918163341,0.38397785201801454,0.01391707217811993,1
35,1,0.922829497060683,0.7436670419975894,0.8949000058962808,6
36,2,0.7540534009131517,0.35313339634011987,0.03935478140043168,6
37,3,0.7553663534340387,0.40258645874318816,0.08852249819847295,6
38,4,0.749327382210792,0.36138284289345124,0.08774042834364612,6
39,5,0.7626360934427179,0.3568853308116038,0.03013689478241813,6
40,1,0.7962067278341021,0.40767537633688167,0.3479632350508432,4
41,2,0.7249836675604566,0.3838645971041981,0.1062108595232231,4
42,3,0.7714398685647599,0.3538738268635504,0.11036008952550583,4
43,4,0.7530203932512491,0.40025491612528125,0.12205300894997852,4
44,5,0.7720897313748378,0.45654842039927623,0.16926468376213194,4
45,1,0.8307418476850682,0.5529958706338362,0.6275650522159596,7
46,2,0.7538801508280244,0.3702247281699698,0.06664799394053152,7
47,3,0.7469960486415161,0.3640318691663926,0.016206674638189103,7
48,4,0.7764591801096381,0.44483349908536274,0.03325131503520657,7
49,5,0.754022979950348,0.3367219498571583,0.005565556458997362,7
50,1,0.9088526060374369,0.7807239273722404,0.9159784275297137,6
51,2,0.7715681080814778,0.35161455719155166,0.014696414107735726,6
52,3,0.7685193654825957,0.3850711340260714,0.05670493356880063,6
53,4,0.702433746517626,0.33310300139977445,0.026179692033895405,6
54,5,0.7673576272992141,0.39956930077980723,0.07412744461361924,6
55,1,0.8338094216720948,0.4355649388033115,0.3444205371336534,4
56,2,0.7730720086916314,0.3780949467030712,0.1773488837533537,4
57,3,0.8056251876080947,0.3740030981702731,0.1045970859374444,4
58,4,0.7639711993168685,0.38686109306542443,0.14904159105787135,4
59,5,0.7948036118873898,0.41881136729143514,0.1434804095217001,4
60,1,0.8054363878134547,0.42811062400119465,0.3645746972071046,4
61,2,0.7543423213566025,0.3625379973560578,0.1315648011444835,4
