,rand_layer,pearson,ssim,spearman,action
0,1,0.8171406636150863,0.539929145625685,0.5403946317832572,1
1,2,0.801109936132662,0.44118629998210745,0.20443774819381885,1
2,3,0.8184541328411017,0.39216677207270423,0.049215695921231366,1
3,4,0.8177949865316908,0.49508920684379965,0.22249416418630916,1
4,5,0.7933691144561803,0.4171083184973384,0.016943948911536087,1
5,6,0.03552021700178951,0.011279682410874467,0.0061316182511837,1
6,7,-0.00892507212622712,0.046343114383170736,0.005198093533950387,1
7,1,0.8053748611282419,0.6052144704061578,0.7159169208397155,7
8,2,0.8013598741756848,0.47244801431110295,0.06923615995201006,7
9,3,0.8187782538620126,0.3967124021849558,0.08835503832888235,7
10,4,0.8024217180669643,0.42917026178261264,0.00263537008098676,7
11,5,0.7877521241339879,0.3829466471390305,0.10121953615541049,7
12,6,0.010559340824365564,0.012919516759098843,0.0023018420792517372,7
13,7,0.015868172047901308,0.052479981066486055,0.004082747601661077,7
14,1,0.864135076596036,0.7581767227363047,0.9070926109978968,6
15,2,0.825981431527709,0.3952474507106402,0.019236008133937284,6
16,3,0.803317008445866,0.3940348543439244,0.02047291325055825,6
17,4,0.8119008873033946,0.37967281770008576,0.01605835230145772,6
18,5,0.797288665528811,0.4179097298283845,0.13171128741778493,6
19,6,0.00924900806344732,0.012252941360607584,0.0027362531547330438,6
20,7,-0.0016337685261534436,0.05015214007830542,0.007405619740050756,6
21,1,0.8296495250501597,0.40177708461725736,0.260929092874839,4
22,2,0.815180240522299,0.39670774436582873,0.14270868604931514,4
23,3,0.800687886741042,0.46234852107556995,0.16008256560163853,4
24,4,0.7893611833314512,0.4790137685489866,0.06446358129059913,4
25,5,0.8271493466860046,0.42878295891932944,0.08757984587118697,4
26,6,0.010094603405000385,0.021612275321183712,0.024898499864742973,4
27,7,0.009507857594124052,0.054346961410169745,0.020889622980291185,4
28,1,0.8752379678564639,0.7883406530137393,0.8935345184308977,6
29,2,0.7973290132708442,0.3843138889023399,0.016017199021312597,6
30,3,0.7793466116712943,0.3783849198224809,0.07931844177556319,6
31,4,0.7974734646509956,0.39867336916848234,0.008411407731032465,6
32,5,0.7922509580511093,0.39596709198917335,0.06246366165245318,6
33,6,0.01957383825511613,0.01602585899656866,0.0072972086226859145,6
34,7,0.00446153007674307,0.04864459105424361,0.000447260544342092,6
35,1,0.8476404417682033,0.742936364958702,0.8854309029452212,6
36,2,0.8292478727874276,0.3886810497152126,0.0013949496521228383,6
37,3,0.8061337930301911,0.4138951594632314,0.009162265122509445,6
38,4,0.800134164213845,0.46660984169000896,0.10550378087805298,6
39,5,0.8056277870170531,0.38727397073081643,0.03777407427774517,6
40,6,0.012564563458413714,0.01673166425031741,0.0031225843286658904,6
41,7,-0.0019857413180976702,0.04937554883270521,0.010831393581893601,6
42,1,0.8154299630787337,0.483981893965107,0.505957379046758,1
43,2,0.8120295306864658,0.4103143817604248,0.12873208407030245,1
44,3,0.7795413170348253,0.3817441803560959,0.06633276919479877,1
45,4,0.8050513815635386,0.45382989440290755,0.24679750096557193,1
46,5,0.7740365819805742,0.3797155142839861,0.060501081931944006,1
47,6,0.02669661029077426,0.011021023431800283,0.0037013496701122665,1
48,7,0.009233815767893278,0.048329533506420094,0.005037983473925924,1
49,1,0.8723410591985181,0.7591297386720836,0.8994800325045134,6
50,2,0.7877040384949929,0.3528857427520183,0.02670638617607844,6
51,3,0.7669404121213551,0.37929558221871784,0.06224835422679446,6
52,4,0.7790982554268121,0.3791879079960792,0.0033510905439619104,6
53,5,0.8101413347794818,0.4163195388007556,0.15664932725937436,6
54,6,0.0043708876645918125,0.011404000252319737,0.010978645649708758,6
55,7,0.00993982775405369,0.046555360790491766,0.001025990425925685,6
56,1,0.8212504708481922,0.4650182476825712,0.35388505320592095,4
57,2,0.8144486526779018,0.37772936400174645,0.11124107732324441,4
58,3,0.8077143970141307,0.4110535945076217,0.03142632814935419,4
59,4,0.7962030496622603,0.410647276906577,0.08531002654873002,4
60,5,0.8157781334255387,0.4643830471556625,0.17357180896730418,4
61,6,-0.00882552791164562,0.014787641016695342,0.006294601397055625,4
62,7,0.00448275484026933,0.052775736326421685,0.010961801651218723,4
63,1,0.8456569672482743,0.6613847503775693,0.7313727873856632,7
64,2,0.7928667191303599,0.4840020252107534,0.08258852055600333,7
65,3,0.81941159237917,0.40781421092979775,0.07085955775304696,7
66,4,0.8186032058970365,0.5065165977702163,0.06780554778618561,7
67,5,0.8100909643960927,0.39746694301162866,0.015699726291924104,7
68,6,-0.003116166238441421,0.011650336973547483,0.002699034458843312,7
69,7,0.004431562980020594,0.051825175776551345,0.0064052138613355375,7
70,1,0.8566030277143906,0.7609225815120718,0.8945618377371852,6
71,2,0.7879891773524159,0.36891235512935366,0.010515165806292765,6
72,3,0.7788709581764798,0.43091079957229955,0.003606113338306581,6
73,4,0.7810549013617334,0.394021165224508,0.0009184530645757105,6
74,5,0.7851021451592028,0.3635096799821174,0.11020306141520404,6
75,6,-0.008481096522519393,0.013125183902521362,0.01484748514779121,6
76,7,0.010352040420365218,0.0512145945894023,0.017491062038085963,6
77,1,0.8222151313083502,0.479282745792477,0.39802949263439874,4
78,2,0.8018675029903283,0.4109704967199352,0.19184275412031726,4
79,3,0.8151146336972036,0.46112129257114587,0.19349233794668289,4
80,4,0.7905453178019684,0.41960143832341873,0.07317929212467848,4
81,5,0.7945060373815668,0.449969493740586,0.1396581596218005,4
82,6,0.014004667553701921,0.01374252652296632,0.012102240526522574,4
83,7,0.0003938572695443192,0.06147446284886875,0.005395157519472966,4
84,1,0.8053798407651912,0.4261268076409559,0.2831117377525697,4
85,2,0.8029598118697919,0.3861146782698348,0.05940395357537703,4
86,3,0.7982171628333056,0.4620362157715933,0.08911281852198445,4
87,4,0.7855925960344199,0.45712548381883594,0.11006765845055085,4
88,5,0.8042058404857428,0.43264915622519284,0.14390848247298937,4
89,6,0.0064409975142426384,0.012530148815349034,0.004274393333815176,4
90,7,0.01121150885460919,0.06577545622918463,0.007336613788062736,4
91,1,0.8035859889962573,0.4980497337832247,0.49285032675949425,1
92,2,0.7908381240982233,0.38398386352486624,0.01987714746260367,1
93,3,0.788741814546798,0.3836580943288698,0.05276356725171076,1
94,4,0.808809006579372,0.47931070588615016,0.16748646883439886,1
95,5,0.775489239963273,0.38401109892242635,0.13708928037330032,1
96,6,0.006418848022922282,0.01464798553419989,0.004695940609595197,1
97,7,0.006150876519423748,0.04459462146734095,0.004100127717064962,1
98,1,0.8010392087020858,0.5353849861493171,0.215629285780955,8
99,2,0.7883965334507059,0.367993092062672,0.21830081844003293,8
100,3,0.8078359413418391,0.4060019409868206,0.023118922947071192,8
101,4,0.8062121118890511,0.3218680713243948,0.13797602285750765,8
102,5,0.7993296305762468,0.4077596495605194,0.19842606275906383,8
103,6,0.008170807842738177,0.014144282126361492,0.022105046449765683,8
104,7,0.03206855340716658,0.04976666935823451,0.0035690560789505177,8
105,1,0.7977871470603947,0.45684585830677243,0.22162554930099773,8
106,2,0.7973080161692199,0.4060213369953447,0.08817217639409848,8
107,3,0.8204731057006893,0.4071415137450657,0.14888919359096384,8
108,4,0.8209328862143804,0.36573870223898464,0.20144068663377038,8
109,5,0.8112640461132277,0.3728518602886531,0.15893267165463798,8
110,6,0.024160197461010047,0.014238983516476792,0.026190297712460998,8
111,7,0.030714768360922417,0.054388010923203216,0.015773538150816103,8
112,1,0.7945872398973005,0.43862814833720076,0.15379165148193405,8
113,2,0.7907687082003031,0.35937888431581394,0.20971957586666237,8
114,3,0.8121602411339186,0.3866579568500171,0.051158989391228274,8
115,4,0.8078713915237996,0.36388082338691446,0.1512311510194882,8
116,5,0.7932507850164086,0.36743567339222244,0.1527241055024821,8
117,6,-0.008250694512575566,0.011627020802891328,0.0005072132312475295,8
118,7,0.004902696337694985,0.04317196969185245,0.039869335100211734,8
119,1,0.780228453074201,0.45539806822421663,0.14920686153576002,8
120,2,0.7708800123925142,0.40341427754756487,0.21337404519570577,8
121,3,0.803986754912311,0.3724312716292774,0.0726455415980485,8
122,4,0.7953291752042226,0.3600076799137058,0.18399811223489335,8
123,5,0.7752159946354542,0.420617887109622,0.13304282000889964,8
124,6,-0.0021169699542571666,0.010681685688398551,0.0010378324657368985,8
125,7,0.0131722569407161,0.055790962327158904,0.005322366756639534,8
126,1,0.8098602305210895,0.5258560654841206,0.27728501792580945,8
127,2,0.7885879272837626,0.4072469714016492,0.1306286747650993,8
128,3,0.8002153837048644,0.39284853999599595,0.10137695005016856,8
129,4,0.7897456193700714,0.3787371778937462,0.15843436157307994,8
130,5,0.7948062973131602,0.4188603763298583,0.08289131215746362,8
131,6,0.016437834667676683,0.010833182793656857,0.005118126094581869,8
132,7,0.012835383301679342,0.04495194739346939,0.004432076203810064,8
133,1,0.8167635832789711,0.5157621705927604,0.2180069579947199,8
134,2,0.7887895351305798,0.40890067494301047,0.03608753440499243,8
135,3,0.8160407347535039,0.3880482774385488,0.029351012145877833,8
136,4,0.8019764139861096,0.3674206332540464,0.1848940172024313,8
137,5,0.7940244014976254,0.3734269157530188,0.13384936893291008,8
138,6,0.0072306567830240105,0.010766870850007725,0.004197254433414479,8
139,7,0.013855107837777596,0.04690059014167151,0.004551061192627599,8
140,1,0.7873865416041786,0.4247115084509621,0.21184176734640386,8
141,2,0.7834129305937682,0.3865896062836779,0.06196942769183899,8
142,3,0.809113737610205,0.3996983546156681,0.12117950192692034,8
143,4,0.8011420672259252,0.40520862027994586,0.16629806463391886,8
144,5,0.7864286518259107,0.3957208211175579,0.17300121766498805,8
145,6,0.014687168186289283,0.011728673787863755,0.009913378250251232,8
146,7,0.014995579596810034,0.046681487461983834,0.02120795197598181,8
147,1,0.8145585123727076,0.5106257555851004,0.4577958788172657,4
148,2,0.7990232661291177,0.3427758166584936,0.01144782494275125,4
149,3,0.8127519806950755,0.38740179563676863,0.14893304848972852,4
150,4,0.7896464600662525,0.36244288107055356,0.12371003764423535,4
151,5,0.8036201376234596,0.3679604232579381,0.0756313874965455,4
152,6,-0.01471920100316668,0.012807580644543466,0.004065467563008658,4
153,7,0.006777876607927542,0.05067788849360479,0.0003894487210308608,4
154,1,0.8548592846835859,0.7505903818866579,0.8712579597389202,6
155,2,0.8053161506219413,0.40970846654220205,0.04710122149719224,6
156,3,0.809194825683792,0.40317370286009135,0.02673779597302903,6
157,4,0.8089756498761531,0.3469627480600309,0.10182446165937885,6
158,5,0.7897524820432481,0.3731008832706719,0.08750011906508517,6
159,6,0.012359547374936657,0.015321704117670669,0.008523551936407256,6
160,7,0.004777125468066177,0.047711681417485066,0.00567595457340509,6
161,1,0.8550599240141423,0.824632877575753,0.9137531390487657,6
162,2,0.8170162924758764,0.41709584977075786,0.04298749388004693,6
163,3,0.7944276503370158,0.40034479102300924,0.06321487572031378,6
164,4,0.804305027989419,0.371617855346696,0.0106532757192126,6
165,5,0.805587041570158,0.39123541218167696,0.078577789735866,6
166,6,-0.007138092206694243,0.012682494393826453,0.008973187488755415,6
167,7,0.0018390511871472824,0.0560140113644876,0.007816538400225764,6
168,1,0.8219493395883523,0.48654226509919113,0.4614307403745854,4
169,2,0.8187295003571388,0.3456006433606985,0.03648737734295687,4
170,3,0.8000286440538792,0.38495883864678504,0.08166992143859811,4
171,4,0.8059982449127726,0.41132824088056263,0.0951354281959201,4
172,5,0.8266221344678361,0.38970243300903096,0.08617247568145697,4
173,6,-0.001840719875851769,0.011976961390163382,0.006900609068459268,4
174,7,0.028204813768003774,0.05618841323202453,0.005836006216892598,4
175,1,0.8332585960100701,0.505928361064878,0.4535261822888532,4
176,2,0.8149135523800511,0.4002048899092119,0.04958025372550699,4
