,rand_layer,pearson,ssim,spearman,action
0,1,0.39107692308823183,0.47304641323314284,0.806840121327988,1
1,2,0.16510367730872635,0.18866193746921306,0.6622300105114534,1
2,3,0.13332278102844042,0.15653919479315476,0.6180922763721555,1
3,4,0.1374138807126915,0.13875021548482033,0.6749238124667317,1
4,5,0.14014890977286174,0.14679197716767828,0.6295349822425254,1
5,6,0.0031690668926100934,0.0014945990282077045,0.0010920837656667498,1
6,7,-0.002954370919503164,0.0025245424443513125,0.006919553715526196,1
7,1,0.4294434912833851,0.5029071189096448,0.8389315922148164,7
8,2,0.18492519242540134,0.19582452974882272,0.7020322310610754,7
9,3,0.14369649715792854,0.18729486197583717,0.6121752310315434,7
10,4,0.13762060743765964,0.1527707333802292,0.6944593647918742,7
11,5,0.14442027275324845,0.1550788978337223,0.6368511878739116,7
12,6,0.007782076680401564,0.001389677396308544,0.016577949923699483,7
13,7,-0.0044575450975934405,0.0026140851489320567,0.007302304400211597,7
14,1,0.42724756499891337,0.5029267700115577,0.8393037899108124,6
15,2,0.17346112266135838,0.18662971803741804,0.6664424329190929,6
16,3,0.15250515070786286,0.17140774917028534,0.6260718906256106,6
17,4,0.16026444633474884,0.15351642540985241,0.6775720379637421,6
18,5,0.13181246009108133,0.15046566071525205,0.6279303769741108,6
19,6,-0.01617914600708999,0.0013965107252645148,0.020882969627407617,6
20,7,0.010990183534200108,0.0038272091433393662,0.001975257534846608,6
21,1,0.411952813782432,0.49749487552490584,0.8140585246786267,4
22,2,0.15395673779573238,0.18987535831762822,0.635549216877043,4
23,3,0.11562746786467959,0.1615692344116319,0.614046699076667,4
24,4,0.1372766141001292,0.13761562129142038,0.6706507549652452,4
25,5,0.12356036890341007,0.14056735336551088,0.6193125355914098,4
26,6,-0.00832689494638847,0.0009753318097913397,0.008677096726426066,4
27,7,-0.00905254317763795,0.0024721763995413696,0.004235405899215518,4
28,1,0.40319611865711175,0.4847204685043204,0.8124054854280859,6
29,2,0.16201369890305017,0.1903955328107372,0.6672367274012929,6
30,3,0.13180871636118996,0.16045596835316922,0.6181730981482275,6
31,4,0.13431594185195617,0.14318316618672888,0.6755815572469511,6
32,5,0.14397529963072375,0.15087517420197333,0.628601998735225,6
33,6,-0.007763066597789192,0.0005391773239195876,0.010706863811325334,6
34,7,0.019291944126112414,0.002020150546408927,0.008629167728051229,6
35,1,0.40962271231312275,0.49099109641090544,0.8396188261325249,6
36,2,0.17137810345056323,0.20236246441232902,0.6992169249790922,6
37,3,0.1454297833550239,0.19254498885859542,0.615247896561609,6
38,4,0.14098379611322642,0.15280435821031058,0.6933292129663788,6
39,5,0.13587569663147459,0.15446672962365204,0.6446752140790333,6
40,6,-0.03243958598659134,0.0009276386957314906,0.01752042284518086,6
41,7,0.013030289964085376,0.0027986267695826405,0.002175298504407001,6
42,1,0.4093093017560229,0.4944618810229493,0.8412583066054624,1
43,2,0.1810837620074435,0.1827677957726182,0.6688675479350764,1
44,3,0.15299886904505114,0.16685601190920685,0.6284018980406758,1
45,4,0.16958929792389105,0.14632648533740186,0.6859083213808367,1
46,5,0.14748280012585605,0.14215792656486784,0.6339575187333828,1
47,6,-0.019690259358326974,0.0014146995643094184,0.005545796644194865,1
48,7,-0.010877574745658565,0.0015764711778724224,0.007856310412354775,1
49,1,0.42206520856609187,0.510567875689155,0.8212065192517062,6
50,2,0.1511781421388499,0.18955550827598167,0.6424082371424106,6
51,3,0.11864843237090719,0.16279442792019427,0.6091054176744555,6
52,4,0.14654659594812575,0.14040050732577825,0.6720761636290212,6
53,5,0.12454031298470283,0.14258353157223635,0.6131573542658914,6
54,6,-0.00476793382587596,0.0011684956177152235,0.0129669567146959,6
55,7,0.021286775964488174,0.0026863132186188848,0.014011428255527337,6
56,1,0.4021941757407355,0.4864278620625025,0.8061451039976733,4
57,2,0.1537932812509764,0.19387681571537288,0.6656821314914462,4
58,3,0.1275960165024856,0.1641147561642875,0.6160952728627961,4
59,4,0.14287917446490653,0.14695576423275233,0.6715435568786061,4
60,5,0.13958680186418715,0.1548320831705527,0.6295187314134915,4
61,6,0.017346199525388416,0.0008517973377809219,0.007451658869695753,4
62,7,0.0008423119924709603,0.002600922725703694,0.004496351570847419,4
63,1,0.42284174769564187,0.4931186893119455,0.8368981684308655,7
64,2,0.1890926108472367,0.1906377600687471,0.7018768709851352,7
65,3,0.1496439510509612,0.18455759900518204,0.6095905979704527,7
66,4,0.15112594541046215,0.1480968785797765,0.6957797066091421,7
67,5,0.14056340311332954,0.15173769670560178,0.6393764435270193,7
68,6,0.02374792621572162,0.00143380766818491,0.003324961448016963,7
69,7,-0.0045995879214132136,0.002517545543855902,0.006198803340531147,7
70,1,0.4183088851809872,0.503070040538497,0.8400563487991662,6
71,2,0.18862592798604186,0.18367014907000762,0.6679125355676071,6
72,3,0.1535561481145194,0.16843244113031908,0.6207059789329074,6
73,4,0.16584111208514168,0.15080210705034439,0.6808790119864384,6
74,5,0.1337875301097765,0.1487530509691233,0.6233200636806991,6
75,6,0.024229650872888562,0.0009566190054757493,0.013815354438857733,6
76,7,-0.007809139869070399,0.0026427366851285087,0.0018225684856514816,6
77,1,0.41676880520218973,0.5101579019872566,0.8188498696224384,4
78,2,0.15243369219749636,0.19012961557721186,0.6403512275678598,4
79,3,0.11820339508022407,0.1644533259967089,0.6095950131398842,4
80,4,0.14057658301291637,0.14119376706734948,0.6705093909181383,4
81,5,0.1314581772901508,0.14432308760047063,0.6159389289889053,4
82,6,-0.008824669213075023,0.0006203250772406245,0.006574041588608767,4
83,7,0.01734852526206311,0.001844606065901224,0.009925875940609168,4
84,1,0.38732553435302547,0.4825328331028646,0.8025232582234445,4
85,2,0.15492706820478147,0.18766316441991623,0.6623530795705056,4
86,3,0.12921517324392615,0.1657822281119564,0.6164958761741752,4
87,4,0.1379656033492013,0.14593900379775288,0.6681673097639513,4
88,5,0.13721862974052712,0.15092406544655332,0.6321824316430547,4
89,6,0.0026544816091802676,0.0005628809427834629,0.0002481008463231892,4
90,7,0.015756707906505227,0.002508085200685591,0.00962700307902283,4
91,1,0.32423817950297196,0.3725289884596436,0.818632126173084,1
92,2,0.1609850938564169,0.2897275266784051,0.6406529010832094,1
93,3,0.11203926783103185,0.2863327569086439,0.6300726372184687,1
94,4,0.12129768180286032,0.2506275784216463,0.5192596648016531,1
95,5,0.10160176218290085,0.20957326366290716,0.4862802133127814,1
96,6,-0.005467372645096476,0.0022086937633089367,0.0063263218102603365,1
97,7,0.00021834671416750542,0.006659947212541382,0.002863846217925785,1
98,1,0.46405174569678354,0.5805923639198772,0.8641972790212943,8
99,2,0.16086195315883864,0.35443755586503634,0.5946228149549999,8
100,3,0.12332398536196496,0.3804468914735881,0.5729928339979655,8
101,4,0.09534043445018175,0.2664131564183475,0.4524885672366825,8
102,5,0.0825228993036947,0.21605471146908561,0.4315351601074568,8
103,6,0.008381648904206836,0.003467792313970124,0.013746651132601378,8
104,7,-0.001757938628674842,0.012950375420720014,0.0015424782131540024,8
105,1,0.4604549644428757,0.574976335847075,0.8521439241802654,8
106,2,0.17156850948634522,0.35687608920375036,0.5375501355524963,8
107,3,0.1244595375897508,0.3002647285317108,0.544797447176865,8
108,4,0.09947701126555519,0.2749563875195852,0.45209183803059566,8
109,5,0.08641038241386587,0.23350331555408904,0.4112744449526006,8
110,6,0.0100411928916859,0.0029396325023177097,0.021077924532019576,8
111,7,-0.0052173203516217865,0.008863787278620906,0.010655057338537334,8
112,1,0.44888838993356606,0.44785136900582656,0.8578416282330514,8
113,2,0.15640680402152593,0.27944716356759186,0.5797358237778941,8
114,3,0.12468624501479675,0.19345383194997734,0.5625844341188945,8
115,4,0.08618861932673583,0.2359271748235576,0.47161724520198345,8
116,5,0.0839106002185679,0.20348244549180952,0.4341603645215117,8
117,6,0.008135160055554182,0.0016414747328478507,0.005485344512008417,8
118,7,0.00032929562659924,0.006089876433126673,0.01849220305401808,8
119,1,0.482957787324225,0.517000496056307,0.864346225148786,8
120,2,0.19921786198371727,0.24545010964858244,0.5995124398174609,8
121,3,0.12625891924178348,0.18945859206277135,0.5547498056371696,8
122,4,0.09904825985136886,0.2239378389132486,0.47847971997541155,8
123,5,0.08939246839762277,0.2133592507676628,0.4323046536423581,8
124,6,0.0211483732301979,0.001598228831405696,0.01307039576254636,8
125,7,0.032400838126236925,0.005634065361911768,0.010679121311654317,8
126,1,0.4833652609257862,0.5627129180520426,0.8823446725451244,8
127,2,0.17874929144532536,0.24295413961300877,0.5984589959741933,8
128,3,0.10878336908919034,0.24778121432013478,0.5645033870381289,8
129,4,0.08411409107183448,0.20018514884984243,0.47901680583003176,8
130,5,0.08132917445662982,0.21559849721058255,0.4349188846092383,8
131,6,0.019978911223454222,0.0016319197049203466,0.019761615816412535,8
132,7,0.006361038120641614,0.004585450756403322,0.005554792605484021,8
133,1,0.49688564428147586,0.5871732229377336,0.8924468051198522,8
134,2,0.1714505176583136,0.2987445667428091,0.6038441610574989,8
135,3,0.11984438268634023,0.2710081941185591,0.5700550986593244,8
136,4,0.09662102856815905,0.2007105973864724,0.46276673772791654,8
137,5,0.08378029429580568,0.23660094997688788,0.43182497217737653,8
138,6,-0.016017041500493316,0.001817968580574222,0.023519716925452384,8
139,7,-0.0016066923709281132,0.0069696665363935635,0.0063184260814315735,8
140,1,0.5191740982025875,0.6044421941408556,0.8807924027229033,8
141,2,0.17865506905849515,0.30484346680189667,0.5850526978480911,8
142,3,0.11489724695864342,0.2525869639472641,0.5696216120758218,8
143,4,0.08628163845293452,0.22785492486787548,0.4637559218355801,8
144,5,0.10302598759170248,0.2171851202735287,0.44505170810689987,8
145,6,-0.012948050399916824,0.0015154876150823308,0.011561126145154435,8
146,7,0.007877669608498462,0.0064302067475018815,0.011857899987849035,8
147,1,0.5226062424110698,0.5829624164922158,0.8782737664331695,4
