,rand_layer,pearson,ssim,spearman,action
0,1,0.44961886835618414,0.5450027427116512,0.8220818607716707,1
1,2,0.18321362462303303,0.23352262511841632,0.7081610494489493,1
2,3,0.12243725415507554,0.10028780897092032,0.6349966254689199,1
3,4,0.061929711646272034,0.12801341606971842,0.4674565745804779,1
4,5,0.058061007239612626,0.18702691846291736,0.3312264310913288,1
5,6,-0.020933940525402494,0.0023727430284967888,0.00497165497459576,1
6,7,0.017240459583302423,0.00535481805913517,0.0018255833370395028,1
7,1,0.4344883922520898,0.5391003159296194,0.832723255357215,7
8,2,0.18694717000884994,0.1802961695670595,0.7314746249028091,7
9,3,0.11903936971745803,0.08431809685026426,0.6502762924614506,7
10,4,0.06661961246958023,0.12146817175098003,0.4844430425463921,7
11,5,0.08902933287553993,0.20608616723985365,0.37091980567708743,7
12,6,0.005998057582414533,0.001676754260933966,0.025570782402523962,7
13,7,-0.000642295252192083,0.004283762816411038,0.008618954659324477,7
14,1,0.43560267359021576,0.5339194758952659,0.8297008869242072,6
15,2,0.14324847566293075,0.2451545393675603,0.6556017614802457,6
16,3,0.11373220810356154,0.12197098147428398,0.6509879456353951,6
17,4,0.024744953981012428,0.13893625701946838,0.44753145375341113,6
18,5,0.06694052361789818,0.2069092251687876,0.36359309295104075,6
19,6,0.0035154246951768346,0.002444627470531003,0.01446318361164723,6
20,7,0.00017194936760208616,0.009718381620834068,0.0030422767581009336,6
21,1,0.4756498760776723,0.5934047259885076,0.8328689314605678,4
22,2,0.19015473152551443,0.2258707094708805,0.6715514968410744,4
23,3,0.12860433332579868,0.12011114153339716,0.636273829208749,4
24,4,0.0639348517753915,0.15800662710297267,0.4841945563451745,4
25,5,0.058343304058052284,0.2162722175662687,0.3517580973978614,4
26,6,0.007270926445006493,0.0025832907665068543,0.015197475838642028,4
27,7,0.015991331214347856,0.005784235501306138,0.020197437069850034,4
28,1,0.4630074893248225,0.5684806181353202,0.8283747909535628,6
29,2,0.1959180534430009,0.22441338960755994,0.7195557289825457,6
