,rand_layer,pearson,ssim,spearman,action
0,1,0.046234616818145495,0.4715302788561673,0.2798341075520735,1
1,2,0.07631711174229489,0.5380017113010113,0.21037739794732435,1
2,3,0.05777141990960807,0.3463558971452482,0.0793382992792624,1
3,4,0.023445067440708005,0.34167024692013953,0.004652063158737337,1
4,5,0.02010513563334432,0.41200497271821973,0.15600790688758653,1
5,6,0.01061421565342242,0.012727344601052069,0.009013893927901372,1
6,7,-0.006760873718296203,0.055220850283678916,0.002324882901696181,1
7,1,0.1566017547654933,0.5440804249848915,0.43605039882472985,7
8,2,0.09878175552428502,0.33037151299695244,0.08362083828222781,7
9,3,0.05655677949597429,0.39547945774783305,0.1281291671219797,7
10,4,0.006423220070817347,0.38703938842702307,0.10552487856858885,7
11,5,0.03419362914116301,0.3289264584234379,0.05302723175335506,7
12,6,0.0028290453842742765,0.012773350235662421,0.0012050313233253464,7
13,7,0.009526126034395803,0.06356543215046086,4.15616002030286e-05,7
14,1,0.07696621963446293,0.4300070297601745,0.10560625946317476,6
15,2,0.021515514497507618,0.4039027545418024,0.009728323803682585,6
16,3,0.01934799529406207,0.32684119710122717,0.26205164508524853,6
17,4,-0.003640400861086523,0.3526308450802154,0.15451746909569253,6
18,5,0.03314423968281738,0.3626162835711954,0.0365018715486162,6
19,6,-0.0012479951728535587,0.014365513707106078,0.019463635169062837,6
20,7,0.04182035951657465,0.07177318572329616,0.00719311355623079,6
21,1,0.18203802257064655,0.6479773680312929,0.6707397714351394,4
22,2,0.04725148351177694,0.3791063237006388,0.003861538613643765,4
23,3,0.046241983999038436,0.29757945552424603,0.07733219440956812,4
24,4,0.03349435928563085,0.3509810769504454,0.05759773542470594,4
25,5,0.03330634150591657,0.30931631897431233,0.11436897347143886,4
26,6,0.0074232385811791365,0.013972822047341382,0.009171956407667577,4
27,7,0.008678636535693266,0.0649195157648402,0.009371401150731156,4
28,1,0.11010820138840911,0.42311394682616943,0.09209337187122967,6
29,2,0.042275337995359444,0.39212294218743265,0.004861097686327273,6
30,3,0.025889474273023693,0.33567839390807513,0.20818876302122574,6
31,4,0.02691543686884676,0.37000649927574636,0.15570102552534795,6
32,5,0.010898641083837764,0.38288765610896963,0.04792645150346933,6
33,6,0.0180093389575897,0.013571128644182385,0.012782877374998605,6
34,7,0.03689163791858748,0.06362840447677026,0.005280698441004623,6
35,1,0.0868918005006416,0.43606567601359275,0.10382704215069534,6
36,2,0.03606933402293799,0.35846932180907776,0.019111585839978837,6
37,3,0.0196932609600103,0.34095727593528097,0.23315355328122944,6
38,4,0.003128213334173109,0.3509282596575003,0.11510494211765486,6
39,5,0.027334494465731395,0.37766717470750455,0.0024280293065557412,6
40,6,-0.011436293091267272,0.01283564550304859,0.0011507138361127136,6
41,7,0.0032482537426243093,0.07189129917112722,0.012267283885142217,6
42,1,0.0551064596269776,0.42572182668200526,0.3257568393709561,1
43,2,0.0743558258837768,0.46742256953148315,0.14293943643512996,1
44,3,0.058127363816967884,0.36885047365476,0.1093972318452037,1
45,4,0.0044395664881390455,0.3146134424354438,0.019078075272941225,1
46,5,-0.002203742026198596,0.4369266825570531,0.06238440918932036,1
47,6,0.022387536166848042,0.01164024142323106,0.013277806185382816,1
48,7,0.013986248813699309,0.055167743670472176,0.01628666559134499,1
49,1,0.09230909705434912,0.386219576398029,0.04056336738288405,6
50,2,0.05029764502883393,0.42730306993343636,0.03877549513161835,6
51,3,0.026295231470931688,0.3225761494109862,0.19037714610128303,6
52,4,0.0005451859608659031,0.3403037087126308,0.0904616900938626,6
