,rand_layer,pearson,ssim,spearman,action
0,1,0.6711071468920751,0.5663400510362628,0.8332061587706014,6
1,2,0.17141038030873604,0.23908573607010639,0.6207315995880476,6
2,3,0.07698065686800665,0.23802774099479646,0.6178904386154606,6
3,4,0.1658534710593746,0.22878537815294744,0.6325913284723245,6
4,5,0.17103394755688944,0.30337020466108433,0.5461441590369529,6
5,1,0.6168546742009039,0.5459495410583637,0.7963159677206969,4
6,2,0.16709167406446018,0.3154304928273831,0.5725694285100252,4
7,3,0.06668308504917336,0.23627011180064092,0.5953274584320803,4
8,4,0.1704255995402141,0.22793674872264333,0.5747639941665157,4
9,5,0.16038686625152798,0.3238153326408824,0.5344733693776567,4
10,1,0.6228418295485381,0.5346431345829368,0.7992689481497982,6
11,2,0.1809241080352634,0.2898386713950908,0.613756865930885,6
12,3,0.08919040634100371,0.2066894213055604,0.6189716853514077,6
13,4,0.14402121911561627,0.23388967727708834,0.5888621008846104,6
14,5,0.17134949710692846,0.285507740026795,0.5474497921357467,6
15,1,0.6696022836718674,0.5466027960452822,0.8354948701354004,6
16,2,0.2200817243943155,0.2182921368289692,0.6465412688937273,6
17,3,0.10068840949431332,0.2493269315933272,0.6062617052381664,6
18,4,0.1755366400101544,0.2340227974698162,0.6406260683943227,6
19,5,0.19166704983393063,0.3146124612642902,0.5692865035935392,6
20,1,0.6679886975687382,0.5361731450961107,0.8399780226970084,1
21,2,0.16797173996212722,0.23510467455801257,0.624988426235992,1
22,3,0.06862347447869771,0.22806585578669478,0.6231489088071278,1
23,4,0.18363764114084702,0.21807063040641955,0.6473328182322058,1
24,5,0.16866532176438156,0.31620455082567156,0.554980376437779,1
25,1,0.6294336714436242,0.5513166323329943,0.8015022730039458,6
26,2,0.18748035045217237,0.3151020384733007,0.5804315129870171,6
27,3,0.06363027568746668,0.23962426000378706,0.5965380469496447,6
28,4,0.1777321004493001,0.23097110687928826,0.5802481176885502,6
29,5,0.18225563002685324,0.3161986006529899,0.5249055062670489,6
30,1,0.6119394599939987,0.5344109513247469,0.7906947976668778,4
31,2,0.18006470672111294,0.2834207149825412,0.6120830167855772,4
32,3,0.10476402578745861,0.20724487254326782,0.6151587589819625,4
33,4,0.14312690396664535,0.24150518628258552,0.5777870597310741,4
34,5,0.1708284435449719,0.2653902931343736,0.5414915718041572,4
35,1,0.6599853933456805,0.5482258273397941,0.8280906824191415,7
36,2,0.20193357195479933,0.21493468179690892,0.644067283045676,7
37,3,0.0988512713908786,0.24269273175432454,0.6049041801375457,7
38,4,0.17074016362408065,0.22519289395713904,0.6464723981175154,7
39,5,0.1803627415288224,0.3101359078539015,0.5617516099911126,7
40,1,0.6775551437306775,0.5623647098751842,0.8330130114839022,6
41,2,0.1766270907084893,0.23862864980107545,0.6191232751685073,6
42,3,0.05473903374183267,0.23429397638165453,0.6167368108291318,6
43,4,0.17192710931088534,0.23175577208846695,0.6319879776835567,6
44,5,0.16400259624998864,0.3254329682878051,0.5418562323889464,6
45,1,0.6256033016476615,0.560868331898064,0.7989520971120533,4
46,2,0.18640470060929246,0.3170807693015066,0.5754523004526955,4
47,3,0.08125944950868536,0.24258479735598537,0.5969717158280471,4
48,4,0.18080514132259984,0.23722010466740245,0.5782720080033006,4
49,5,0.17947223010703311,0.31248333508482645,0.5277090398170912,4
50,1,0.6003585091362618,0.5335914849249903,0.7891734589749239,4
51,2,0.18043333183675295,0.2848233490066275,0.6073383886342919,4
52,3,0.1041939017182037,0.21211446927766256,0.6079800504498172,4
53,4,0.14141551815174985,0.24153011681568368,0.5708825380943897,4
54,5,0.16853188079055997,0.28104252197307283,0.5493694654476224,4
55,1,0.657975142042548,0.535412255177794,0.8324826918660851,7
56,2,0.18606076869012353,0.21343583282958858,0.6426055918624716,7
57,3,0.1054919650822095,0.24104742053629172,0.608218151859558,7
58,4,0.16795096510054186,0.2237772935415464,0.6481798378950437,7
59,5,0.17459249357598164,0.3192118804500622,0.5672941691252686,7
60,1,0.6623824820506118,0.5459675168129814,0.8390368159550028,1
61,2,0.17324275651352958,0.23714265784710836,0.6255840735887045,1
62,3,0.06682595066243022,0.2283149121698341,0.6226217352408926,1
63,4,0.17644553294317472,0.2231197753816265,0.6417518402064747,1
64,5,0.1723632366270266,0.31758731727582024,0.5453919858131663,1
65,1,0.48857089115899766,0.5223303277835174,0.8494289832410394,1
66,2,0.1765780534003109,0.4823312955773013,0.6402816575259773,1
67,3,0.16500486748410761,0.3728326317515078,0.6535518224151523,1
68,4,0.09000582548391316,0.3780652892947753,0.4723201142752346,1
69,5,0.08630842789387463,0.4472662911169997,0.4642742146078935,1
70,1,0.7050552652054717,0.7495068807134594,0.8699096004345613,8
71,2,0.22656791395677117,0.41397476361720403,0.566049287174866,8
72,3,0.18903536639359925,0.4687829384276482,0.5969553116383379,8
73,4,0.06426387572509458,0.4047277016717106,0.4716100410154312,8
74,5,0.053628159931637706,0.48991607211476157,0.4504060955099986,8
75,1,0.6888536465448672,0.7583912486626718,0.8676523252802457,8
76,2,0.26638835781385783,0.4113836665458883,0.5951014209380019,8
77,3,0.23200879642658928,0.4486884969059228,0.5772562741110351,8
78,4,0.04032922292897777,0.37285807988747616,0.4457571695935144,8
79,5,0.051584878563276745,0.4173172048631422,0.4552193134758809,8
80,1,0.6605714089290935,0.770986830306119,0.8727287329375989,8
81,2,0.23938754964228384,0.42080550498226016,0.6137676770546845,8
82,3,0.18179503900290905,0.3774129669834281,0.5625175931358373,8
83,4,0.056379162252600534,0.36349870428743025,0.4400911385425134,8
84,5,0.019537482261107325,0.3753328877756542,0.4435403588528813,8
85,1,0.6883416231273832,0.7345770918764236,0.8848206168843148,8
86,2,0.2179884032840972,0.40759892904249945,0.5886171067333235,8
87,3,0.13675158571057416,0.32801916254929575,0.5474293184785166,8
88,4,0.09514819827057568,0.3397068136663481,0.4400946664839328,8
89,5,-0.028281006621159857,0.32202672003964605,0.39025307380462465,8
90,1,0.7177564020097424,0.7616563068863607,0.8870725098705576,8
91,2,0.1825890831411378,0.45100439873965315,0.5991214312150772,8
92,3,0.10655799267333926,0.3361359737794745,0.5594062499328839,8
93,4,0.037518252018813515,0.33398290560817984,0.4543871238434719,8
94,5,-0.008034526322201786,0.3477524814301803,0.3666802839321246,8
95,1,0.7265670351151348,0.7382166361954345,0.8846811053319846,8
96,2,0.17329247429093514,0.40614856941338473,0.600373949354525,8
97,3,0.10566543644630148,0.33242328735565646,0.524327933895838,8
98,4,0.00778761680282951,0.33575917362862323,0.4529408364002543,8
99,5,0.0194883320920258,0.34333398332696546,0.40122479012420625,8
100,1,0.7240742184856301,0.7420032829557077,0.8834768667671324,8
101,2,0.255682155091445,0.38475862707415964,0.5980649976228865,8
102,3,0.17027057944943574,0.3177699781408687,0.5630122975639106,8
103,4,0.08157948528307268,0.35572020374866276,0.45889901441153735,8
