,rand_layer,pearson,ssim,spearman,action
0,1,0.11022303535741967,0.47532257833207203,0.044596271428467074,6
1,2,0.10800531569922128,0.5158382876782368,0.13180954394669883,6
2,3,0.022740940604907053,0.4678936752631476,0.03162942492915661,6
3,4,0.06652650287624834,0.46602038117239436,0.05875566534598447,6
4,5,0.06307197426962427,0.5134732455351869,0.07722963716598824,6
5,1,0.19298054902924572,0.7179805105399714,0.5029146888819976,4
6,2,0.0836235789744671,0.5284434975664747,0.14613231181255965,4
7,3,0.057368710733871654,0.5514074728390348,0.1266281201632133,4
8,4,0.07933002332790343,0.45522816259361426,0.08550057655965296,4
9,5,0.06355233271561017,0.5462748373356738,0.08394491172326336,4
10,1,0.08437822014048976,0.4584607760130411,0.0009769662607367025,6
11,2,0.11625589516226649,0.5137929146326148,0.17871668192853307,6
12,3,0.020071553782849576,0.4493466984219125,0.042902025017661216,6
13,4,0.14840802185433125,0.467078243507663,0.00875758335742648,6
14,5,0.05299925351155405,0.4929210931380974,0.11014288061512764,6
15,1,0.12494500287456503,0.4775188382974442,0.03999923515912261,6
16,2,0.1474386291638466,0.5188587931622961,0.11921304486571056,6
17,3,0.04668744937008606,0.48027484365344625,0.0038994632363569454,6
18,4,0.05147986610726257,0.4756330420003253,0.028108063285788285,6
19,5,0.08922555843950733,0.5111611577918017,0.08310523053312315,6
20,1,0.1033760315756763,0.7304162241940431,0.4277656145334329,1
21,2,0.1016006049427404,0.5063187874917702,0.04157719033834742,1
22,3,0.09542717211088864,0.564672662739365,0.07427135654376153,1
23,4,0.10459251270685609,0.5301414320039628,0.06773094119062165,1
24,5,0.008004615179208165,0.5690910146171242,0.02849754961705933,1
25,1,0.11038586114122971,0.4435485410651895,0.010937934362078187,6
26,2,0.1255841942916463,0.5229445051174555,0.18432742586678982,6
27,3,0.040399656863799954,0.4609174016225269,0.006822346497402809,6
28,4,0.1310738999321288,0.4767189927971133,0.058128138758042465,6
29,5,0.03644766608769616,0.48184733028872434,0.1265594241037402,6
30,1,0.1681810083119965,0.7315623356078883,0.505298296537203,4
31,2,0.09754704140720744,0.5156071255051785,0.12058363853441821,4
32,3,0.041427591593074624,0.5432298454042571,0.12798500765877152,4
33,4,0.11049251676393151,0.46097840876362106,0.10838917541607224,4
34,5,0.07640179271369299,0.5340758091060053,0.03929279497671736,4
35,1,0.16547805783232994,0.704772568626533,0.4225095136599121,7
36,2,0.12928529015867588,0.5136737453298647,0.04475152182135547,7
37,3,0.07693081105837499,0.49468312270597226,0.01949355831792535,7
38,4,0.1408071334478664,0.519492154740263,0.09072347376794374,7
39,5,0.052151699110653774,0.5386224203846552,0.0018760726156929605,7
40,1,0.13841429363339403,0.47566787136170063,0.04463863037770417,6
41,2,0.10174277086775477,0.517286707053125,0.1353425802051626,6
42,3,0.01502148111560524,0.4695372015411015,0.03468019922958814,6
43,4,0.07583823445216914,0.46120602693186,0.08210871475560247,6
44,5,0.05182224332253836,0.5123980667764049,0.07226769323216173,6
45,1,0.1929258612021816,0.7169112844698959,0.4876531153699308,4
46,2,0.07993595377422955,0.5275861860578532,0.1573529077120211,4
47,3,0.05930905961103616,0.5516034878067123,0.13368136959728055,4
48,4,0.07264321522432532,0.4541540050294476,0.08441125968873396,4
49,5,0.07167534790750132,0.5435137968315727,0.08550548673311904,4
50,1,0.16095231581478853,0.7304892843662264,0.5190799647287245,4
51,2,0.08801456890962672,0.5162110477661349,0.1044471642842361,4
52,3,0.04921828583611194,0.5440039602854795,0.12785994907290027,4
53,4,0.1152514107756383,0.4578411114707215,0.1103039859883237,4
54,5,0.07162952419898286,0.5298789600606131,0.03834661224846267,4
55,1,0.15352311137463237,0.7041643304291758,0.4270302730349313,7
56,2,0.14167250474947612,0.5204359613124501,0.052703258811643235,7
