,rand_layer,pearson,ssim,spearman,action
0,1,0.0425528172406788,0.37824820763005046,0.12281235995127177,6
1,2,0.016107253750447248,0.4214168546833776,0.030276542503590676,6
2,3,0.030223748021156693,0.3904523692700085,0.2727542174268479,6
3,4,0.0033779030979594685,0.38763611173587087,0.19433457221169548,6
4,5,0.008780810011398037,0.3588755655600199,0.0794063346779293,6
5,6,-0.0031703813494173977,0.014363017989727592,0.0005153946506310567,6
6,7,-0.01585621895434217,0.05788028520297235,0.003098780151651178,6
7,1,0.16177026119363735,0.6470467561017375,0.6830323165151295,4
8,2,0.019179552246904586,0.39350673969155914,0.03225566473263635,4
9,3,0.00012308631421352814,0.3375449854688438,0.13481888062641467,4
10,4,0.03952207787452927,0.3382172997204458,0.08690741856238003,4
11,5,0.03668561145679897,0.339481945336745,0.06750249894142049,4
12,6,-0.02266960177536275,0.0119635609723828,0.00903124044751804,4
13,7,0.007797988170642126,0.06443822962389867,8.383343497225847e-05,4
14,1,0.06493660091089058,0.3545516748551989,0.1151395523164223,6
15,2,0.027461313785309444,0.4038580269344102,0.034622497987009865,6
16,3,0.0288003757897951,0.38392144861764405,0.21720760132507505,6
17,4,0.012930411880684462,0.38591010492851696,0.24507480179124913,6
18,5,0.009602102457184783,0.37900720226431184,0.01520799400339162,6
19,6,0.0033736744508070576,0.01513825389160084,0.009079576620655913,6
20,7,0.021669419288484527,0.07135709970642157,0.0036800149501179354,6
21,1,0.05565925795816523,0.37167859326446157,0.1384714935264508,6
22,2,0.022243612857753215,0.3697233752017536,0.0028476295877621705,6
23,3,0.02707094833945534,0.3903240521241648,0.21877805304711279,6
24,4,0.03221793493436814,0.3646587287372659,0.15480499029413816,6
25,5,0.019932994992143876,0.3687360556131971,0.036371497993786146,6
26,6,-0.007707565971172659,0.014149402408931939,0.00807388554815896,6
27,7,0.015546757160163613,0.06263796164438652,0.0077434276341471035,6
28,1,0.04927059857239835,0.3933017354273316,0.3058097914797525,1
29,2,0.07371294186026026,0.4720194515926827,0.13784496702733634,1
30,3,0.032362218753686986,0.4072508058513987,0.11235752702359554,1
31,4,-0.012867928278624829,0.32336147956829703,0.008078596490111204,1
32,5,0.008155364940802339,0.42038453707664286,0.0832458831752419,1
33,6,0.025165618311483468,0.013829622189256558,0.011712335325978901,1
34,7,0.013182507257107321,0.05632828697309979,0.013349876016787476,1
35,1,0.06936451879125756,0.3250691727981398,0.0744967438875614,6
36,2,0.028362703274218807,0.41865832181799784,0.03712265105742612,6
37,3,0.017896706495054343,0.3619903331850735,0.20231791388423861,6
38,4,-0.00753897558024086,0.3656452710508554,0.1752334704160051,6
39,5,-0.00017558507654283763,0.37274011101055454,0.02384161379033,6
40,6,0.001269458129111281,0.01267090677089014,0.0039249642705084,6
41,7,0.0052772230770941845,0.07046385976491373,0.011474496808753055,6
42,1,0.1564967412986274,0.6283885107481694,0.6622365571602664,4
43,2,0.01761048897265569,0.3841852186443551,0.03680241103000774,4
44,3,-0.00979759117397977,0.3336053170269216,0.12778722450971752,4
45,4,0.009078354291656656,0.31969848160842457,0.00954460948023929,4
