,rand_layer,pearson,ssim,spearman,action
0,1,0.20441452640854196,0.4810379041221375,0.15288242161686405,1
1,2,0.10611123490811379,0.29234850731724993,0.0986308406620435,1
2,3,0.12428275409692038,0.3089287219732847,0.10198144903032037,1
3,4,0.12573098164669239,0.3030484803145212,0.040093292465850645,1
4,5,0.1025105938087276,0.3100135649852006,0.036542151052723036,1
5,6,-0.0057036910621385,0.010421427388892462,0.006214005079820447,1
6,7,0.007555496369978344,0.05594354773206897,0.00012984303744304382,1
7,1,0.42996539461374816,0.9068893828220083,0.7935436324291129,7
8,2,0.1463323036830086,0.36825448769476726,0.12236475954202038,7
9,3,0.12548850967338698,0.2852133085760558,0.02555568562534659,7
10,4,0.10898173575803333,0.28565501941738286,0.04368322131345015,7
11,5,0.10232996716214596,0.2934682681169018,0.009294723322653338,7
12,6,-0.0059997619087549655,0.012346963300892737,0.020479218150506358,7
13,7,-0.01125513721051484,0.060693367759246976,0.006828505912522121,7
14,1,0.21211690660254898,0.5170516463603761,0.49734707844564807,6
15,2,0.1451825182786378,0.3266294005039107,0.006778183389393959,6
16,3,0.13936253267412613,0.29175802796522976,0.04968189828966338,6
17,4,0.10387468239233873,0.2782155993612815,0.04584083657052248,6
18,5,0.11377119798421323,0.29285683524890865,0.017368416978669296,6
19,6,-0.008234601991534675,0.0131869407286277,0.0006284222096675381,6
20,7,0.0025947892599537505,0.06875329668341115,0.014059163420125512,6
21,1,0.3105451769156157,0.941548658796395,0.641812670758595,4
22,2,0.1381117589380181,0.3434824880616477,0.02175172888545894,4
23,3,0.12393044520085564,0.2905068407820117,0.00997609397028542,4
24,4,0.10610851412563349,0.26504053773770203,0.006022423987755653,4
25,5,0.09386599048308461,0.3107635636277818,0.007090827490976183,4
26,6,0.004055577905091374,0.01096345597277409,0.0021224290132567407,4
27,7,0.002587397310370357,0.06206623994622558,0.009745232027580292,4
28,1,0.23337791409882855,0.534804958377825,0.5157758285449093,6
29,2,0.1329597711182758,0.2945686888313097,0.013837989573841627,6
30,3,0.12608919031437787,0.29696640994948387,0.012481379826703585,6
31,4,0.10691662264546252,0.2678768211581508,0.0066103966365239075,6
32,5,0.09436771538010318,0.28991415433779455,0.01508238171069433,6
33,6,-0.0012163030759409616,0.014191370848148695,0.006923070208945485,6
34,7,0.016083795948064583,0.05620491036129478,0.006328128324027456,6
35,1,0.226331488035582,0.5216095830811288,0.49322069748728836,6
36,2,0.13208156396209053,0.31918518633796233,0.06496009360109661,6
37,3,0.128887491534219,0.266909827910469,0.003278965143674531,6
38,4,0.1082454713256923,0.28815882873387555,0.07495555676819717,6
39,5,0.09760945300077122,0.2921846135309824,0.04361001578471162,6
40,6,0.0014622793086574003,0.010730127666200987,0.025293389006108318,6
41,7,0.003049328233552696,0.07170475226990757,0.0021932613434489626,6
42,1,0.18425287713146216,0.47710935611652794,0.22219415564209272,1
43,2,0.11855177677697579,0.3530169682662328,0.0013589781333524166,1
44,3,0.11414632178087868,0.28997232179951965,0.04959900704987833,1
45,4,0.13995299596769023,0.3008554050578525,0.04656075454050894,1
46,5,0.11014490312682701,0.33444082044199513,0.0919174576240036,1
47,6,0.006772202572638749,0.011061045939533299,0.016871162025506328,1
48,7,0.00858000732695831,0.05284122349729847,0.014129673275586901,1
49,1,0.22268095273636848,0.5718638639522482,0.516557504198083,6
50,2,0.12319124303037948,0.28698524039774576,0.05052920858563598,6
51,3,0.12638656610665186,0.30753444456627427,0.07498233291020541,6
52,4,0.09655546849625504,0.2759239211220346,0.030529302386530486,6
53,5,0.11030554433782923,0.29842318427896525,0.03606196707264734,6
54,6,-0.015399835715071222,0.01136881231380746,0.005735612926069752,6
55,7,-0.002034267371194872,0.05407455276128992,0.0029431380060217713,6
56,1,0.28784498063113806,0.9190185507079317,0.6309719077957816,4
57,2,0.14736632188084173,0.29979593894384393,0.04708568812555968,4
58,3,0.12371684244065442,0.28073912830685127,0.03016053424959463,4
59,4,0.11973024998192615,0.2891750538964473,0.044521562463311445,4
60,5,0.09460181654237142,0.3158903629070762,0.06015173781514767,4
61,6,0.015578649100270493,0.011791724770369676,0.004629856246349804,4
62,7,-0.004142676576621179,0.0615234901594297,0.005101335038784814,4
63,1,0.41950254919024993,0.9069148806378886,0.7967611365476811,7
64,2,0.14374944513092439,0.3642263216495968,0.11347484668734246,7
65,3,0.12738487934091675,0.2847493050417591,0.04252792846797516,7
66,4,0.10148225935167283,0.2857409664825308,0.034281912597315944,7
67,5,0.107316167833228,0.2912665951466588,0.0036891807842829257,7
68,6,0.009169423912265573,0.012051674795917391,0.00028796471793496954,7
69,7,-0.0016483565029349802,0.05771692928190242,0.017225152648825102,7
70,1,0.2072100650846827,0.5384818760462255,0.4942136937434702,6
71,2,0.1486093744654477,0.31608593343087343,0.040632478712291795,6
72,3,0.12687696681097038,0.26502504573516616,0.0226324044399834,6
73,4,0.10418312400195197,0.2788350409795415,0.024112568850450284,6
74,5,0.11810722570920279,0.29279472229453246,0.02718511403184688,6
75,6,0.027242375025419978,0.01091466155781234,0.020728191452456617,6
76,7,-0.012994353873805596,0.05112785867900072,0.015562668838380696,6
77,1,0.3305875356998147,0.9400728387646943,0.6492495540808121,4
78,2,0.12825551428104814,0.32216897575628506,0.02099108776799286,4
79,3,0.1151400593183717,0.29649663692418354,0.022595569638368933,4
80,4,0.09266047879006926,0.26786750757469846,0.02993421163433636,4
81,5,0.08919407436468249,0.3075057782164133,0.0006413488608040539,4
82,6,0.01535607733739545,0.010898472526421534,0.0050648680475036435,4
83,7,-0.0017057751094799298,0.05384766375748301,0.014726717394205679,4
84,1,0.2954230388793681,0.9245494750282508,0.6258637867290913,4
85,2,0.14199843734508596,0.31046693178587864,0.032434212725796975,4
86,3,0.11570589719686025,0.2911463726331767,0.049328819404165614,4
87,4,0.11891888345908176,0.28837972813556983,0.023941001949850736,4
88,5,0.08838096656127975,0.30400142908206723,0.014654845596882215,4
89,6,0.002790282661006894,0.010641403302685662,0.013409965693210638,4
90,7,-0.0014150940135299554,0.055636782780481474,0.011946857193246343,4
91,1,0.1719101616684516,0.4230086949003741,0.04784902756640111,1
92,2,0.11363261535642907,0.37103046090707104,0.06701897644063236,1
93,3,0.1323408451874057,0.34354344423321437,0.0009510103013643053,1
94,4,0.11485899736005441,0.2884175388087115,0.015562475557335417,1
95,5,0.09868217566267942,0.31212041189762224,0.004043856630643801,1
96,6,0.012942806568634413,0.013069377852983509,0.0034585531237352938,1
97,7,-0.004399434564505125,0.05420989929939765,0.00532565418257421,1
98,1,0.5333805562573464,0.9434199138717936,0.8695570581227228,8
99,2,0.14297230497658592,0.2017205302775861,0.04789296003937903,8
100,3,0.09664298335266283,0.17355015299750004,0.02365539231048134,8
101,4,0.10283960659161565,0.2161484456212336,0.05599077421496754,8
102,5,0.07429844343768002,0.21944034114410216,0.08929454687084822,8
103,6,-0.0026570534096290164,0.009998527153071684,0.014600386624658008,8
104,7,-0.01798543469607648,0.03997764822076752,0.019206693021669292,8
105,1,0.5006224426603059,0.9330851203684078,0.8604284402313924,8
106,2,0.13640711755347773,0.1644833037233579,0.020635685688599414,8
107,3,0.11901219853846683,0.16644892757855737,0.109286257079234,8
108,4,0.11269905882974779,0.19286262674185664,0.03264599000095876,8
109,5,0.0743071573870149,0.17575792571660023,0.021890850222465758,8
110,6,0.012291228134307072,0.008328196823571372,0.01422295895641979,8
111,7,0.023684614752885323,0.03452835376790819,0.009015433260553868,8
112,1,0.5299908905303807,0.9504972244028238,0.860256112445458,8
113,2,0.15003135754701935,0.13994017480064053,0.050279835178108544,8
114,3,0.14116367799415244,0.13601854440582403,0.02285982885969139,8
115,4,0.10452341527113498,0.1587924550768121,0.08571709492627659,8
116,5,0.07859593091941315,0.14275213932074637,0.02844887242785058,8
117,6,-0.010874221651563216,0.007829966179333674,0.019011444330198232,8
118,7,-0.004638192324835439,0.026646465139215134,0.002853434471062093,8
119,1,0.5232596524252412,0.9523087380641357,0.8524253117127947,8
120,2,0.12141517264192248,0.13355200792284855,0.02045431170293243,8
121,3,0.11280584692350876,0.14337689063986153,0.06524192198192252,8
122,4,0.1025079745969715,0.15967830546807676,0.09155337999639077,8
123,5,0.07558388185990852,0.1275787882997038,0.005250362614335029,8
124,6,0.005451039816639354,0.005787179292089497,0.011225262202341348,8
125,7,-0.0029127112146607077,0.029622050172168256,0.0059016542217971745,8
126,1,0.5226786418400254,0.9443543438917659,0.8582263612542662,8
127,2,0.14841691447716526,0.17598071693838674,0.13573585311014896,8
128,3,0.12480179601278453,0.11260345361081599,0.009373640041678701,8
129,4,0.09805485593793797,0.1625397086481411,0.09389180147177009,8
130,5,0.08841274996576999,0.14334121125510912,0.04947968458919924,8
131,6,0.0010404305662931926,0.005984480853300184,0.007779900424477292,8
132,7,0.003227521024924982,0.025878735084703425,0.016510824567019543,8
133,1,0.5299552695958262,0.9472368301860212,0.8906193638747405,8
134,2,0.13355822631819744,0.23407740444415212,0.03662684626151302,8
135,3,0.09361012231330236,0.15309010988919042,0.04441861789780988,8
136,4,0.08690502172347148,0.18142258313135198,0.009766786001876731,8
137,5,0.09145674014595431,0.18319419269559967,0.017233300708322883,8
138,6,0.013422761598812916,0.007942394106076691,0.011137148935396923,8
139,7,0.014653207776130953,0.03546270926076946,0.016618467581151496,8
140,1,0.5108831396347238,0.9592761667218893,0.8794696126690925,8
141,2,0.13830459439591064,0.21187491831921743,0.03235297756311301,8
142,3,0.11353327185202228,0.260308052427321,0.05287691176517779,8
143,4,0.08556452106582974,0.22272748199826678,0.033415748078158516,8
144,5,0.06544227115959855,0.23599759829016254,0.07420677560630856,8
145,6,-0.0025905726231512365,0.009860268803551472,0.008612832075763337,8
146,7,0.008376933038942679,0.047592686039405606,0.0027524485880851706,8
147,1,0.24495813765179947,0.3179544405270181,0.08584677033040142,4
148,2,0.13969163542850094,0.1828262733950946,0.13406320774234584,4
149,3,0.13248273300629138,0.1549490380364878,0.015419390429203001,4
150,4,0.10830379492219261,0.13674857654910008,0.06657321412858663,4
151,5,0.11668017640815333,0.14428182537183754,0.02389474212514789,4
152,6,-0.0023412213457479256,0.0065178039025054445,0.013482697696370968,4
153,7,0.013405874423590257,0.029132030534573524,0.013059818554866898,4
154,1,0.23819436494792345,0.26530847084653364,0.41506074335057414,6
155,2,0.13718935458778192,0.28144780429389865,0.0999832961540888,6
156,3,0.10952789041536816,0.146342514906983,0.061900182245181096,6
157,4,0.10479379562122934,0.137722333339665,0.0348109996665776,6
158,5,0.05282105297504823,0.14171608405016475,0.07385173961882202,6
159,6,0.01787209675040514,0.008311122105754912,0.012080319458555634,6
160,7,-0.006825885729395057,0.02720997108620153,0.033187113300529744,6
161,1,0.23532557297055848,0.24350491120212078,0.39615713763905064,6
162,2,0.12982622677415928,0.21853319559290632,0.09708485630143525,6
163,3,0.13520198958493806,0.14652127967137604,0.00499799577777811,6
164,4,0.08608284485607548,0.1312412886142451,0.0065204791138831295,6
165,5,0.0660466868783568,0.13937209354409086,0.05023375744641258,6
166,6,0.005801912907345122,0.00669872360890998,0.002874530117727908,6
167,7,-0.011582848111733173,0.030145447993328134,0.007293474861635529,6
168,1,0.239841620474842,0.32927769877128793,0.06563884814779715,4
169,2,0.14309414955091854,0.27681405472464715,0.11017494384790516,4
170,3,0.12402073790888071,0.16751066594018507,0.0053625858351529195,4
171,4,0.13501710614935758,0.1569550093861206,0.08810652934161534,4
172,5,0.10681212332280163,0.13952046136308283,0.09548037917796257,4
173,6,0.015975455329800617,0.00955323509302525,0.012943457161631125,4
174,7,0.023169818928187008,0.036944311968380585,0.016992137415847788,4
175,1,0.2404032510232813,0.3098061909044491,0.10855526259343394,4
176,2,0.16103222539297118,0.2141422186360711,0.16271784405381826,4
177,3,0.13136669035732146,0.13292268374121918,0.03981600790691717,4
178,4,0.11658061670900716,0.11224615680582593,0.07454245254317239,4
179,5,0.09255740709285376,0.11135257157778507,0.015527890420381971,4
180,6,0.026735799272456572,0.005629140424456063,0.016106275352811335,4
181,7,-0.006295137242038915,0.025307985480634766,0.010240306506791471,4
182,1,0.18597414366836096,0.18313634007860663,0.04660704034316743,2
183,2,0.16307667425350092,0.30522927507981334,0.020346836568663127,2
184,3,0.13584006115559333,0.128413345306819,0.019524357410598294,2
185,4,0.10686858369598326,0.12518445055168131,0.006101094421539382,2
186,5,0.07899180512942003,0.139951706491599,0.11778257454492297,2
187,6,0.012567186452593273,0.005576935378295418,0.0005075908252042737,2
188,7,0.008816819958768134,0.025781181706754967,0.023819422347857173,2
189,1,0.19910110803768355,0.5348323205927731,0.3187606735443766,7
190,2,0.1316397508536436,0.14861042784264414,0.05315688349991359,7
191,3,0.10470590350788872,0.13559850605372661,0.05256241730157768,7
192,4,0.13621391634117747,0.13505293719512965,0.04987990379994476,7
193,5,0.09979981951701009,0.18699659415435038,0.06851259784815347,7
194,6,-0.019670774588092202,0.007145657865983173,0.016594382170766114,7
195,7,0.002168647581199258,0.030012617636957596,0.022083607464222298,7
196,1,0.3666138655703103,0.6061331608847085,0.6366797617486577,0
197,2,0.12969531817958005,0.21360091493059277,0.05145631376071858,0
198,3,0.12971827996075402,0.12822064532860966,0.01628587244573268,0
199,4,0.11033238428657527,0.12482665542778185,0.04222449754476552,0
200,5,0.05995883290838594,0.1338247493420809,0.013344259599303769,0
201,6,-0.0053069232686052,0.0062973550050793555,0.018831728591480336,0
202,7,-0.012318769344603167,0.028278774452522387,0.0051220739187844925,0
203,1,0.1794127173731553,0.16998535021076402,0.029982938528729963,2
204,2,0.1712196321929797,0.31656593407855455,0.024870917446512618,2
205,3,0.1316496478401497,0.11828052206803236,0.03975750663178435,2
206,4,0.13144985839186063,0.1469003955742853,0.0035018396119679412,2
207,5,0.09044704615372666,0.128238215292743,0.10377974921307725,2
208,6,-0.014754516916150082,0.005887296991008527,0.008545841647787713,2
209,7,-0.005975821394401419,0.022270031315704535,0.005289034515891124,2
210,1,0.16975080360044098,0.17170701716942088,0.04430006295194143,2
