,rand_layer,pearson,ssim,spearman,action
0,1,0.2202245046802383,0.4876378748584822,0.07848669039721547,6
1,2,0.08378027152207265,0.511055587720874,0.10866716016831454,6
2,3,0.09441322523976073,0.5574374191213234,0.19748551763933295,6
3,4,0.1686953331979002,0.4919149306325242,0.08336414677950117,6
4,5,0.05845808160162361,0.5131943105129897,0.10102013978622268,6
5,1,0.2281100413539121,0.695251904924681,0.5236504443149573,4
6,2,0.14353501043378708,0.5074021110811772,0.015345628491408695,4
7,3,0.045724359038755005,0.5637681152562758,0.16130025051164862,4
8,4,0.09243017361021202,0.5192010323817633,0.0197718584633008,4
9,5,0.12974202180110758,0.5115506591530085,0.03983040000240831,4
10,1,0.22358405410530505,0.44105499982216895,0.12354516267209877,6
11,2,0.14120113958350594,0.5595539966281469,0.18841372702394904,6
12,3,0.035513134137468406,0.578944156219019,0.16012610893986867,6
13,4,0.07736411327747544,0.5098614537749352,0.0316207527130617,6
14,5,0.09210208068992251,0.5580424226450751,0.1272129923815077,6
15,1,0.18495061012515696,0.4644912680707377,0.06040451843339437,6
16,2,0.07162740216971059,0.5210670861316806,0.15048250851005265,6
17,3,0.06720308412069415,0.5342698904949567,0.14953739054796733,6
18,4,0.11066321572577884,0.4887146801607871,0.021908348814842934,6
19,5,0.06140571295119355,0.5212995033326371,0.0880880359884772,6
20,1,0.08084302426365433,0.6525772343416999,0.3921913853071806,1
21,2,0.08822377514411314,0.5186379339005333,0.11119241669361224,1
22,3,0.03681819396192235,0.5514599905487442,0.09573799540815608,1
23,4,0.10723231410762012,0.4686601474425518,0.14314751154642097,1
24,5,0.13787283823497187,0.45546048894390545,0.037371107944472653,1
25,1,0.23761706723067083,0.43815889134330027,0.20431196689687928,6
26,2,0.07169274560121827,0.5401236056142935,0.137049579797379,6
27,3,0.06771178351204034,0.5707112878168178,0.11337233143474859,6
28,4,0.12645808507018563,0.49659052530901415,0.08455576684882819,6
29,5,0.07315971512214872,0.5534005338088069,0.14672911287557655,6
30,1,0.22406988349146334,0.6997799086520963,0.5439188508539986,4
31,2,0.12101981782037867,0.5245390997432502,0.01406609826466121,4
32,3,0.08316690647762606,0.5770467027110122,0.12471376593084114,4
33,4,0.0937114566690188,0.4942638786443521,0.043255496078431065,4
34,5,0.1062580271541044,0.5169110668972507,0.009102380244821495,4
35,1,0.3391243641831333,0.5716709791447604,0.3228133266077046,7
36,2,0.1513203669849601,0.5278343491395894,0.06486077888926688,7
37,3,0.09842701912635353,0.44856734450918434,0.011661615862374968,7
38,4,0.1473459631003925,0.47091290413517545,0.07184408342689125,7
39,5,0.0817210671247251,0.44897734960186403,0.013082547716081524,7
40,1,0.22619899565368415,0.49988805180762075,0.056529707753638705,6
41,2,0.08369900756939594,0.5337001852036974,0.1169115154742491,6
42,3,0.07816702492929076,0.5711457013603153,0.20308649859883524,6
43,4,0.1607891709029027,0.5077301797910813,0.09473516820190836,6
44,5,0.054743768802333184,0.5372823379334604,0.08625899706199557,6
45,1,0.22653464469114087,0.6946775943611696,0.4995404839118257,4
46,2,0.14968086232839753,0.5144799368728548,0.005173675861421009,4
47,3,0.03033039446468284,0.5603775121841815,0.16117568466278015,4
48,4,0.08767863170463425,0.5157042442988412,0.02330063312798695,4
49,5,0.12081779804445142,0.507322883699636,0.045706505122832045,4
50,1,0.21172169978739291,0.7057423395466113,0.5644844608465386,4
51,2,0.12291749168572857,0.5218972486838347,0.008469919741928423,4
52,3,0.08335424836461544,0.5741899754743507,0.11693327284125113,4
53,4,0.09771376421754718,0.49612751780994657,0.05027717450687295,4
54,5,0.1184872150611458,0.5200170464656368,0.005212357820465848,4
55,1,0.3436513619548596,0.5697301806033533,0.3210796634095372,7
56,2,0.16279398473324003,0.534623918254226,0.053142657596494065,7
57,3,0.10804831137290552,0.45407245467905816,0.01279046229911698,7
58,4,0.14086654040502036,0.47018306842195445,0.08277635013134031,7
59,5,0.10639199681897853,0.4521863000191578,0.014235636022105048,7
60,1,0.09282431342039597,0.658915122906675,0.3876899446983496,1
61,2,0.07959083547702893,0.5231424622666061,0.11684066284364633,1
62,3,0.045630306920749944,0.5468632116152767,0.11302201633908988,1
63,4,0.0869375813935255,0.4694554784725309,0.1333224953989949,1
64,5,0.13522243886583038,0.4526505184533939,0.03279659425337611,1
65,1,0.2293801709964343,0.5833440019427186,0.31586115189561753,1
66,2,0.0841613679974713,0.4991170880765932,0.0799945479044247,1
67,3,0.1735228106026072,0.4850465600299134,0.09386994984342449,1
68,4,0.03823970765105282,0.42017977011756086,0.15888977972480053,1
69,5,0.08473833906146161,0.3728438577147528,0.0595568372282998,1
70,1,0.21492024452738656,0.5977728825219019,0.4706908004313834,8
71,2,0.11140852259191446,0.4895349292885632,0.034577754414015095,8
72,3,0.17567765747459976,0.45621547037828425,0.033692220801534806,8
73,4,0.07486955812720099,0.4577855045952963,0.015332228441427299,8
74,5,0.09664745511142418,0.4615462107778355,0.001897648363668042,8
75,1,0.18655003996561392,0.5089703692305285,0.4697857293298049,8
76,2,0.1942471071958567,0.42121637003684864,0.12812948929664553,8
77,3,0.12422936666479056,0.412629099876367,0.03025621332006679,8
78,4,0.11061071023550946,0.42551274986784554,0.03717368177207852,8
79,5,0.07999043250717358,0.41081616668738696,0.020222965276386114,8
80,1,0.18711500902903289,0.5477354721767714,0.46914094526944955,8
81,2,0.13765966390417947,0.4315693451137545,0.10946693592039072,8
82,3,0.11506597628348805,0.4239213694067356,0.07616097307855482,8
83,4,0.06930606456166262,0.40103407056652013,0.09362154864333946,8
84,5,0.07084320028615942,0.3761048557356733,0.015814557400074813,8
85,1,0.09445010252308599,0.5513366706118813,0.3252121482986554,8
86,2,0.12457810130162941,0.4493920272368592,0.09756386232652033,8
87,3,0.10256582204507403,0.45600973025136465,0.044240579647597596,8
88,4,0.06238600512940303,0.40743107621530866,0.023334901471779475,8
89,5,0.031009061331282027,0.3968748606083908,0.012567905736043071,8
