,rand_layer,pearson,ssim,spearman,action
0,1,0.10299123997222329,0.2628905749490448,0.20101554638299038,6
1,2,0.09643675776049367,0.3216014429106275,0.04706189970285469,6
2,3,0.03575111352225265,0.33918099494226617,0.1449473872700059,6
3,4,0.025650651550776227,0.2544843471245138,0.015373558652859642,6
4,5,0.022157404178670508,0.18623826189977816,0.1937782621210452,6
5,6,-0.0039767145234060434,0.012893276943053346,0.011426699251635652,6
6,7,0.014984221136704627,0.05382998775424065,0.0007936346445623333,6
7,1,0.1439179285061721,0.6035762403206829,0.6479317228060775,4
8,2,0.06269670508744789,0.2601543313000982,0.11358549027801189,4
9,3,0.006178490858256654,0.2586244901411725,0.09114849338324499,4
10,4,0.054158424157304985,0.2762285642789686,0.11483852793913285,4
11,5,0.03537057934074938,0.24089393693666297,0.07477753388449002,4
12,6,0.008780634924804477,0.014757366843326455,0.005203822139079232,4
13,7,0.016797455450136525,0.06885426435739554,0.009160231452834249,4
14,1,0.11447432053015191,0.2529602907340034,0.2107344608040697,6
15,2,0.08854313198488925,0.30792058828690305,0.033521618321526885,6
16,3,0.049694775345515925,0.3218589357096163,0.09257284102490866,6
17,4,0.033318088109334634,0.24925874239880677,0.0216150211163962,6
18,5,0.02940774992835535,0.1723897309259949,0.12796561080869717,6
19,6,0.0016614111667847768,0.016381334166782217,0.013185480539043538,6
20,7,0.03366031006103663,0.06290122212099773,0.003560988506589818,6
21,1,0.09467095386522383,0.25429747372788675,0.22013825628640943,6
22,2,0.07242642599643573,0.3078217938647407,0.019364292817607393,6
23,3,0.031357373806936685,0.33745019083170846,0.13545760842415216,6
24,4,0.02286332549976378,0.2423020907937434,0.011217830545068735,6
25,5,0.030215374280754992,0.18022582823500452,0.17607139416409204,6
26,6,0.03177950884240634,0.014650973251192068,0.0026874177846142886,6
27,7,0.00657388705576214,0.0651765816599361,0.006946185469042138,6
28,1,0.10763479466680084,0.3244549175021879,0.3467930422371771,1
29,2,0.07718695261636763,0.38626559544252737,0.0289917522578316,1
30,3,0.03121131156576127,0.2613152801656667,0.04313324534103612,1
31,4,-0.0006733877514891065,0.2617140454496835,0.03315223870186938,1
32,5,0.047633384797587226,0.2359104274062578,0.16223131134641317,1
33,6,-0.003954225416822473,0.011682198553135984,0.005946916277252946,1
34,7,0.010865562340030471,0.05723754414589587,0.008485744925262054,1
35,1,0.12227824517249117,0.2776237959139282,0.14210618145512227,6
36,2,0.08127175592315528,0.3301459633665539,0.04003730412118597,6
37,3,0.046190357569505916,0.300345370194741,0.0569679076797755,6
38,4,0.048104361389378396,0.2443671058892161,0.011906068663368598,6
39,5,0.026902600921399525,0.16893965595305832,0.14197765279450583,6
40,6,0.00471165759807216,0.014660019711519635,0.0002619361791121456,6
41,7,0.022580871212158817,0.066890374203367,0.0031723929299688983,6
42,1,0.15593271999796215,0.570684392157807,0.6194641410995885,4
43,2,0.06974806170844013,0.27777584234978414,0.0967798150414249,4
44,3,0.033002234153129376,0.25876746212060403,0.08408060363735198,4
45,4,0.05315340774264863,0.25954821578902576,0.10636848715718818,4
46,5,0.03736948218848349,0.21515620874311,0.05097215802819328,4
47,6,-0.0056247310025192565,0.012192424995970376,0.010777784994328486,4
48,7,0.007509582080020983,0.05766668494147892,0.02360196963212359,4
49,1,0.19949454015378967,0.4883280945335257,0.46255050429797123,7
50,2,0.05783687465154344,0.3429125230793451,0.04229917234548856,7
51,3,0.006164842825081991,0.2800285399273194,0.07919743292013477,7
52,4,0.031125650338451327,0.28562062075203426,0.09882494650386324,7
53,5,0.029392350381037567,0.1652222701979831,0.10909223593822014,7
54,6,0.0035651420717776336,0.012993460415780375,0.0017122408889221799,7
55,7,0.02004621582600879,0.06044271701461471,0.013966103376836453,7
56,1,0.11403795445076682,0.28315294990838963,0.2155178968522426,6
57,2,0.08741026963326366,0.3325095153967514,0.037590615027612524,6
58,3,0.03379888875247902,0.3345686280070266,0.1457572275115427,6
59,4,0.040522165435976476,0.262541573953061,0.022152379768892852,6
60,5,0.027571071243261514,0.1855401035643253,0.19657256499064046,6
61,6,-0.004720554563199795,0.012416307370735681,0.003561305058328135,6
62,7,0.005681423586324572,0.07059492851705716,0.009912781886739695,6
63,1,0.15190006488528116,0.5957956469255787,0.6384131644573698,4
64,2,0.060016864576314534,0.2625182472408682,0.09819074376890087,4
65,3,0.00840645827450401,0.2604373398656042,0.09470407160481642,4
66,4,0.06524691258258035,0.2750581334415277,0.10817649878968857,4
67,5,0.03281612587710867,0.23677285409927246,0.07031029010217846,4
68,6,0.0035793480330198893,0.016030333553845564,0.009841195642812446,4
69,7,0.023196592960969962,0.06019057065544441,0.004815104802593067,4
70,1,0.15075013891629235,0.5793661172579787,0.63392149650769,4
71,2,0.06610884287945684,0.2793643370715625,0.10748587742690349,4
72,3,0.025399532463880645,0.2532857880444126,0.07390565136298359,4
73,4,0.05225058538956388,0.26040032161350546,0.11266439377011987,4
74,5,0.03739425094899275,0.21629088196738191,0.04574006389360887,4
75,6,0.012818096386073166,0.015915708859495174,0.021360516030421703,4
76,7,0.01443816219617519,0.05281244250713695,0.011893458718072944,4
