,rand_layer,pearson,ssim,spearman,action
0,1,0.08836408389322951,0.5900337466237154,0.3987915677274493,1
1,2,0.035826959558807145,0.5085848369870087,0.11421349458822438,1
2,3,0.020325907880345443,0.5657980569493807,0.08376560985718015,1
3,4,0.12038817901621414,0.4843903523385203,0.11861853780959333,1
4,5,0.12775602679389914,0.4582547002242943,0.004349072255735739,1
5,1,0.34629050240855347,0.571826058976732,0.33701624795271895,7
6,2,0.16027493718688818,0.5333615407376904,0.05207197546573802,7
7,3,0.09969704528689308,0.44600301628903627,0.0027902880233397803,7
8,4,0.1376230625841105,0.47193165466673814,0.06988065437036728,7
9,5,0.06068420059485279,0.4443717795563406,0.011618084621961917,7
10,1,0.22022431981241242,0.48763849326217334,0.07844516719793662,6
11,2,0.08377876209730623,0.5110557863398267,0.10855670860042893,6
12,3,0.09441295561975749,0.5574373175006584,0.19744085108407267,6
13,4,0.16868850863025844,0.49191487960635855,0.08342057610443686,6
14,5,0.05845761416105713,0.5131972378683685,0.100988676912946,6
15,1,0.22817894442284703,0.6952515929265738,0.5236481924196545,4
16,2,0.14399560044187293,0.5074020629883196,0.01534543239056849,4
17,3,0.04588835636909892,0.5637681236171009,0.1613001389839607,4
18,4,0.09251593875760707,0.5192004116294018,0.019771462024769912,4
19,5,0.1297415059531597,0.5115496755134682,0.039825124265315745,4
20,1,0.22358381643407166,0.44105417549316533,0.12354191359188886,6
21,2,0.14120072822811802,0.5595540379353875,0.1884134782148126,6
22,3,0.035512423999833474,0.5789438078599586,0.16012510862869764,6
23,4,0.07736506189593582,0.5098623922277612,0.03162052629298753,6
24,5,0.0921007810941418,0.5580417686429326,0.1272126508317816,6
25,1,0.184951127201678,0.46449217425805006,0.06040590375235061,6
26,2,0.07162700611911157,0.5210671724743843,0.15048418040900616,6
27,3,0.06720272926765566,0.5342694002006453,0.14953603438478685,6
28,4,0.11066315722658729,0.48871374463435174,0.021908136991509754,6
29,5,0.06140421007750667,0.521298399046106,0.08808453724383358,6
30,1,0.08084238634754667,0.6525773567665835,0.3921899674813568,1
31,2,0.08822342612913678,0.5186377338449697,0.11119167351252124,1
32,3,0.036818268829326053,0.5514602767308626,0.09573686012724394,1
33,4,0.10723256738343559,0.4686586006382158,0.14314686303148133,1
34,5,0.1379208336556881,0.4554599432055214,0.037368223651201835,1
35,1,0.23761743980878494,0.4381574683863135,0.20431221784412257,6
36,2,0.07169182478613467,0.5401242198556265,0.13704812268077662,6
37,3,0.06771161543036515,0.5707116392298408,0.11337182621103084,6
38,4,0.12645799368852967,0.49659104548710964,0.08455515027798007,6
39,5,0.07316063731650294,0.5534015867785065,0.14672689928471325,6
40,1,0.22407001600043827,0.6997793386164554,0.5439183792822377,4
41,2,0.12102016188785125,0.5245383781687748,0.014066698735893546,4
42,3,0.08316722893096815,0.5770468039591291,0.12471345757811925,4
43,4,0.093711527958659,0.4942636316647463,0.043253386567309725,4
44,5,0.10625665083895072,0.5169089736059458,0.00910256328806829,4
45,1,0.3391249155537238,0.5716708302037276,0.32281379595765,7
46,2,0.15132023138724532,0.5278341827376639,0.06486045718694207,7
47,3,0.09842757541078312,0.44856769257159174,0.011662841894162456,7
48,4,0.1473457983712758,0.4709120481673554,0.07184363842654863,7
49,5,0.08172129588724807,0.44897596993704003,0.013079736385325282,7
50,1,0.22619918213319523,0.4998889982471372,0.05652935687772365,6
51,2,0.08369806890341208,0.533700413743276,0.11691116470087937,6
52,3,0.07816654738391024,0.5711450261809303,0.20308733683849087,6
53,4,0.16078882693989135,0.5077302780037027,0.09473562223679971,6
54,5,0.05474305663890443,0.5372822916401251,0.08625714972361019,6
55,1,0.22653470192395062,0.6946778098404738,0.49953996680994134,4
56,2,0.1496808379252333,0.5144799942021908,0.005171873319725444,4
57,3,0.030330280976701166,0.5603772528833363,0.16117368227871737,4
58,4,0.08767860340340104,0.5157038838651947,0.02330228246736754,4
59,5,0.12081737741736559,0.5073220462080904,0.045704604019552,4
60,1,0.2117217015590917,0.7057422440671981,0.5644830044978549,4
61,2,0.12291736825384038,0.5218967660721046,0.008469858078007257,4
62,3,0.08335447121723205,0.5741901644056223,0.1169350127438457,4
63,4,0.09771477189742561,0.4961277834837157,0.05027709023127832,4
64,5,0.11848664924498181,0.5200165396453059,0.005210506381830889,4
65,1,0.21798173467326393,0.6164088792351515,0.2649983905596939,1
66,2,0.0560251871143551,0.5558811591084993,0.03428376677911314,1
