,rand_layer,pearson,ssim,spearman,action
0,1,0.2503323143970011,0.7007368436234414,0.7868046450138569,1
1,2,-0.008316630014374854,0.31037396006359613,0.07975717874045309,1
2,3,0.007451828305526225,0.40883038418550577,0.21496856263449296,1
3,4,0.05698900326045288,0.4940457602448645,0.3873700636672889,1
4,5,0.03235502437909831,0.35236068818167054,0.006562023680284824,1
5,6,0.012989420424434161,0.012533468103525191,0.006729684025297498,1
6,7,-0.022470732486339202,0.05884624383235069,0.0042796592491035216,1
7,1,0.4184781066311294,0.8485124784960042,0.9207078567353502,7
8,2,0.03746290996963365,0.44871431164385867,0.47476478093179286,7
9,3,-0.009487606815207881,0.2975431561033094,0.18626700311781566,7
10,4,0.10500852365314765,0.5810565815248327,0.5491446750536775,7
11,5,0.0516903987897669,0.44165967575862586,0.38058828438747655,7
12,6,0.03288500435093365,0.01357313105003122,0.02205414328106121,7
13,7,0.03234290035180807,0.06418706032756392,0.0009559660246328599,7
14,1,0.7799235520124108,0.9648897487089463,0.9840288003013188,6
15,2,0.03363230785892306,0.4625141254594262,0.4050638680312197,6
16,3,0.006400274164009076,0.2733870842039162,0.13538430958036013,6
17,4,0.011248744675552324,0.27540870478690554,0.0666145172359292,6
18,5,0.0892078842522887,0.4677924908880984,0.230494987329968,6
19,6,0.005549835277030648,0.016217751106281757,0.01817421403378699,6
20,7,-0.01049912616809902,0.05277915138582809,0.0014129276036256911,6
21,1,0.003317743120805159,0.4369994745439934,0.3748667797632548,4
22,2,0.0064361898230692076,0.26283672203358827,0.04449694780828516,4
23,3,0.06933533286682357,0.5391524147428777,0.6345202397855465,4
24,4,0.04716009110525953,0.49658264285130793,0.36909008326590975,4
25,5,0.04689209407957644,0.43288791309354524,0.21599627710699018,4
26,6,0.03723645021661053,0.01240496597911927,3.075566397941603e-05,4
27,7,0.0033929237670241785,0.054071813808118756,0.0026800175297860204,4
28,1,0.7859431149936565,0.9659489941618864,0.9854160805532085,6
29,2,0.04176351097635878,0.4436368104096299,0.35498230941717424,6
30,3,0.012134701564248404,0.26945651354513944,0.1177475640513747,6
31,4,0.03182308519650061,0.2850993513687508,0.09578800992731662,6
32,5,0.09402364309369268,0.48274201072686235,0.24990103213348966,6
33,6,0.0022522655419773756,0.011270919514966993,0.0028328836327686977,6
34,7,-0.0003492930037391452,0.050238643582850705,0.007531360813411344,6
35,1,0.7795378821787288,0.9645492528675061,0.9854265886225455,6
36,2,0.026980439219130067,0.4607996723005539,0.33408943381050704,6
37,3,0.013436063658921027,0.2774003237653222,0.1317791320061729,6
38,4,0.02678248315667155,0.2778104709558241,0.08225232028614742,6
39,5,0.10458722682782395,0.48341178286821834,0.24867997812802728,6
40,6,-0.013152341486032622,0.012323334463672125,0.011745448284737716,6
41,7,0.01925797093897826,0.05336151404933439,0.009845999687394314,6
42,1,0.2665571184249209,0.7179075707581489,0.80343970299723,1
43,2,-0.004808000099221093,0.3326584272693563,0.14067021708389876,1
44,3,0.003270388935735654,0.43541727433718386,0.3218904482871254,1
45,4,0.044439665234761117,0.4855328996557301,0.3846816543225938,1
46,5,0.015432605107317218,0.3314092704946496,0.08107514529770858,1
47,6,0.005611004249832678,0.012860197467894985,0.010369540906364612,1
48,7,-0.0020278173528640317,0.05061804788087064,0.00811575798517778,1
49,1,0.7858252449615197,0.9658314546112187,0.984356618540958,6
50,2,0.033334786942851885,0.4425989547422976,0.3908294449647559,6
51,3,0.011534152807352094,0.25600720187014425,0.15514461475342375,6
52,4,0.018286305031719116,0.2716228711660734,0.06159372531371687,6
53,5,0.08632317184212075,0.4651532334103837,0.21451802763305583,6
54,6,0.014247613898232214,0.01615603655447714,0.010896712000571462,6
55,7,-0.0019269764555790083,0.05294843546482483,0.010994135332350415,6
56,1,0.009415230301285858,0.45065185292141613,0.3588098731436829,4
57,2,0.012472614620470137,0.3028760308091996,0.12279858999500888,4
58,3,0.09489941894891744,0.5391313213690312,0.650428784887671,4
59,4,0.07492818296764996,0.508374633530754,0.41671375775982245,4
60,5,0.034404319890499274,0.4326208461327748,0.20693836540371352,4
61,6,0.03186057081747829,0.014667191380691613,0.019692092082397902,4
62,7,0.006672678922447845,0.05279031997941817,0.014713548698356504,4
63,1,0.41984544489328,0.8490092629200827,0.9205986383927534,7
64,2,0.037869487438303324,0.44894309648662095,0.476579504919491,7
65,3,-0.010271877926870784,0.2985425332820216,0.191535335082728,7
66,4,0.10389889572514305,0.5784999579011038,0.5431923891829585,7
67,5,0.05018431133934122,0.4417897997049555,0.3807606574831574,7
68,6,-0.0034259952062560437,0.013325343567906808,0.0053852779683846,7
69,7,0.001748116534793483,0.049448856376600375,0.003556104642389282,7
70,1,0.7861593967392191,0.9658729941010684,0.9845149090638542,6
71,2,0.03333299635897867,0.4597819689582111,0.3911724484306903,6
72,3,0.01208317620136975,0.2761938529281825,0.14002101503875305,6
73,4,0.01138293530014143,0.27535008351566803,0.062029430684368204,6
74,5,0.09205285484944588,0.4662924273811399,0.22707433379937936,6
75,6,0.01936552018317761,0.012144042325262852,0.0120132855893108,6
76,7,-0.008396304220288794,0.05302778534541923,0.008610784099309255,6
77,1,0.0021383248777263712,0.4349374591689972,0.3675437682000042,4
78,2,0.012404003144477345,0.26121605210760834,0.04479966462581693,4
79,3,0.07350720652110146,0.5366603919670594,0.6315517785500866,4
80,4,0.04509367564502454,0.4980768170564642,0.37032053206374,4
81,5,0.041963496649349966,0.4344236303900105,0.21485702824129765,4
82,6,0.01826013126736355,0.014336334527799753,0.019682538484696338,4
83,7,0.002842100469990463,0.05415504422216248,0.012910315193717752,4
84,1,0.011248041684894391,0.45229783307671023,0.36458058774573376,4
85,2,0.01532390489788261,0.3026601270388802,0.11883606636356088,4
86,3,0.09252496549734904,0.5468242904708323,0.6569836199365846,4
87,4,0.07264630351192326,0.5088467743546459,0.4243716696862259,4
88,5,0.02736523578246844,0.43416876589789644,0.20822618145837718,4
89,6,0.0228356820670126,0.0134891474061436,0.014677528820317486,4
90,7,0.010327549988940355,0.05132190422681599,0.0124160867612708,4
91,1,0.34980887734436117,0.7750309889286603,0.8879918756694303,1
92,2,0.010348215416311195,0.4279888836447392,0.34824676749386385,1
93,3,0.0045381371832875295,0.3577400963142196,0.23581205558943094,1
94,4,0.04028988445252073,0.5153286583992577,0.47360867270571133,1
95,5,0.013904775625428419,0.3969152083578961,0.03999222444133177,1
96,6,0.006584794917514716,0.011790242629113644,0.008885846653734453,1
97,7,0.0073757770723458715,0.05862028289067935,0.01630005579214977,1
98,1,0.0008038833458438536,0.3968261707415029,0.31343471219888375,8
99,2,0.03238473064054938,0.4766606532378903,0.37171863174453146,8
100,3,0.1341351725798579,0.5737229367775428,0.5654567391797918,8
101,4,0.08941696514858458,0.5259952076745864,0.5565634012798332,8
102,5,0.07196471103578561,0.5422719010802639,0.4333045617624921,8
103,6,0.011195548712722925,0.011899868689058984,0.005482418326753371,8
104,7,0.003923431815069117,0.052959986735444595,0.007698850431588661,8
105,1,-0.011690498890327826,0.3820424246127341,0.337145938068807,8
106,2,0.02584089663100024,0.4891205503373311,0.3867861196150644,8
107,3,0.14642392584390113,0.5808183391145351,0.6237458877215384,8
108,4,0.1023580683835994,0.56822587309434,0.6229382913783612,8
109,5,0.08121911690329182,0.5535187992037596,0.426700730058896,8
110,6,0.011429644695118684,0.014975560779761683,0.010166206885088895,8
111,7,0.021778650971186173,0.06186854163661347,0.018275369205509092,8
112,1,-0.0032813504638671918,0.41654477889920394,0.47010270330681536,8
113,2,0.04179441733558871,0.5030096697093449,0.3986503390886019,8
114,3,0.13108793569193222,0.567166010170657,0.6192383199321,8
115,4,0.10093643789667672,0.5221168264226358,0.5160042265624518,8
116,5,0.10668939811285011,0.5737962177351491,0.48697069151546496,8
117,6,0.02323398414949195,0.012606602030117077,0.0029266547493050324,8
118,7,0.02003843067777271,0.05703962096636856,0.020570625664778717,8
119,1,0.03688981609449017,0.4884261007463762,0.5955677104818617,8
120,2,0.058021075998773486,0.5094620444332111,0.4402036016162903,8
121,3,0.10842723290825172,0.5080408218911996,0.47135785543740943,8
122,4,0.08350356424198399,0.5104972730498547,0.47053338835888614,8
123,5,0.10833766887834179,0.5760498114583327,0.4849069361701053,8
124,6,0.017309454375816935,0.012477101168560916,0.0006188162209915047,8
125,7,0.022891244915247872,0.05406957141753562,0.009233205976784556,8
126,1,0.02702907304499326,0.441979784298641,0.4316391448825288,8
127,2,0.027853336812298256,0.49648778483507283,0.41503534456425006,8
128,3,0.12624828601623073,0.5735880378134391,0.5657021982885014,8
129,4,0.07797653147027787,0.5114335709652218,0.4665895329109789,8
130,5,0.07939675932004255,0.5594025404505983,0.39256166280105653,8
131,6,-0.004378375464626149,0.012175280634269073,0.0008816086808000352,8
132,7,0.016175582644344832,0.05232981489867528,0.021882802983673004,8
133,1,0.008847945054928336,0.3935733883280575,0.31997105856996283,8
134,2,0.009336634644864294,0.4343883313830885,0.23381775860220055,8
135,3,0.13014432525014838,0.5737839206485756,0.6086844774940626,8
136,4,0.09168830433802488,0.5296450614130366,0.4982285421479969,8
137,5,0.09033207157202941,0.5595881214376058,0.47221032499619814,8
138,6,-0.004542529474118057,0.013860824407965254,0.037185996124976334,8
139,7,0.01247575146855344,0.05680142981476678,0.006614684403393561,8
140,1,0.010828993861991373,0.3830626809021775,0.4341971385664543,8
141,2,0.014007585557317768,0.46647416403207825,0.2933198363556434,8
142,3,0.14353252897061602,0.576651672890747,0.6551261670322669,8
143,4,0.09520017207630829,0.5063100448674281,0.47702174573252887,8
144,5,0.09472828934109413,0.5583255807689247,0.5135830404795942,8
145,6,0.009830939878569325,0.01280420312528395,0.006322694170517996,8
146,7,-0.008245616588065888,0.06834487626054553,0.00797686401883364,8
