,rand_layer,pearson,ssim,spearman,action
0,1,0.03775584753922923,0.17135379446320165,0.09224043803999694,1
1,2,0.20458783695727373,0.568351407489829,0.5876914789674217,1
2,3,0.23291687894200566,0.5861821615068995,0.6301899036673593,1
3,4,0.24174021645326713,0.5864752550667646,0.6257074987862835,1
4,5,0.24659243153911242,0.590382774225632,0.6312755204637465,1
5,6,0.012376106410898265,0.02118691908577227,0.01021684901443842,1
6,7,-0.013128078762851698,0.04494433155080201,0.003987380406577712,1
7,1,0.07662994727816783,0.4225659152308951,0.45634490365492875,7
8,2,0.21739589339057874,0.6216638181859929,0.588408370923519,7
9,3,0.2256222182799382,0.629608991639742,0.5860172688356207,7
10,4,0.2325604794438071,0.6327938777471146,0.5986382653059346,7
11,5,0.23729030814095292,0.644463645976199,0.6050012584904244,7
12,6,0.019398191551079382,0.014193125170479078,0.014785003412716031,7
13,7,0.021211172797670187,0.05416853264143306,0.0017740688316724533,7
14,1,0.24808721307095313,0.659962852721394,0.6668112354727782,6
15,2,0.23284855981848984,0.6404054266168054,0.6316174047090405,6
16,3,0.25684989506123024,0.6400963572151053,0.6537836419082196,6
17,4,0.23178498856618207,0.653184959757079,0.6507850486843625,6
18,5,0.24278364987391357,0.6567811843962719,0.6616809638230663,6
19,6,0.013490178694022246,0.013525609592004433,0.0038255014091901616,6
20,7,-0.0013112529680931193,0.05828409949415082,0.008433548670564717,6
21,1,0.06939937969274629,0.3431074271616325,0.375458264797252,4
22,2,0.36155909351746207,0.7614148891715355,0.7928542972390917,4
23,3,0.42285776068872716,0.7947234182856119,0.8173610576251855,4
24,4,0.4281173444306857,0.8051535933453526,0.8287319442135835,4
25,5,0.43206540188190123,0.8039041741180539,0.8320956517706642,4
26,6,0.014282202221207678,0.01588412244108427,0.00909989110244486,4
27,7,0.006418052459969124,0.041955007595591086,0.016577575508129126,4
28,1,0.24345649426825364,0.6628283447433119,0.6753876753311395,6
29,2,0.21783033107738997,0.639854495292259,0.6348769372994507,6
30,3,0.25084897998530836,0.6470881631663925,0.6633396818096812,6
31,4,0.22682688987942007,0.6571476543929317,0.6591344914336457,6
32,5,0.24000934466371684,0.6590313919955177,0.6684362413996263,6
33,6,0.014750890097461411,0.012690823506009113,0.004183577513254662,6
34,7,0.0049618729368681724,0.044912721715955735,0.028317986360611943,6
35,1,0.2544974075902998,0.6711371379364424,0.6829166080181729,6
36,2,0.23906046798910094,0.6433271782540323,0.6403822224670014,6
37,3,0.2689336486270603,0.653587885153767,0.6708193479173715,6
38,4,0.23791340040252898,0.6637409852839004,0.6671898416325099,6
39,5,0.25231632737108717,0.6685446605819562,0.6780799820504405,6
40,6,0.0069133599697231984,0.011598534392978135,0.010080739248208199,6
41,7,-0.0008238662638422258,0.05774642858434263,0.016621733501956247,6
42,1,0.03141729544570149,0.1833729510337365,0.07813949746623648,1
43,2,0.1948125383864634,0.5736832206587352,0.5656859686156841,1
44,3,0.22503756563722183,0.6107793419868137,0.6210269563264748,1
45,4,0.22602792499319946,0.606182699245106,0.6179048632792005,1
46,5,0.2308730047309645,0.6096833676908154,0.6218894705190311,1
47,6,-0.0027072253777225726,0.01700932508210952,0.00837233285238033,1
48,7,-0.010513383417894942,0.05659055749732909,0.007657452145850461,1
49,1,0.23426824886127737,0.6531641973563513,0.667689756860385,6
