,rand_layer,pearson,ssim,spearman,action
0,1,0.02699721261555947,0.15013062911392422,0.09745025579916455,1
1,2,0.06426590682665499,0.23773234711906174,0.3421507713068842,1
2,3,0.024122339019871708,0.215675396372309,0.2984016908925849,1
3,4,0.08445133443154604,0.1678941289957693,0.19051758705504382,1
4,5,0.036105054528265,0.17533799056591345,0.22708973584449807,1
5,6,0.012651925902786508,0.006151730802190372,0.0036384690741316675,1
6,7,0.011561547062907839,0.01639540809950709,0.007687309070476047,1
7,1,0.15316769077364403,0.3132776377307329,0.477253446821899,7
8,2,0.02457494931806574,0.269872229273555,0.2213147788574738,7
9,3,0.032544647814949236,0.22027855234981555,0.25278087540664773,7
10,4,0.024510248193800824,0.22874405483113106,0.2188860119092933,7
11,5,0.07428659295634407,0.24341548960267412,0.2551972621025251,7
12,6,0.001207686421684047,0.002315484475451609,0.01573123138694736,7
13,7,-0.01503730047052086,0.007662788866865406,0.002280738686245886,7
14,1,0.024730101234712285,0.28026100011858973,0.04402792561266598,6
15,2,0.03932736547867942,0.2306545592623064,0.3578421821099904,6
16,3,0.06390644352209912,0.2057060220871305,0.18032274029721937,6
17,4,0.048935003146690546,0.21867516713430613,0.24966976518186212,6
18,5,0.027820763408045596,0.24458813338798577,0.2319070502210062,6
19,6,-0.0037092563615346804,0.00393110036918833,0.013889243319175043,6
20,7,-0.00765288853950816,0.013191152008156067,0.0028171728457554493,6
21,1,0.21389410891160823,0.49351271257203605,0.6706247675037802,4
22,2,0.06958881625137567,0.2249916930435983,0.28944201558000304,4
23,3,0.04117542369717982,0.23745698857881128,0.29739447208003555,4
24,4,0.0173591607179594,0.24136425439562978,0.24504069794502567,4
25,5,0.03938854798532755,0.2352666680941206,0.21511998645391064,4
26,6,0.023163996653650203,0.0032203803190426735,0.0010471879936139262,4
27,7,0.0024295015314564654,0.010169148410188912,0.002605396185701285,4
28,1,0.03232560191871925,0.272670561055928,0.010657571837230654,6
29,2,0.05817464050406722,0.2500531322252898,0.39703178671680994,6
30,3,0.04652504368543079,0.21782185102831264,0.23576356286095163,6
31,4,0.05300945461500193,0.2219311002057121,0.19847695816643876,6
32,5,0.02147231353004532,0.2422407096757408,0.23619352604477775,6
33,6,0.007346779993032057,0.00441119222596699,0.021537833173077014,6
34,7,0.02805448789526595,0.01643236023076432,0.0077167416052901575,6
35,1,0.010212146851017997,0.27712375794543065,0.024912494578225065,6
36,2,0.04940920171912144,0.2321276253537298,0.3581401294931633,6
37,3,0.05074588950568434,0.20112384094763416,0.21319391411992622,6
38,4,0.028060119124991494,0.2342484235832897,0.2125357093658947,6
39,5,0.03190404967257367,0.23279555133737928,0.22631215364987037,6
40,6,0.0017300765415365568,0.0044139131458930956,0.006710809207352461,6
41,7,-0.0037766936386175393,0.01741565392117183,0.0009153868423887134,6
42,1,0.03571215635929502,0.15282562437264102,0.08472524638598615,1
43,2,0.06892798782067437,0.2559221142800222,0.3875155718822561,1
44,3,0.042969641740256394,0.20763573798980525,0.309651349912942,1
45,4,0.07406183745586699,0.1772445063267121,0.17333219269706845,1
46,5,0.025427864828554102,0.1763335056256498,0.2064348035865789,1
47,6,-0.0026764697307897225,0.00607511475903235,0.007387277802122501,1
48,7,0.013979608969361429,0.019075917753984026,0.0013439582450914646,1
49,1,0.0265628908407142,0.23738080356178592,0.0030312272852753112,6
50,2,0.05725841400604682,0.23740290168593023,0.3667569852299122,6
51,3,0.05215965959959329,0.2180950359273088,0.2877051319986236,6
52,4,0.04860259885353531,0.22401149256016412,0.2765328811350071,6
53,5,0.04312439959291583,0.2563127373367508,0.25090043666907746,6
54,6,0.0036981819337029206,0.004988966919658616,0.007774169376100672,6
55,7,-0.007967550851247856,0.013626646159971613,0.007601369939283207,6
56,1,0.1818528700043182,0.5042938407974004,0.6594131943872065,4
57,2,0.06418111202319174,0.1984001106711173,0.26382381374383296,4
58,3,0.0352238021860756,0.25698239514648097,0.29228485035477464,4
59,4,0.017829937723695413,0.2729866552101192,0.24948036894076198,4
60,5,0.04040697216726015,0.23122674016374506,0.1908526027040823,4
61,6,0.007961585970289689,0.00217916936479465,0.005586501030781033,4
62,7,-0.009333540753642204,0.009912124534063163,0.00852439440908819,4
63,1,0.15498181019631257,0.30958648267326816,0.4637691082177707,7
64,2,0.028924098652429977,0.27256295542898906,0.21683724917736275,7
65,3,0.02732659478034935,0.2174293292060765,0.2621112579545797,7
