,rand_layer,pearson,ssim,spearman,action
0,1,0.7071412896387703,0.5150051959871277,0.09911150614227207,1
1,2,0.6967118980670438,0.45682623975059694,0.05074774822183862,1
2,3,0.6965860938813866,0.4804451841060243,0.23423993459330258,1
3,4,0.6909107062133374,0.48701876107890285,0.0050441426075610715,1
4,5,0.6957172980493282,0.4715576726412519,0.07462444177799463,1
5,6,0.002042672127076901,0.010646167651082745,0.011584079378066674,1
6,7,-0.008055132538977525,0.0454712845802931,0.002804175400689625,1
7,1,0.696898373048689,0.4388272805368948,0.16030295402734512,5
8,2,0.6804668451850444,0.40228681755595597,0.5215830839511777,5
9,3,0.6962862572371492,0.3847896071537583,0.14511793301836598,5
10,4,0.6944726087860824,0.4006181094961642,0.12100541480469185,5
11,5,0.6978793313533762,0.363288779403541,0.0002894499624925169,5
12,6,-0.0050451116639834434,0.007429051703578606,0.0014452388252966404,5
13,7,0.0002888970659510595,0.03464618437332306,0.009311726401543164,5
14,1,0.7095407420213911,0.5914128057212453,0.611185582519499,2
15,2,0.7085455354179485,0.5157946129867199,0.07720206564738544,2
16,3,0.6988353013697203,0.6461768597996053,0.3839473898725317,2
17,4,0.728775987501679,0.5939251119731925,0.2602057966682893,2
18,5,0.6964616180235852,0.7530998385524267,0.45545992521215845,2
19,6,-0.0014699685800726122,0.011388860035175162,0.009175901149985885,2
20,7,0.010422261818667324,0.05521493833252123,0.004431463398364234,2
21,1,0.6877055746418561,0.4381929029420183,0.3356016912745887,1
22,2,0.6935584631186411,0.409793508718535,0.23972250972022546,1
23,3,0.6778178526203134,0.4622019642185856,0.130550999649789,1
24,4,0.7020474518467525,0.4774992929650745,0.16533324663255256,1
25,5,0.7058245217842178,0.43325609112034713,0.18757129069834977,1
26,6,0.002702762397235823,0.008265352325339486,0.010651309846828447,1
27,7,-0.006472316854932552,0.039781815706467695,0.021707896418965547,1
28,1,0.681251121017682,0.41155135202119464,0.378414977512434,1
29,2,0.699304127694218,0.4069230905393173,0.1320848205790267,1
30,3,0.6977244112114498,0.4641656890624832,0.22625198941324468,1
31,4,0.6844927443550131,0.3818277996805983,0.12598152285773254,1
32,5,0.6609028905232941,0.4189386127337631,0.19121041518860055,1
33,6,-0.004241316957023808,0.008078392477008771,0.017687788028247185,1
34,7,-0.014410270512671396,0.041106664996742356,0.009326955714158957,1
35,1,0.7302825668912352,0.29757483671757823,0.2270126821396478,5
36,2,0.7214187663194934,0.2888107867518862,0.17856100308931416,5
37,3,0.6883805912213541,0.2831758864360591,0.08478832406995539,5
38,4,0.6871687652566522,0.37116267842273143,0.3550579319112915,5
39,5,0.6886009508389068,0.36091741089124046,0.275162900248705,5
40,6,-0.031982159723829284,0.005980557856235766,0.014796925807282469,5
41,7,-0.018874040260551762,0.027657908645525538,0.0006340512361575972,5
42,1,0.7184762906447024,0.5338501097169818,0.1849445472845125,2
43,2,0.7200483913086905,0.5600256136281855,0.25081550023699095,2
44,3,0.7291325804608748,0.6920317001986875,0.6346204859427965,2
45,4,0.7595030885147348,0.4435547820553966,0.3509487825459811,2
46,5,0.7247686706294761,0.7147537621251937,0.36651497696447327,2
47,6,0.010738214255965382,0.011713735765743903,0.009122876161576539,2
48,7,-0.01270512372449042,0.052606655390699954,0.0028193623837251556,2
49,1,0.6887625743938635,0.5478438265152074,0.23390091024747392,1
50,2,0.6812665777739844,0.4278510872111177,0.3718097599011125,1
51,3,0.705698210000833,0.5473971124075638,0.020858512720971757,1
52,4,0.6835887182805785,0.41840194713625933,0.2975512900754053,1
53,5,0.6810561404565666,0.4154877929565324,0.14752773706755665,1
54,6,-0.0174196211979122,0.00840146237450833,0.006970465852809219,1
55,7,-0.011972441511684168,0.04356212503561926,0.000934070322307139,1
56,1,0.6875656127285519,0.533084289775442,0.10542959214174025,1
57,2,0.6918600445920646,0.4432542000387918,0.4255981354090491,1
58,3,0.7214996678297823,0.4754640472980483,0.25660964303749334,1
59,4,0.706128208549687,0.506293252760326,0.03967338348349087,1
60,5,0.6805628580899202,0.4737051887124613,0.43064698953810054,1
61,6,0.006467972501544028,0.009721672487675595,0.023201497901633592,1
62,7,-0.008536310374108022,0.03626518916035829,0.0015309424797228489,1
63,1,0.70721872713593,0.5899232162778032,0.12749574459264604,5
64,2,0.698362211626404,0.4168311106581547,0.15555449545311842,5
65,3,0.690605869050499,0.411899002913749,0.2681753472228534,5
66,4,0.7032242190770062,0.5063534623524895,0.26990896553265226,5
67,5,0.7044440826981304,0.48958215875096744,0.36018583595053383,5
68,6,0.010491527227340477,0.008621446789955495,0.009340344514386452,5
69,7,0.01030722018284899,0.04288781511613603,0.01982497638606484,5
70,1,0.6985898634514878,0.5128321119346868,0.38740874261516994,2
71,2,0.7279159528680734,0.49841883145502536,0.015521605553125746,2
72,3,0.7014714252357278,0.5523777276283052,0.09248476113993091,2
73,4,0.6871607562094232,0.6712556656207437,0.10415510809472105,2
74,5,0.7044068416617204,0.7338773634714176,0.14668440684806572,2
75,6,0.010694361955646915,0.009588096436055724,0.01422919871613974,2
76,7,0.011368432741853417,0.05300282599468472,0.005502471964127148,2
77,1,0.7154446114529657,0.49531883898144585,0.11928822836480135,1
78,2,0.6852531819560528,0.4111167891077172,0.13401600973866248,1
79,3,0.6941207385415411,0.507478648336612,0.1331866681229014,1
80,4,0.6934374400028775,0.42719061442955725,0.33987253497217074,1
81,5,0.6585081466088554,0.44909930386593383,0.11889512155109852,1
82,6,0.011586081063207439,0.008080622251601097,0.021837630754492937,1
83,7,-0.006289965505135766,0.03526242484751186,0.0015070974488165913,1
84,1,0.7021753777024868,0.4733824679989219,0.13388395471139716,1
85,2,0.6941966363397281,0.4357040554521042,0.029944808713584778,1
86,3,0.7207197769749927,0.5148047252481596,0.01548497609934661,1
87,4,0.7021598631049883,0.45980952125943475,0.1800209544988758,1
88,5,0.6858895126119575,0.42960214553381537,0.30112129162128837,1
89,6,0.010987061506455748,0.008933411716275435,0.004013193121449617,1
90,7,0.016317479273981552,0.04005820893455637,0.009492011937265106,1
91,1,0.717087333666312,0.36548971307150524,0.043930559376802174,5
92,2,0.6752042525242739,0.32220586100157733,0.02593551603422539,5
93,3,0.7102742539550347,0.28056427011079177,0.3632651783818234,5
94,4,0.7373097458430065,0.4366032829120084,0.5841404873688694,5
95,5,0.6894177855585839,0.4053501223954092,0.25936461525429816,5
96,6,0.005336385458694023,0.006632409331503253,0.00747349680072881,5
97,7,0.018649716245765575,0.033169199934164686,0.0015920616200455298,5
98,1,0.7022651990471527,0.5009788572880756,0.07025222497791436,2
99,2,0.7378777641048986,0.5278674729553924,0.3836543634522642,2
100,3,0.7256654446711577,0.4674511759258102,0.15361288461478284,2
101,4,0.6990839382239625,0.6729832979372422,0.08447245534239853,2
102,5,0.7332552011626379,0.7695061515477188,0.5686404346632805,2
103,6,0.0033586583160318075,0.011597848287756138,0.009769117147419197,2
104,7,0.012233685202662313,0.052903551451387615,0.0015230896524274396,2
105,1,0.6960053853345103,0.5972241301274699,0.7362288293416963,1
106,2,0.6910352487456224,0.3987044472033731,0.10177407003921049,1
107,3,0.6895989452678102,0.5534038424741223,0.5899377651728331,1
108,4,0.7126433180504782,0.4716160067761894,0.49133917676010913,1
109,5,0.6715843843311768,0.3667027831821452,0.16171167685335439,1
110,6,-0.011712427997496066,0.008533859252935583,0.017525208469006667,1
111,7,0.0006735375167501662,0.04879019195590612,0.009855435941900649,1
112,1,0.6915750404758882,0.4802628577780474,0.4412061932962149,1
113,2,0.7107031950184287,0.4596431697908054,0.22367824349889348,1
114,3,0.6812111760388107,0.524688034214397,0.14381839670266383,1
115,4,0.6942952368306778,0.4920618802688507,0.3447789070156042,1
116,5,0.6785982548305505,0.46703580484306767,0.4344386931628972,1
117,6,-8.741516639234649e-05,0.009341371854627589,0.0229119539871163,1
118,7,-0.005255805754213983,0.04732773356623642,0.008712281725234049,1
119,1,0.6974639536300511,0.5008694483044255,0.12121589841376167,5
120,2,0.6791818196250144,0.4003845504711795,0.11577899993953152,5
121,3,0.6853817433561903,0.3596608899406141,0.3383497702194093,5
122,4,0.7218335152672348,0.3959389894292899,0.10280591878819517,5
123,5,0.6980814767881657,0.35480825054265197,0.017083697289757435,5
124,6,-0.006258328323592433,0.00940332761163101,0.0015253283657721218,5
125,7,0.018656323780976956,0.043209715003003774,0.010038617296353674,5
126,1,0.7236116540951344,0.6130429892601681,0.6150871368911003,2
127,2,0.72761713843006,0.5842410563810551,0.6108217539715399,2
128,3,0.7011293109013631,0.6636564479116869,0.27309711049614666,2
129,4,0.7213696173064228,0.6142526235204446,0.058072332367579735,2
130,5,0.721390460808603,0.720894648969631,0.22331907261134032,2
131,6,-0.0080358869645859,0.01282727749879077,0.0136088836780013,2
132,7,-0.007904539556905326,0.04430554933748536,0.011912800162643726,2
133,1,0.6771977442357385,0.45451256553691044,0.08149581650935173,1
134,2,0.6952226216481541,0.47001408515652476,0.5408197420491552,1
135,3,0.6906699980878276,0.5046934311471399,0.15081489402542916,1
136,4,0.6815750105267757,0.48447399952355025,0.35087367506058964,1
137,5,0.6865948755286708,0.4727576407999879,0.05098419713427421,1
138,6,-0.006290560992448631,0.009720880943657586,0.0016559063022279544,1
139,7,-0.017943777199840322,0.03873217642766984,0.010227952006801676,1
140,1,0.6890938326386654,0.43982307140639,0.12905711468112493,1
141,2,0.6986277590585437,0.41778541406566194,0.001146656114263837,1
142,3,0.6908061068379592,0.416572181014844,0.1355032671901934,1
143,4,0.6973876015334777,0.4502113590689876,0.004220390408080721,1
144,5,0.6860973899395139,0.48416611310409036,0.4317519787562062,1
145,6,0.015510507575326845,0.00872893852952647,0.0003574047881664339,1
146,7,0.010472900369321683,0.03984788138669405,0.008505515893011262,1
147,1,0.7337395299503386,0.5354152720758666,0.105537940631244,5
148,2,0.7036778364344369,0.36125374246200237,0.3808819657221498,5
149,3,0.6926877993291516,0.472366955346241,0.3112521823098433,5
150,4,0.7165187429746769,0.4736491089776799,0.3904844951395524,5
151,5,0.6993458449378662,0.5010795857376577,0.015451508504255996,5
152,6,-0.004194351412746373,0.008277831046641922,0.011147719551191489,5
153,7,0.012374558438770465,0.0668401678737406,0.008097244273214822,5
154,1,0.7092593711580144,0.5441801142992041,0.536965621970428,2
155,2,0.7095206257155502,0.5533103626840556,0.3301543243401975,2
156,3,0.7242755586190288,0.6369309961719296,0.37958151693124864,2
157,4,0.7329945012292992,0.5851336268924849,0.07345825689982177,2
158,5,0.6962000813376632,0.7261042015403415,0.05717732309392487,2
159,6,0.009806337495201416,0.011626848176150626,0.0019023597200984847,2
160,7,-0.005875527925927011,0.04432776750296398,0.00953159743730827,2
161,1,0.6979197073166492,0.42423511115088636,0.3961710994541223,1
162,2,0.7128139587166236,0.3460070564762974,0.27925582961635514,1
163,3,0.6990907430230233,0.5159840028730598,0.415229230845524,1
164,4,0.7141483211207295,0.45400961188937966,0.4456999292240712,1
165,5,0.6787498728842865,0.35140651257702943,0.2234534424817112,1
166,6,0.006554761543057492,0.009942551659177791,0.00937069390322839,1
167,7,-0.007198612902541749,0.030898514850513432,0.017418465901270292,1
168,1,0.6918475005356481,0.37270264754387566,0.12347155040398569,1
169,2,0.7221061721361344,0.36180647356294576,0.006848349408277441,1
170,3,0.7165319533793583,0.36842443553196125,0.00024829075493372087,1
171,4,0.730594267607392,0.41081253960003455,0.4643028903821785,1
172,5,0.7081585569736737,0.41259362080155404,0.46817888253704315,1
173,6,0.020604681912775563,0.008886298511326223,0.0027469497957401225,1
174,7,-0.012107604093497079,0.039445098605809026,0.0015970633929078268,1
175,1,0.7052908055253954,0.3704886610263253,0.15926441514206804,5
176,2,0.6945317945859788,0.28722744585637594,0.18896305294216792,5
177,3,0.6866763244223725,0.34908857592355863,0.12414659716327468,5
178,4,0.6871389479045589,0.373212635574196,0.10634597408759863,5
179,5,0.705388419052577,0.26871486224802427,0.166690076638512,5
180,6,-0.01013303464418668,0.006245139507067706,0.015579652217429697,5
181,7,0.022377203433269686,0.030972289515995368,0.010920429796380759,5
182,1,0.7239228784770462,0.5357824820216688,0.41278647323783246,2
183,2,0.7059985528033137,0.5098155148948433,0.0433226267134298,2
184,3,0.6988619310164293,0.6137334171943887,0.012787688953303622,2
185,4,0.686723216484076,0.6992413184787564,0.21404550035867118,2
186,5,0.710794690947139,0.7651681906204978,0.4033498406514385,2
187,6,-0.002219957648606289,0.010232002501794294,0.0020125194428910033,2
188,7,-0.021619340229257353,0.05641030455573518,0.006654174704709739,2
189,1,0.714279942092675,0.5038738777085331,0.5610773754987264,1
190,2,0.7061815302443076,0.4506944664734895,0.6710963561846783,1
191,3,0.6937444962451186,0.5252536784251771,0.1992198026320513,1
192,4,0.6975262731279881,0.46122068764294927,0.043525676718182464,1
193,5,0.6785799824262846,0.48403298891803864,0.18050178102827585,1
194,6,0.01189588744564191,0.009187669520173096,0.010043503084632364,1
195,7,-0.0010189401906529232,0.04038882807971143,0.007331162091748373,1
196,1,0.6907824563498499,0.49295275270980865,0.46266828747353755,2
197,2,0.679361580745161,0.5362617064688989,0.3802380472179289,2
198,3,0.676283782571974,0.5471874041949152,0.32001465296647347,2
199,4,0.6899247822122725,0.6416483567827382,0.04562139935377038,2
200,5,0.6890647623559158,0.7098900792619022,0.06988708211516335,2
201,6,-0.0021481667982821005,0.010827820968488623,0.015274561603754988,2
202,7,-0.004754500158141935,0.04614815047944642,0.016234604463319577,2
203,1,0.6972800418291192,0.5436475675690208,0.025524404376926053,2
204,2,0.7368934278799935,0.5947679660356389,0.342522473076558,2
205,3,0.6880970692492463,0.6362936105894603,0.1590796456142352,2
206,4,0.7006752305900538,0.6137798308281442,0.028466838380572713,2
207,5,0.7347409071838722,0.5794386133376308,0.35459585688585926,2
208,6,0.004592362860872933,0.013928889270493995,0.026401331063568532,2
209,7,-0.014507424369140697,0.05613878979601643,0.003771611655223707,2
210,1,0.6874288627691982,0.4087095174726465,0.11926601279720994,2
211,2,0.7266732838264549,0.4161626510762585,0.5159911306304057,2
212,3,0.7177402029451039,0.4573142398198388,0.06895077269951705,2
213,4,0.7082286946832937,0.6136297028813187,0.10773615061128639,2
214,5,0.7084996350105413,0.6165495542837798,0.16400056995297918,2
215,6,-0.009338015074887742,0.009540975992811507,0.005545761807502405,2
216,7,-0.0024433940274822194,0.03794649262352835,0.009925308368403168,2
217,1,0.7154566535461552,0.6562304339387437,0.5621489176880807,2
218,2,0.697851991129903,0.5396674485428168,0.22224795945864337,2
219,3,0.714556830433708,0.6355527575504367,0.7248403535748861,2
220,4,0.7066652714326006,0.5868144358818197,0.026136209785207244,2
221,5,0.721720242259339,0.5838045514434235,0.35728569786501263,2
222,6,0.005559114939090301,0.012721394859240905,0.004263971404324206,2
223,7,-0.004584115435975565,0.04625818948093638,0.013994233585656598,2
224,1,0.7076863353422413,0.6220215273717352,0.27528696616853837,2
225,2,0.7149689391882221,0.5591684407114041,0.06818767934887646,2
226,3,0.7461524161330683,0.6815791134380618,0.7628941060734071,2
227,4,0.7077427847114117,0.5729157019517029,0.15775635694223275,2
228,5,0.7187062867495075,0.6050771202314588,0.19769026859926442,2
229,6,0.014057305792437993,0.010722827391596345,0.0019425017882667608,2
230,7,0.013875951654362794,0.05121121705967422,0.005463824946630708,2
231,1,0.6918583386318706,0.5131282546919523,0.32625712964425524,2
232,2,0.7144299980373949,0.4657861361086595,0.24990089344108019,2
233,3,0.7081918769606715,0.6555557496913736,0.3404838729116937,2
234,4,0.6976132924779064,0.6075060217067941,0.15516195799053342,2
235,5,0.7368769135752247,0.5800971355057984,0.13455300236689446,2
236,6,0.0030991808233737594,0.011253515500813317,0.012925613238128684,2
237,7,0.013277798123202011,0.051551195347333746,0.02340999765939013,2
238,1,0.7118361499012382,0.5691059489418755,0.24825892714476883,1
239,2,0.688341114754423,0.5778584959009089,0.14873801511926474,1
240,3,0.6903629234866859,0.6410409245136394,0.264303688169895,1
241,4,0.6865652005693053,0.484638321673124,0.10235276560060576,1
242,5,0.7026537769732525,0.5030133697742786,0.14420364096795515,1
243,6,0.013387919887201703,0.010159674537957344,0.002221636807977876,1
244,7,-0.0006072779693944506,0.040718016105372984,0.013277871063843432,1
245,1,0.7177468272959215,0.4847922867260775,0.13931593095205339,1
246,2,0.6969748901387478,0.5038635952669176,0.4653760698596026,1
247,3,0.6747813366388742,0.6035078206112883,0.07922343963479743,1
248,4,0.6851455053424117,0.5064371769477777,0.09172799600549764,1
249,5,0.7117969568834899,0.4320112421989535,0.3678608592147983,1
250,6,0.001713851166866758,0.00945901856134181,0.0032930453863441933,1
251,7,-0.0007269842254403599,0.0407100236527655,0.0024298960875948775,1
252,1,0.7594967452158017,0.6547328361561644,0.8502789271067406,2
253,2,0.7539776166985093,0.5583947833156064,0.6720248974971725,2
254,3,0.7261657130805336,0.545874643623877,0.14795984628484696,2
255,4,0.7211328655976068,0.5349941560786659,0.0415761302682101,2
256,5,0.7157074746500268,0.6779397699440599,0.46868280244965255,2
257,6,-0.017944685216977264,0.013949553184079817,0.016283328277107184,2
258,7,0.006716159795016002,0.047408666336806286,0.015575949359435487,2
259,1,0.66634862463745,0.35030162112290253,0.14818382008929873,0
260,2,0.7032922124949642,0.3045296172842134,0.040918362207885105,0
261,3,0.6988885056718399,0.4553801053537031,0.29964447565708774,0
262,4,0.6776620612525136,0.5291430012717556,0.3459104220598449,0
263,5,0.6778267137731908,0.5957900323592975,0.05459465891163078,0
264,6,0.017379340342454908,0.007390256742562033,0.01165338970473348,0
265,7,0.012641298208560301,0.035601009348811746,0.017778080704338523,0
266,1,0.6890971959315675,0.6258038482437325,0.26649882868255714,2
267,2,0.682835396561648,0.5885135098143042,0.04907394729190735,2
268,3,0.7224685790515458,0.6355891085588709,0.008177371407097215,2
269,4,0.6800794677869065,0.5721913747933896,0.2659541071376775,2
270,5,0.7170401375278019,0.6352680987306225,0.34447023811464866,2
271,6,-0.0008237505402002711,0.009783746257776692,0.0224509810222298,2
272,7,0.009975727849015183,0.05104518883257528,0.0017535133619911237,2
273,1,0.7092543113867812,0.5905742862367971,0.4298295792753489,1
274,2,0.6731684293800237,0.5512087053647763,0.056983083795868826,1
275,3,0.6958399781734081,0.3973880215755909,0.1644794721942345,1
276,4,0.7063842539005344,0.40324792840023077,0.312975802683462,1
277,5,0.7058465614757403,0.5053004133408316,0.4399911542390108,1
278,6,-0.0022404979192451003,0.008350168871797358,0.016556359987826577,1
279,7,0.02041953268839252,0.047005051729881876,0.0026114222324380423,1
280,1,0.711881291896975,0.40394312750800426,0.21558163569862307,1
281,2,0.6902966697647875,0.43803385298811387,0.32287085325676573,1
282,3,0.6805466746091786,0.5507854010168416,0.2504583083520355,1
283,4,0.6906570482162593,0.47453787129545844,0.26957884858552794,1
284,5,0.6928982253525501,0.4867894300374293,0.21968424089434427,1
285,6,0.001028240494918965,0.010101922373904941,0.005149399201915488,1
286,7,0.001246513050866886,0.04294800629605848,0.02416288685596951,1
287,1,0.6990034347146388,0.4225399617229012,0.13315094740500558,1
288,2,0.6974463254471792,0.4102468692391078,0.10318199608033131,1
289,3,0.7050566623284475,0.4614278593420402,0.12000806214853595,1
290,4,0.6890880912182842,0.42156553186931833,0.19934175271045668,1
291,5,0.7171362525828221,0.46444678420108126,0.21144000737969637,1
292,6,-0.003185071671435855,0.01110856299470833,0.02490773557401326,1
293,7,-0.006841346214621834,0.04082232434580393,0.011253414104071213,1
294,1,0.7014121188386275,0.4359444447879013,0.15468750096578432,1
295,2,0.7073480904785063,0.46210289211305766,0.16313271650467473,1
296,3,0.6886580394689696,0.4689878912839516,0.12147457651305546,1
297,4,0.6983912786055385,0.47158974696636224,0.1375339829710147,1
298,5,0.710003499317341,0.5097933970690444,0.2958468909922889,1
299,6,0.01398453424425991,0.01277294362547981,0.015465526686210254,1
300,7,-0.008934053823605494,0.04092349969115939,7.252488370194829e-05,1
301,1,0.7114414041297252,0.5135771352247585,0.01256095143708753,1
302,2,0.6915771365411636,0.4466640923342928,0.043207232914348984,1
303,3,0.6845093151701998,0.4521990515409212,0.04807168116871449,1
304,4,0.6859436117197814,0.4543652391863289,0.014639490011939127,1
305,5,0.6936567591928502,0.459661312216122,0.060994387681104545,1
306,6,0.01624406325209448,0.009214211326229673,0.016441112013202027,1
307,7,0.005126776350780536,0.04199403740437727,0.004260912724114369,1
308,1,0.7154328416493722,0.6205612700847644,0.2052701805919298,1
309,2,0.6908371655327268,0.5132825532545713,0.12943784981049627,1
310,3,0.7022044335150686,0.5684301931524979,0.18137277518323805,1
311,4,0.6780285950957865,0.5364235708788612,0.10421971649330651,1
312,5,0.6865460536811165,0.5529745641776893,0.1998622548191989,1
313,6,0.0232187675801935,0.009984349375513686,0.01895351346366122,1
314,7,-0.007466546838153686,0.05432755824259567,0.002402173812056983,1
315,1,0.6847641676408089,0.5941537789537381,0.26382508922217773,1
316,2,0.6803370689303556,0.5200843235259156,0.17623228878271735,1
317,3,0.6897654282355975,0.6427856906542001,0.134804083317683,1
318,4,0.6976385568007916,0.5248308218516246,0.206814250096984,1
319,5,0.6708384327811768,0.5386595785114766,0.27184950930650564,1
320,6,-0.023517544485615483,0.010649050681357613,0.002716476053799429,1
321,7,0.008388417662814975,0.04755515579145976,0.0024236705612890527,1
322,1,0.6838672343099375,0.5417766308643923,0.1312362483529374,5
323,2,0.6807041680340463,0.43984278604278904,0.20316157141800478,5
324,3,0.68093831034815,0.4580086200681956,0.0032711439831675884,5
325,4,0.6944632700505357,0.6023892902085509,0.18385655343185242,5
326,5,0.6833117310702207,0.562134235859304,0.0702427847513288,5
327,6,0.018483693012493065,0.010266313160620925,0.006389182258901745,5
328,7,0.015880532143009832,0.044744666464985566,0.005263872370641179,5
329,1,0.7001870001863989,0.5599798581285655,0.3376809771194869,1
330,2,0.6930718791792542,0.4916004558321946,0.5288949804990414,1
331,3,0.7172384963840143,0.7287991751551177,0.6813251379793754,1
332,4,0.6890850196264289,0.42034258135501584,0.04442375805999702,1
333,5,0.6786822530484837,0.45423594439033504,0.5563068610576908,1
334,6,0.009035340327393563,0.008320773457675075,0.014205421109059514,1
335,7,0.00991719833414367,0.04210169065603384,0.0011389511386204444,1
