,rand_layer,pearson,ssim,spearman,action
0,1,0.4998147661968063,0.2153575392277561,0.10501074874893523,1
1,2,0.48120992250382955,0.15845868084751388,0.03388093509288515,1
2,3,0.4967303531936076,0.18823719044319118,0.04909560872694653,1
3,4,0.4955846454413311,0.20989766813565874,0.04609321799005443,1
4,5,0.5030638670033823,0.171537482661789,0.0006395842239585104,1
5,6,0.013668941871906525,0.012073039200101601,0.0021891881974153145,1
6,7,0.0005518480634038889,0.04803657085692838,0.0110045811362109,1
7,1,0.49804375315427735,0.20148035363855743,0.21225710144625817,5
8,2,0.5062412203155147,0.1445104522123299,0.03842168770309398,5
9,3,0.4791133192641879,0.20768999108089858,0.0612937955698054,5
10,4,0.521241807802655,0.20453897841174565,0.014356213969087164,5
11,5,0.48976720528583473,0.26627742473759114,0.013321022736650166,5
12,6,0.026235716532859363,0.013859376382101364,0.0030021978130054076,5
13,7,0.01681735785197587,0.05571898376021929,0.01901119021161296,5
14,1,0.5350788695100379,0.3185646829259979,0.33639949958829907,2
15,2,0.5144072279256895,0.1609278389932167,0.02854136147094056,2
16,3,0.49455289280741754,0.2241378455294997,0.10852415989246399,2
17,4,0.4939319771925454,0.1986166691162284,0.052913140068829516,2
18,5,0.507168696322238,0.1820013307203011,0.15431858375217736,2
19,6,0.006183540019088517,0.01629829701910299,0.0008272209629273097,2
20,7,-0.005535700131897307,0.05470049828761011,0.010154479078271432,2
21,1,0.48686520924943477,0.21620993282298945,0.032270933987309125,1
22,2,0.501269808620108,0.16094043782859,0.006950416688836113,1
23,3,0.495016476014948,0.17381851057927714,0.01588935027139618,1
24,4,0.48552291893044675,0.20789583079430918,0.022303153430074114,1
25,5,0.5025659395792081,0.257867033319989,0.10360065138812671,1
26,6,0.02185847403440437,0.01797744031779958,0.015408327398792101,1
27,7,-0.013977302811294848,0.05367656507333489,0.013129523826638114,1
28,1,0.4906011732750462,0.189026536776896,0.08319500022727644,1
29,2,0.5236062653325049,0.189491113463853,0.05976109988981903,1
30,3,0.47625797352682064,0.164197440503185,0.05997717651314473,1
31,4,0.4893705414759235,0.1939762068642916,0.0031964199842030856,1
32,5,0.5019813351168148,0.21516992081691885,0.0585758362946926,1
33,6,0.011334932967656017,0.01251669856671898,0.004594586622103755,1
34,7,0.009294293600389934,0.054997897540404406,0.0013142494630518818,1
35,1,0.5401249390982392,0.20660185871752726,0.1235747819347324,5
36,2,0.5038443455974527,0.1600972439603074,0.06951742408986303,5
37,3,0.5173744071845027,0.13739911218883627,0.04356976646736895,5
38,4,0.4984661884766851,0.21847029355998981,0.06830757876323995,5
39,5,0.5170778947698154,0.16739777963425442,0.001507246162654821,5
40,6,0.014847503579386603,0.017606630388958797,0.001726774167962926,5
41,7,-0.012551606046419448,0.054740019512285874,0.014909799093447708,5
42,1,0.5268100297339336,0.32719635515101547,0.33838297093114406,2
43,2,0.48854590039919354,0.18824610137269696,0.08677478161543749,2
44,3,0.5167724664962403,0.19251663445243938,0.08362443926911427,2
45,4,0.49091671763830225,0.17218361553885655,0.037096489167205864,2
46,5,0.4981557824811958,0.1452737701055541,0.0513182244450835,2
47,6,-0.0046425561955946,0.01190539602916365,0.009177565547078848,2
48,7,-0.01180827121279537,0.04944983817813467,0.001379416244309865,2
49,1,0.4990275255779946,0.23108234127423688,0.13054102826830255,1
50,2,0.4919434762839998,0.15555045255282104,0.017605449228780806,1
51,3,0.5033579504607852,0.17374124263656304,0.033266145276954866,1
52,4,0.49655622069267935,0.18853846244449318,0.018515687157657796,1
53,5,0.493649712009813,0.20192667421351104,0.04318210234321871,1
54,6,0.0028855945407959094,0.01894461441641369,5.470992546374598e-06,1
55,7,0.019745532489172386,0.05718032971203272,0.004912235158514315,1
56,1,0.511103630215038,0.154290036357054,0.0009727111305558568,1
57,2,0.4854098099667249,0.15294666460468334,0.004133344308749529,1
58,3,0.4854614880196493,0.1858709510633303,0.010000800347971845,1
59,4,0.47949402020391263,0.20861346464005917,0.002511870797061622,1
60,5,0.5000671598989527,0.19706214028265004,0.025947970522755756,1
61,6,0.0016786291018768577,0.012881691948078283,0.005710363393589449,1
62,7,0.0033048305564484497,0.046523301762645485,0.004940732508172687,1
63,1,0.4817563226399192,0.22938719064466834,0.02429650248079773,5
64,2,0.46530070817990876,0.12879129322815883,0.08455382652320895,5
65,3,0.47965494113397117,0.20446070256777202,0.03519070344426416,5
66,4,0.501324633920049,0.24541311664592327,0.06273947573658373,5
67,5,0.5047344739773991,0.21328287055589978,0.06478695680585324,5
68,6,0.012079742796929324,0.014593860699434039,0.008005289162988703,5
69,7,0.0029138801683861876,0.06506199572705487,0.009812939529392689,5
70,1,0.5229290011957152,0.32948427158208204,0.3412711573766097,2
71,2,0.516585404144676,0.202178779547071,0.032780916835807326,2
72,3,0.4817270547701057,0.18125872967007353,0.07211373057846644,2
73,4,0.5390526067604213,0.18994008930607603,0.051956147325785816,2
74,5,0.49662550226424174,0.16655780903897832,0.08732332057389863,2
75,6,0.022587290103209916,0.011992991240730586,0.011728996447504966,2
76,7,-0.009997710659492402,0.05158107380204298,0.007237067772550103,2
77,1,0.4858455185884387,0.27538486940205026,0.13251696930426032,1
78,2,0.49710837167482386,0.14918187284424514,0.035897826199083105,1
79,3,0.48709950271188174,0.1824210103504854,0.026939393942945478,1
80,4,0.47709197305081635,0.19186364402950448,0.002176140942872574,1
81,5,0.49844264660662957,0.28475666536683797,0.08695092123435938,1
82,6,-0.004511014265522433,0.018569176704592377,0.010160712982925466,1
83,7,0.03714853974725239,0.06491118891118629,0.020597686178828786,1
84,1,0.49253380202199926,0.2125713097590016,0.08927072636988971,1
85,2,0.4976393519229937,0.15598731239449798,0.016486233310909922,1
86,3,0.4736095013740652,0.20344144727522828,0.030848972890105127,1
87,4,0.49120468274402534,0.21923721934553753,0.044450076408520556,1
88,5,0.5202789029279573,0.24363891567000223,0.038785394734850744,1
89,6,-0.01232197018929472,0.013312239241791922,0.00709174350292293,1
90,7,0.018105259088287726,0.050133320999110685,0.00775307470376352,1
91,1,0.49667624812425937,0.17051214685996083,0.08763162632564409,5
92,2,0.49566521843726774,0.12568084485163192,0.018203923618904876,5
93,3,0.4980019439345788,0.16504495237488603,0.042075011173850235,5
94,4,0.5031630748551311,0.20075413607014886,0.005318098074574043,5
95,5,0.5023518742140151,0.22318623649316036,0.03629036200267872,5
96,6,0.007807528315216321,0.024835052603935953,0.023648386127370614,5
97,7,0.005048601475176509,0.05438041977854012,0.008323497278726371,5
98,1,0.5181448621656949,0.287794985113393,0.31001396076559695,2
99,2,0.5098136231906182,0.13716665472602932,0.06385182649973946,2
100,3,0.4791311787962016,0.20194198011157194,0.0225886715370744,2
101,4,0.5047375252465516,0.20097240730481025,0.07165352339803686,2
102,5,0.49120913862213683,0.17558904370198136,0.038155035090713774,2
103,6,0.010050472513073474,0.017862226238523453,0.02405493597410244,2
104,7,0.006459026155830768,0.05386225890364086,0.009222475942694791,2
105,1,0.4927239867833708,0.23514165011658708,0.08286081215838334,1
106,2,0.4919039414923461,0.18175553232125086,0.0828052431556335,1
107,3,0.46969212168699354,0.18887530429399033,0.01836297546759733,1
108,4,0.5053143861927285,0.23028284259649967,0.050033772047714746,1
109,5,0.508990610374061,0.19448081293611624,0.031635358644236,1
110,6,-0.014183171528498194,0.01621602696078247,0.0068039967385041455,1
111,7,0.014567070026302616,0.05756299632484975,0.003039346122765549,1
112,1,0.513050445594292,0.1859743959058661,0.07691442313397878,1
113,2,0.4644461099555687,0.15829948967344096,0.006995137822098994,1
114,3,0.4731191899217751,0.17581704990290584,0.03022260269014515,1
115,4,0.46326236921955,0.1994379492272508,0.053991321679337415,1
116,5,0.5402382005295878,0.1708436451742612,0.020723945160348492,1
117,6,0.02367444689406457,0.014756315360324675,0.007099092672079647,1
118,7,-0.005792557716103056,0.04409242148481078,0.0009975044210351381,1
119,1,0.5008453810868515,0.15421393138339207,0.050940912742232954,5
120,2,0.4954434833667309,0.12007439819485752,0.03746173419256327,5
121,3,0.4918781700433945,0.1821450417670546,0.05662928834414602,5
122,4,0.5130094180305366,0.23866947714656056,0.05596908153346478,5
123,5,0.5261955840207717,0.20230832500730617,0.06560940141159223,5
124,6,0.027202739981284484,0.014025193910086413,0.002527619666825464,5
125,7,0.01218146533433018,0.06409011194680062,0.02275096011968792,5
126,1,0.5080836320234755,0.29755692649191695,0.3036629940598405,2
127,2,0.5027291380555015,0.17290998768870222,0.017761898095722144,2
128,3,0.47495718490869443,0.22731748249826322,0.0473625279960041,2
129,4,0.5045002541193062,0.19478527065692466,0.10059250437952105,2
130,5,0.506888255014666,0.17517954403619682,0.027918828910707474,2
131,6,2.8655848104562425e-05,0.020137940124412345,0.023648389594531846,2
132,7,0.007881209615984163,0.04441710494523259,0.0040316357966727594,2
133,1,0.4883334337851633,0.24533027513746522,0.09264702817132989,1
134,2,0.49743958172773184,0.12440802592620344,0.019510034760598705,1
135,3,0.5068860528165771,0.1958843851618389,0.026709742093943632,1
136,4,0.5196786603103997,0.16723674992064086,0.058525114888999,1
137,5,0.5148987128389014,0.1984350806739717,0.0453789055660568,1
138,6,0.0179400774442064,0.023742327181787988,0.02340240521412761,1
139,7,0.005802076684068801,0.046570415422552726,0.02025462673236008,1
140,1,0.5277117603105848,0.16397393074015879,0.03399819149408027,1
141,2,0.5176132169726717,0.16592769702199087,0.03192744714434031,1
142,3,0.4956983747834417,0.16656386295752684,0.0013096812107056901,1
143,4,0.48699050716629194,0.19965554998214538,0.0293164233441056,1
144,5,0.511862252336369,0.19803772780427664,0.05500934794126209,1
145,6,-0.0034707033929529487,0.01769098451046314,0.013922267218729668,1
146,7,0.002624635018673281,0.053107012406523386,0.004340239312174085,1
147,1,0.5019721854223383,0.19267424658319018,0.11228290383378549,5
148,2,0.48562720151649463,0.13618653866746236,0.01846976409114083,5
149,3,0.5184203329370394,0.16946614138856544,0.04429910066588349,5
150,4,0.5118694528043475,0.22398075765020278,0.006047952316056243,5
151,5,0.5026415243186894,0.20548790820674287,0.007536739651952925,5
152,6,0.023868068533414156,0.020630630210462214,0.0246334458648923,5
153,7,0.01816353586586508,0.06445883025330687,0.01785312228840561,5
154,1,0.53331168144832,0.29936341144711126,0.3396679521504507,2
155,2,0.5060472258185058,0.1935283173192768,0.048660118036914494,2
156,3,0.5192463771851793,0.20486031073091993,0.02454165040782451,2
157,4,0.5120996665604863,0.17790874022753206,0.005349419015014577,2
158,5,0.5023234274384517,0.19367315899989657,0.07106255957065678,2
159,6,0.024008974132578634,0.013798180436010323,0.00037919546470675634,2
160,7,0.0076636468551178165,0.05966501044183961,0.0014270391726606962,2
161,1,0.519530827783204,0.19916998054106452,0.022770664474614136,1
162,2,0.4744852449644097,0.1846035970012118,0.06570839123522927,1
163,3,0.4860553511894552,0.26033515309894356,0.08403024388841362,1
164,4,0.4971950308100497,0.20964733523075416,0.026483154959535377,1
165,5,0.5022669261606499,0.21185926673412664,0.05506579989662807,1
166,6,0.010852916926739824,0.012219328529530808,0.009603603213993488,1
167,7,0.0044158701035158605,0.05471736107835749,0.004415491928815392,1
168,1,0.5025259008835181,0.1762623645807706,0.060762359035963664,1
169,2,0.4854804279518644,0.15557301577770222,0.011441017296676894,1
170,3,0.4857243034113836,0.2129233076571526,0.03196421968865226,1
171,4,0.4841171374236969,0.18582524270671302,0.018804306256552765,1
172,5,0.4795465675853917,0.1893915127410439,0.030848716045447096,1
173,6,0.0016800525509795283,0.018794296037427688,0.029931648571340706,1
174,7,-0.012505429214746403,0.04713428685881695,0.012182501256042925,1
175,1,0.4917348957124572,0.17971415629566936,0.04640409249581495,5
176,2,0.4747097869338377,0.12599155009110527,0.026973001139020725,5
177,3,0.48082666681711284,0.1927881033451501,0.02637533742018598,5
178,4,0.5192152443302614,0.2743916293490567,0.06071523861355451,5
179,5,0.5062263062213936,0.2108923487233782,0.020046829369827532,5
180,6,0.021021399211882095,0.012097358032990606,0.013059704951909466,5
181,7,0.02403393604354439,0.05907181803451447,0.02177671271592449,5
182,1,0.49965396673982987,0.24917536465283593,0.28823578934500377,2
183,2,0.4994282970964862,0.19106188894895293,0.06983531111406455,2
184,3,0.512686257920123,0.1792931813266588,0.09134676741054402,2
185,4,0.5057052883511741,0.17906613097904467,0.05537761850036154,2
186,5,0.4868927788418304,0.15838795759345356,0.09373158010323517,2
187,6,-0.0011958451533483705,0.015736375009959423,0.015520374145280043,2
188,7,0.015175468312477089,0.059072886470221485,0.029433408296572643,2
189,1,0.5015940707936698,0.1845729093101052,0.054728953405249726,1
190,2,0.5161764418401472,0.14843414916711267,0.025299982296496024,1
191,3,0.5135186968039052,0.2035613509236452,0.003936401365628447,1
192,4,0.4785997640536241,0.23336984359403326,0.08368015519151754,1
193,5,0.5250982546068789,0.24141955386721128,0.06474621083813097,1
194,6,0.006929184393197095,0.014073315557002378,0.013855682231891419,1
195,7,0.008147546275458342,0.04763530711705894,0.0036745379851769095,1
196,1,0.49407878204275807,0.2295584924097405,0.22791004272601453,2
197,2,0.4825344660373875,0.17043226661019525,0.029931024634212277,2
198,3,0.46162174469344164,0.16619189928993264,0.052717427035525226,2
199,4,0.5082655098325897,0.17410839170493936,0.005861218119726045,2
200,5,0.5016041919353923,0.1750117364320895,0.015097662736597784,2
201,6,0.0012438071845959006,0.012584393223828075,0.0014280590133712808,2
202,7,-0.012607838102910395,0.048062568140345284,0.005807354018052324,2
203,1,0.5005003458991651,0.2968855538515539,0.23780306621850292,2
204,2,0.49581507221371246,0.22270245192718993,0.09944219819975408,2
205,3,0.47485096333335286,0.2744889939345973,0.11753565060498329,2
206,4,0.4878251875576928,0.24442139724676856,0.09833796002491133,2
207,5,0.4905715446267057,0.1717994385833128,0.06627560115042946,2
208,6,0.008866945999319656,0.014598197637884992,0.00429823473926174,2
209,7,-0.006364396421974151,0.05364290002490695,0.0038645518110372004,2
210,1,0.5199648451192358,0.3225494166468236,0.24202600357344578,2
211,2,0.52476730396197,0.18551114095770352,0.0407868695935818,2
212,3,0.5063402672975054,0.29376110228395896,0.13158596535326775,2
213,4,0.5105374168227614,0.19310212344867683,0.045638650426928606,2
214,5,0.5001735235588554,0.19113127163014718,0.04852974797208863,2
215,6,0.00871066953204341,0.012811787356066816,0.010341671232676321,2
216,7,0.019112349268973185,0.06269456783534107,0.017087629417218704,2
217,1,0.5209163357922397,0.24095233750610978,0.22867193255710486,2
218,2,0.5046708125240819,0.14466435287870602,0.025616851472542827,2
219,3,0.5202998370961502,0.2625349292144154,0.15075608012892427,2
220,4,0.5187506194347032,0.21823061357661713,0.0923098173014481,2
221,5,0.5054894406330379,0.18520225955333297,0.029046602548257045,2
222,6,0.0006386991907088952,0.011970391720990303,0.0022988366418694676,2
223,7,0.01026386960786893,0.04975279744021384,0.018698650784930267,2
224,1,0.5107309238265,0.22594052060436504,0.26740431717114926,2
225,2,0.4960181562043261,0.13568911433757666,0.08309182403042213,2
226,3,0.5174541720767616,0.22062427019457148,0.11926203721741256,2
