,rand_layer,pearson,ssim,spearman,action
0,1,0.7004729378445347,0.30612307827472535,0.12712349289579167,1
1,2,0.7041406394121016,0.29484028540064894,0.07585047294982031,1
2,3,0.6943343642846332,0.24819897365487528,0.011470328076564482,1
3,4,0.7076707415867936,0.3448066945760889,0.11604523105610852,1
4,5,0.7033717977667744,0.2569896895298663,0.08412052052371126,1
5,6,0.018311604545063948,0.012947235343407727,0.0001227773512188714,1
6,7,0.007272988257361377,0.05230940884100977,0.014219263894475453,1
7,1,0.7176753004917217,0.3281662070902686,0.14711568344635786,5
8,2,0.7133625139441055,0.2535188808157434,0.07314425965622487,5
9,3,0.736570324742778,0.34284072291941403,0.13739690331423474,5
10,4,0.715492322785221,0.3388871703820077,0.04204990078811689,5
11,5,0.7079485537591569,0.3556911694811656,0.09081274055893346,5
12,6,0.004356563005148862,0.01731671222406271,0.0177848502480654,5
13,7,0.0038715440490824553,0.06725195510265689,0.024853771001385094,5
14,1,0.7367324911108709,0.3607197368477673,0.40433822884874376,2
15,2,0.7156485741255831,0.2800332891180252,0.11965989050833142,2
16,3,0.7132810248082725,0.31880498863439616,0.14193275904660968,2
17,4,0.7294757852024378,0.3333907851731339,0.006048338898230125,2
18,5,0.6945553976296249,0.3886030602294729,0.12561419726031767,2
19,6,-0.0008726884134040371,0.014190527695098435,0.005254561967152111,2
20,7,0.00940997969501136,0.05033079426575877,0.005773457372135673,2
21,1,0.7101197903818038,0.3670325869417245,0.16433153503494333,1
22,2,0.7017279721325607,0.27901063011944993,0.0007283506920925341,1
23,3,0.712686644035614,0.2990637573061253,0.047425670775924585,1
24,4,0.7194688607936531,0.33210130995498616,0.09432539903895959,1
25,5,0.7048176470187371,0.34761086063443436,0.08099514698499471,1
26,6,0.007584525909303684,0.011167102551142892,0.0016921987649798815,1
27,7,0.013902801384700094,0.054154940905328845,0.007226157909585192,1
28,1,0.710833557929385,0.29954782293867144,0.11717042928065409,1
29,2,0.6953253272357349,0.21372623091217458,0.05064507646088502,1
30,3,0.7106427545109122,0.2404978234907736,0.05180693128481382,1
31,4,0.7159010124233641,0.28786701352853195,0.06886978141510412,1
32,5,0.7270179661027655,0.29638068166096304,0.08475005777398815,1
33,6,0.021179154355806237,0.014100335479097137,0.002768835866490004,1
34,7,0.00861708488843293,0.05497453268516041,0.0037149125853723594,1
35,1,0.6978460792670376,0.26195076258169175,0.1286582887743149,5
36,2,0.7039793804200086,0.2345270586844728,0.08680123357425752,5
37,3,0.7158411390483925,0.3196085724444167,0.09148052817378417,5
38,4,0.6985072224457924,0.3134463777967765,0.04108567284781933,5
39,5,0.6996769525825484,0.3137852420901103,0.03255106025229303,5
40,6,0.007815158802142017,0.017330503517587866,0.014942098333401188,5
41,7,0.0028134273353814633,0.04828402139964812,0.003888643029243501,5
42,1,0.7170442530486194,0.40656543309706134,0.41501645562559275,2
43,2,0.6950165556547376,0.2642560776176325,0.03119476607511416,2
44,3,0.6817049578105322,0.239055618079595,0.038452772752990305,2
45,4,0.7001691499501482,0.3322919742823447,0.011076668074492587,2
46,5,0.6999198825429884,0.3465399076203579,0.07138793041621178,2
47,6,0.025732135011611527,0.015697619176351863,0.034961282398699,2
48,7,0.007166280657283664,0.06426866567852278,0.01692645652894875,2
49,1,0.706781985459347,0.306382941790679,0.10667229797034004,1
50,2,0.7023405815525902,0.23885318577352324,0.0009817593573938751,1
51,3,0.6904649535622432,0.2709713510382808,0.042545561762385546,1
52,4,0.6881222510465227,0.2796619563211723,0.04266509415167864,1
53,5,0.7026369322971371,0.3623989108976736,0.15974149128608883,1
54,6,0.008115330702532933,0.014670220383855341,0.013828072183549133,1
55,7,0.0106359507661016,0.05760285691274395,0.00933819766385023,1
56,1,0.7039467047220536,0.34350843115113844,0.1172883679047566,1
57,2,0.7039368253510654,0.2838006016598349,0.05782498864442302,1
58,3,0.7019579209247367,0.26754688597672743,0.016699471666839324,1
59,4,0.6998006975867315,0.35493028315600145,0.14260373419184152,1
60,5,0.6968294346417975,0.38821753042194496,0.13595932711233655,1
61,6,-0.007092053120708182,0.013283192278833424,0.0019121650146515757,1
62,7,0.0019416465248230062,0.05922240144471095,0.0049194968696771165,1
63,1,0.7115163394724119,0.2688673530808867,0.11348245662966476,5
64,2,0.7015711403254191,0.2267176678581368,0.005310425614994144,5
65,3,0.705568512535406,0.2830757231396149,0.04552430890356924,5
66,4,0.7036434707277168,0.3276780545732249,0.040116663611950064,5
67,5,0.7046720454384632,0.40364918150618545,0.1264987369410865,5
68,6,0.010005045752871679,0.017992892022166907,0.009078036096651091,5
69,7,0.0281430164586569,0.052073964867720014,0.001248569663896069,5
70,1,0.7083931939688132,0.3557233692104827,0.31213572504362935,2
71,2,0.7091268129207452,0.3178355317959011,0.0478496123166174,2
72,3,0.707378444695863,0.27898313345333375,0.03170795846647914,2
73,4,0.7048365582896192,0.31853023552083437,0.05697551179784682,2
74,5,0.6903396423786103,0.3028939324295715,0.1105961478695344,2
75,6,0.013626908488952533,0.017685106095483176,0.022762326951028443,2
76,7,0.014200778857000405,0.05353488545536553,0.014890563573209588,2
77,1,0.7055873410043404,0.30914269062061034,0.15460319231167674,1
78,2,0.6783092245393496,0.26988364738704373,0.030860075385093517,1
79,3,0.7001128347030326,0.22690482564295,0.01103523017953765,1
80,4,0.6967760599210694,0.33261424754889457,0.024626859724756756,1
81,5,0.7097267026191953,0.3532619759882142,0.1548103817864514,1
82,6,0.0047566035723202015,0.013980333197646641,0.02015624977833371,1
83,7,0.00912826864351584,0.05447828058776084,0.024931598855991863,1
84,1,0.688295034276287,0.3107685787333505,0.059637099666106204,1
85,2,0.6861622918113961,0.28158327470324157,0.0025181490011076677,1
86,3,0.6745545770075899,0.27153099330918157,0.02667484799464495,1
87,4,0.6999932468962967,0.37717268490508477,0.05697073050227511,1
88,5,0.6894420263017236,0.32479647794594524,0.19049159687303274,1
89,6,0.000553836129433269,0.01169127552287865,0.003087818409886068,1
90,7,0.0083488040441296,0.05293004450682118,0.020401098609381236,1
91,1,0.7067041974674673,0.3839388778379093,0.16893592267051297,5
92,2,0.698922218353024,0.23388663558873599,0.008794396321589942,5
93,3,0.7094173523415174,0.3368006897666167,0.1264047047948426,5
94,4,0.69869550319913,0.3435368222020082,0.017544167217843798,5
95,5,0.6924813055057503,0.33637311525439906,0.028888587844352893,5
96,6,0.0018598195252218087,0.018918977458137688,0.01632051144086492,5
97,7,0.033740838076570155,0.056456704753247135,0.008880630677162304,5
98,1,0.7295434754328021,0.35906641102571735,0.3863254946648711,2
99,2,0.6980782206321346,0.2906606913784738,0.11296129541234692,2
100,3,0.713856314788517,0.3015108597596187,0.03178605296081729,2
101,4,0.7247741052836971,0.3133610643084641,0.012122178039509442,2
102,5,0.6941306557414813,0.2712757361151664,0.13737777813194782,2
103,6,0.008753195721229847,0.012487503898548896,0.01045270095324829,2
104,7,0.007435608185665992,0.06240650149278063,0.01718048660703353,2
105,1,0.6945385522669172,0.2827632141051343,0.010633601351512884,1
106,2,0.7070929851986568,0.25546023835022813,0.009250213166094241,1
107,3,0.699669473462541,0.2206387864095496,0.06009451027580108,1
108,4,0.699624882045747,0.33169775525853684,0.009758624261887497,1
109,5,0.7133126009342118,0.34220743543385385,0.12358374040752577,1
110,6,0.002205130614045813,0.01812722548278603,0.02611318944124724,1
111,7,-0.0020345134219748352,0.049541781150062324,0.012807159570151308,1
112,1,0.6931651264480708,0.2889647868517107,0.11543641275330907,1
113,2,0.7001469165686812,0.24074156270966035,0.0018216736128266226,1
114,3,0.6824101246420681,0.2509310860424466,0.03509470949644989,1
115,4,0.7067582203607139,0.29805051568680474,0.0993266342069823,1
116,5,0.6808408431569862,0.30042454610629526,0.08511981129820144,1
117,6,0.018127612089788362,0.012158728467207718,0.00522154710789557,1
118,7,0.005144616970553798,0.05277337936919951,0.017007973606849355,1
119,1,0.7086222098240478,0.29340269387681833,0.07673341886539857,5
120,2,0.6969071220031873,0.28664692865452784,0.04043541665006495,5
121,3,0.7068485058334255,0.28942033354654034,0.07924997410131566,5
122,4,0.7087869225223138,0.31302365891461387,0.027479699415885062,5
123,5,0.6971934658841732,0.4031281852695366,0.0968722358134976,5
124,6,-0.011770933351903287,0.015644652340304408,0.007137978094415918,5
125,7,-0.008531347607908227,0.06206970828554317,0.012569055869026017,5
126,1,0.7315883726777577,0.3721779412844197,0.4440500761022879,2
127,2,0.7138142515718986,0.23431154432745885,0.03126011044792771,2
128,3,0.711308958707526,0.26523237132109295,0.07397142379013301,2
129,4,0.739834588101924,0.32000092474124,0.052721752504203565,2
130,5,0.697974446946979,0.3446324161280205,0.1839858473651077,2
131,6,-0.007442211122025928,0.016354486553705094,0.01246453771362944,2
132,7,0.005676551773669628,0.04834752780553212,0.009744282769213769,2
133,1,0.7035918556389777,0.2536168775411447,0.14134944098685945,1
134,2,0.7052538622696163,0.27001390178291607,0.058379618930742935,1
135,3,0.6870805831766263,0.2997338677049134,0.034614986174086974,1
136,4,0.6866808072955495,0.2996813976731763,0.018473332323948717,1
137,5,0.7019193467751533,0.3219670744213276,0.17484401023197257,1
138,6,0.00685503582800446,0.016231327340685976,0.014756290602207123,1
139,7,-0.0033612700998266938,0.062150530653584495,0.02607403202520646,1
140,1,0.6964489060380743,0.3367288745752221,0.15569810899760142,1
141,2,0.697738692528689,0.2513640555390418,0.027948266381913955,1
142,3,0.6907276640885756,0.273021571332327,0.011938895042593376,1
143,4,0.6945006122761368,0.3557641110013211,0.027968985329391426,1
144,5,0.7122566763091415,0.3044243514707684,0.08336666958856952,1
145,6,-0.0009636345667152725,0.012228092239718496,0.005759408809832745,1
146,7,0.022138768850114433,0.05182526903638848,0.005877607834943965,1
147,1,0.7155858983603336,0.31076255653023716,0.15944026966507027,5
148,2,0.6882754501877404,0.24073753681118168,0.05992716493079076,5
149,3,0.7080986126285522,0.3098515923684712,0.04180924224434015,5
150,4,0.70058142489562,0.3529935185193147,0.03986644247702987,5
151,5,0.7121281311219085,0.32498970526674886,0.07224378232355029,5
152,6,-0.01131092445971504,0.013189257129098166,0.00900780435280633,5
153,7,-0.011002944740778403,0.06289325456597701,0.01750720914090006,5
154,1,0.7399330323092089,0.38346266235240944,0.46202296615639626,2
155,2,0.6994380163795744,0.22943765473418862,0.0691710030361227,2
156,3,0.6986652989640658,0.23800010935665747,0.0184494258460901,2
157,4,0.7083872700957619,0.30700093485472074,0.07263903609081276,2
158,5,0.6945609236257031,0.32267267710345754,0.15396568623544693,2
159,6,0.010432344967655922,0.014490908316747625,0.004925734116525895,2
160,7,0.007210739170634315,0.04705126619975428,0.004514961238096989,2
161,1,0.7229226510654783,0.30048956252113584,0.07501852752034043,1
162,2,0.6933406283515692,0.2544847020289462,0.027994485572440615,1
163,3,0.7169794161376458,0.2877175766998614,0.05011275888723315,1
164,4,0.695555158037186,0.32780789355740464,0.0536684490274048,1
165,5,0.7033767458294323,0.3351140464274138,0.05457211389046052,1
166,6,0.01988955403036319,0.019768424252231923,0.024756421006848436,1
167,7,0.022307971006065946,0.06686916113563784,0.016046249662236743,1
168,1,0.6933305373399465,0.34519960600609634,0.10834256389006208,1
169,2,0.6970944400478578,0.2431388132252506,0.03747260716078701,1
170,3,0.7040108413810249,0.23853750443913005,0.04279737666249632,1
171,4,0.7022483774193882,0.2969788383380915,0.033084971591135486,1
172,5,0.7094661243854792,0.31773269675222626,0.09070117699559324,1
173,6,-0.004946995885343513,0.013613984475612224,0.00572316956941739,1
174,7,0.029255644086486822,0.061357134373702445,0.013308977560507702,1
175,1,0.7240541215450835,0.2809105002486011,0.17714700093235267,5
176,2,0.7193901647308125,0.272196242583544,0.03155814453856513,5
177,3,0.7025336632985821,0.29684527429775803,0.008553737777813196,5
178,4,0.6949915411593914,0.3576506049467745,0.005860274605742337,5
179,5,0.697748407703071,0.2983339277831242,0.020879917761716167,5
180,6,0.024468077201892164,0.01225562618041621,0.007827406616415965,5
181,7,0.009780747132850699,0.05114805714845419,0.021784109718810184,5
182,1,0.7226883299993104,0.376731582650392,0.44455848719808116,2
183,2,0.7115826498757867,0.29392148648284316,0.09271888372686052,2
184,3,0.7023408213772274,0.2672216555442072,0.0903298297061894,2
185,4,0.7119579125724247,0.33059367295438574,0.07159193236060532,2
186,5,0.6873064012939178,0.34091506436022834,0.13155575389077928,2
187,6,-0.006461897655264158,0.015128716336306646,0.012549400917057555,2
188,7,0.014997751063691655,0.04077977761675654,0.012878082428493115,2
189,1,0.709372107214512,0.2765802977496833,0.11098183904565341,1
190,2,0.7118724082090849,0.24025988635057072,0.012708683629640847,1
191,3,0.6963409752371043,0.21659884561431408,0.042606124839627384,1
192,4,0.6871279605109829,0.27752402841932067,0.03403007434914615,1
193,5,0.7182704964541894,0.27735723393717465,0.048074333208488404,1
194,6,-0.005456455028756536,0.012928525936895505,0.0031008721116407593,1
195,7,-0.0006292296551294843,0.05535227228708236,0.02011576793113045,1
196,1,0.725658143679943,0.3277580537319051,0.37976077584489487,2
197,2,0.7013965158861051,0.33227653300039317,0.12180350468965408,2
