,rand_layer,pearson,ssim,spearman,action
0,1,0.7720436685722307,0.4228688073218776,0.01541718468466436,1
1,2,0.7889083021414127,0.3638503111594217,0.20191264574425447,1
2,3,0.7489813611753473,0.34965703763391837,0.018748505825104685,1
3,4,0.7626232385415872,0.38828870511110614,0.032947787020005954,1
4,5,0.7639661785705351,0.3764753055589626,0.03523522882063744,1
5,1,0.787707945949284,0.39157298706553245,0.25071631525671745,5
6,2,0.7992143637386322,0.3573534533797701,0.07509568785647086,5
7,3,0.7989431130261877,0.387915413009042,0.07481015676131876,5
8,4,0.7912567269839159,0.37006307547342693,0.029563572616752194,5
9,5,0.8058155940396922,0.42026659125411886,0.1153033977950103,5
10,1,0.8146387424845605,0.5376223557082571,0.6443654361157707,2
11,2,0.7780143538111274,0.4010116207508631,0.13952396518879426,2
12,3,0.7804127152642246,0.3787042716613014,0.01072141638495984,2
13,4,0.7866557942859356,0.371257975436556,0.0038431913133196854,2
14,5,0.742250184938638,0.36706329976061697,0.1016596452264268,2
15,1,0.8113156270464246,0.40206797768697977,0.006800362104629206,1
16,2,0.7436055678732645,0.35906312038909316,0.13439000259629147,1
17,3,0.78652339860197,0.38513029456797276,0.05600215164413461,1
18,4,0.806270836953837,0.44598653709731634,0.017469034354401527,1
19,5,0.7919929578990732,0.35693636706849546,0.030789622267138952,1
20,1,0.8158690676185292,0.4195740222603567,0.005520039735266036,1
21,2,0.7897084422970826,0.34460007901058404,0.17733727168221608,1
22,3,0.7717071309056418,0.3758460873187435,0.13044940952217002,1
23,4,0.7815711314523512,0.4266886914358419,0.050042775534190224,1
24,5,0.7864932732486694,0.43292975369072006,0.1614251047339844,1
25,1,0.771610257270205,0.36860149086428196,0.24365743697904838,5
26,2,0.8251389294888469,0.3710243266108811,0.0942375754473493,5
27,3,0.7789398251415894,0.3840343638802224,0.0194924677806446,5
28,4,0.8096046689255165,0.4593702228439158,0.13997567550083193,5
29,5,0.7904907495720973,0.35224122985335593,0.0074067826771055945,5
30,1,0.8414750089746028,0.5644224032696127,0.651412126207948,2
31,2,0.8054678799333073,0.4034792339020622,0.0712934364324254,2
32,3,0.838102629581402,0.36177532804543805,0.03893828495513488,2
33,4,0.7947828072549221,0.3719747453751861,0.14695272042937838,2
34,5,0.7561952219186243,0.41012019340146466,0.15638898465726658,2
35,1,0.7576418759297052,0.39967644038611866,0.0771113746064728,1
36,2,0.7937980400082698,0.39391371558680616,0.16745936081428422,1
37,3,0.7742997945010905,0.3850052369798446,0.04234518698285466,1
38,4,0.7881459065279628,0.35139360235812545,0.004934625454413976,1
39,5,0.7825691474447576,0.3967793862824089,0.10952545438614934,1
40,1,0.7886205002209921,0.39163300145151503,0.033013554865363184,1
41,2,0.7996657125895398,0.4362680997919629,0.25985567068613125,1
42,3,0.768811797742517,0.3704509368587682,0.03351899010431455,1
43,4,0.7691676315790932,0.4324128467540583,0.009338973330579267,1
44,5,0.7996929451636123,0.3790996169911054,0.06366293536073767,1
45,1,0.7808920896577161,0.40409673362665177,0.30673190929579974,5
