,rand_layer,pearson,ssim,spearman,action
0,1,0.7970871902188063,0.5292565360964536,0.01541718468466436,1
1,2,0.8029447931132068,0.44956362345644724,0.20191264574425447,1
2,3,0.8133535614169062,0.4320627851107862,0.018748505825104685,1
3,4,0.7968853933703477,0.45459164058370316,0.032947787020005954,1
4,5,0.7870569275929564,0.5148740470437487,0.03523522882063744,1
5,6,0.039727444299510126,0.011387620519739563,0.013727816425929032,1
6,7,-0.012510154814673817,0.049897355512545476,0.0024150807255657594,1
7,1,0.8296346162753904,0.4496966106833966,0.3429059018511959,5
8,2,0.7930011307684041,0.42778636957380645,0.030836006595924118,5
9,3,0.8223290683898268,0.45261011236672133,0.008216436325544965,5
10,4,0.8179931800278343,0.502371613209523,0.025263798019878974,5
11,5,0.8378417356895065,0.4804846725580012,0.06189702371837531,5
12,6,0.01123184712811248,0.013080664275379917,0.014137019382165189,5
13,7,0.01870314212185921,0.05234529373499446,0.005446887566376386,5
14,1,0.8435933805536784,0.6534227167030497,0.6494115008015325,2
15,2,0.8155466575140964,0.4688722864415717,0.0125866169956675,2
16,3,0.822083900630309,0.4777882184788539,0.054875543506159544,2
17,4,0.8114781195031215,0.48688831815263406,0.08772495654890314,2
18,5,0.7959202167879702,0.4963638548655909,0.14527919996208036,2
19,6,0.019398437507633263,0.016599663435967648,0.006805952534660821,2
20,7,-0.0041155629063926195,0.05110534133517252,0.016637891402540027,2
21,1,0.8215636930264046,0.5270117001091857,0.06317121914591761,1
22,2,0.8170743575137533,0.4819567303221565,0.1487181196056723,1
23,3,0.813211950330915,0.42070761863825284,0.10274033824954897,1
24,4,0.814688488941133,0.49357865841193405,0.017127656005359992,1
25,5,0.8132573726108225,0.5541161465080294,0.08696872957212562,1
26,6,0.003577278722455836,0.011228883682340764,0.007656103974693479,1
27,7,0.018307829777364167,0.05914090330606454,0.024223993781988456,1
28,1,0.8349246902889362,0.48759265600242613,0.015491952561608457,1
29,2,0.8216340872193351,0.488796673378731,0.19111415999723722,1
30,3,0.8086197698463177,0.4334655370641814,0.17254379731935837,1
31,4,0.8298114827503362,0.45193004262303854,0.0282239377321093,1
32,5,0.8378743778854849,0.5180696383135381,0.09851886672554624,1
33,6,0.015729078674152856,0.012572408387006991,0.010840602709812354,1
34,7,-0.0006435295837233729,0.05323518407780284,0.013158012949890023,1
35,1,0.8170634798967124,0.4208775187866285,0.1863733820077295,5
36,2,0.8280499260483108,0.3961139109374218,0.08615807979214245,5
37,3,0.8261466883395535,0.4516315055641566,0.002708136265467595,5
38,4,0.8159475347336247,0.47487325696381816,0.00449702534893985,5
39,5,0.8213244302942597,0.47758858480041877,0.031867802088332745,5
40,6,-0.0057238599916001,0.013025249026255029,0.011133260575419468,5
41,7,0.003940747410713469,0.055063682614305866,0.010398605102590053,5
42,1,0.844862064171001,0.6934173425889286,0.7042713448755215,2
43,2,0.8040558092837882,0.4738882728371777,0.09959825828984104,2
44,3,0.8306497941357257,0.4777581234425814,0.01620643582900122,2
45,4,0.8003268121129532,0.5158101805157462,0.23220615483770632,2
46,5,0.8018097660450016,0.48077363680472995,0.2277751550020629,2
47,6,0.02246121423706409,0.020022299701376683,0.006120023320156145,2
48,7,0.01535157804682359,0.05426227600646934,0.015590374619393716,2
49,1,0.8050763688051334,0.47667474981807384,0.03860802001358199,1
50,2,0.8018935362178244,0.44153935900531066,0.06979798152499046,1
51,3,0.8157097655129103,0.41750224930253077,0.022135852318475438,1
52,4,0.811049214870991,0.4397942874119588,0.0016614846892150066,1
53,5,0.7967543273462812,0.5624422975612169,0.14524455038880962,1
54,6,0.00953249130964659,0.013353361451593916,0.003111392967088221,1
55,7,0.007253524358909311,0.04738795066306686,0.009845408303589487,1
56,1,0.8127185572666242,0.4847666185300553,0.018100805905830342,1
57,2,0.8465828747839403,0.4550391365731595,0.19830782300049463,1
58,3,0.8292016890556401,0.4668739296403745,0.08142455893712287,1
59,4,0.8261046704440635,0.469532466239788,0.04296997287015395,1
60,5,0.8300957057639506,0.5039787399821467,0.09840899475209311,1
61,6,-0.008456195937378482,0.014272497034195614,0.004246319029389502,1
62,7,0.0014493175391146476,0.0520158737746712,0.016795026045292205,1
63,1,0.8141062221294818,0.39355830644055145,0.2972225477278573,5
64,2,0.80088716301032,0.38908288587586615,0.05129447441878123,5
