,rand_layer,pearson,ssim,spearman,action
0,1,0.7331829767402219,0.969191409336837,0.9845061022703164,1
1,2,0.4155802810599673,0.6698023186014774,0.920240778069581,1
2,3,0.38102657080352414,0.4725325580827898,0.8378403403707216,1
3,4,0.3475275107612296,0.39642464262714305,0.8355529471129265,1
4,5,0.35777319958664017,0.4448297939685491,0.8637397714441118,1
5,6,-0.0067383980526250055,0.0006564870581760168,0.01178497456315765,1
6,7,-0.009014324388616083,0.002164617915156389,0.006587094874499399,1
7,1,0.7176158948902487,0.9775265899427661,0.9820637639573245,5
8,2,0.36746759284039304,0.5538956098931227,0.9047072882016662,5
9,3,0.36681867175559557,0.4532792192974222,0.8401003956902963,5
10,4,0.33291518874587545,0.3788717904847569,0.8325959269346125,5
11,5,0.33355709166532066,0.45712275528628266,0.863892516891491,5
12,6,0.000893805050566674,0.0002459465211458635,0.005853843707988291,5
13,7,-0.015753701295431098,0.002265234662477848,0.008118092126860047,5
14,1,0.7292783081013894,0.9761179661858302,0.9832278257585042,2
15,2,0.36507380611818435,0.5673906966085238,0.8984513661635699,2
16,3,0.3751482847309233,0.45425203871653447,0.8396075714146463,2
17,4,0.33390613871318153,0.3837272106600901,0.8332732875157105,2
18,5,0.33953074199143285,0.4475265237965942,0.8636669908229961,2
19,6,0.014341805925437188,0.0002536855373185426,0.003481332720486932,2
20,7,0.011895761296440646,0.0016739496794747147,0.0021475284592606444,2
21,1,0.7275614073932025,0.9702100682366731,0.9845819129027858,1
22,2,0.39598907102549946,0.6696968103567734,0.9157176718075205,1
23,3,0.37004823490445193,0.47328949532006725,0.8347825543677134,1
24,4,0.33545350778403976,0.40343617000083415,0.8365601239854338,1
25,5,0.3521072318574944,0.44906535224118793,0.8655843389875179,1
26,6,-0.005733897216477251,0.0005195638606050824,0.0001888349485672673,1
27,7,0.0044966426291789185,0.0019185411028607503,0.026673696998662115,1
28,1,0.7331829767402219,0.969191409336837,0.9845061022703164,1
29,2,0.4155802810599673,0.6698023186014774,0.920240778069581,1
30,3,0.38102657080352414,0.4725325580827898,0.8378403403707216,1
31,4,0.3475275107612296,0.39642464262714305,0.8355529471129265,1
32,5,0.35777319958664017,0.4448297939685491,0.8637397714441118,1
33,6,0.007189569515341327,0.0007691709246332456,0.014054116056452636,1
34,7,-0.028305420289492962,0.002963501789746899,0.006006053783108378,1
35,1,0.7176158948902487,0.9775265899427661,0.9820637639573245,5
36,2,0.36746759284039304,0.5538956098931227,0.9047072882016662,5
37,3,0.36681867175559557,0.4532792192974222,0.8401003956902963,5
38,4,0.33291518874587545,0.3788717904847569,0.8325959269346125,5
39,5,0.33355709166532066,0.45712275528628266,0.863892516891491,5
40,6,-0.005846984543893262,0.000419852708606577,0.008831592965095983,5
41,7,-0.0027182309335013165,0.0019872654143818433,0.002680155449745331,5
42,1,0.7292783081013894,0.9761179661858302,0.9832278257585042,2
43,2,0.36507380611818435,0.5673906966085238,0.8984513661635699,2
44,3,0.3751482847309233,0.45425203871653447,0.8396075714146463,2
45,4,0.33390613871318153,0.3837272106600901,0.8332732875157105,2
46,5,0.33953074199143285,0.4475265237965942,0.8636669908229961,2
47,6,0.005537288936774007,0.00041002640746129937,0.01604807776208429,2
