,rand_layer,pearson,ssim,spearman,action
0,1,0.6377249738698028,0.9233836231277986,0.961777589724318,1
1,2,0.2856782309830672,0.3640550073300098,0.8509855887542926,1
2,3,0.2602371249043997,0.5049552263491828,0.7530046608094073,1
3,4,0.26197103894744705,0.33347215420691234,0.8013145337689112,1
4,5,0.23707492653670165,0.4553560327399589,0.7719192588089092,1
5,6,0.010990605460642358,0.003460696603820644,0.015754499397527412,1
6,7,0.02849501629779774,0.004624610067693311,0.007482270411763959,1
7,1,0.6676701542079945,0.7106970588888702,0.960817404928466,5
8,2,0.26866259194713377,0.342873854207477,0.7970262015834391,5
9,3,0.258949241787942,0.421612520963093,0.7115877705380812,5
10,4,0.24793255468742323,0.2768956951100371,0.7885628291957235,5
11,5,0.21732446707720784,0.4241186195085429,0.7420042102139679,5
12,6,0.01589807160718841,0.0007144009743635664,0.018428461866966436,5
13,7,0.006481941712263116,0.0017654163981676361,0.008161830288629372,5
14,1,0.6577030988715719,0.7170909789434327,0.9648741758015037,2
15,2,0.25204676550006055,0.2989779278726102,0.8113931220597707,2
16,3,0.2315336693413965,0.42985384427889445,0.7157424312783884,2
17,4,0.2401366471553434,0.27860638336569,0.798085250082951,2
18,5,0.1994675075510663,0.4120395359971566,0.7448810960171954,2
19,6,0.04044016869694219,0.0007026544079498811,0.0042881202300948445,2
20,7,0.01773085783180836,0.004412537098081238,0.018064223785431023,2
21,1,0.6499618839194572,0.938652934774412,0.9629298149454383,1
22,2,0.2893342161698528,0.4071068811651145,0.8476553820112328,1
23,3,0.2687484845479925,0.4891509863169053,0.7514733646124804,1
24,4,0.2452086695140944,0.323449573531582,0.7990831308115274,1
25,5,0.21910579726160487,0.46442527809541667,0.765791751489703,1
26,6,-0.0038066902099013443,0.0029807118681934447,0.001768924325361573,1
27,7,0.0030519011742570217,0.003935844798537003,0.03086078341754551,1
28,1,0.6377249738698028,0.9233836231277986,0.961777589724318,1
29,2,0.2856782309830672,0.3640550073300098,0.8509855887542926,1
30,3,0.2602371249043997,0.5049552263491828,0.7530046608094073,1
31,4,0.26197103894744705,0.33347215420691234,0.8013145337689112,1
32,5,0.23707492653670165,0.4553560327399589,0.7719192588089092,1
33,6,0.000623977270639596,0.001116211504603251,0.0014496322818619099,1
34,7,-0.012763779855123057,0.0032528412860504635,0.020940913202930247,1
35,1,0.6676701542079945,0.7106970588888702,0.960817404928466,5
36,2,0.26866259194713377,0.342873854207477,0.7970262015834391,5
37,3,0.258949241787942,0.421612520963093,0.7115877705380812,5
38,4,0.24793255468742323,0.2768956951100371,0.7885628291957235,5
39,5,0.21732446707720784,0.4241186195085429,0.7420042102139679,5
40,6,0.008444969044254694,0.0007230902783331111,0.015943346974725093,5
41,7,0.0006478949311106367,0.0016115509505735572,0.004127467323256927,5
42,1,0.6577030988715719,0.7170909789434327,0.9648741758015037,2
43,2,0.25204676550006055,0.2989779278726102,0.8113931220597707,2
44,3,0.2315336693413965,0.42985384427889445,0.7157424312783884,2
45,4,0.2401366471553434,0.27860638336569,0.798085250082951,2
46,5,0.1994675075510663,0.4120395359971566,0.7448810960171954,2
47,6,0.008839494788279516,0.0006176996809902607,0.0047780519998339875,2
48,7,0.0006732837486357942,0.0020092287077534366,0.01069339600356297,2
49,1,0.6499618839194572,0.938652934774412,0.9629298149454383,1
50,2,0.2893342161698528,0.4071068811651145,0.8476553820112328,1
51,3,0.2687484845479925,0.4891509863169053,0.7514733646124804,1
52,4,0.2452086695140944,0.323449573531582,0.7990831308115274,1
53,5,0.21910579726160487,0.46442527809541667,0.765791751489703,1
