,rand_layer,pearson,ssim,spearman,action
0,1,0.1950410943508157,0.7550844497077276,0.27240427962913694,1
1,2,0.07226851255548983,0.39853678395751796,0.13934559813771263,1
2,3,0.10923674264837888,0.5520905208948791,0.24707941884688167,1
3,4,0.11310814318228941,0.34216020468640024,0.14696374586034003,1
4,5,0.12422393750236924,0.30892600601181397,0.039819559548976854,1
5,6,0.02019686641613755,0.008056437944200615,0.010622700029443962,1
6,7,0.04196299124940285,0.042928331715598796,0.0037835832484219285,1
7,1,0.1748798280036405,0.6064000385901198,0.008496780162290104,5
8,2,0.1399580915749213,0.5872057276795161,0.1916114727828358,5
9,3,0.10236014416401566,0.5723620103833983,0.07664047875051201,5
10,4,0.08559353455821685,0.5194863366069147,0.0010592606678844411,5
11,5,0.125586125549409,0.5556080156642705,0.0915240784002375,5
12,6,-0.016735792006735847,0.012451880340611563,0.01569267415970426,5
13,7,0.027304893916354836,0.06605809676060423,0.002645165243895346,5
14,1,0.15758426088731986,0.7762949878485932,0.18357950881086488,2
15,2,0.11913128300124977,0.4939601512240975,0.02227316941555433,2
16,3,0.10817927585854561,0.555633332317209,0.18191809518731084,2
17,4,0.10789221875538577,0.44976344496368764,0.05373733779822931,2
18,5,0.07888610850687336,0.4936643261921092,0.026825471957195812,2
19,6,0.00747428880107239,0.011917129215036076,0.004508722579220599,2
20,7,-0.00391789861040256,0.06787123788999576,0.005991353683190058,2
21,1,0.21235735648913212,0.7376228475393671,0.2895768368861799,1
22,2,0.09319171792342713,0.36492273796222224,0.10129915362655824,1
23,3,0.1348284575067033,0.5345908062652818,0.2102795062232816,1
24,4,0.12453823559361618,0.3529980505440194,0.14346638675151663,1
25,5,0.10570996714524876,0.3265734884636342,0.0563044237977886,1
26,6,-0.011546364429438044,0.008746838702251446,0.006585207784406468,1
27,7,0.011889311046408068,0.042148650434947366,0.013054431516463003,1
28,1,0.1950410943508157,0.7550844497077276,0.27240427962913694,1
29,2,0.07226851255548983,0.39853678395751796,0.13934559813771263,1
30,3,0.10923674264837888,0.5520905208948791,0.24707941884688167,1
