,rand_layer,pearson,ssim,spearman,action
0,1,0.8391984723018788,0.9615907947089418,0.9830208023471029,1
1,2,0.4288715422818602,0.6458962710052781,0.8655606614607236,1
2,3,0.21777245280202645,0.4961277933896857,0.7166333978745569,1
3,4,0.2290366112199041,0.42979688271633476,0.7477956142149133,1
4,5,0.25103849421749047,0.5055607109495732,0.7857983328479216,1
5,1,0.8423428881499416,0.9826663711011273,0.9765679127598335,5
6,2,0.3818115380851001,0.5956280396769617,0.8255178146339637,5
7,3,0.20379059490805895,0.4565417644171367,0.7224351940459154,5
8,4,0.24366617358797693,0.3941797182760407,0.7418827924241671,5
9,5,0.23202249517924525,0.4825441268067878,0.7725608181072595,5
10,1,0.8496708257168856,0.9781122738941466,0.978219417923179,2
11,2,0.3687826272118374,0.5810695454148751,0.8194918066559783,2
12,3,0.21608596046623652,0.4587513960610484,0.7220187402702608,2
13,4,0.20332054910369252,0.39507158311537616,0.7461012718449054,2
14,5,0.24426601415833601,0.4794606978689387,0.7818031504582762,2
15,1,0.8490965300814721,0.9586827517209537,0.9829666396500135,1
16,2,0.4177096211310105,0.6445018720071869,0.8594196386757192,1
17,3,0.21733633965598048,0.49548594657411715,0.7096847507570835,1
18,4,0.2362577784182422,0.4300716998381109,0.7443085902831134,1
19,5,0.2683629304518456,0.5090101280551688,0.7886974834331718,1
20,1,0.8391984723018788,0.9615907947089418,0.9830208023471029,1
21,2,0.4288715422818602,0.6458962710052781,0.8655606614607236,1
22,3,0.21777245280202645,0.4961277933896857,0.7166333978745569,1
23,4,0.2290366112199041,0.42979688271633476,0.7477956142149133,1
24,5,0.25103849421749047,0.5055607109495732,0.7857983328479216,1
25,1,0.8423428881499416,0.9826663711011273,0.9765679127598335,5
26,2,0.3818115380851001,0.5956280396769617,0.8255178146339637,5
27,3,0.20379059490805895,0.4565417644171367,0.7224351940459154,5
28,4,0.24366617358797693,0.3941797182760407,0.7418827924241671,5
29,5,0.23202249517924525,0.4825441268067878,0.7725608181072595,5
30,1,0.8496708257168856,0.9781122738941466,0.978219417923179,2
31,2,0.3687826272118374,0.5810695454148751,0.8194918066559783,2
32,3,0.21608596046623652,0.4587513960610484,0.7220187402702608,2
33,4,0.20332054910369252,0.39507158311537616,0.7461012718449054,2
34,5,0.24426601415833601,0.4794606978689387,0.7818031504582762,2
35,1,0.8490965300814721,0.9586827517209537,0.9829666396500135,1
36,2,0.4177096211310105,0.6445018720071869,0.8594196386757192,1
37,3,0.21733633965598048,0.49548594657411715,0.7096847507570835,1
38,4,0.2362577784182422,0.4300716998381109,0.7443085902831134,1
39,5,0.2683629304518456,0.5090101280551688,0.7886974834331718,1
40,1,0.8391984723018788,0.9615907947089418,0.9830208023471029,1
41,2,0.4288715422818602,0.6458962710052781,0.8655606614607236,1
42,3,0.21777245280202645,0.4961277933896857,0.7166333978745569,1
43,4,0.2290366112199041,0.42979688271633476,0.7477956142149133,1
44,5,0.25103849421749047,0.5055607109495732,0.7857983328479216,1
45,1,0.8423428881499416,0.9826663711011273,0.9765679127598335,5
46,2,0.3818115380851001,0.5956280396769617,0.8255178146339637,5
47,3,0.20379059490805895,0.4565417644171367,0.7224351940459154,5
48,4,0.24366617358797693,0.3941797182760407,0.7418827924241671,5
49,5,0.23202249517924525,0.4825441268067878,0.7725608181072595,5
50,1,0.8496708257168856,0.9781122738941466,0.978219417923179,2
51,2,0.3687826272118374,0.5810695454148751,0.8194918066559783,2
52,3,0.21608596046623652,0.4587513960610484,0.7220187402702608,2
53,4,0.20332054910369252,0.39507158311537616,0.7461012718449054,2
54,5,0.24426601415833601,0.4794606978689387,0.7818031504582762,2
55,1,0.8490965300814721,0.9586827517209537,0.9829666396500135,1
56,2,0.4177096211310105,0.6445018720071869,0.8594196386757192,1
57,3,0.21733633965598048,0.49548594657411715,0.7096847507570835,1
58,4,0.2362577784182422,0.4300716998381109,0.7443085902831134,1
59,5,0.2683629304518456,0.5090101280551688,0.7886974834331718,1
60,1,0.8391984723018788,0.9615907947089418,0.9830208023471029,1
61,2,0.4288715422818602,0.6458962710052781,0.8655606614607236,1
62,3,0.21777245280202645,0.4961277933896857,0.7166333978745569,1
63,4,0.2290366112199041,0.42979688271633476,0.7477956142149133,1
64,5,0.25103849421749047,0.5055607109495732,0.7857983328479216,1
65,1,0.8423428881499416,0.9826663711011273,0.9765679127598335,5
66,2,0.3818115380851001,0.5956280396769617,0.8255178146339637,5
67,3,0.20379059490805895,0.4565417644171367,0.7224351940459154,5
68,4,0.24366617358797693,0.3941797182760407,0.7418827924241671,5
69,5,0.23202249517924525,0.4825441268067878,0.7725608181072595,5
70,1,0.8496708257168856,0.9781122738941466,0.978219417923179,2
71,2,0.3687826272118374,0.5810695454148751,0.8194918066559783,2
72,3,0.21608596046623652,0.4587513960610484,0.7220187402702608,2
73,4,0.20332054910369252,0.39507158311537616,0.7461012718449054,2
74,5,0.24426601415833601,0.4794606978689387,0.7818031504582762,2
75,1,0.8490965300814721,0.9586827517209537,0.9829666396500135,1
76,2,0.4177096211310105,0.6445018720071869,0.8594196386757192,1
77,3,0.21733633965598048,0.49548594657411715,0.7096847507570835,1
78,4,0.2362577784182422,0.4300716998381109,0.7443085902831134,1
79,5,0.2683629304518456,0.5090101280551688,0.7886974834331718,1
80,1,0.8391984723018788,0.9615907947089418,0.9830208023471029,1
81,2,0.4288715422818602,0.6458962710052781,0.8655606614607236,1
82,3,0.21777245280202645,0.4961277933896857,0.7166333978745569,1
83,4,0.2290366112199041,0.42979688271633476,0.7477956142149133,1
84,5,0.25103849421749047,0.5055607109495732,0.7857983328479216,1
85,1,0.8423428881499416,0.9826663711011273,0.9765679127598335,5
86,2,0.3818115380851001,0.5956280396769617,0.8255178146339637,5
87,3,0.20379059490805895,0.4565417644171367,0.7224351940459154,5
88,4,0.24366617358797693,0.3941797182760407,0.7418827924241671,5
89,5,0.23202249517924525,0.4825441268067878,0.7725608181072595,5
90,1,0.8496708257168856,0.9781122738941466,0.978219417923179,2
91,2,0.3687826272118374,0.5810695454148751,0.8194918066559783,2
92,3,0.21608596046623652,0.4587513960610484,0.7220187402702608,2
93,4,0.20332054910369252,0.39507158311537616,0.7461012718449054,2
94,5,0.24426601415833601,0.4794606978689387,0.7818031504582762,2
95,1,0.8490965300814721,0.9586827517209537,0.9829666396500135,1
96,2,0.4177096211310105,0.6445018720071869,0.8594196386757192,1
97,3,0.21733633965598048,0.49548594657411715,0.7096847507570835,1
