,rand_layer,pearson,ssim,spearman,action
0,1,0.8567666159076133,0.9191459243577734,0.97522891896587,1
1,2,0.3611474739092146,0.48132315297950823,0.8433935882583551,1
2,3,0.34123917144820326,0.5485717463361517,0.7593634806548637,1
3,4,0.2952807713911211,0.4436387185302603,0.8079067492410683,1
4,5,0.2206363302658493,0.49076472758468825,0.7660855082863633,1
5,1,0.8773927332334561,0.7954388232245179,0.9572961479347712,5
6,2,0.35286673910563554,0.3675312418557654,0.7718765307494381,5
7,3,0.33425457807818737,0.4580499182201805,0.7055568861798514,5
8,4,0.27275296480497,0.3370927028321385,0.7903827786195445,5
9,5,0.17257121560587033,0.46099468159023943,0.7329341960107323,5
10,1,0.8875565891095643,0.78266676233375,0.9568523486052937,2
11,2,0.37507229571108847,0.36754363533832296,0.7816324075348943,2
12,3,0.3517771916123522,0.46340039917929504,0.7254217358201286,2
13,4,0.24971050479080883,0.3452627566293319,0.7909319621577874,2
14,5,0.15971990212572812,0.44612084853310413,0.7351817069655224,2
15,1,0.8683860216438187,0.9276778190642814,0.9767451841829281,1
16,2,0.34456026867301537,0.5010744448892822,0.8354148382908906,1
17,3,0.3368382897542739,0.5428724700134567,0.7564546251717492,1
18,4,0.2982222057555456,0.4258154542290081,0.8063659930211409,1
19,5,0.20449416927949027,0.5065355741319015,0.7562606967357172,1
20,1,0.8567666159076133,0.9191459243577734,0.97522891896587,1
21,2,0.3611474739092146,0.48132315297950823,0.8433935882583551,1
22,3,0.34123917144820326,0.5485717463361517,0.7593634806548637,1
23,4,0.2952807713911211,0.4436387185302603,0.8079067492410683,1
24,5,0.2206363302658493,0.49076472758468825,0.7660855082863633,1
25,1,0.8773927332334561,0.7954388232245179,0.9572961479347712,5
26,2,0.35286673910563554,0.3675312418557654,0.7718765307494381,5
27,3,0.33425457807818737,0.4580499182201805,0.7055568861798514,5
28,4,0.27275296480497,0.3370927028321385,0.7903827786195445,5
29,5,0.17257121560587033,0.46099468159023943,0.7329341960107323,5
30,1,0.8875565891095643,0.78266676233375,0.9568523486052937,2
31,2,0.37507229571108847,0.36754363533832296,0.7816324075348943,2
32,3,0.3517771916123522,0.46340039917929504,0.7254217358201286,2
33,4,0.24971050479080883,0.3452627566293319,0.7909319621577874,2
34,5,0.15971990212572812,0.44612084853310413,0.7351817069655224,2
35,1,0.8683860216438187,0.9276778190642814,0.9767451841829281,1
36,2,0.34456026867301537,0.5010744448892822,0.8354148382908906,1
37,3,0.3368382897542739,0.5428724700134567,0.7564546251717492,1
38,4,0.2982222057555456,0.4258154542290081,0.8063659930211409,1
39,5,0.20449416927949027,0.5065355741319015,0.7562606967357172,1
40,1,0.8567666159076133,0.9191459243577734,0.97522891896587,1
41,2,0.3611474739092146,0.48132315297950823,0.8433935882583551,1
42,3,0.34123917144820326,0.5485717463361517,0.7593634806548637,1
43,4,0.2952807713911211,0.4436387185302603,0.8079067492410683,1
44,5,0.2206363302658493,0.49076472758468825,0.7660855082863633,1
45,1,0.8773927332334561,0.7954388232245179,0.9572961479347712,5
46,2,0.35286673910563554,0.3675312418557654,0.7718765307494381,5
47,3,0.33425457807818737,0.4580499182201805,0.7055568861798514,5
48,4,0.27275296480497,0.3370927028321385,0.7903827786195445,5
49,5,0.17257121560587033,0.46099468159023943,0.7329341960107323,5
50,1,0.8875565891095643,0.78266676233375,0.9568523486052937,2
51,2,0.37507229571108847,0.36754363533832296,0.7816324075348943,2
52,3,0.3517771916123522,0.46340039917929504,0.7254217358201286,2
53,4,0.24971050479080883,0.3452627566293319,0.7909319621577874,2
54,5,0.15971990212572812,0.44612084853310413,0.7351817069655224,2
55,1,0.8683860216438187,0.9276778190642814,0.9767451841829281,1
56,2,0.34456026867301537,0.5010744448892822,0.8354148382908906,1
57,3,0.3368382897542739,0.5428724700134567,0.7564546251717492,1
58,4,0.2982222057555456,0.4258154542290081,0.8063659930211409,1
59,5,0.20449416927949027,0.5065355741319015,0.7562606967357172,1
60,1,0.8567666159076133,0.9191459243577734,0.97522891896587,1
61,2,0.3611474739092146,0.48132315297950823,0.8433935882583551,1
62,3,0.34123917144820326,0.5485717463361517,0.7593634806548637,1
63,4,0.2952807713911211,0.4436387185302603,0.8079067492410683,1
64,5,0.2206363302658493,0.49076472758468825,0.7660855082863633,1
65,1,0.8773927332334561,0.7954388232245179,0.9572961479347712,5
66,2,0.35286673910563554,0.3675312418557654,0.7718765307494381,5
67,3,0.33425457807818737,0.4580499182201805,0.7055568861798514,5
68,4,0.27275296480497,0.3370927028321385,0.7903827786195445,5
69,5,0.17257121560587033,0.46099468159023943,0.7329341960107323,5
70,1,0.8875565891095643,0.78266676233375,0.9568523486052937,2
71,2,0.37507229571108847,0.36754363533832296,0.7816324075348943,2
72,3,0.3517771916123522,0.46340039917929504,0.7254217358201286,2
73,4,0.24971050479080883,0.3452627566293319,0.7909319621577874,2
74,5,0.15971990212572812,0.44612084853310413,0.7351817069655224,2
75,1,0.8683860216438187,0.9276778190642814,0.9767451841829281,1
76,2,0.34456026867301537,0.5010744448892822,0.8354148382908906,1
77,3,0.3368382897542739,0.5428724700134567,0.7564546251717492,1
78,4,0.2982222057555456,0.4258154542290081,0.8063659930211409,1
79,5,0.20449416927949027,0.5065355741319015,0.7562606967357172,1
80,1,0.8567666159076133,0.9191459243577734,0.97522891896587,1
81,2,0.3611474739092146,0.48132315297950823,0.8433935882583551,1
82,3,0.34123917144820326,0.5485717463361517,0.7593634806548637,1
83,4,0.2952807713911211,0.4436387185302603,0.8079067492410683,1
84,5,0.2206363302658493,0.49076472758468825,0.7660855082863633,1
85,1,0.8773927332334561,0.7954388232245179,0.9572961479347712,5
86,2,0.35286673910563554,0.3675312418557654,0.7718765307494381,5
