,rand_layer,pearson,ssim,spearman,action
0,1,0.13987368665325087,0.7360316952760733,0.4083880934437566,1
1,2,0.04040406154574813,0.38699141837494855,0.13500961869039202,1
2,3,0.08611881434770588,0.5133891668743011,0.31529604699149416,1
3,4,0.06913057644620359,0.3193532071241494,0.13529526738494388,1
4,5,0.08923758194340266,0.3202451761650154,0.039326154864635574,1
5,6,-0.0012689937537333838,0.009307272196008777,0.010756965575694702,1
6,7,0.021505130371139783,0.04581922508992326,0.00728027279992571,1
7,1,0.1593707861297889,0.6183277879537697,0.15951740048769528,5
8,2,0.11555044306720873,0.5797859912613909,0.3168635336876482,5
9,3,0.09030444793222081,0.47853475862342465,0.007798069374624893,5
10,4,0.05169363172409844,0.5547023771495933,0.11416216113502302,5
11,5,0.08654306444248006,0.5472987720560832,0.15076424539468403,5
12,6,-0.022268511872381068,0.0125037347669471,0.019159811486553,5
13,7,0.024154881607507946,0.06867014998228278,0.004460183998197691,5
14,1,0.10205854941478339,0.6978515020510653,0.2626541209561727,2
15,2,0.0596300631366742,0.4081993169529195,0.00283266174975206,2
16,3,0.08536137665648215,0.5473422974032479,0.21419312016480946,2
17,4,0.05858429518182902,0.4147996875734276,0.03659975981263339,2
18,5,0.04237387539985068,0.5216919348849869,0.06844678049201307,2
19,6,0.0014733456546177966,0.012664024428173099,0.01249792891095285,2
20,7,0.01502545302232483,0.06806527532085355,0.005184184720277331,2
21,1,0.1726181509886457,0.7345886087945261,0.4300871583451799,1
22,2,0.07210079526078689,0.37006468197783976,0.08449654763728197,1
23,3,0.09037999192922411,0.5017134166658266,0.3049416755713146,1
24,4,0.07648257077434584,0.31675030684657723,0.10127307876335569,1
25,5,0.06319312369413126,0.31336540731794693,0.06625370054231434,1
26,6,0.013391637051121424,0.009938410556276448,0.01474967278277337,1
27,7,0.02599980522170392,0.04475942303103298,0.011963746033254933,1
28,1,0.13987368665325087,0.7360316952760733,0.4083880934437566,1
29,2,0.04040406154574813,0.38699141837494855,0.13500961869039202,1
30,3,0.08611881434770588,0.5133891668743011,0.31529604699149416,1
31,4,0.06913057644620359,0.3193532071241494,0.13529526738494388,1
32,5,0.08923758194340266,0.3202451761650154,0.039326154864635574,1
33,6,0.02640347474135231,0.009770766835768468,0.0109785012349253,1
34,7,0.01927549713378629,0.04580411101538414,0.014390706421113784,1
35,1,0.1593707861297889,0.6183277879537697,0.15951740048769528,5
36,2,0.11555044306720873,0.5797859912613909,0.3168635336876482,5
37,3,0.09030444793222081,0.47853475862342465,0.007798069374624893,5
38,4,0.05169363172409844,0.5547023771495933,0.11416216113502302,5
39,5,0.08654306444248006,0.5472987720560832,0.15076424539468403,5
40,6,0.0067788532406979065,0.012107690742460264,0.0080092381427512,5
41,7,0.019864961787802372,0.07212603151754245,0.01982279411506126,5
42,1,0.10205854941478339,0.6978515020510653,0.2626541209561727,2
43,2,0.0596300631366742,0.4081993169529195,0.00283266174975206,2
44,3,0.08536137665648215,0.5473422974032479,0.21419312016480946,2
45,4,0.05858429518182902,0.4147996875734276,0.03659975981263339,2
46,5,0.04237387539985068,0.5216919348849869,0.06844678049201307,2
47,6,0.009508201608200498,0.013395391630506959,0.00972303095952134,2
48,7,0.0028624529253656363,0.054947124872767567,0.022601090067766085,2
49,1,0.1726181509886457,0.7345886087945261,0.4300871583451799,1
50,2,0.07210079526078689,0.37006468197783976,0.08449654763728197,1
51,3,0.09037999192922411,0.5017134166658266,0.3049416755713146,1
52,4,0.07648257077434584,0.31675030684657723,0.10127307876335569,1
53,5,0.06319312369413126,0.31336540731794693,0.06625370054231434,1
54,6,0.014220485294312472,0.008577597250931025,0.0026570169667408175,1
55,7,0.02627225701441196,0.041366761431719246,0.0065398056381587525,1
56,1,0.13987368665325087,0.7360316952760733,0.4083880934437566,1
57,2,0.04040406154574813,0.38699141837494855,0.13500961869039202,1
58,3,0.08611881434770588,0.5133891668743011,0.31529604699149416,1
59,4,0.06913057644620359,0.3193532071241494,0.13529526738494388,1
60,5,0.08923758194340266,0.3202451761650154,0.039326154864635574,1
61,6,0.011296106232424006,0.009915354257846102,0.020156430333284042,1
62,7,-0.013829060542157458,0.050444790223377646,0.003325799413804492,1
63,1,0.1593707861297889,0.6183277879537697,0.15951740048769528,5
64,2,0.11555044306720873,0.5797859912613909,0.3168635336876482,5
65,3,0.09030444793222081,0.47853475862342465,0.007798069374624893,5
66,4,0.05169363172409844,0.5547023771495933,0.11416216113502302,5
67,5,0.08654306444248006,0.5472987720560832,0.15076424539468403,5
68,6,0.002672462783167069,0.013350250481201847,0.002904786582949024,5
69,7,-0.019690009322336076,0.06051346925235201,0.016440819030890955,5
70,1,0.10205854941478339,0.6978515020510653,0.2626541209561727,2
71,2,0.0596300631366742,0.4081993169529195,0.00283266174975206,2
72,3,0.08536137665648215,0.5473422974032479,0.21419312016480946,2
73,4,0.05858429518182902,0.4147996875734276,0.03659975981263339,2
74,5,0.04237387539985068,0.5216919348849869,0.06844678049201307,2
75,6,0.009326117240785914,0.012766307037921299,0.005266247777811513,2
76,7,0.005807013528429166,0.056780787744765165,0.0034509552067929733,2
77,1,0.1726181509886457,0.7345886087945261,0.4300871583451799,1
78,2,0.07210079526078689,0.37006468197783976,0.08449654763728197,1
79,3,0.09037999192922411,0.5017134166658266,0.3049416755713146,1
80,4,0.07648257077434584,0.31675030684657723,0.10127307876335569,1
81,5,0.06319312369413126,0.31336540731794693,0.06625370054231434,1
82,6,0.02194011878519639,0.00884276979810457,0.014611661170939318,1
83,7,0.03156000227996258,0.041821081983239375,0.011040148293178054,1
84,1,0.13987368665325087,0.7360316952760733,0.4083880934437566,1
85,2,0.04040406154574813,0.38699141837494855,0.13500961869039202,1
86,3,0.08611881434770588,0.5133891668743011,0.31529604699149416,1
87,4,0.06913057644620359,0.3193532071241494,0.13529526738494388,1
88,5,0.08923758194340266,0.3202451761650154,0.039326154864635574,1
89,6,-0.004480891412236201,0.008770195900091269,0.02856935667553868,1
90,7,0.0019088227090055952,0.04474967387568971,0.003106017223544968,1
91,1,0.1593707861297889,0.6183277879537697,0.15951740048769528,5
92,2,0.11555044306720873,0.5797859912613909,0.3168635336876482,5
93,3,0.09030444793222081,0.47853475862342465,0.007798069374624893,5
94,4,0.05169363172409844,0.5547023771495933,0.11416216113502302,5
95,5,0.08654306444248006,0.5472987720560832,0.15076424539468403,5
96,6,0.00716313036133486,0.013164606652613904,0.015654719030057374,5
97,7,0.009481474947462301,0.05443275952189466,0.003165765266906464,5
98,1,0.10205854941478339,0.6978515020510653,0.2626541209561727,2
99,2,0.0596300631366742,0.4081993169529195,0.00283266174975206,2
100,3,0.08536137665648215,0.5473422974032479,0.21419312016480946,2
101,4,0.05858429518182902,0.4147996875734276,0.03659975981263339,2
102,5,0.04237387539985068,0.5216919348849869,0.06844678049201307,2
103,6,0.03254296869161893,0.01301908153385732,0.025091863203950477,2
104,7,0.01589400440097163,0.05985789153900119,0.014961083121381656,2
105,1,0.1726181509886457,0.7345886087945261,0.4300871583451799,1
106,2,0.07210079526078689,0.37006468197783976,0.08449654763728197,1
107,3,0.09037999192922411,0.5017134166658266,0.3049416755713146,1
108,4,0.07648257077434584,0.31675030684657723,0.10127307876335569,1
109,5,0.06319312369413126,0.31336540731794693,0.06625370054231434,1
110,6,0.003516283030845341,0.009749499284329255,0.004099481661946382,1
111,7,0.03287256055212478,0.04208635316173986,0.013619310854424561,1
112,1,0.13987368665325087,0.7360316952760733,0.4083880934437566,1
113,2,0.04040406154574813,0.38699141837494855,0.13500961869039202,1
114,3,0.08611881434770588,0.5133891668743011,0.31529604699149416,1
115,4,0.06913057644620359,0.3193532071241494,0.13529526738494388,1
116,5,0.08923758194340266,0.3202451761650154,0.039326154864635574,1
117,6,0.010219684228687007,0.009106827219260795,0.00577536420839739,1
118,7,0.010186400949507724,0.04307099081993857,0.020556789938403493,1
119,1,0.1593707861297889,0.6183277879537697,0.15951740048769528,5
120,2,0.11555044306720873,0.5797859912613909,0.3168635336876482,5
121,3,0.09030444793222081,0.47853475862342465,0.007798069374624893,5
122,4,0.05169363172409844,0.5547023771495933,0.11416216113502302,5
123,5,0.08654306444248006,0.5472987720560832,0.15076424539468403,5
124,6,0.002263377563565698,0.013081222923205378,0.007637101925583726,5
125,7,0.026870315001811848,0.07104547856445326,0.003191405332137006,5
126,1,0.10205854941478339,0.6978515020510653,0.2626541209561727,2
127,2,0.0596300631366742,0.4081993169529195,0.00283266174975206,2
128,3,0.08536137665648215,0.5473422974032479,0.21419312016480946,2
129,4,0.05858429518182902,0.4147996875734276,0.03659975981263339,2
130,5,0.04237387539985068,0.5216919348849869,0.06844678049201307,2
131,6,-0.0049125625730643,0.011999271226040442,0.0039028280384729224,2
132,7,-0.002251142691475312,0.052570714089922504,0.011557596887502894,2
133,1,0.1726181509886457,0.7345886087945261,0.4300871583451799,1
134,2,0.07210079526078689,0.37006468197783976,0.08449654763728197,1
